date,Open,High,Low,Close,Volume
2021-02-12,129.0387,130.7364,128.4186,127.98,1277987.0
2021-02-11,128.2326,129.8241,127.6307,126.96,1122166.0
2021-02-10,125.5719,126.731,124.8563,125.08,1091030.0
2021-02-09,123.0702,123.15,122.0231,123.24,1986201.0
2021-02-08,122.9021,124.7071,121.5632,123.41,2065323.0
2021-02-05,121.8642,123.2834,120.494,123.18,1919710.0
2021-02-04,125.6499,127.5268,124.7165,124.07,1251162.0
2021-02-03,120.8148,121.8908,119.2495,122.15,1448494.0
2021-02-02,123.8839,127.2717,123.7979,123.19,1429186.0
2021-02-01,120.9702,122.3734,120.459,120.83,1292732.0
2021-01-29,119.1389,119.6058,117.2419,120.17,1821960.0
2021-01-28,124.1751,128.0047,123.9455,121.56,1677877.0
2021-01-27,115.6081,116.4794,111.8486,118.8,1923527.0
2021-01-26,122.3599,122.7986,120.7658,123.92,1476631.0
2021-01-25,124.2816,125.0565,122.0645,125.48,1365448.0
2021-01-22,125.5844,126.296,124.8136,126.33,1438728.0
2021-01-21,126.2346,127.2325,124.8959,127.0,1612125.0
2021-01-20,128.5113,129.7288,128.1591,128.11,1842980.0
2021-01-19,127.32,127.7348,126.2305,127.35,1677240.0
2021-01-15,126.4806,127.6656,125.2754,126.21,2115363.0
2021-01-14,124.8021,125.7042,123.3802,126.03,924869.0
2021-01-13,126.5018,127.0874,125.7872,126.98,1530403.0
2021-01-12,125.6244,125.6783,123.5393,126.97,1817678.0
2021-01-11,129.8729,132.8411,129.6469,128.15,1746955.0
2021-01-08,127.6326,128.7934,126.9868,127.06,1577237.0
2021-01-07,128.0169,131.2603,127.7904,126.16,1775882.0
2021-01-06,127.2386,132.8024,126.7241,122.89,2428483.0
2021-01-05,120.7508,122.626,120.3278,119.61,2343967.0
2021-01-04,118.3408,119.485,116.52,118.64,2030667.0
2020-12-31,119.202,120.2258,118.2023,118.2966,1307192.0
2020-12-30,116.731,117.761,116.2061,117.1984,1127009.0
2020-12-29,115.7257,116.2723,114.037,117.0386,1007399.0
2020-12-28,116.9626,117.2291,115.1467,117.6376,999823.0
2020-12-24,117.3887,118.7226,117.1881,117.1185,733587.0
2020-12-23,116.4138,117.2918,115.6443,117.1085,1202061.0
2020-12-22,116.5528,116.9775,115.4169,117.1784,1670440.0
2020-12-21,117.6676,118.4174,115.9281,117.5877,2081968.0
2020-12-18,119.1752,119.8049,118.3855,119.1052,3911781.0
2020-12-17,119.7014,121.0602,118.6773,118.7758,2166714.0
2020-12-16,116.7101,116.869,115.5389,117.0486,1698574.0
2020-12-15,117.2883,118.0282,116.8383,117.1984,1973780.0
2020-12-14,114.7119,116.2883,112.9034,116.5494,1395241.0
2020-12-11,118.0972,118.4853,116.7239,118.2866,1400768.0
2020-12-10,120.5128,123.5633,119.8894,118.616,1630537.0
2020-12-09,116.2299,116.8092,114.3324,116.21,1717610.0
2020-12-08,119.5469,122.6835,119.5364,116.819,1320639.0
2020-12-07,113.4201,114.6409,112.3568,114.2132,2076739.0
2020-12-04,116.5306,118.2129,116.3767,114.962,1118130.0
2020-12-03,112.8283,114.0865,111.8498,113.3946,1511353.0
2020-12-02,113.3344,113.648,111.8642,114.383,1735789.0
2020-12-01,112.9971,113.766,110.5533,115.1717,1730278.0
2020-11-30,119.7937,123.1385,119.5623,116.7092,3778434.0
2020-11-27,114.2241,115.439,113.3908,113.9037,983723.0
2020-11-25,112.4522,113.2949,109.8562,114.1633,2862483.0
2020-11-24,110.3735,110.3735,103.387,114.4928,5559774.0
2020-11-23,112.8414,113.8746,110.9776,112.0268,3258707.0
2020-11-20,113.0018,116.8088,112.6638,110.709,2775652.0
2020-11-19,110.4746,112.7723,108.8704,108.5026,1886381.0
2020-11-18,102.301,102.6092,98.7338,105.777,2048056.0
2020-11-17,109.0454,109.3118,107.8069,109.6807,1571458.0
2020-11-16,109.366,109.8488,107.8585,110.09,1656148.0
2020-11-13,109.7014,110.774,109.026,109.9901,1356781.0
2020-11-12,109.3013,110.9098,108.7967,109.2613,1094278.0
2020-11-11,107.5311,108.16,105.3058,109.2314,1792823.0
2020-11-10,107.4651,107.5508,103.8169,110.0201,2124829.0
2020-11-09,108.7774,110.0323,105.247,112.3163,2178042.0
2020-11-06,114.1619,116.8315,113.7136,112.3563,1036556.0
2020-11-05,109.9307,111.2829,109.0359,110.1599,1143082.0
2020-11-04,108.7338,110.4745,107.8987,108.3129,1357382.0
2020-11-03,107.4577,109.1539,107.1649,106.8553,1175149.0
2020-11-02,106.8139,108.7021,106.5766,105.0682,1572506.0
2020-10-30,102.2438,102.8265,101.1234,101.9233,2310001.0
2020-10-29,101.6045,102.3844,100.1142,101.8534,1421852.0
2020-10-28,98.8114,99.7103,96.1239,101.494,1180759.0
2020-10-27,106.8036,108.3786,106.8036,105.8669,1111491.0
2020-10-26,103.7059,104.129,102.0921,104.4592,1101954.0
2020-10-23,104.9489,105.0957,103.2263,105.9967,833937.0
2020-10-22,108.0633,109.8794,107.8478,106.5957,1064683.0
2020-10-21,103.5818,104.3348,101.8216,104.6589,893965.0
2020-10-20,105.1588,106.2015,104.8311,105.4376,770994.0
2020-10-19,104.0454,104.8639,102.5449,105.3178,635992.0
2020-10-16,107.2799,108.8898,107.0369,106.5258,1039366.0
2020-10-15,106.3803,108.0358,106.1555,105.1481,722985.0
2020-10-14,104.4609,105.6294,103.8965,104.8885,906705.0
2020-10-13,105.2279,105.7918,104.7489,105.2479,915482.0
2020-10-12,104.2493,104.7879,103.1427,105.2579,1003703.0
2020-10-09,106.5241,107.8146,106.2395,105.5873,708966.0
2020-10-08,103.95,104.1396,102.8826,103.99,765334.0
2020-10-07,105.1375,107.4768,105.0862,103.7104,1322141.0
2020-10-06,99.998,100.2017,98.4077,101.4641,1078014.0
2020-10-05,105.123,107.6941,105.0918,102.9517,803927.0
2020-10-02,99.4738,100.531,99.0794,99.6727,712248.0
2020-10-01,100.3335,100.9645,99.1208,100.8787,723579.0
2020-09-30,100.9998,102.356,100.7688,100.5996,1362186.0
2020-09-29,100.3124,101.8605,100.1114,99.882,722378.0
2020-09-28,100.0491,101.1547,99.5217,99.1744,1336568.0
2020-09-25,99.1158,101.3624,98.9196,97.3606,1028618.0
2020-09-24,95.7864,96.1832,94.6656,96.0151,1157571.0
2020-09-23,94.9278,95.2262,92.9734,96.5832,1148728.0
2020-09-22,99.071,100.2203,98.7166,98.2874,845849.0
