date,Open,High,Low,Close,Volume
2021-02-12,257.49,258.6302,255.4497,257.47,1219178.0
2021-02-11,259.9436,261.9486,258.9764,258.97,1285423.0
2021-02-10,255.8645,257.0247,253.7226,256.94,1425420.0
2021-02-09,259.0573,261.5841,258.3498,257.68,1542437.0
2021-02-08,260.7453,264.2675,260.581,257.31,1508696.0
2021-02-05,252.9912,254.644,251.0695,253.54,1497684.0
2021-02-04,256.5077,260.0743,253.7839,253.01,1702175.0
2021-02-03,248.5501,250.4729,246.9478,248.37,2470492.0
2021-02-02,247.5062,248.922,246.145,248.75,2007709.0
2021-02-01,249.0488,251.8823,246.8933,247.57,1559691.0
2021-01-29,235.7609,236.7011,229.5782,241.92,2494447.0
2021-01-28,249.44,253.0029,248.3392,249.34,1794214.0
2021-01-27,243.5664,246.0739,239.3838,246.1,1833069.0
2021-01-26,252.7902,254.0078,250.7434,252.99,1345509.0
2021-01-25,252.2201,254.1529,249.4161,252.04,1921644.0
2021-01-22,254.1714,255.1667,252.3799,254.77,2049627.0
2021-01-21,255.4444,256.7684,251.9627,257.94,1625568.0
2021-01-20,265.4025,269.9186,264.384,261.67,2081643.0
2021-01-19,257.278,260.1956,256.6106,255.84,2249461.0
2021-01-15,253.68,256.0306,253.0899,253.65,1915109.0
2021-01-14,252.7697,252.7697,249.6942,255.0,2253238.0
2021-01-13,257.7115,260.3645,257.7115,257.08,1870727.0
2021-01-12,255.8157,256.8975,251.7835,257.5185,1874934.0
2021-01-11,257.0136,258.852,254.5103,259.4618,1745183.0
2021-01-08,263.6081,266.326,261.09,263.2588,2010661.0
2021-01-07,265.1633,269.8074,265.1429,262.3021,2068188.0
2021-01-06,261.3944,265.8215,259.1253,259.8505,2535648.0
2021-01-05,258.5639,260.8228,257.2933,257.0401,1809333.0
2021-01-04,251.1393,251.7724,244.4519,255.5851,2505131.0
2020-12-31,263.967,267.779,263.8389,260.3189,1325331.0
2020-12-30,255.5402,256.1083,254.0781,256.6614,992768.0
2020-12-29,253.7988,253.9312,250.2334,256.8807,1065161.0
2020-12-28,258.7443,259.3819,257.4094,258.7941,1051429.0
