date,Open,High,Low,Close,Volume
2021-02-12,502.5473,506.81,499.0966,498.84,1450621.0
2021-02-11,498.7188,501.2098,495.2396,496.62,1609829.0
2021-02-10,486.2546,487.0509,477.5849,492.67,1745020.0
2021-02-09,497.1022,500.0648,494.0995,496.05,1565088.0
2021-02-08,493.2605,496.8532,488.2207,493.76,1727272.0
2021-02-05,493.3229,497.5234,490.3886,492.12,1675141.0
2021-02-04,494.5954,500.3771,492.2465,489.38,2005114.0
2021-02-03,476.8049,478.5277,469.0521,481.92,2146948.0
2021-02-02,496.4786,510.8599,495.3256,484.93,3000110.0
2021-02-01,477.8489,490.7906,475.3061,470.0,2554774.0
2021-01-29,455.395,458.1835,448.4385,458.77,3061106.0
2021-01-28,472.3649,488.7768,472.3649,465.67,3000726.0
2021-01-27,449.2664,451.8228,434.0807,460.0,3586353.0
2021-01-26,478.8437,482.3714,472.8093,476.28,2363124.0
2021-01-25,472.3724,475.548,461.8898,473.44,2697405.0
2021-01-22,472.38,476.229,470.4905,472.44,2534274.0
2021-01-21,473.7866,478.2498,469.5954,472.02,2771772.0
2021-01-20,476.8359,486.7852,472.7552,469.73,3858988.0
2021-01-19,451.8773,452.2887,444.2051,456.5,4419205.0
2021-01-15,453.7022,458.9799,448.7875,458.08,3200352.0
2021-01-14,454.3068,455.4032,444.4881,463.27,3508273.0
2021-01-13,472.1,477.9512,469.3994,472.05,2105915.0
2021-01-12,468.9061,469.4892,458.6168,471.65,2958455.0
2021-01-11,466.6146,467.1955,456.2656,474.24,2383254.0
2021-01-08,490.2542,495.9125,487.4046,485.1,2266132.0
2021-01-07,484.5764,493.4655,481.7472,477.74,2901232.0
2021-01-06,458.6495,460.3601,450.815,466.31,4156589.0
2021-01-05,485.5001,485.6999,478.8203,485.69,2010099.0
2021-01-04,470.8273,471.2885,448.2224,485.34,3612949.0
2020-12-31,502.2591,504.952,499.1325,500.12,1462236.0
2020-12-30,491.9123,493.2031,485.3387,497.45,1529878.0
2020-12-29,503.0568,507.2576,501.6264,502.11,1434200.0
2020-12-28,492.3777,492.7965,483.8129,498.95,1500555.0
2020-12-24,500.561,504.4218,498.6757,499.86,589182.0
2020-12-23,488.8238,489.1431,480.5594,496.91,1428583.0
2020-12-22,510.0477,518.8085,507.4584,504.17,1701985.0
2020-12-21,498.7302,502.6856,492.1713,498.39,2412884.0
2020-12-18,508.3473,514.9467,504.2201,502.95,4667387.0
2020-12-17,497.7313,501.7596,495.3386,495.36,2178354.0
2020-12-16,494.8495,501.4815,493.9414,489.9,2555596.0
2020-12-15,476.314,476.7523,468.0159,482.64,2559319.0
2020-12-14,497.4757,510.8642,497.3606,486.42,3945198.0
2020-12-11,475.8448,478.7588,468.6916,475.91,3561554.0
2020-12-10,470.0976,474.5192,457.6683,476.87,3922009.0
2020-12-09,471.7545,472.677,455.8052,483.74,3449121.0
2020-12-08,498.2882,502.0839,492.1241,495.28,2175673.0
2020-12-07,497.5566,510.113,497.5566,492.25,3441683.0
2020-12-04,486.3302,492.0579,485.0185,486.0,2749793.0
2020-12-03,486.3589,497.0501,485.6428,484.28,3062675.0
2020-12-02,486.9157,492.6993,481.2345,481.26,2107080.0
2020-12-01,476.307,476.307,466.0526,479.15,2517237.0
2020-11-30,476.9449,477.7994,466.2136,478.47,2786955.0
2020-11-27,477.16,482.668,475.1189,477.03,1815490.0
2020-11-25,473.9008,480.2376,472.4322,470.08,2634472.0
2020-11-24,463.9936,467.0909,459.2349,462.7,2555094.0
2020-11-23,456.6214,458.9472,448.304,460.61,2371433.0
2020-11-20,460.6908,465.4843,457.9177,462.92,1851107.0
2020-11-19,472.9093,484.2591,472.1486,466.41,3132704.0
2020-11-18,452.3423,453.4957,445.1217,459.47,2063159.0
2020-11-17,474.3257,482.8019,472.6202,467.95,2407597.0
2020-11-16,461.4706,470.5912,459.2858,460.95,2522187.0
2020-11-13,471.2376,474.4132,462.7192,469.34,2966003.0
2020-11-12,451.9214,453.2987,440.1435,462.58,2115319.0
2020-11-11,477.197,489.3015,476.1666,467.75,2634159.0
2020-11-10,437.7443,438.9542,418.3106,452.0,4920340.0
2020-11-09,448.7054,452.9809,426.9944,471.14,3625298.0
2020-11-06,494.3102,498.0753,482.3757,494.63,1956305.0
2020-11-05,493.6857,496.9092,484.3216,496.47,2400994.0
2020-11-04,496.711,514.3894,493.115,487.23,4524341.0
2020-11-03,459.1064,468.1598,455.7115,454.02,1758640.0
2020-11-02,438.9614,444.008,427.2233,444.94,2479005.0
2020-10-30,436.1547,437.2776,421.1093,447.1,3128709.0
2020-10-29,462.907,468.3592,460.851,461.11,2125281.0
2020-10-28,445.092,446.8044,432.4886,456.97,2677304.0
2020-10-27,477.3431,479.4424,471.0652,478.56,1896459.0
2020-10-26,469.5837,477.2946,459.0829,475.2,2337431.0
2020-10-23,490.599,492.7171,483.6396,488.5,1899599.0
2020-10-22,470.8265,470.9592,454.4094,483.6,2615048.0
2020-10-21,499.9011,507.7849,498.3975,495.96,1369735.0
2020-10-20,493.9109,498.8126,490.5799,494.58,1454449.0
2020-10-19,482.9602,482.9602,469.1158,495.2,1931403.0
2020-10-16,501.6428,507.9531,498.3582,502.82,2441382.0
2020-10-15,503.0472,506.3117,495.5809,501.15,2043107.0
2020-10-14,498.4054,500.9345,486.0601,506.31,2033159.0
2020-10-13,516.4388,523.9102,516.1465,514.31,2438132.0
