date,Open,High,Low,Close,Volume
2021-02-12,30.6916,31.6555,29.8901,30.47,72185.0
2021-02-11,30.9041,31.825,30.7096,30.55,261309.0
2021-02-10,29.8366,30.0405,27.7006,30.28,299257.0
2021-02-09,29.8766,29.9786,28.6435,30.32,156535.0
2021-02-08,30.963,32.1664,30.5193,30.66,148002.0
2021-02-05,30.933,31.824,30.4848,30.3,157974.0
2021-02-04,30.0594,31.402,28.8606,29.12,699317.0
2021-02-03,26.4054,26.4054,24.5891,27.5,336798.0
2021-02-02,28.4614,29.2577,28.1976,28.26,308141.0
2021-02-01,26.1255,26.459,24.4955,27.53,508987.0
2021-01-29,27.4092,28.7897,26.2403,28.57,173352.0
2021-01-28,27.7832,28.0473,24.9631,30.1,281514.0
2021-01-27,31.1754,31.3964,29.6194,32.49,314841.0
2021-01-26,33.2312,33.2502,32.4983,33.84,313958.0
2021-01-25,34.8064,35.9517,34.8064,34.05,397293.0
2021-01-22,35.2627,37.3185,34.9498,33.36,184931.0
2021-01-21,32.2683,33.2599,31.504,31.75,112944.0
2021-01-20,30.6872,30.8663,28.8859,31.6,89928.0
2021-01-19,31.6659,32.8532,30.6928,32.1,199540.0
2021-01-15,31.8356,32.9746,30.754,32.54,215926.0
2021-01-14,34.0738,35.6517,34.0738,33.0,111748.0
2021-01-13,32.1033,32.6543,31.1453,31.78,135368.0
2021-01-12,29.7503,29.7595,28.1754,31.09,131583.0
2021-01-11,31.6659,32.0357,30.25,32.1,99905.0
2021-01-08,33.126,34.7392,32.1602,32.68,498787.0
2021-01-07,32.108,33.0372,31.6228,31.6,167916.0
2021-01-06,30.8891,32.7782,30.1334,30.36,224478.0
2021-01-05,27.785,27.9235,25.7935,29.86,241620.0
2021-01-04,31.9916,32.1548,31.2128,32.22,76058.0
2020-12-31,31.6736,32.4764,31.1351,32.01,278289.0
2020-12-30,31.3903,32.49,30.7392,31.96,105032.0
2020-12-29,29.9309,29.9309,27.2015,32.56,127205.0
2020-12-28,33.6972,34.444,31.2186,35.31,264267.0
2020-12-24,37.4866,38.7704,37.0141,36.99,294289.0
