date,Open,High,Low,Close,Volume
2021-02-12,4.9505,5.022,4.9403,4.9,5238846.0
2021-02-11,4.8801,4.9098,4.8305,4.9,3139614.0
2021-02-10,4.93,5.0204,4.9099,4.92,5421179.0
2021-02-09,5.0005,5.0515,4.9597,4.95,2876528.0
2021-02-08,4.9201,4.9705,4.8898,4.9,3425572.0
2021-02-05,4.7903,4.81,4.6878,4.83,4566404.0
2021-02-04,4.82,4.92,4.79,4.82,6024214.0
2021-02-03,4.721,4.7502,4.585,4.79,9640843.0
2021-02-02,5.0136,5.2141,4.9397,4.88,5650094.0
2021-02-01,4.8014,4.9049,4.7185,4.72,5646348.0
2021-01-29,4.4541,4.4541,4.2376,4.59,4147577.0
2021-01-28,4.8431,5.0748,4.8431,4.72,5191926.0
2021-01-27,4.551,4.5607,4.42,4.62,5523811.0
2021-01-26,4.6513,4.6997,4.5643,4.73,4984197.0
2021-01-25,4.7502,4.7798,4.6218,4.78,8148280.0
2021-01-22,4.8708,4.9425,4.7785,4.81,4037135.0
2021-01-21,4.7402,4.7402,4.6513,4.77,4865683.0
2021-01-20,4.6446,4.6446,4.4565,4.79,5645043.0
2021-01-19,4.8301,4.8549,4.721,4.85,2867100.0
2021-01-15,4.8701,4.88,4.7461,4.89,3740565.0
2021-01-14,4.8413,4.8606,4.7154,4.92,8422895.0
2021-01-13,4.9821,5.0967,4.9508,4.88,8606267.0
2021-01-12,4.7403,4.7403,4.6322,4.78,6571688.0
2021-01-11,4.7607,4.79,4.6827,4.82,5804634.0
2021-01-08,4.7529,4.7624,4.6195,4.87,8214102.0
2021-01-07,4.8039,4.8417,4.6715,4.94,10336777.0
2021-01-06,5.1103,5.2322,5.1002,5.07,5598242.0
2021-01-05,5.0002,5.0496,4.9409,5.03,4820284.0
2021-01-04,4.8584,4.9045,4.6325,5.06,8887674.0
2020-12-31,5.4664,5.67,5.4128,5.28,6381251.0
2020-12-30,5.1716,5.2753,5.1716,5.08,5988979.0
2020-12-29,4.9107,4.9595,4.8521,4.97,5740400.0
2020-12-28,5.1613,5.2439,5.0581,5.08,12259908.0
2020-12-24,4.9602,4.9701,4.8317,4.99,3520094.0
2020-12-23,4.9116,5.0081,4.7958,5.0,11468475.0
2020-12-22,5.1716,5.3271,5.1302,5.08,14404299.0
2020-12-21,5.1598,5.5462,5.0689,4.84,16641672.0
2020-12-18,4.3936,4.4031,4.2236,4.52,39961348.0
2020-12-17,4.6903,4.7616,4.4767,4.65,21873617.0
2020-12-16,4.2946,4.3983,3.9836,4.62,39232513.0
2020-12-15,4.4959,5.1563,3.8831,5.04,97216521.0
2020-12-14,4.4401,4.5606,4.4356,4.34,4017264.0
2020-12-11,4.3918,4.4593,4.3863,4.3658,818409.0
2020-12-10,4.4176,4.4733,4.3827,4.3873,1572520.0
2020-12-09,4.338,4.3515,4.2079,4.411,983975.0
2020-12-08,4.3914,4.4134,4.3129,4.4529,1344794.0
2020-12-07,4.6439,4.8618,4.6202,4.5325,1932640.0
2020-12-04,4.3943,4.4238,4.27,4.4411,1570360.0
2020-12-03,4.5426,4.6838,4.5297,4.4346,1634135.0
2020-12-02,4.1473,4.1618,3.9039,4.3679,5310411.0
2020-12-01,4.37,4.5479,4.3169,4.2173,1659533.0
