date,Open,High,Low,Close,Volume
2021-02-12,150.3499,153.3263,149.6162,147.9,430995.0
2021-02-11,144.9902,147.6387,143.6436,145.17,770912.0
2021-02-10,143.2192,145.0389,139.9323,144.37,1085268.0
2021-02-09,148.5263,156.4447,146.331,142.12,1031483.0
2021-02-08,147.5472,165.649,147.5472,132.1,1412518.0
2021-02-05,110.6771,111.3072,108.9225,112.41,385408.0
2021-02-04,113.271,113.623,112.3355,112.94,309610.0
2021-02-03,113.1259,114.3028,112.0251,112.31,287809.0
2021-02-02,109.3345,109.9815,106.5037,111.99,416755.0
2021-02-01,115.8788,118.589,114.9199,113.5,333910.0
2021-01-29,107.4499,108.6195,104.6162,110.19,580901.0
2021-01-28,112.3016,114.8212,110.4436,113.86,457811.0
2021-01-27,116.1362,121.8846,115.5882,115.29,593000.0
2021-01-26,116.7412,118.7324,116.6596,115.6,434636.0
2021-01-25,115.2617,118.1607,114.9482,113.68,285779.0
2021-01-22,114.7124,116.5946,114.5581,113.11,216101.0
2021-01-21,111.3933,112.7241,110.1702,112.61,426877.0
2021-01-20,114.7924,116.2424,114.0674,113.6,426958.0
2021-01-19,113.2926,114.5489,111.9852,112.1,402465.0
2021-01-15,111.8818,113.8668,111.0487,110.32,294397.0
2021-01-14,112.3997,114.4076,111.7835,110.91,344108.0
2021-01-13,109.3008,110.3617,108.3405,109.0,341657.0
2021-01-12,109.6061,112.0879,109.2762,108.79,351232.0
2021-01-11,108.8149,110.887,108.8149,107.17,276145.0
2021-01-08,105.683,105.7226,103.7241,106.25,265845.0
2021-01-07,105.5106,106.466,104.8637,105.76,276474.0
2021-01-06,107.1029,111.1742,107.1029,104.96,462209.0
2021-01-05,102.1654,104.195,101.7605,100.91,360855.0
2021-01-04,96.5385,97.6675,93.8108,99.11,426770.0
2020-12-31,102.8939,104.5214,102.0647,101.7,245714.0
2020-12-30,101.3013,103.084,101.0092,100.94,236462.0
2020-12-29,99.4915,99.5992,98.1798,100.56,258321.0
2020-12-28,100.7467,101.6716,99.7629,101.57,204213.0
2020-12-24,101.1633,101.1633,99.5555,101.74,96615.0
2020-12-23,103.4014,106.4673,103.4014,101.6,274557.0
2020-12-22,97.7579,97.7579,95.6014,99.41,244815.0
2020-12-21,102.6808,104.5537,101.1886,101.22,468369.0
2020-12-18,100.0602,100.9976,98.8935,100.2,836528.0
2020-12-17,100.7445,101.8949,99.9945,100.07,273527.0
2020-12-16,99.23,99.3501,98.4595,99.2,269199.0
2020-12-15,99.2803,100.4132,98.0147,98.27,241685.0
2020-12-14,94.4119,94.8723,92.388,96.4,399972.0
2020-12-11,97.14,97.6896,95.6712,97.18,308663.0
2020-12-10,99.6069,100.9722,98.7651,98.31,448521.0
2020-12-09,98.4803,99.3531,96.3433,98.32,488700.0
2020-12-08,100.9991,105.051,100.9991,97.68,366356.0
2020-12-07,95.7306,96.2531,94.6403,95.5,245971.0
2020-12-04,97.3837,99.7009,96.6218,95.32,298130.0
2020-12-03,96.3711,101.8823,96.3711,93.25,508948.0
