date,Open,High,Low,Close,Volume
2021-02-12,328.2442,333.4701,325.0488,323.31,454229.0
2021-02-11,316.8446,317.5393,311.9023,318.05,399441.0
2021-02-10,315.4308,315.4308,308.43,318.55,523812.0
2021-02-09,319.7402,320.6063,317.4837,319.99,326745.0
2021-02-08,316.9217,318.2769,312.3143,320.09,330087.0
2021-02-05,322.4208,324.8635,320.2138,321.91,515737.0
2021-02-04,322.988,326.1873,320.1555,319.98,374764.0
2021-02-03,316.2708,317.8658,312.7317,316.76,393753.0
2021-02-02,314.8678,317.2144,311.6696,316.43,450294.0
2021-02-01,322.524,332.4494,322.4408,316.2,602703.0
2021-01-29,306.3448,312.9126,303.7499,307.56,693191.0
2021-01-28,313.9673,320.147,312.2679,309.37,638037.0
2021-01-27,306.4418,310.3209,302.3116,305.69,1288393.0
2021-01-26,305.0426,305.2993,301.3304,307.0,584028.0
2021-01-25,299.8262,300.1491,290.8142,307.69,496744.0
2021-01-22,311.33,312.7361,308.1076,311.21,473486.0
2021-01-21,308.0034,309.5954,301.6513,311.66,424095.0
2021-01-20,308.6683,308.6683,301.8029,314.45,397747.0
2021-01-19,317.0824,317.2415,310.5387,317.96,476555.0
2021-01-15,320.6807,326.859,316.7195,317.07,737455.0
2021-01-14,314.1938,322.4965,312.9753,313.1,567282.0
2021-01-13,306.1398,307.1027,301.3839,309.63,445322.0
2021-01-12,330.1856,345.3675,329.8805,316.28,853726.0
2021-01-11,303.5512,305.4084,301.724,302.96,521153.0
2021-01-08,314.7147,324.7133,314.2602,306.12,1104444.0
2021-01-07,299.0211,302.3181,296.0559,295.97,883349.0
2021-01-06,280.3584,281.0893,273.241,285.87,729491.0
2021-01-05,288.2067,292.3598,288.2067,286.01,559063.0
2021-01-04,275.7587,276.5553,265.9616,283.16,814233.0
2020-12-31,291.1411,291.9945,288.7518,290.57,310381.0
2020-12-30,288.6204,292.0922,287.3733,288.96,333509.0
2020-12-29,283.2731,283.9623,278.3316,287.5,261480.0
2020-12-28,289.6656,291.212,288.0697,290.94,453240.0
2020-12-24,288.9901,289.6808,286.2673,288.84,101784.0
2020-12-23,282.9152,285.1581,279.2874,286.49,336026.0
2020-12-22,294.5779,299.7183,294.4394,290.82,655132.0
2020-12-21,291.2137,295.4068,287.1542,287.26,503992.0
2020-12-18,287.8501,291.2431,284.9474,287.72,1258198.0
2020-12-17,284.9506,286.5559,281.1717,285.37,574044.0
2020-12-16,285.8501,293.8084,284.5687,285.7,1013623.0
2020-12-15,281.9701,285.0926,281.4463,279.59,614185.0
2020-12-14,271.2583,276.8545,267.8204,274.48,513030.0
2020-12-11,278.4041,283.1604,277.2755,277.34,610471.0
2020-12-10,276.47,278.5115,274.2184,276.37,471045.0
2020-12-09,272.0047,273.2049,265.5716,277.59,440939.0
2020-12-08,289.569,301.0809,289.1731,283.7,1139516.0
2020-12-07,280.4122,285.4224,278.9216,275.61,619017.0
2020-12-04,270.3803,272.4544,269.0576,270.11,408819.0
2020-12-03,268.8725,270.8107,267.3816,269.69,379048.0
2020-12-02,272.1612,274.0192,270.7653,271.58,413809.0
2020-12-01,276.0333,279.8365,274.4896,273.0,447338.0
2020-11-30,268.9316,271.3102,263.898,270.7,746846.0
2020-11-27,273.0208,274.6513,269.2882,272.56,275296.0
2020-11-25,267.9257,269.4164,264.7973,270.55,317845.0
2020-11-24,274.1727,276.9401,272.1249,272.31,511387.0
2020-11-23,269.9583,273.9829,267.9764,268.46,484775.0
2020-11-20,264.0742,265.1382,259.4601,268.5,517517.0
2020-11-19,273.8636,275.0623,271.023,272.87,392025.0
2020-11-18,265.3578,266.7661,258.6399,272.03,590222.0
2020-11-17,283.5786,289.7691,283.2138,277.78,658239.0
2020-11-16,271.531,272.706,266.7422,273.26,646524.0
2020-11-13,276.6277,279.8927,272.577,273.86,604118.0
2020-11-12,270.4928,276.1441,269.3492,267.09,492168.0
2020-11-11,271.5689,279.4014,270.2582,265.21,555390.0
2020-11-10,256.901,259.9133,254.6796,257.4,739571.0
2020-11-09,257.6239,262.189,253.4174,261.68,909395.0
2020-11-06,270.3604,278.5185,269.0394,263.0,881693.0
2020-11-05,257.7623,260.3978,254.5332,257.0,979397.0
2020-11-04,260.522,270.9638,260.0083,254.44,1115915.0
2020-11-03,256.0269,272.7605,251.9462,249.49,3829711.0
2020-11-02,222.4184,231.7493,219.9912,216.12,1700908.0
