date,Open,High,Low,Close,Volume
2021-02-12,59.7465,60.0208,58.7866,60.37,1063206.0
2021-02-11,60.5547,60.6235,59.3265,61.09,874332.0
2021-02-10,61.0505,61.2991,59.9864,61.22,895601.0
2021-02-09,61.3801,62.0814,61.0795,61.32,789133.0
2021-02-08,62.4793,63.6346,62.3913,61.38,865641.0
2021-02-05,61.2662,62.5955,61.0681,60.0,931039.0
2021-02-04,59.8026,61.1339,59.6154,58.64,975354.0
2021-02-03,57.2,57.8595,56.9602,57.22,813880.0
2021-02-02,57.9453,58.9342,57.6497,57.39,1148167.0
2021-02-01,57.1001,58.3463,57.017,56.03,1698581.0
2021-01-29,52.3525,52.8078,50.0843,54.3,2704920.0
2021-01-28,58.3769,63.6064,57.6087,56.91,3501948.0
2021-01-27,52.4355,52.8553,50.8442,52.9481,3431156.0
2021-01-26,51.8173,52.2351,49.4372,54.2422,1877398.0
2021-01-25,55.9825,56.0602,54.7775,56.6611,1919161.0
2021-01-22,57.4476,57.7258,56.6924,57.4973,1155453.0
2021-01-21,58.2578,59.1384,58.2578,57.776,788343.0
2021-01-20,58.0385,58.5948,57.5126,57.577,922616.0
2021-01-19,56.8405,57.4456,56.5925,56.9399,1275171.0
2021-01-15,56.1958,56.1958,54.7715,56.5715,1095216.0
2021-01-14,56.4802,56.8849,54.9445,57.1589,1096773.0
2021-01-13,57.5809,57.6102,56.8856,58.0548,909700.0
2021-01-12,60.4672,62.689,59.9782,58.5127,1028316.0
2021-01-11,57.9656,59.8213,57.7883,56.6412,749894.0
2021-01-08,54.9843,55.2058,53.4211,55.9046,804014.0
2021-01-07,56.6813,56.9311,55.9218,56.5715,1072974.0
2021-01-06,57.199,59.3264,56.8966,55.8847,1386940.0
2021-01-05,54.6577,55.6155,54.6067,54.0232,754997.0
2021-01-04,52.9094,53.7799,51.8164,53.6748,1484671.0
2020-12-31,54.7404,54.9608,54.1194,54.5707,728922.0
2020-12-30,54.3519,54.8823,54.0644,54.4612,536187.0
2020-12-29,53.4452,53.5794,52.0456,54.4612,561441.0
2020-12-28,55.1094,55.3264,54.7445,55.367,485109.0
2020-12-24,55.2177,55.2277,54.5684,55.2277,214998.0
2020-12-23,54.523,54.582,53.7904,54.8594,797250.0
2020-12-22,54.7129,54.8895,54.2419,55.1082,865722.0
2020-12-21,56.7869,58.3516,56.4542,55.5661,769560.0
2020-12-18,55.7577,56.1915,54.7287,55.387,1762428.0
2020-12-17,54.8994,55.3257,54.2103,55.0087,1760886.0
2020-12-16,53.6318,54.1938,52.3651,54.8295,1198794.0
2020-12-15,57.0533,58.0292,56.7759,56.1634,667720.0
2020-12-14,53.7987,54.2059,52.4445,55.158,871832.0
2020-12-11,56.3336,56.8504,55.9823,56.1037,717023.0
2020-12-10,55.0182,55.3539,53.6612,56.0539,827388.0
2020-12-09,59.0354,60.7829,59.0143,57.4077,1055364.0
2020-12-08,56.9415,58.0803,56.8276,55.8349,1266738.0
2020-12-07,55.2182,55.6287,54.8678,55.0585,675079.0
2020-12-04,54.5915,54.7001,54.1965,54.8096,983275.0
2020-12-03,54.6206,54.6998,54.2436,54.7101,1461675.0
2020-12-02,54.6503,55.1785,54.456,54.6205,1313999.0
2020-12-01,53.1119,53.3269,51.3359,54.8096,1888687.0
2020-11-30,55.6291,55.8056,54.6977,56.0539,2645821.0
2020-11-27,57.0905,57.6532,56.9699,56.8204,305790.0
2020-11-25,54.8773,54.8773,53.5253,56.1136,956412.0
2020-11-24,57.8361,58.6763,57.566,57.6964,1071248.0
2020-11-23,58.1182,59.2269,57.7691,57.2285,1169723.0
2020-11-20,55.4097,55.655,54.1928,55.805,850848.0
2020-11-19,56.5825,57.1949,56.0605,56.3426,615903.0
2020-11-18,56.3428,57.1123,56.088,56.2331,911341.0
2020-11-17,56.3134,56.7443,55.5517,56.1236,934490.0
2020-11-16,57.0539,58.0408,56.4885,56.1435,935183.0
2020-11-13,55.15,56.0467,54.9586,54.8196,827281.0
2020-11-12,53.4389,53.6154,52.5025,53.844,583146.0
2020-11-11,54.3921,54.5404,53.6207,54.5707,755070.0
2020-11-10,56.3112,58.7022,56.3112,54.501,886788.0
2020-11-09,49.8043,50.665,46.8471,52.8884,1425139.0
2020-11-06,54.7332,55.4409,54.0963,54.3119,943124.0
2020-11-05,54.3119,55.6827,54.3119,53.5752,674901.0
2020-11-04,51.5134,51.7947,50.3977,52.1816,678055.0
2020-11-03,52.9087,53.6412,52.5029,53.0576,908755.0
2020-11-02,53.3056,54.0721,53.1114,52.6096,1062634.0
2020-10-30,49.8913,50.3171,47.7669,51.4549,1448733.0
2020-10-29,53.5081,55.5168,52.8318,53.1372,1686894.0
2020-10-28,50.1973,51.2539,49.4097,50.9777,1270498.0
2020-10-27,51.5607,51.6084,50.5777,52.533,764825.0
2020-10-26,52.9824,52.9873,51.901,53.4245,817210.0
2020-10-23,54.3459,54.3459,53.8024,54.4151,773995.0
2020-10-22,54.2669,54.3457,53.8035,54.3953,1118884.0
2020-10-21,53.8249,53.9125,52.793,54.2963,1682487.0
2020-10-20,54.3373,54.857,53.9843,54.6133,585476.0
2020-10-19,54.0124,54.1294,53.3397,54.4449,835193.0
2020-10-16,54.0602,54.4162,53.1172,54.851,1155181.0
2020-10-15,56.1413,57.0498,55.9474,55.3067,893228.0
2020-10-14,55.0491,55.5445,54.6529,55.0491,1005009.0
2020-10-13,53.8534,54.3338,52.9214,54.6826,1406024.0
2020-10-12,55.2659,56.0872,54.4543,55.9605,1266780.0
2020-10-09,56.9027,57.5923,56.473,56.654,1683993.0
2020-10-08,58.582,61.325,58.2485,56.2181,2232620.0
2020-10-07,53.752,54.3205,53.6722,53.5731,1352118.0
2020-10-06,51.746,51.9436,50.2219,53.0976,1246624.0
2020-10-05,55.8663,57.0756,55.7681,54.6925,825869.0
2020-10-02,53.7512,55.1558,53.5273,53.0283,704442.0
2020-10-01,53.3565,54.102,52.9863,53.0877,959797.0
2020-09-30,51.4189,51.7109,50.4711,52.3051,1353613.0
2020-09-29,53.6357,54.7824,53.5351,53.2264,921155.0
2020-09-28,53.2804,54.1281,53.1896,52.7905,1719764.0
2020-09-25,51.2584,51.5703,50.6929,51.6711,1911073.0
2020-09-24,53.616,55.0313,53.4518,52.5032,1735706.0
2020-09-23,50.3903,51.3265,49.4542,51.3145,1337367.0
2020-09-22,53.012,54.076,52.9507,52.1664,1096394.0
2020-09-21,50.8158,51.0483,49.7118,51.3937,1325851.0
2020-09-18,52.7311,53.5035,52.5528,52.741,2328675.0
2020-09-17,53.9081,56.2109,53.2131,52.6815,1947952.0
2020-09-16,51.917,53.0194,51.724,51.265,924587.0
2020-09-15,51.0987,51.9263,51.0578,50.3139,931370.0
2020-09-14,50.3726,51.6451,50.2902,49.3927,782839.0
2020-09-11,48.5018,49.1005,48.5018,48.3228,684811.0
2020-09-10,48.0356,48.5227,47.7076,47.9563,811473.0
2020-09-09,48.3996,49.1513,48.3996,47.7978,1159258.0
2020-09-08,45.809,45.8279,44.7847,46.817,1094447.0
2020-09-04,47.6835,48.0818,46.9744,48.1544,568369.0
2020-09-03,47.0022,47.2553,45.4833,48.3129,632872.0
2020-09-02,50.5249,51.6195,50.3766,49.7196,902442.0
2020-09-01,49.2571,49.6697,48.8243,48.8676,778041.0
2020-08-31,48.079,48.4099,47.4952,48.511,1196771.0
2020-08-28,48.9469,49.076,48.4903,48.8974,780562.0
2020-08-27,48.084,48.084,47.2645,48.7389,772062.0
2020-08-26,49.0063,49.3034,48.6102,49.0162,688096.0
2020-08-25,48.604,48.604,47.7183,49.036,491658.0
2020-08-24,49.7444,50.3813,49.6635,49.2441,478473.0
2020-08-21,48.3135,48.3135,47.8022,48.4912,719174.0
2020-08-20,48.5903,48.7089,48.2344,48.6398,710130.0
2020-08-19,48.8778,49.1489,48.7004,48.9964,658861.0
2020-08-18,48.7701,49.015,48.4077,49.0459,617530.0
2020-08-17,49.0664,49.391,48.7517,49.2441,666131.0
2020-08-14,50.0684,51.0699,49.7241,49.2936,770487.0
2020-08-13,48.0323,48.1,47.2195,48.6002,541485.0
2020-08-12,49.4424,49.9308,49.0379,49.5413,658583.0
2020-08-11,49.8342,51.0183,49.8342,49.3035,1220490.0
2020-08-10,48.1355,48.2043,47.2618,48.3525,699208.0
2020-08-07,48.8108,49.1828,48.3283,48.4516,797429.0
2020-08-06,48.6449,49.4439,48.6348,48.1445,997647.0
2020-08-05,47.4119,47.4218,46.6739,47.5699,1105311.0
2020-08-04,47.2346,47.3423,46.7056,47.5006,1190936.0
2020-08-03,48.0159,48.8913,47.7871,47.9166,1030073.0
2020-07-31,46.986,47.4188,45.3512,47.6888,2758750.0
2020-07-30,44.4981,44.4981,41.1956,48.0058,3136954.0
2020-07-29,53.351,54.6012,53.351,52.5402,1071465.0
2020-07-28,51.2794,51.6606,51.035,51.4953,1136463.0
2020-07-27,53.6713,55.6181,53.462,52.0868,1522724.0
2020-07-24,50.6971,51.1131,50.4198,50.5786,929149.0
2020-07-23,50.6482,51.6211,50.5489,50.4702,635292.0
2020-07-22,50.1747,50.626,49.8902,50.2927,593194.0
2020-07-21,50.8198,51.5936,50.8198,50.3321,886354.0
2020-07-20,49.8591,50.1657,49.7503,49.7801,636236.0
2020-07-17,49.3603,49.4668,48.8279,49.8097,607583.0
2020-07-16,50.2043,50.6797,49.7685,50.0857,823542.0
2020-07-15,49.9972,50.4423,49.5817,49.9083,1303161.0
2020-07-14,50.7846,52.4113,50.4803,49.2183,729815.0
2020-07-13,47.7298,48.2217,47.5528,47.7791,1042998.0
2020-07-10,48.0498,48.9645,47.9392,47.5819,866189.0
2020-07-09,46.8033,47.206,46.3713,46.8919,1013417.0
2020-07-08,46.9519,47.1181,46.4243,47.158,874212.0
2020-07-07,47.5447,48.2744,47.5148,47.2172,962697.0
2020-07-06,47.3552,47.9072,47.0989,47.3552,779431.0
2020-07-02,46.973,47.7528,46.7231,46.6455,1072848.0
2020-07-01,44.6185,44.6185,43.4974,45.64,938589.0
2020-06-30,47.3323,48.5606,47.2299,46.4483,1091634.0
2020-06-29,47.3587,49.2471,47.327,45.778,1030970.0
2020-06-26,43.8065,44.5356,43.4617,43.8164,2639296.0
2020-06-25,43.906,43.945,42.8704,44.1022,1552237.0
2020-06-24,42.6154,42.724,40.8408,44.467,1369949.0
2020-06-23,46.6166,46.822,46.2546,46.7933,967032.0
2020-06-22,46.5864,47.0412,45.8251,46.5173,667416.0
2020-06-19,45.3407,45.5086,43.6528,46.6159,1458066.0
2020-06-18,47.7247,48.5193,47.4632,47.2468,1102475.0
2020-06-17,46.4935,46.6092,45.8957,47.0102,825888.0
2020-06-16,46.2887,46.9145,44.8855,47.1975,1079013.0
2020-06-15,48.7297,50.8304,48.5494,46.9708,940414.0
2020-06-12,45.2401,45.3625,43.215,46.2807,1163500.0
2020-06-11,45.5398,45.7702,44.7816,46.1526,1167213.0
2020-06-10,46.8863,46.953,46.0577,47.7002,1302594.0
2020-06-09,47.7535,48.1442,46.8101,48.5677,1709556.0
2020-06-08,49.1975,49.9847,48.1257,50.1547,1618597.0
2020-06-05,51.6761,52.4977,51.5559,51.2587,2078491.0
2020-06-04,51.1644,52.5455,51.154,49.8491,1705073.0
2020-06-03,50.7584,52.5779,50.6637,49.1394,1224811.0
2020-06-02,47.6051,48.0163,47.3344,47.1975,1017829.0
2020-06-01,46.4589,46.586,45.9211,46.6455,1067091.0
2020-05-29,47.8401,48.9515,47.3462,46.8229,2662033.0
2020-05-28,45.103,45.3882,44.0857,45.9259,2323242.0
2020-05-27,48.3604,50.3617,48.2965,46.537,2183277.0
2020-05-26,45.8159,47.9033,45.6994,44.191,1639206.0
2020-05-22,41.0446,41.0446,40.1721,41.6182,1103520.0
2020-05-21,42.4797,43.153,42.4596,42.0716,835324.0
2020-05-20,41.8055,42.0415,41.4023,41.8547,1269438.0
2020-05-19,40.083,40.12,38.8067,41.3816,1653620.0
2020-05-18,44.6773,46.8603,44.6559,42.8799,1576727.0
2020-05-15,40.2423,41.8318,40.2423,39.834,4775295.0
2020-05-14,40.4489,41.2775,39.3952,39.7058,1651404.0
2020-05-13,37.6401,37.7121,35.7248,39.4101,1763485.0
2020-05-12,39.7062,39.7062,37.981,41.4802,1545540.0
2020-05-11,42.9035,42.9035,42.3619,43.3136,893818.0
2020-05-08,45.0364,46.1441,44.9953,44.1515,1156876.0
2020-05-07,42.1861,42.3112,41.0889,42.6926,1308078.0
2020-05-06,43.668,45.0488,43.3838,43.0278,1370491.0
2020-05-05,41.3043,41.5672,40.2235,41.559,1460544.0
2020-05-04,42.1343,42.9825,41.8278,41.3816,2002297.0
