date,Open,High,Low,Close,Volume
2021-02-12,26.4828,27.2147,26.2842,25.9,569586.0
2021-02-11,25.47,26.2432,25.3503,25.5,1329029.0
2021-02-10,24.5,25.2298,23.5115,25.49,910011.0
2021-02-09,26.46,26.7798,25.6806,26.47,666564.0
2021-02-08,26.7911,27.4435,26.2846,26.62,695869.0
2021-02-05,25.4215,25.6009,24.2788,26.16,997576.0
2021-02-04,26.4508,27.1183,26.1641,26.6,1054449.0
2021-02-03,27.0132,27.7494,26.6315,26.72,488331.0
2021-02-02,26.65,27.1792,26.3604,26.67,536748.0
2021-02-01,26.9215,27.8641,26.1273,26.16,557299.0
2021-01-29,24.8159,25.0584,23.691,25.2,852278.0
2021-01-28,26.1773,26.984,25.8567,25.74,690970.0
2021-01-27,23.7189,23.7189,22.2688,24.68,983709.0
2021-01-26,25.0474,25.1282,23.5756,26.44,586888.0
2021-01-25,27.1155,27.4094,25.3168,27.5,649611.0
2021-01-22,27.9709,28.4752,27.6446,28.13,600513.0
2021-01-21,28.2035,28.4429,27.3703,28.82,731125.0
2021-01-20,29.5721,30.0343,28.9427,29.82,479916.0
2021-01-19,29.4795,30.097,28.3409,30.01,1322341.0
2021-01-15,31.154,32.0743,30.6885,30.29,795533.0
2021-01-14,30.6636,31.6244,30.5103,30.33,738995.0
2021-01-13,29.1959,29.5021,28.6223,29.61,418058.0
2021-01-12,30.1952,30.9755,29.8461,29.8,1143562.0
2021-01-11,29.6558,30.3656,29.5735,29.24,387054.0
2021-01-08,29.6804,30.6375,29.0155,29.57,755660.0
2021-01-07,28.441,29.603,27.2321,29.38,938955.0
2021-01-06,30.5875,31.7742,30.4533,30.11,1104294.0
2021-01-05,30.2346,31.707,30.2346,28.95,621163.0
2021-01-04,25.6095,25.8713,23.4733,27.87,726812.0
2020-12-31,30.0623,30.8255,29.5331,29.8,1983794.0
2020-12-30,30.1729,31.6638,30.1729,29.55,1711943.0
2020-12-29,29.3275,30.9281,28.9537,28.86,1475615.0
2020-12-28,29.1203,29.6271,28.5438,29.21,1186590.0
2020-12-24,29.6687,30.4141,29.3323,29.16,700247.0
2020-12-23,28.67,29.1,28.37,28.67,724289.0
2020-12-22,28.1045,28.1045,27.3731,28.46,892509.0
2020-12-21,29.5059,30.2501,29.3697,28.82,993520.0
2020-12-18,27.9455,28.068,26.9845,28.79,2155522.0
2020-12-17,28.6601,29.0018,27.6542,29.42,1276490.0
2020-12-16,29.0635,29.113,27.8249,29.89,1099254.0
2020-12-15,30.2722,30.3902,29.5741,30.53,961258.0
2020-12-14,29.6705,29.6705,28.7939,30.23,753212.0
2020-12-11,30.3301,31.3126,30.0794,30.29,629378.0
2020-12-10,31.2979,32.062,30.668,30.8,505873.0
2020-12-09,30.1657,30.7398,29.1829,30.58,989420.0
2020-12-08,32.7674,35.3065,32.5835,30.57,808087.0
2020-12-07,26.9049,26.9223,24.6898,28.81,992940.0
2020-12-04,32.3884,34.2012,32.0368,30.9,1125830.0
2020-12-03,28.9904,29.3378,28.6033,29.1,420712.0
2020-12-02,28.5709,28.5709,27.4839,29.13,576357.0
