date,Open,High,Low,Close,Volume
2021-02-12,159.5877,161.575,156.1392,161.69,551738.0
2021-02-11,164.5106,165.0386,163.1061,164.83,468505.0
2021-02-10,164.6202,164.7699,163.2334,164.81,471186.0
2021-02-09,164.4158,165.6151,163.5151,163.44,569410.0
2021-02-08,159.5352,159.7963,155.8212,162.22,686528.0
2021-02-05,165.8745,167.269,164.4598,165.01,478904.0
2021-02-04,163.6647,165.353,162.8455,163.4751,599429.0
2021-02-03,164.8202,166.8443,163.8335,163.5648,776428.0
2021-02-02,164.1443,168.3199,163.6578,162.7774,766328.0
2021-02-01,161.8754,164.8382,160.8878,160.9834,693721.0
2021-01-29,158.8614,161.0242,156.2479,158.4917,1114572.0
2021-01-28,162.048,167.806,161.8107,159.2592,827693.0
2021-01-27,154.7479,155.4424,152.0186,156.1994,963264.0
2021-01-26,157.8494,158.4108,156.2635,158.7808,1056380.0
2021-01-25,161.004,163.6861,160.0183,160.6745,928148.0
2021-01-22,160.8453,162.1235,159.4217,160.3754,674156.0
2021-01-21,158.2024,159.0656,155.0888,160.3655,785324.0
2021-01-20,167.1327,172.0138,166.4609,162.8572,1051009.0
2021-01-19,157.2012,157.2891,154.1418,158.7409,873057.0
2021-01-15,161.3717,164.178,160.7982,159.1894,946567.0
2021-01-14,155.9746,156.131,153.7746,157.4751,712384.0
2021-01-13,162.3,167.0674,161.9165,159.1595,898242.0
2021-01-12,155.1647,157.4707,152.839,155.711,1128616.0
2021-01-11,156.3992,157.5895,154.2987,156.1196,812295.0
2021-01-08,161.489,167.0953,160.8625,156.4585,1367382.0
2021-01-07,149.8905,150.5723,147.8451,151.6246,851584.0
2021-01-06,152.4341,154.3925,151.2089,151.8539,1206211.0
2021-01-05,151.1784,152.193,149.5712,150.5881,867604.0
2021-01-04,146.5321,146.7755,141.8459,149.7409,1378885.0
2020-12-31,155.8855,159.0013,155.4921,152.9602,521957.0
2020-12-30,149.861,150.6555,149.2254,150.1296,361819.0
2020-12-29,150.1695,151.255,149.318,150.2293,685145.0
