date,Open,High,Low,Close,Volume
2021-02-12,1142.1974,1157.2895,1134.4677,1146.65,191141.0
2021-02-11,1092.8976,1099.4317,1028.1073,1150.42,366368.0
2021-02-10,1190.5895,1190.6666,1167.4363,1212.67,204740.0
2021-02-09,1224.0401,1237.324,1216.8345,1224.32,197715.0
2021-02-08,1229.4867,1243.4294,1228.7614,1224.95,161199.0
2021-02-05,1210.4326,1212.7147,1195.5593,1220.43,230950.0
2021-02-04,1241.1265,1266.8695,1239.8957,1220.39,207413.0
2021-02-03,1201.3985,1217.131,1194.4905,1194.6,160540.0
2021-02-02,1228.1479,1276.8965,1228.1479,1193.67,232119.0
2021-02-01,1194.7076,1240.8817,1191.7766,1159.33,292693.0
2021-01-29,1092.3594,1094.296,1060.5998,1118.37,349121.0
2021-01-28,1156.0669,1181.3983,1151.889,1146.64,402370.0
2021-01-27,1091.5776,1096.0093,1028.2343,1137.21,555001.0
2021-01-26,1188.8672,1191.6257,1165.8279,1194.55,251387.0
2021-01-25,1165.8612,1165.8707,1121.0036,1196.04,322572.0
2021-01-22,1213.0931,1213.0931,1197.4383,1227.16,181321.0
2021-01-21,1253.5203,1265.6829,1250.4911,1246.41,204567.0
2021-01-20,1240.7905,1246.1625,1227.8436,1239.98,168792.0
2021-01-19,1228.6555,1232.3277,1211.1216,1238.29,230836.0
2021-01-15,1253.7131,1260.1583,1248.8313,1248.33,257431.0
2021-01-14,1230.412,1231.0535,1207.5315,1248.02,184055.0
2021-01-13,1242.1604,1244.2129,1219.0284,1259.44,237305.0
2021-01-12,1298.6701,1331.4796,1297.2954,1282.15,249578.0
2021-01-11,1282.5579,1303.8622,1280.6371,1265.46,207743.0
2021-01-08,1257.0939,1265.9224,1249.1613,1252.92,208817.0
2021-01-07,1264.0671,1285.4218,1254.2388,1246.04,216054.0
2021-01-06,1286.5742,1348.3392,1286.5742,1229.7,270199.0
2021-01-05,1184.8773,1197.5842,1173.1075,1180.35,185261.0
2021-01-04,1177.2484,1184.5493,1160.4188,1180.4,277574.0
2020-12-31,1197.4199,1211.592,1192.757,1185.44,168568.0
2020-12-30,1174.1326,1184.796,1171.8194,1175.87,146096.0
2020-12-29,1162.0748,1166.9575,1142.6315,1177.12,213824.0
2020-12-28,1175.0235,1185.216,1151.9692,1192.62,213812.0
2020-12-24,1212.5573,1224.795,1203.6249,1204.22,82345.0
2020-12-23,1198.2834,1216.3627,1190.0407,1192.99,180301.0
2020-12-22,1188.3429,1192.3504,1173.9975,1190.19,205064.0
2020-12-21,1208.8605,1228.3874,1197.6054,1192.91,249753.0
2020-12-18,1183.1213,1192.6309,1177.2091,1181.9,443420.0
