date,Open,High,Low,Close,Volume
2021-02-12,106.1832,107.8059,102.6243,105.0,544445.0
2021-02-11,96.7216,97.0661,88.1127,104.66,536020.0
2021-02-10,101.7463,103.7579,90.5466,108.56,811220.0
2021-02-09,110.7088,112.8576,105.021,115.4,825044.0
2021-02-08,123.0427,131.7647,120.7895,120.75,1189561.0
2021-02-05,127.5706,145.5054,121.3591,116.16,1470884.0
2021-02-04,108.6202,113.835,105.2377,104.32,659888.0
2021-02-03,96.3716,102.61,91.9532,99.5,1280336.0
2021-02-02,98.01,98.9509,94.462,99.0,755468.0
2021-02-01,97.0085,97.3004,91.4727,98.35,713887.0
2021-01-29,97.6349,101.6944,95.359,96.43,849737.0
2021-01-28,107.5449,117.8264,107.4095,99.89,1218670.0
2021-01-27,94.0649,101.9141,81.8365,92.01,1764373.0
2021-01-26,78.7285,79.4438,68.4529,89.77,1400238.0
2021-01-25,103.7449,107.9349,101.1634,102.5,789639.0
2021-01-22,103.1483,107.4462,99.5811,99.51,970894.0
2021-01-21,84.6937,86.0062,76.0747,92.63,2226784.0
2021-01-20,95.0919,96.821,86.71,102.27,1093998.0
2021-01-19,100.9539,102.3721,90.7682,108.89,1450104.0
2021-01-15,111.6571,119.8236,103.276,113.04,1203130.0
2021-01-14,127.0338,145.0959,126.6691,111.32,926269.0
2021-01-13,98.7873,103.0704,98.421,97.94,660653.0
2021-01-12,97.684,99.1426,93.9752,97.06,587716.0
2021-01-11,86.9711,87.1591,77.3057,94.08,790656.0
2021-01-08,104.942,124.6519,104.49,101.67,1768778.0
2021-01-07,112.6433,128.9607,112.6433,98.63,980968.0
2021-01-06,88.2712,95.6694,85.4241,85.0,691489.0
2021-01-05,88.1158,95.1356,87.8851,84.07,703930.0
2021-01-04,84.6676,87.1254,79.4614,83.14,994464.0
2020-12-31,79.898,80.76,76.7852,81.64,936198.0
2020-12-30,75.9486,75.9655,66.3089,82.52,1505382.0
2020-12-29,81.8485,84.0603,70.5758,88.67,1224798.0
2020-12-28,100.938,107.3985,98.263,95.63,1007903.0
2020-12-24,84.7897,85.3207,79.9632,87.84,308588.0
2020-12-23,92.549,96.1242,86.6077,90.65,831872.0
2020-12-22,77.8519,77.8519,62.6528,88.52,1410197.0
2020-12-21,111.9146,144.9216,106.4608,89.14,2004154.0
2020-12-18,71.5099,75.5803,69.9101,72.35,3280984.0
2020-12-17,72.3422,74.3873,69.4644,72.1,860343.0
2020-12-16,65.8356,66.4393,55.0814,72.15,1596423.0
2020-12-15,70.6033,71.3795,63.3869,77.7,997401.0
2020-12-14,88.8889,95.2405,87.531,83.91,853047.0
2020-12-11,79.8066,81.5444,76.0092,78.35,676030.0
2020-12-10,83.6642,96.2038,82.768,77.5,1156815.0
2020-12-09,75.1192,79.3202,73.2686,72.84,828612.0
2020-12-08,83.5429,94.2654,82.0417,75.26,1018482.0
2020-12-07,75.0915,85.075,74.9376,67.68,984645.0
2020-12-04,61.1494,63.347,59.7024,60.06,773679.0
2020-12-03,59.6531,61.3907,58.5709,58.48,410143.0
2020-12-02,60.632,65.0447,57.7688,57.22,589190.0
2020-12-01,58.7014,64.678,58.3006,54.86,934822.0
2020-11-30,51.9211,54.1748,48.5755,50.0,731620.0
2020-11-27,50.7026,54.1431,50.0182,47.66,645142.0
2020-11-25,48.2764,52.6875,47.8797,44.69,599769.0
2020-11-24,40.6504,40.8513,37.9907,41.56,390846.0
2020-11-23,42.7924,43.5539,42.0107,42.47,398351.0
2020-11-20,43.9751,46.5861,43.1047,41.63,595599.0
2020-11-19,40.5776,42.2749,40.169,39.52,423332.0
2020-11-18,37.4536,38.4539,36.5807,37.82,334021.0
2020-11-17,38.9823,40.423,38.4226,38.29,400553.0
2020-11-16,37.264,38.0397,36.1205,36.88,435150.0
2020-11-13,37.6182,39.0443,37.3408,36.42,425900.0
2020-11-12,31.8025,34.0667,28.4232,34.34,1123462.0
2020-11-11,37.7702,40.9949,36.5725,37.86,1115843.0
2020-11-10,39.2313,40.9441,38.0389,37.68,416146.0
2020-11-09,36.7509,37.8402,36.3448,36.93,438155.0
2020-11-06,35.7638,35.7638,34.0001,36.13,344447.0
2020-11-05,37.6075,39.4562,36.9209,36.59,287916.0
2020-11-04,35.4821,37.1445,34.9896,35.21,457100.0
2020-11-03,33.1647,33.648,31.478,34.07,654680.0
2020-11-02,34.8512,36.7328,33.7485,34.65,676368.0
2020-10-30,32.2627,32.6193,29.4189,34.17,721613.0
2020-10-29,35.4508,35.4604,32.9867,36.31,396932.0
2020-10-28,35.4137,35.8754,33.0669,36.11,673517.0
2020-10-27,40.4683,43.4523,40.323,38.28,626389.0
2020-10-26,33.2405,33.7349,28.5997,35.69,990632.0
2020-10-23,39.6726,42.0653,37.9322,37.89,1117650.0
2020-10-22,37.4283,39.8724,35.8841,35.51,1608759.0
2020-10-21,27.0232,27.3794,24.3805,29.69,469173.0
2020-10-20,29.0468,29.4493,27.4004,30.54,338637.0
2020-10-19,30.4839,31.0874,28.8107,31.88,317105.0
2020-10-16,32.2246,33.3769,31.1895,32.61,812283.0
2020-10-15,39.1661,48.6639,38.9538,32.92,858577.0
2020-10-14,27.6183,28.3691,26.839,28.33,277956.0
2020-10-13,29.4611,30.553,29.3758,28.89,248100.0
2020-10-12,27.684,28.0237,26.0191,28.5,340774.0
2020-10-09,30.4131,32.0171,30.2848,29.41,317380.0
2020-10-08,27.6276,27.6339,26.312,28.5,374508.0
2020-10-07,29.0654,30.0931,28.4693,28.67,567300.0
2020-10-06,30.8729,35.4975,30.8729,27.39,971456.0
2020-10-05,24.8657,26.1964,24.6311,23.85,802090.0
2020-10-02,20.6263,21.0649,19.035,22.24,824746.0
2020-10-01,24.5303,25.7896,22.3896,24.44,2871879.0
2020-09-30,24.5204,24.8874,23.8558,24.62,616209.0
2020-09-29,24.5709,24.9463,23.8892,24.72,787778.0
2020-09-28,26.7012,26.7703,25.7539,26.88,226610.0
2020-09-25,27.4157,28.2973,27.1848,26.76,165339.0
2020-09-24,26.3833,27.4212,25.6163,26.09,214753.0
2020-09-23,24.5647,24.6534,23.0133,26.09,302377.0
2020-09-22,26.1183,26.3566,23.1702,27.8,608380.0
2020-09-21,30.1928,31.053,29.4891,29.57,635521.0
2020-09-18,30.5496,32.1906,29.764,29.45,3838623.0
2020-09-17,28.38,29.9189,27.9803,28.39,643223.0
2020-09-16,29.445,31.0151,29.445,28.78,684768.0
2020-09-15,28.245,29.1283,27.7417,27.87,504423.0
2020-09-14,28.6251,30.224,28.4046,27.26,604958.0
2020-09-11,25.4515,26.2884,24.7919,25.65,361699.0
2020-09-10,26.0131,27.3418,25.4305,25.73,471417.0
2020-09-09,27.5708,30.753,27.315,25.16,439022.0
2020-09-08,23.0865,24.8282,23.0126,22.47,553535.0
2020-09-04,20.0652,20.2426,17.9467,21.83,1295106.0
2020-09-03,21.8817,21.9153,19.6492,23.93,602869.0
2020-09-02,26.4219,26.8795,25.7405,26.2,383221.0
2020-09-01,27.2902,28.9276,27.2902,26.12,509033.0
2020-08-31,24.9906,26.5754,24.8519,25.11,569101.0
2020-08-28,25.7026,26.5098,25.5115,24.94,336940.0
2020-08-27,24.0916,24.1586,23.3595,24.62,313542.0
2020-08-26,24.5549,24.9645,23.6691,25.16,321370.0
2020-08-25,26.1845,26.9547,25.7533,25.84,479830.0
2020-08-24,25.2855,26.6178,24.5476,25.66,736475.0
2020-08-21,27.016,28.5241,26.542,26.03,612974.0
2020-08-20,25.7878,26.4609,25.7043,25.34,255483.0
2020-08-19,25.0604,25.9533,23.8302,25.16,801386.0
2020-08-18,27.6123,29.9801,27.2757,25.63,937480.0
2020-08-17,23.063,23.7281,22.8379,22.8,713320.0
2020-08-14,22.6108,22.9345,21.5839,22.48,537983.0
2020-08-13,22.7138,23.5041,22.4777,22.42,781481.0
2020-08-12,20.6574,21.0443,18.9295,22.28,783681.0
2020-08-11,23.0064,23.4523,22.3612,23.62,438389.0
2020-08-10,23.7162,23.7259,23.1036,24.1,655139.0
2020-08-07,22.0513,22.0601,20.374,23.47,799282.0
2020-08-06,22.1448,22.3895,18.7598,24.52,3152827.0
2020-08-05,22.5855,24.1963,21.9659,21.28,795287.0
2020-08-04,19.3204,19.5694,18.6566,19.41,610167.0
2020-08-03,17.4488,17.4488,15.8135,19.005,701510.0
2020-07-31,18.2456,18.6569,16.9595,19.34,289319.0
2020-07-30,20.7468,21.639,20.6431,20.37,192285.0
2020-07-29,20.1196,20.4732,19.4972,20.56,136415.0
2020-07-28,20.0033,20.0532,19.1541,20.82,176904.0
2020-07-27,21.6307,22.1565,21.3752,21.51,231192.0
2020-07-24,20.6144,20.7472,19.7887,21.16,122261.0
2020-07-23,21.3071,21.9312,20.5527,21.91,161306.0
2020-07-22,22.7015,23.2502,22.4576,22.52,128471.0
2020-07-21,21.5078,21.9085,20.467,22.41,166870.0
2020-07-20,22.4735,22.6612,21.1223,23.2,204111.0
2020-07-17,23.6002,24.1175,22.8937,23.66,159628.0
2020-07-16,23.0224,23.0506,21.7151,23.74,388931.0
2020-07-15,23.2671,23.7755,21.397,24.42,394024.0
2020-07-14,25.1501,26.0595,23.241,25.09,628029.0
2020-07-13,22.7901,23.1143,20.7341,25.03,271819.0
2020-07-10,23.2734,23.2734,19.8923,26.73,470313.0
2020-07-09,32.0043,33.9771,31.1548,30.57,341191.0
2020-07-08,29.2825,30.1791,28.7782,29.01,160684.0
2020-07-07,27.9172,28.8503,26.9841,28.61,181662.0
2020-07-06,29.4902,31.128,29.2892,29.42,320815.0
2020-07-02,28.7406,29.1271,27.7693,28.87,176736.0
2020-07-01,28.8336,29.5905,28.2608,28.51,236995.0
2020-06-30,28.6969,29.8209,28.2032,28.0,236403.0
2020-06-29,28.3905,29.5168,27.4154,27.46,228976.0
2020-06-26,23.4907,23.73,21.4962,24.95,343772.0
2020-06-25,26.8237,27.5608,26.4653,26.51,126636.0
2020-06-24,25.9036,26.9195,25.1711,26.21,224730.0
2020-06-23,23.8862,24.7648,21.3654,26.36,568577.0
2020-06-22,30.8679,34.7308,30.2067,28.66,556382.0
2020-06-19,27.7886,29.1148,26.6385,27.3,1179616.0
2020-06-18,27.7801,29.5525,27.2784,26.6,628919.0
2020-06-17,24.1794,24.2239,21.4247,25.65,717779.0
2020-06-16,26.4802,26.4802,25.502,27.0,281813.0
2020-06-15,29.4254,32.8604,29.4254,26.85,419603.0
2020-06-12,23.7044,23.7044,21.8886,24.94,239829.0
2020-06-11,24.952,25.3255,23.985,25.5,225299.0
2020-06-10,25.7482,25.9244,24.1627,26.74,190372.0
2020-06-09,28.0731,28.5735,27.4603,27.78,128566.0
2020-06-08,29.168,31.3981,28.8699,27.76,314028.0
2020-06-05,23.6863,23.8219,21.6185,25.73,208961.0
2020-06-04,26.6738,26.9415,25.4022,27.28,225649.0
2020-06-03,28.2707,29.1393,27.3314,28.13,246155.0
2020-06-02,30.0421,32.428,29.2678,28.05,236420.0
2020-06-01,26.7731,28.436,26.0724,26.18,227965.0
2020-05-29,26.1225,26.9222,25.0406,25.55,271132.0
2020-05-28,25.3544,27.1515,24.5226,25.02,244945.0
2020-05-27,24.6401,24.8811,22.5918,24.59,140460.0
2020-05-26,22.4039,23.1507,19.4422,24.32,286928.0
2020-05-22,24.8442,24.9524,23.0575,25.62,321275.0
2020-05-21,27.0908,28.3402,26.6535,26.55,263027.0
2020-05-20,27.3209,31.0854,27.0928,25.58,365114.0
2020-05-19,25.2845,28.049,25.2845,23.51,311030.0
2020-05-18,20.5253,21.7021,19.2573,21.49,299122.0
2020-05-15,23.471,26.4394,23.1345,21.41,211707.0
2020-05-14,18.2299,18.3347,16.8155,19.51,271603.0
2020-05-13,22.8637,27.7344,22.3957,21.4,491398.0
2020-05-12,19.3205,20.521,17.6417,19.95,335987.0
2020-05-11,25.334,31.125,25.1394,20.71,433338.0
2020-05-08,16.7315,16.8787,16.388,16.89,80080.0
2020-05-07,17.5486,18.8409,17.4183,16.84,165805.0
2020-05-06,15.8145,16.0079,15.3308,16.08,150827.0
2020-05-05,16.6414,17.0284,16.3053,16.49,179853.0
2020-05-04,16.4707,17.2571,16.1648,15.76,128072.0
2020-05-01,14.9617,15.1131,14.2046,15.38,185838.0
2020-04-30,15.2886,15.4356,14.3331,15.95,239896.0
2020-04-29,17.0413,17.9168,16.797,16.89,195780.0
2020-04-28,15.8149,16.182,14.7417,16.3,221618.0
2020-04-27,14.8581,15.2686,13.3311,16.53,246711.0
2020-04-24,18.4241,19.0197,18.3416,18.15,220844.0
2020-04-23,18.7215,20.5702,18.5989,17.74,213937.0
2020-04-22,16.9448,17.5738,16.3655,16.66,123684.0
2020-04-21,15.7097,15.7097,14.929,16.1,169282.0
2020-04-20,17.1503,18.1693,16.9465,16.56,345397.0
2020-04-17,15.3554,15.4662,14.4598,15.98,190818.0
2020-04-16,16.1102,16.1102,15.2298,16.17,139010.0
2020-04-15,15.0482,15.2184,14.0334,15.9,125434.0
2020-04-14,17.6597,18.4196,17.3279,17.07,296445.0
2020-04-13,15.4937,15.4937,14.651,16.1,164839.0
2020-04-09,16.4126,16.7734,15.6812,16.62,179661.0
2020-04-08,17.3872,18.1243,16.7368,16.7,145289.0
2020-04-07,14.4483,14.6154,12.9868,15.81,128400.0
2020-04-06,16.7607,17.9838,16.3807,16.65,177498.0
2020-04-03,17.0297,18.4041,16.8732,16.11,227172.0
2020-04-02,14.4459,14.9029,13.4727,15.26,129688.0
2020-04-01,15.0118,15.2633,13.8757,16.12,173844.0
2020-03-31,18.01,19.0241,16.8988,18.0,139598.0
2020-03-30,18.0,18.32,17.22,18.0,106180.0
2020-03-27,17.4506,17.4506,15.9364,18.05,95772.0
2020-03-26,18.5604,19.5147,17.7827,19.0,172332.0
2020-03-25,20.2189,21.7833,18.793,19.6,299791.0
2020-03-24,19.8435,21.5705,19.4252,19.16,222726.0
2020-03-23,16.6938,17.0847,14.6661,18.01,363898.0
2020-03-20,22.048,29.8301,21.9835,19.4,1920885.0
2020-03-19,18.5912,22.3605,18.4818,16.86,279100.0
2020-03-18,16.0211,18.1679,15.8469,15.21,171522.0
2020-03-17,16.4693,19.0276,16.2526,15.01,304848.0
2020-03-16,11.0723,11.3802,8.9962,13.31,380895.0
2020-03-13,15.3332,15.3332,12.4689,17.38,347715.0
2020-03-12,15.97,16.168,13.7462,18.3,411252.0
2020-03-11,20.2313,21.5456,18.8263,21.25,228706.0
2020-03-10,22.4402,23.7979,21.5449,22.5,346924.0
2020-03-09,23.2481,24.7274,22.7507,22.6,178760.0
2020-03-06,23.6908,24.1564,23.6807,23.55,175937.0
2020-03-05,23.3203,23.7836,22.3322,23.81,340811.0
2020-03-04,25.1519,26.3399,25.1519,24.41,281497.0
2020-03-03,23.9169,25.49,23.5547,23.51,366078.0
2020-03-02,22.9403,23.7447,22.4139,23.02,365221.0
2020-02-28,22.0873,22.0873,20.737,22.49,157424.0
2020-02-27,22.412,23.0138,21.7432,22.93,217006.0
2020-02-26,26.3002,28.8226,26.3002,24.45,239694.0
2020-02-25,20.954,21.417,19.2908,22.63,361491.0
2020-02-24,23.4444,23.8855,22.5246,24.2,247678.0
2020-02-21,25.4368,25.4748,23.2885,26.09,397347.0
2020-02-20,25.6064,25.8056,24.2391,26.91,249345.0
2020-02-19,28.5139,29.3842,27.6436,28.18,380876.0
