date,Open,High,Low,Close,Volume
2020-07-20,0.78,0.78,0.78,0.78,150800.0
2020-07-17,0.8005,0.8427,0.7584,0.78,4038400.0
2020-07-16,0.8405,0.914,0.767,0.82,4379000.0
2020-07-15,0.7158,0.7494,0.6316,0.78,5010300.0
2020-07-14,0.6119,0.6179,0.4559,0.79,8859100.0
2020-07-13,1.0043,1.0307,0.9426,1.07,2402700.0
2020-07-10,1.1113,1.1394,0.9899,1.15,2544400.0
2020-07-09,1.1713,1.1994,1.1244,1.21,1509200.0
2020-07-08,1.1142,1.1304,0.9447,1.24,3734300.0
2020-07-07,1.62,1.8605,1.62,1.44,3472600.0
2020-07-06,1.2701,1.3587,1.2307,1.28,2837900.0
2020-07-02,1.1362,1.1709,1.0581,1.22,2273700.0
2020-07-01,1.2512,1.3076,1.1854,1.29,2135600.0
2020-06-30,1.2807,1.3285,1.252,1.31,2127400.0
2020-06-29,1.2116,1.3029,1.0871,1.33,11248100.0
2020-06-26,1.6027,1.7594,1.5425,1.46,7678358.0
2020-06-25,1.1947,1.1947,1.0177,1.27,4466807.0
2020-06-24,1.2557,1.2732,1.124,1.34,3658786.0
2020-06-23,1.3824,1.3824,1.3179,1.44,2362288.0
2020-06-22,1.3941,1.3941,1.2232,1.47,3226057.0
2020-06-19,1.4949,1.4949,1.3337,1.58,5404741.0
2020-06-18,1.6005,1.6777,1.5427,1.63,4320033.0
2020-06-17,1.7212,1.7298,1.5671,1.86,3109391.0
2020-06-16,1.9638,1.9638,1.7986,2.05,2256951.0
2020-06-15,2.0002,2.1179,1.912,2.02,1531493.0
2020-06-12,2.0237,2.0329,1.8489,2.11,1674595.0
2020-06-11,2.1974,2.5242,2.141,2.07,2906868.0
2020-06-10,1.5356,1.5583,1.139,2.04,4746707.0
2020-06-09,2.3571,2.3571,2.039,2.61,3402765.0
2020-06-08,3.3426,3.9616,3.1913,2.85,6007393.0
2020-06-05,2.9281,4.0399,2.8968,2.34,6757630.0
2020-06-04,1.8848,2.0176,1.8404,1.79,2747176.0
2020-06-03,1.8823,2.0836,1.8646,1.73,2422651.0
2020-06-02,1.5122,1.5586,1.4473,1.57,2145383.0
2020-06-01,1.5048,1.5227,1.4152,1.59,2246743.0
2020-05-29,1.5547,1.6176,1.4738,1.64,2092928.0
2020-05-28,1.6403,1.6403,1.4685,1.77,2283779.0
2020-05-27,1.8708,1.8996,1.7653,1.91,3792074.0
2020-05-26,2.0251,2.2528,1.9772,1.85,2568364.0
2020-05-22,1.61,1.7,1.55,1.61,3293393.0
2020-05-21,1.5603,1.5895,1.5017,1.58,1849842.0
2020-05-20,1.5901,1.6296,1.5407,1.6,1631651.0
2020-05-19,1.493,1.5571,1.3739,1.56,2492118.0
2020-05-18,1.5329,1.5605,1.4136,1.6,3031966.0
2020-05-15,1.5138,1.532,1.4051,1.59,1711232.0
2020-05-14,1.5915,1.6064,1.4314,1.64,1988768.0
2020-05-13,1.5438,1.5689,1.402,1.69,1461347.0
2020-05-12,1.62,1.628,1.4499,1.8,1729419.0
2020-05-11,2.0,2.05,1.8899,2.0,816292.0
2020-05-08,2.0853,2.2739,2.0631,1.98,1238825.0
2020-05-07,1.8401,2.0321,1.7693,1.83,2177140.0
2020-05-06,1.9523,2.0177,1.8683,2.02,537863.0
2020-05-05,1.8016,1.8211,1.5676,2.04,1501466.0
2020-05-04,2.4145,2.6877,2.2288,2.31,1166508.0
2020-05-01,2.1511,2.1511,1.9503,2.2,1189443.0
2020-04-30,2.3856,2.6783,2.2089,2.27,1584678.0
2020-04-29,2.3926,2.6994,2.374,2.16,1659453.0
2020-04-28,1.7796,1.8056,1.6059,1.91,1164095.0
2020-04-27,2.1191,2.3253,2.0218,1.98,1226947.0
2020-04-24,1.7505,1.7807,1.6151,1.78,635475.0
2020-04-23,1.8105,1.93,1.7691,1.78,693007.0
2020-04-22,1.6465,1.6731,1.5049,1.75,574665.0
2020-04-21,1.7126,1.7496,1.5923,1.78,870968.0
2020-04-20,1.7826,1.8475,1.6247,1.85,966009.0
2020-04-17,1.7488,1.7693,1.5764,1.93,1083193.0
2020-04-16,1.7798,1.7955,1.5759,2.01,652347.0
2020-04-15,2.3316,2.4477,2.1839,2.27,1003227.0
2020-04-14,2.1959,2.3224,1.9881,2.31,1534451.0
2020-04-13,2.5457,2.8423,2.4141,2.29,1599002.0
2020-04-09,2.2857,2.6645,2.2857,2.0,1973616.0
2020-04-08,1.7302,1.7814,1.6176,1.71,1469689.0
2020-04-07,1.5447,1.6525,1.392,1.63,1539830.0
2020-04-06,1.6015,1.7334,1.5261,1.65,1411488.0
2020-04-03,1.7042,1.8259,1.682,1.62,1109868.0
2020-04-02,1.3653,1.4144,1.2263,1.51,1130911.0
2020-04-01,1.5494,1.558,1.401,1.67,1234992.0
2020-03-31,1.7709,1.9097,1.6847,1.81,996977.0
2020-03-30,1.5608,1.5839,1.3071,1.78,1356187.0
2020-03-27,1.7356,1.7439,1.5687,1.9,1321036.0
2020-03-26,1.8975,1.9525,1.702,2.08,1939986.0
2020-03-25,2.166,2.166,1.9855,2.28,1269618.0
2020-03-24,2.0431,2.0813,1.7153,2.34,1261150.0
2020-03-23,2.6859,2.84,2.3777,2.56,1171342.0
2020-03-20,2.3197,2.3638,2.0482,2.47,2019612.0
2020-03-19,2.8133,3.1938,2.675,2.62,1335079.0
2020-03-18,2.511,2.584,2.188,2.46,1101216.0
