date,Open,High,Low,Close,Volume
2021-02-12,37.5621,37.9682,37.3185,37.28,5472770.0
2021-02-11,37.1003,37.2743,36.4339,37.2,11064819.0
2021-02-10,36.7259,37.0087,35.8872,37.19,7917425.0
2021-02-09,37.4006,38.5902,37.2494,37.25,12895980.0
2021-02-08,39.8707,40.4658,39.6791,39.7,4548094.0
2021-02-05,40.3348,42.4471,40.3348,39.15,4409614.0
2021-02-04,38.29,38.4497,37.7811,38.33,3439151.0
2021-02-03,38.0006,38.3578,37.6589,38.15,2987916.0
2021-02-02,37.8505,38.1214,37.1829,38.48,2896424.0
2021-02-01,38.1274,38.3706,37.4952,38.66,4731688.0
2021-01-29,39.1198,40.0594,38.9959,38.5,16346425.0
2021-01-28,39.6425,41.4087,39.2232,38.2,8108550.0
2021-01-27,35.8637,36.0401,33.5218,36.23,8138319.0
2021-01-26,35.8134,35.9607,34.3492,37.32,4945114.0
2021-01-25,38.8102,38.8967,37.0474,38.89,9176773.0
2021-01-22,39.8225,40.7469,39.7209,39.51,2585157.0
2021-01-21,39.0908,39.0908,37.9393,39.74,4647150.0
2021-01-20,39.6734,39.6734,38.9665,40.04,4654903.0
2021-01-19,40.0427,40.3182,39.5508,40.37,3383135.0
2021-01-15,40.1612,40.1612,39.1433,40.38,4501050.0
2021-01-14,40.2087,40.3932,39.558,40.8,3748908.0
2021-01-13,41.34,41.8091,40.7512,41.38,3948552.0
2021-01-12,41.9208,42.3041,41.4064,41.74,4432893.0
2021-01-11,43.3316,45.4643,43.299,41.57,3761517.0
2021-01-08,40.1863,40.3326,39.0158,40.69,6964362.0
2021-01-07,41.7814,42.5879,41.3575,41.09,7772223.0
2021-01-06,41.8581,43.9772,41.8581,40.05,6211454.0
2021-01-05,38.9039,40.1446,38.6936,37.94,3701498.0
2021-01-04,35.7554,35.7834,34.4781,37.03,4584186.0
2020-12-31,37.8203,38.0113,37.1165,37.72,2096765.0
2020-12-30,38.1547,38.6558,38.0934,37.73,3051046.0
2020-12-29,36.3581,36.5304,35.0952,37.17,3748688.0
2020-12-28,37.4132,38.7091,37.0598,37.76,3040033.0
2020-12-24,37.87,38.1997,37.8101,37.89,1395144.0
2020-12-23,38.2,38.4806,37.8794,38.16,2367643.0
2020-12-22,37.7718,37.9987,37.3476,38.03,3304103.0
2020-12-21,38.9243,39.6618,38.8534,38.3988,2835878.0
2020-12-18,38.7079,38.8178,37.5691,38.668,9683082.0
