date,Open,High,Low,Close,Volume
2021-02-12,10.0404,10.0404,9.8921,10.1,46019.0
2021-02-11,10.0704,10.1,9.9913,10.13,44979.0
2021-02-10,10.16,10.2303,10.0797,10.14,37386.0
2021-02-09,10.0942,10.1541,10.0443,10.0843,69473.0
2021-02-08,10.0644,10.1043,10.0344,10.0544,127987.0
2021-02-05,10.2958,10.5322,10.2958,10.134,48479.0
2021-02-04,9.9449,9.9947,9.9449,9.9449,32035.0
2021-02-03,9.8561,9.8903,9.7436,9.9449,57164.0
2021-02-02,9.9947,9.9947,9.876,10.0245,56895.0
2021-02-01,9.9747,10.0146,9.9449,9.9747,24520.0
2021-01-29,9.8259,9.8259,9.7278,9.8951,47508.0
2021-01-28,9.9949,10.0853,9.9949,9.9499,12874.0
2021-01-27,9.8852,9.9843,9.8356,9.9051,129983.0
2021-01-26,9.8754,9.8754,9.8163,9.925,36151.0
2021-01-25,9.9548,9.9748,9.915,9.9449,26726.0
2021-01-22,9.8357,9.8357,9.7177,9.8951,44742.0
2021-01-21,10.0049,10.0652,10.0049,9.9548,39212.0
2021-01-20,9.9749,10.0552,9.9749,9.9349,13652.0
2021-01-19,9.8555,9.9047,9.7178,9.9051,37333.0
2021-01-15,9.8853,9.8853,9.8261,9.925,15725.0
2021-01-14,9.8952,9.9051,9.8655,9.925,22539.0
2021-01-13,10.035,10.1157,10.0223,9.9648,34127.0
2021-01-12,9.8102,9.8892,9.7905,9.83,54085.0
2021-01-11,9.9095,9.9695,9.9095,9.8697,12384.0
2021-01-08,9.84,9.9188,9.7612,9.8697,66773.0
2021-01-07,9.8598,9.8598,9.8253,9.8796,21738.0
2021-01-06,9.9298,10.0607,9.8895,9.8498,30943.0
2021-01-05,9.7134,9.7252,9.637,9.7706,49792.0
2021-01-04,9.7415,9.7415,9.605,9.8201,53910.0
2020-12-31,9.9093,9.9192,9.8696,9.8994,22911.0
2020-12-30,9.9293,9.9792,9.9293,9.8895,35063.0
2020-12-29,9.8499,9.8696,9.8251,9.8598,22853.0
2020-12-28,9.9694,10.05,9.9392,9.8895,332012.0
2020-12-24,9.85,9.89,9.85,9.8102,9319.0
2020-12-23,9.7706,9.7904,9.7014,9.7805,62816.0
2020-12-22,9.8304,9.9235,9.8204,9.7706,28741.0
2020-12-21,9.8204,9.9605,9.7703,9.7706,34897.0
2020-12-18,9.8498,9.8796,9.8201,9.8498,10641.0
2020-12-17,9.7806,9.82,9.7412,9.8102,35274.0
2020-12-16,9.9095,9.9594,9.8196,9.8697,21690.0
2020-12-15,9.9999,10.1522,9.9796,9.8796,29144.0
2020-12-14,9.731,9.8001,9.7112,9.7508,4850.0
2020-12-11,9.7806,9.97,9.7407,9.7508,41918.0
2020-12-10,9.6519,9.671,9.5525,9.721,23673.0
2020-12-09,9.9533,10.0947,9.9341,9.8335,65912.0
2020-12-08,9.9255,10.1097,9.9255,9.7447,25286.0
2020-12-07,9.5282,9.5865,9.4541,9.5968,20437.0
2020-12-04,9.6757,9.7547,9.6347,9.6658,16325.0
2020-12-03,9.6462,9.6958,9.6164,9.6165,19639.0
2020-12-02,9.5277,9.6261,9.4982,9.5376,26920.0
2020-12-01,9.3278,9.3278,9.029,9.5869,31048.0
2020-11-30,9.8343,9.9583,9.7439,9.7447,18408.0
2020-11-27,9.6563,9.7974,9.6563,9.5968,14510.0
2020-11-25,9.5474,9.5573,9.5162,9.5376,1941.0
2020-11-24,9.5871,9.7167,9.5174,9.5376,34575.0
2020-11-23,9.3997,9.4583,9.2138,9.4389,34237.0
2020-11-20,9.5376,9.5474,9.4588,9.5474,38203.0
2020-11-19,9.8626,10.1777,9.8625,9.5573,100449.0
2020-11-18,9.4111,9.5633,9.4111,9.2811,31299.0
2020-11-17,9.1628,9.1924,9.1331,9.1529,36296.0
2020-11-16,9.1924,9.2121,9.1528,9.1825,21209.0
2020-11-13,9.0841,9.0841,8.9963,9.1332,24886.0
2020-11-12,9.2625,9.3633,9.2423,9.1628,57585.0
2020-11-11,9.2129,9.3033,9.2029,9.1332,43001.0
2020-11-10,8.9951,9.0147,8.9559,9.0148,28463.0
2020-11-09,8.9211,8.9211,8.8052,8.9893,29214.0
2020-11-06,8.9795,9.0089,8.9304,8.9795,27685.0
2020-11-05,9.0485,9.1378,8.9939,8.9991,27833.0
2020-11-04,8.9796,9.029,8.9401,8.9501,22911.0
2020-11-03,9.0299,9.1506,9.0048,8.9206,24530.0
2020-11-02,8.7931,8.7931,8.7129,8.8029,31806.0
2020-10-30,8.6655,8.6753,8.6264,8.6851,48092.0
2020-10-29,8.6753,8.7242,8.6558,8.6949,39158.0
2020-10-28,8.6175,8.6175,8.5119,8.7145,113679.0
2020-10-27,8.8354,8.9272,8.8354,8.8127,38725.0
2020-10-26,8.6714,8.6714,8.5801,8.7636,38969.0
2020-10-23,8.8029,8.8615,8.7736,8.8225,41226.0
2020-10-22,8.7363,8.7363,8.5731,8.8716,26277.0
2020-10-21,8.9503,9.0508,8.9503,8.901,37477.0
2020-10-20,8.9503,9.0172,8.9454,8.901,26011.0
2020-10-19,8.7065,8.7065,8.5635,8.8323,89033.0
2020-10-16,8.8491,8.8972,8.7952,8.901,45533.0
2020-10-15,8.9305,8.9402,8.8328,8.9501,30114.0
2020-10-14,8.9894,9.0586,8.9697,8.9599,39835.0
2020-10-13,9.0293,9.1092,9.0293,8.9501,40483.0
2020-10-12,8.8716,8.9502,8.8716,8.8617,37499.0
2020-10-09,8.7349,8.7538,8.6288,8.8127,51100.0
2020-10-08,8.885,9.0615,8.8752,8.8654,17408.0
2020-10-07,8.7876,8.7876,8.662,8.8361,61779.0
2020-10-06,8.7113,8.7491,8.4461,8.8459,68277.0
2020-10-05,8.9251,9.2146,8.9251,8.8263,14906.0
2020-10-02,8.78,8.7823,8.5984,8.8166,22171.0
2020-10-01,8.7385,8.7678,8.67,8.7287,27805.0
2020-09-30,8.6018,8.6801,8.592,8.592,258047.0
2020-09-29,8.4862,8.4862,8.3626,8.6018,38142.0
2020-09-28,8.6506,8.7004,8.5729,8.6701,109200.0
2020-09-25,8.6605,8.7601,8.6211,8.6311,35308.0
2020-09-24,8.4805,8.4925,8.2714,8.6408,32686.0
2020-09-23,8.5475,8.5674,8.3606,8.7385,25410.0
2020-09-22,8.8557,8.9334,8.8265,8.8752,17133.0
2020-09-21,9.0447,9.2276,9.0447,8.8654,27302.0
2020-09-18,8.8459,8.8459,8.7873,8.8459,15552.0
2020-09-17,8.8263,8.8552,8.758,8.8263,15042.0
2020-09-16,8.7545,8.7548,8.664,8.8459,32160.0
2020-09-15,8.7946,8.8489,8.6955,8.8752,21309.0
2020-09-14,8.9099,8.9337,8.8564,8.9243,8337.0
2020-09-11,8.6931,8.6931,8.5053,8.8654,18538.0
2020-09-10,8.9924,9.0387,8.904,8.963,18161.0
2020-09-09,8.8698,8.8716,8.7728,8.8795,24618.0
2020-09-08,8.7437,8.7533,8.6861,8.792,34906.0
2020-09-04,8.9477,9.0778,8.7419,8.9086,26000.0
2020-09-03,8.7343,8.8698,8.6673,8.8018,49774.0
2020-09-02,9.0546,9.1528,8.9368,9.0058,42181.0
2020-09-01,8.9438,8.9535,8.798,8.9408,14833.0
2020-08-31,8.9772,9.0462,8.8884,8.9086,37595.0
2020-08-28,8.7339,8.7917,8.6762,8.7726,21169.0
2020-08-27,8.8699,8.909,8.7916,8.8406,37223.0
2020-08-26,8.9488,9.0682,8.9488,8.8406,27288.0
2020-08-25,8.7727,8.8017,8.6954,8.7969,42083.0
2020-08-24,8.8795,8.9468,8.8503,8.8601,17016.0
2020-08-21,8.8699,8.9481,8.8601,8.8406,13498.0
2020-08-20,8.8699,8.9872,8.8699,8.8406,36703.0
2020-08-19,8.8892,8.9815,8.8892,8.8892,30212.0
2020-08-18,8.8419,8.8419,8.7091,8.9475,6607.0
2020-08-17,9.1623,9.2728,9.1523,9.0641,13825.0
2020-08-14,8.9961,8.9961,8.9117,9.0058,8701.0
2020-08-13,8.8609,8.9038,8.7751,8.9475,26270.0
2020-08-12,8.9962,9.0646,8.9959,8.9669,24707.0
2020-08-11,9.1171,9.2556,9.1171,9.0094,15667.0
2020-08-10,8.9031,8.9419,8.8741,8.8934,36175.0
2020-08-07,8.8495,8.8877,8.7635,8.9003,24615.0
2020-08-06,9.1955,9.3452,9.1955,9.0481,62799.0
2020-08-05,9.0881,9.2465,9.0386,8.9804,46658.0
2020-08-04,8.7787,8.7976,8.6654,8.8838,17790.0
2020-08-03,8.9611,8.9804,8.9033,8.9708,34380.0
2020-07-31,8.9904,9.0392,8.9611,8.9418,19617.0
2020-07-30,9.0011,9.1199,8.9318,8.8934,26552.0
2020-07-29,8.7678,8.9036,8.7387,8.7484,49444.0
2020-07-28,8.6138,8.6138,8.4808,8.6904,48672.0
2020-07-27,8.7872,8.8357,8.6998,8.7678,175750.0
2020-07-24,8.6807,8.7304,8.6039,8.7097,26677.0
2020-07-23,8.7872,8.8239,8.696,8.8161,22500.0
2020-07-22,9.0609,9.2415,9.0268,8.8934,20577.0
2020-07-21,8.8752,9.0185,8.8752,8.7774,14933.0
2020-07-20,8.6498,8.6962,8.6093,8.6518,10979.0
2020-07-17,8.6131,8.7197,8.6131,8.6034,36013.0
2020-07-16,8.7162,8.8008,8.6533,8.6421,26154.0
2020-07-15,8.6521,8.7891,8.6521,8.5986,18226.0
2020-07-14,8.8827,9.0691,8.8273,8.7001,26975.0
2020-07-13,8.4586,8.5161,8.4203,8.4971,27187.0
2020-07-10,8.4972,8.4972,8.4394,8.5164,8881.0
2020-07-09,8.5949,8.7193,8.5949,8.4818,17181.0
2020-07-08,8.4915,8.5011,8.4143,8.4818,19642.0
2020-07-07,8.4052,8.6289,8.4052,8.3568,39855.0
2020-07-06,8.1227,8.14,7.8408,8.3664,45897.0
2020-07-02,8.4637,8.4637,8.2756,8.5588,37696.0
2020-07-01,8.6668,8.7642,8.5207,8.6126,26800.0
2020-06-30,8.7323,8.9294,8.7323,8.5395,19282.0
2020-06-29,8.3857,8.492,8.3084,8.3664,27157.0
2020-06-26,8.2323,8.327,8.1491,8.2991,21262.0
2020-06-25,8.4223,8.4504,8.2984,8.3943,21195.0
2020-06-24,8.1676,8.1704,7.9179,8.328,50209.0
2020-06-23,8.4982,8.5735,8.4596,8.4818,10113.0
2020-06-22,8.4646,8.5225,8.4646,8.4443,7975.0
2020-06-19,8.3493,8.3493,8.3017,8.3914,9738.0
2020-06-18,8.4049,8.4793,8.3953,8.3857,9288.0
2020-06-17,8.319,8.3795,8.2435,8.3953,13437.0
2020-06-16,8.3749,8.3749,8.2052,8.4568,31452.0
2020-06-15,8.4484,8.5446,8.3697,8.403,25079.0
2020-06-12,8.4818,8.502,8.376,8.4818,20174.0
2020-06-11,8.0649,8.0923,7.8465,8.2895,17523.0
2020-06-10,8.8116,8.9711,8.8116,8.6549,13522.0
2020-06-09,8.4107,8.4577,8.2791,8.4865,36123.0
2020-06-08,8.484,8.484,8.3067,8.5899,8802.0
2020-06-05,8.6054,8.6054,8.4804,8.6511,5069.0
2020-06-04,8.6598,8.7376,8.6223,8.6396,31149.0
2020-06-03,8.6889,8.7675,8.6704,8.6253,23551.0
2020-06-02,8.5919,8.7556,8.563,8.5631,18757.0
2020-06-01,8.7966,8.9863,8.7317,8.6109,27098.0
2020-05-29,8.3824,8.422,8.2936,8.343,18457.0
2020-05-28,8.5376,8.7068,8.5077,8.3717,36429.0
2020-05-27,8.3898,8.6858,8.3898,8.123,19315.0
2020-05-26,7.9316,7.9316,7.8455,7.9316,18067.0
2020-05-22,7.9238,8.0716,7.9238,7.8072,11457.0
2020-05-21,7.7213,7.7554,7.6739,7.7594,31002.0
2020-05-20,7.8267,7.9332,7.7685,7.7785,20547.0
2020-05-19,7.6593,7.8097,7.6544,7.6063,13692.0
2020-05-18,7.6643,7.8396,7.6643,7.5967,33896.0
2020-05-15,7.3933,7.3933,7.2871,7.4915,24222.0
2020-05-14,7.6299,7.7313,7.6046,7.5585,6182.0
2020-05-13,7.6159,7.635,7.435,7.635,25211.0
2020-05-12,7.7498,7.8237,7.7211,7.7403,51035.0
2020-05-11,7.8664,7.9846,7.7757,7.7498,40009.0
2020-05-08,7.8395,8.0192,7.8395,7.6733,33456.0
2020-05-07,7.727,7.8749,7.727,7.5915,15756.0
2020-05-06,7.6899,7.8884,7.6899,7.5296,20432.0
2020-05-05,7.392,7.392,7.2417,7.4393,28676.0
2020-05-04,7.2548,7.3455,7.1848,7.2775,44069.0
2020-05-01,7.0926,7.0926,6.7952,7.287,75873.0
2020-04-30,7.1553,7.1553,6.8208,7.4583,53097.0
2020-04-29,7.6598,7.856,7.6598,7.5439,29956.0
2020-04-28,7.3615,7.5509,7.1923,7.4868,51275.0
2020-04-27,7.6515,7.7503,7.5777,7.62,24719.0
2020-04-24,7.44,7.4493,7.2815,7.5154,26554.0
2020-04-23,7.4681,7.6801,7.4585,7.4202,52036.0
2020-04-22,7.5467,7.7643,7.5467,7.4012,47220.0
2020-04-21,7.2875,7.5357,7.2032,7.3441,91402.0
2020-04-20,7.5535,7.6385,7.5158,7.582,40569.0
2020-04-17,7.6486,7.7538,7.5147,7.6295,65811.0
2020-04-16,7.2637,7.3179,6.9389,7.4583,102826.0
2020-04-15,7.8324,8.0304,7.8324,7.6771,7445.0
2020-04-14,7.9593,8.4631,7.9593,7.7342,38533.0
2020-04-13,7.4122,7.4122,7.0559,7.5154,38879.0
2020-04-09,8.1609,8.3773,8.0036,7.953,46429.0
2020-04-08,7.8191,8.0775,7.8191,7.5688,29424.0
2020-04-07,7.0666,7.2609,6.6161,7.3134,59878.0
2020-04-06,7.4898,8.2183,7.4898,7.1923,50754.0
2020-04-03,6.6631,6.827,6.4902,6.793,17258.0
2020-04-02,6.8972,7.3195,6.8597,6.9255,35916.0
2020-04-01,6.6271,6.6271,6.214,7.0201,28484.0
2020-03-31,6.9573,6.9573,6.4442,7.2566,41760.0
2020-03-30,7.8257,8.6765,7.7732,7.4269,72181.0
2020-03-27,7.0495,7.2726,7.0108,6.9633,31470.0
2020-03-26,7.1798,7.8461,7.1798,6.935,39288.0
2020-03-25,6.5293,6.5468,5.2969,6.793,253384.0
2020-03-24,7.8112,9.5564,7.7871,6.9255,114277.0
2020-03-23,5.479,5.5739,4.7121,5.9936,113252.0
2020-03-20,6.8596,7.4352,6.591,6.812,84578.0
2020-03-19,8.1433,11.1174,7.86,6.6559,104745.0
2020-03-18,3.9409,4.0238,2.7788,5.3928,77907.0
2020-03-17,7.5295,7.8529,7.4082,7.285,63583.0
2020-03-16,6.7006,6.7006,6.3444,7.0769,64215.0
2020-03-13,7.6309,7.64,7.277,7.7921,39485.0
2020-03-12,7.062,7.0789,6.5116,7.4648,71082.0
2020-03-11,7.7659,7.8189,7.4747,8.041,73325.0
2020-03-10,8.4315,8.8247,8.3653,8.4127,109258.0
2020-03-09,8.1645,8.1663,7.9414,8.3844,33800.0
2020-03-06,8.7801,8.8126,8.6411,8.8455,78812.0
2020-03-05,8.9224,8.9224,8.6659,9.0431,83230.0
2020-03-04,9.109,9.109,9.0339,9.1184,52265.0
2020-03-03,9.1008,9.3416,9.1008,8.9961,71047.0
2020-03-02,9.0746,9.3387,8.9964,8.902,39262.0
2020-02-28,8.6577,8.753,8.5814,8.6009,64331.0
2020-02-27,8.6857,8.692,8.4743,8.8455,33540.0
2020-02-26,8.9961,9.1273,8.9774,9.0149,39504.0
2020-02-25,8.7318,8.7318,8.4487,9.0055,71485.0
2020-02-24,9.2222,9.2874,9.157,9.269,52881.0
2020-02-21,9.4484,9.5249,9.4484,9.3725,10420.0
2020-02-20,9.2878,9.3537,9.269,9.2878,101673.0
2020-02-19,9.42,9.525,9.42,9.3537,57440.0
2020-02-18,9.269,9.3254,9.269,9.269,26103.0
2020-02-14,9.2973,9.373,9.2973,9.269,40272.0
2020-02-13,9.3843,9.4759,9.3652,9.317,22610.0
2020-02-12,9.1758,9.2044,9.0744,9.269,98991.0
2020-02-11,9.2357,9.2357,9.1618,9.3008,25773.0
2020-02-10,9.273,9.273,9.2266,9.3196,24009.0
2020-02-07,9.3909,9.4381,9.2974,9.3551,37256.0
2020-02-06,9.4142,9.5097,9.3272,9.3196,31119.0
2020-02-05,9.2259,9.2447,9.1837,9.2165,39622.0
2020-02-04,9.2074,9.321,9.179,9.1603,57171.0
2020-02-03,9.1135,9.1322,9.076,9.1088,38895.0
2020-01-31,9.0014,9.0014,8.9089,9.0573,96129.0
2020-01-30,9.0392,9.0392,8.9286,9.1135,83881.0
2020-01-29,9.1416,9.1696,9.1043,9.1603,45588.0
2020-01-28,9.1978,9.2825,9.1602,9.1791,61388.0
2020-01-27,9.1814,9.1814,9.043,9.2502,134145.0
