date,Open,High,Low,Close,Volume
2021-02-12,72.9144,74.649,72.8726,71.33,1693203.0
2021-02-11,72.3979,74.8444,72.0908,70.35,1655989.0
2021-02-10,68.6342,69.4671,68.045,68.1,842653.0
2021-02-09,66.5519,67.4088,65.6559,67.44,1107059.0
2021-02-08,68.3627,68.8386,67.7247,67.93,810986.0
2021-02-05,66.737,66.8154,65.5612,67.42,1037982.0
2021-02-04,69.6043,71.8585,69.3927,67.66,1712522.0
2021-02-03,66.5106,67.7826,66.049,65.67,1630507.0
2021-02-02,66.3526,67.6993,65.417,65.44,1620675.0
2021-02-01,65.7222,67.8406,64.6258,63.7,1706463.0
2021-01-29,58.6894,59.6027,56.1329,60.98,2025987.0
2021-01-28,64.7694,65.7836,63.8678,63.99,2049123.0
2021-01-27,62.9614,63.7793,62.1739,62.66,1974826.0
2021-01-26,60.9388,61.032,58.805,63.13,1650682.0
2021-01-25,64.1642,64.3778,62.6206,65.12,1795322.0
2021-01-22,67.0663,68.315,66.7155,66.02,2155395.0
2021-01-21,65.6262,66.4215,65.1722,64.99,994030.0
2021-01-20,66.3413,68.1699,66.101,64.9,1375310.0
2021-01-19,63.57,64.0095,62.5713,63.61,1399474.0
2021-01-15,64.9725,66.5209,64.554,63.52,1619333.0
2021-01-14,62.3401,63.1622,61.8288,62.26,1579667.0
2021-01-13,60.6136,61.2002,59.4115,61.81,1251595.0
2021-01-12,63.9736,65.0241,63.6029,63.04,1182217.0
2021-01-11,62.4709,63.1861,62.1686,62.24,1771252.0
2021-01-08,63.3172,64.4616,62.7859,62.64,1381914.0
2021-01-07,62.1978,63.0365,61.8092,61.5,2782274.0
2021-01-06,61.2977,62.791,61.2466,60.61,2241463.0
2021-01-05,59.7114,60.8929,59.3125,59.42,2153676.0
2021-01-04,56.4273,56.5937,53.2885,59.5,2671741.0
2020-12-31,62.8202,63.1713,61.9173,62.72,838479.0
2020-12-30,62.6309,63.4469,62.6309,62.4,639362.0
2020-12-29,61.1258,61.4067,59.7699,62.11,702101.0
2020-12-28,62.6813,62.6813,61.958,62.97,840320.0
2020-12-24,62.8701,62.92,62.0267,62.93,393611.0
2020-12-23,62.74,63.8197,62.72,62.75,1063156.0
2020-12-22,62.4801,62.7145,61.6126,62.57,1897036.0
2020-12-21,62.41,63.1355,61.3894,62.39,2423384.0
2020-12-18,62.1798,62.1798,60.1528,63.29,6249330.0
2020-12-17,62.8393,62.8393,60.593,64.41,2668066.0
2020-12-16,65.5413,65.9873,64.3121,65.83,3172234.0
2020-12-15,66.5628,67.039,65.9448,66.13,1922391.0
2020-12-14,63.6065,63.7972,61.9183,65.13,2251517.0
2020-12-11,66.6437,67.415,66.2275,66.15,2189402.0
2020-12-10,67.2218,68.3619,66.6056,66.33,2279299.0
2020-12-09,64.9118,65.2879,63.0023,66.1,2888737.0
2020-12-08,67.7343,68.8876,67.5798,66.75,2692555.0
2020-12-07,67.5021,68.8194,67.1702,66.28,1983248.0
2020-12-04,67.7815,70.0671,67.7602,65.74,1871307.0
2020-12-03,65.6323,67.9619,65.0181,63.78,2233676.0
2020-12-02,62.4151,63.3826,62.242,61.85,1802917.0
2020-12-01,61.292,61.6875,60.2933,61.64,1480022.0
2020-11-30,61.09,61.2947,60.2714,61.14,4042215.0
2020-11-27,60.9903,61.4482,60.3632,61.13,643039.0
2020-11-25,61.1203,61.4538,60.2507,61.26,1141558.0
2020-11-24,62.5076,64.0281,62.0421,61.46,1435745.0
2020-11-23,60.632,61.7121,59.8502,59.78,1353247.0
2020-11-20,58.35,58.6956,57.4385,58.3,1325052.0
2020-11-19,59.2297,60.1225,58.0394,58.47,1645491.0
2020-11-18,55.9175,55.9175,53.7338,58.13,1493060.0
2020-11-17,62.0387,64.1319,61.0289,60.49,1798435.0
2020-11-16,60.2013,60.9685,59.2727,59.92,1879303.0
2020-11-13,59.6985,61.8724,59.3894,57.83,1336492.0
2020-11-12,54.5206,54.6081,53.402,55.28,1752870.0
2020-11-11,55.687,55.687,54.1222,56.31,1687803.0
2020-11-10,55.0119,56.0157,53.241,56.53,2005982.0
2020-11-09,59.0332,64.3202,59.0332,58.15,4741450.0
2020-11-06,51.4336,51.666,50.1168,52.27,1055559.0
2020-11-05,53.3129,54.2263,52.8765,52.92,1220183.0
2020-11-04,52.3627,54.1074,51.5207,51.99,1160658.0
2020-11-03,50.1996,50.1996,47.2654,51.93,1774565.0
2020-11-02,54.4374,57.2041,54.2771,52.67,2650615.0
2020-10-30,50.3002,50.853,48.5372,50.4,2239150.0
2020-10-29,58.3782,66.6273,57.9509,51.3,3808597.0
2020-10-28,44.1512,44.9192,43.6257,43.92,1858884.0
2020-10-27,44.1708,44.4616,43.4727,44.86,1762735.0
2020-10-26,45.1737,45.2817,44.1816,45.58,1645594.0
2020-10-23,46.3323,46.6971,45.7309,46.66,1263840.0
2020-10-22,46.6004,47.1075,46.3517,46.73,1196751.0
2020-10-21,46.5846,46.8493,45.82,47.05,1102893.0
2020-10-20,47.7704,48.6754,47.6013,47.9,1032204.0
2020-10-19,46.3241,46.3809,45.0065,47.58,1150671.0
2020-10-16,48.2329,48.4791,47.0613,48.61,1423457.0
2020-10-15,49.5962,50.5065,49.4384,49.04,1212114.0
2020-10-14,48.9302,49.4682,48.7409,49.02,1036751.0
2020-10-13,48.2338,48.4466,47.3925,49.05,894018.0
2020-10-12,50.36,50.5103,49.2328,50.31,1397608.0
2020-10-09,48.3497,48.4248,46.6692,49.9,1857283.0
2020-10-08,52.8344,54.7562,52.6626,50.99,1003377.0
2020-10-07,48.9001,49.0697,48.3711,48.95,1456131.0
2020-10-06,48.2718,49.3781,47.7483,48.57,2347924.0
2020-10-05,48.5401,48.9489,47.8022,48.61,1615549.0
2020-10-02,49.7572,51.7286,49.3929,48.07,1688866.0
2020-10-01,47.39,48.1797,46.7903,47.4,1993361.0
2020-09-30,46.7708,47.7029,46.1958,46.97,1741356.0
2020-09-29,46.4029,46.6195,45.4874,46.77,872316.0
2020-09-28,47.3901,47.9813,47.0493,47.34,1439791.0
2020-09-25,47.4678,49.064,47.4574,46.32,911286.0
2020-09-24,46.3606,48.041,45.9688,45.66,1438480.0
2020-09-23,43.8882,44.3257,42.4614,45.0,1460777.0
2020-09-22,45.4665,46.1891,44.5974,46.01,1201138.0
2020-09-21,45.596,45.7791,43.5243,46.45,2102546.0
2020-09-18,47.8678,48.3065,47.2049,48.48,2265166.0
