date,Open,High,Low,Close,Volume
2021-02-12,153.7967,153.7967,151.2403,155.4,573729.0
2021-02-11,156.84,156.9599,154.0176,156.91,730465.0
2021-02-10,159.4479,162.2002,158.4722,157.34,1019934.0
2021-02-09,152.7391,154.1203,151.6016,151.56,752230.0
2021-02-08,148.7188,150.5475,146.7043,150.39,1436353.0
2021-02-05,150.6677,150.6677,146.9298,150.97,630930.0
2021-02-04,154.3751,158.9097,153.4322,149.98,1211727.0
2021-02-03,141.4515,142.8506,140.2839,140.99,768277.0
2021-02-02,144.1925,147.9964,143.808,141.44,713074.0
2021-02-01,143.0148,149.2724,142.2005,138.16,1230669.0
2021-01-29,130.0792,131.2018,127.1118,131.66,1108846.0
2021-01-28,135.3757,138.192,134.3829,134.5,986958.0
2021-01-27,133.08,134.4099,130.4727,133.02,963400.0
2021-01-26,132.3665,132.3665,129.5177,134.24,461343.0
2021-01-25,134.6426,135.8222,133.6711,135.23,610115.0
2021-01-22,134.16,134.9071,133.01,135.32,804819.0
2021-01-21,139.5349,141.5587,138.4357,137.67,750176.0
2021-01-20,138.4895,141.5573,137.7135,136.15,774649.0
2021-01-19,132.4917,133.9115,129.0764,132.97,784341.0
2021-01-15,133.1123,133.5387,130.0971,133.66,811042.0
2021-01-14,134.4211,135.4453,133.6952,134.8,677712.0
2021-01-13,135.5224,137.3881,135.24,134.95,972698.0
2021-01-12,135.5698,138.072,135.1934,134.42,652198.0
2021-01-11,134.2931,136.4638,134.0407,133.65,686377.0
2021-01-08,137.0336,140.7136,136.8366,134.59,999402.0
2021-01-07,134.8829,138.5391,134.3188,131.97,1482670.0
2021-01-06,130.6022,133.8359,130.6022,128.9,964220.0
2021-01-05,129.5116,131.7079,128.9676,127.84,1026221.0
2021-01-04,122.7299,123.7173,116.8705,127.16,1073833.0
2020-12-31,133.7899,136.2118,133.3571,131.79,493658.0
2020-12-30,130.6735,132.8357,130.34,130.0,483624.0
2020-12-29,126.9789,128.7872,123.9297,129.47,740552.0
2020-12-28,131.3707,132.1343,130.2454,131.06,952586.0
2020-12-24,128.0116,128.0803,125.8431,129.23,392930.0
2020-12-23,128.3085,129.4558,126.6096,129.85,782512.0
2020-12-22,130.1527,130.4451,128.2899,130.75,1207149.0
2020-12-21,130.2344,130.61,127.8126,130.99,1153790.0
2020-12-18,132.9061,133.6692,130.382,134.37,2098286.0
2020-12-17,141.8842,149.009,141.8842,135.24,885874.0
2020-12-16,131.8115,132.2833,130.8819,132.26,570052.0
2020-12-15,133.4731,134.5535,133.0339,132.83,650051.0
2020-12-14,131.8902,134.4364,131.0682,131.73,937023.0
2020-12-11,130.68,131.5703,128.7806,130.7,689126.0
2020-12-10,131.9203,132.7931,131.3134,131.71,542639.0
2020-12-09,130.9083,131.3611,129.048,131.95,687842.0
2020-12-08,132.2833,132.9962,131.0159,132.94,1203374.0
