date,Open,High,Low,Close,Volume
2019-11-22,108.24,108.24,108.24,108.24,114302.0
2019-11-20,108.4705,109.053,107.7273,108.24,191230586.0
2019-11-19,106.9725,107.3542,105.6611,108.13,32926092.0
2019-11-18,108.6541,109.0887,107.7749,109.32,23845726.0
2019-11-15,109.8104,109.8403,109.2924,110.02,4344437.0
2019-11-14,110.09,110.6708,109.6595,110.02,4150528.0
2019-11-13,111.1043,112.0967,110.8208,110.41,3031094.0
2019-11-12,110.6033,111.6851,110.6033,110.0,4181342.0
2019-11-11,109.7503,110.0714,109.1483,109.57,2976330.0
2019-11-08,110.1332,110.9419,109.8704,109.54,5707121.0
2019-11-07,109.8059,110.6178,109.7552,109.0,5398827.0
2019-11-06,108.9446,109.9171,108.8129,108.24,5214492.0
2019-11-05,107.67,108.0399,107.1702,107.69,4275463.0
2019-11-04,107.86,108.5007,107.86,107.8,4755385.0
2019-11-01,108.7103,109.4327,108.5498,108.53,7185107.0
2019-10-31,109.4381,111.4827,109.4381,108.03,5089851.0
2019-10-30,107.8746,108.7459,107.7125,107.17,3516614.0
2019-10-29,106.8933,107.6112,106.6506,106.3,2902540.0
2019-10-28,106.4249,107.5198,106.4047,105.7,2971706.0
2019-10-25,106.0771,107.2868,106.0771,105.21,2313394.0
2019-10-24,104.0422,104.1809,103.0572,104.52,7759071.0
2019-10-23,105.4621,105.9363,104.998,104.99,2895275.0
2019-10-22,103.192,104.3383,101.6572,104.7,4350130.0
2019-10-21,103.8016,104.3054,103.1969,103.4,3519133.0
2019-10-18,103.7055,104.5934,103.188,102.95,4874429.0
2019-10-17,102.4947,103.5287,102.4947,101.8,3341200.0
2019-10-16,101.3011,101.8849,101.1602,100.97,3221244.0
2019-10-15,101.402,102.0932,101.3011,100.95,2655352.0
2019-10-14,100.2502,100.3798,99.8325,100.39,1836076.0
2019-10-11,100.891,101.6056,100.6193,100.57,3698436.0
2019-10-10,99.8901,100.0603,99.4193,99.81,3238951.0
2019-10-09,100.2235,101.0533,100.2134,99.63,2979581.0
2019-10-08,98.5114,99.2756,97.9357,98.88,4213530.0
2019-10-07,99.77,100.5612,99.7,99.7,3627720.0
2019-10-04,101.2488,102.883,101.1666,99.87,3469435.0
2019-10-03,99.3385,100.2757,99.1653,98.42,3784489.0
2019-10-02,96.2884,96.2981,94.6637,97.62,4375627.0
2019-10-01,99.0106,99.6872,98.5529,99.26,4202619.0
2019-09-30,99.752,100.8419,99.4291,99.3,5198727.0
2019-09-27,99.0203,99.5923,98.7795,98.85,4643178.0
2019-09-26,98.6,98.9001,97.9899,98.59,3763368.0
2019-09-25,98.5,98.9295,98.2503,98.56,2900832.0
2019-09-24,97.454,97.5028,96.165,98.62,4523337.0
2019-09-23,99.39,99.7498,99.2501,99.42,3128528.0
2019-09-20,100.0953,101.1201,99.9431,99.37,5387529.0
2019-09-19,99.3516,100.138,99.2509,98.95,2180145.0
2019-09-18,98.74,98.9904,98.3144,98.67,3369111.0
2019-09-17,98.9412,99.6762,98.9412,98.6,3407874.0
2019-09-16,98.43,98.7904,98.2699,98.38,2678965.0
2019-09-13,98.0215,98.597,97.5253,98.4,3944681.0
2019-09-12,98.7401,99.2813,98.4996,98.63,2909543.0
2019-09-11,99.1049,100.1495,99.0744,98.41,3022945.0
2019-09-10,98.6297,99.8131,98.5083,97.65,3634261.0
2019-09-09,96.8505,96.9003,95.9645,97.07,2741853.0
2019-09-06,96.7516,96.95,96.1566,97.15,2992302.0
2019-09-05,97.6402,97.8207,97.1087,97.51,2765741.0
2019-09-04,96.7804,96.87,96.0532,96.97,2340470.0
2019-09-03,97.2617,97.8767,96.9592,96.86,3650193.0
2019-08-30,96.1642,96.2234,95.2957,96.8,2658680.0
2019-08-29,96.2281,96.2281,94.8976,97.11,2215096.0
2019-08-28,98.531,99.5933,98.2041,97.49,2612687.0
2019-08-27,96.4009,96.7289,96.0034,96.7,3941721.0
2019-08-26,96.7009,97.496,95.8363,97.0,7787965.0
2019-08-23,92.3588,92.745,90.1959,93.99,4651491.0
2019-08-22,95.67,95.9198,95.0805,95.71,2092992.0
2019-08-21,95.8603,96.1514,95.5994,95.68,2087033.0
2019-08-20,95.3802,95.7912,95.1796,95.26,2425641.0
2019-08-19,95.6822,96.4294,95.6429,95.22,1983230.0
2019-08-16,95.5672,96.5135,94.8854,94.74,2675096.0
2019-08-15,93.4502,93.9116,92.9788,93.31,2385612.0
2019-08-14,92.3235,93.5089,91.7209,92.89,4850032.0
2019-08-13,94.5312,95.508,94.4002,94.2,2963953.0
2019-08-12,93.1197,93.1393,91.9536,94.07,3273477.0
2019-08-09,95.2802,95.8719,95.1398,95.14,2700643.0
2019-08-08,96.4643,97.7043,96.1978,95.29,3139398.0
2019-08-07,95.3088,97.0473,95.2574,93.97,3881929.0
2019-08-06,94.1334,94.7811,93.8196,93.57,3905402.0
2019-08-05,92.4322,92.9076,91.521,92.88,4852219.0
2019-08-02,94.7481,95.7058,94.5138,93.87,4136516.0
