date,Open,High,Low,Close,Volume
2021-02-12,46.2144,48.1898,46.1384,44.36,1494440.0
2021-02-11,42.5546,42.5741,41.5269,42.8701,1444393.0
2021-02-10,41.8086,41.8086,39.6721,42.9495,1934143.0
2021-02-09,43.6449,43.8332,43.0106,43.6945,1419976.0
2021-02-08,43.9646,44.7094,43.6123,43.6746,1443962.0
2021-02-05,42.3108,43.2889,41.4005,42.8502,1217066.0
2021-02-04,43.3317,44.3054,42.9158,42.88,1774705.0
2021-02-03,41.7612,42.3842,40.9081,42.5125,1992708.0
2021-02-02,42.8616,43.0481,41.8894,43.1085,1764317.0
2021-02-01,43.7818,45.2763,43.7713,42.6814,2131944.0
2021-01-29,40.4568,41.3517,39.4511,41.102,4684940.0
2021-01-28,42.6236,43.5479,42.2898,41.9165,3499035.0
2021-01-27,40.388,41.017,39.1793,40.6054,3581249.0
2021-01-26,39.8289,40.0918,37.9621,41.698,2150434.0
2021-01-25,43.6195,44.2581,42.7275,43.178,2102595.0
2021-01-22,43.723,44.6835,43.4778,43.1085,1457285.0
2021-01-21,42.3304,42.5596,41.2798,43.1681,1742762.0
2021-01-20,42.7675,42.8904,41.3586,43.8336,1766192.0
2021-01-19,43.7256,43.9253,42.3182,44.6878,2465292.0
2021-01-15,45.6447,46.1499,44.7959,45.254,2531641.0
2021-01-14,44.9263,45.5006,44.8421,44.9957,2216242.0
2021-01-13,44.0997,44.8633,42.9256,44.9858,2976889.0
2021-01-12,47.7503,50.4275,47.1249,45.4327,2880806.0
2021-01-11,43.7853,45.1354,43.5153,42.8204,2159527.0
2021-01-08,42.9796,43.1843,42.0711,42.8701,3449307.0
2021-01-07,41.7698,42.2307,40.8816,42.4827,3248217.0
2021-01-06,44.3014,46.924,43.7162,42.4132,4689000.0
2021-01-05,41.2098,43.1159,41.2098,39.8008,2632176.0
2021-01-04,37.81,38.3917,36.8986,38.2712,2668051.0
2020-12-31,39.2407,40.5545,38.8786,38.45,1556406.0
2020-12-30,38.8612,40.3482,38.8612,37.7149,1388181.0
2020-12-29,36.3379,36.7761,35.6765,36.7018,1073118.0
2020-12-28,37.1398,38.7053,37.1398,36.9501,1595209.0
2020-12-24,36.6623,36.8411,36.3427,36.5627,255840.0
2020-12-23,36.7831,37.3624,36.5715,36.523,1263779.0
2020-12-22,34.6471,34.6471,33.3574,35.9767,1724063.0
2020-12-21,37.9448,38.7214,37.7083,37.2878,1692328.0
2020-12-18,37.5367,37.767,37.0161,37.3872,4424640.0
2020-12-17,36.7205,36.759,36.0703,37.2878,1855685.0
2020-12-16,36.7767,36.7767,35.3647,37.5262,2179427.0
2020-12-15,37.0772,37.0866,35.7786,38.0924,2553922.0
2020-12-14,37.7425,38.1232,36.9051,38.5592,2478015.0
2020-12-11,39.8237,40.6478,39.7825,39.1055,1696742.0
2020-12-10,39.3707,40.1359,39.3299,38.8473,1793838.0
2020-12-09,38.9472,39.4577,38.5868,38.7976,1778657.0
2020-12-08,38.8359,39.6137,38.7848,38.2612,1624467.0
2020-12-07,37.0544,37.1582,35.8652,38.0129,1981148.0
2020-12-04,40.5123,42.1058,40.3118,39.3042,2861617.0
2020-12-03,37.9236,38.5012,37.6647,37.8739,2267335.0
2020-12-02,38.1194,39.0589,38.0378,37.5957,2798832.0
2020-12-01,36.855,37.0981,36.3542,37.2481,2422251.0
2020-11-30,35.9975,36.0444,34.7645,37.0494,3320325.0
2020-11-27,38.7193,39.5728,38.4381,38.5096,2427034.0
2020-11-25,37.8442,38.3044,36.9337,37.9136,3442505.0
2020-11-24,40.9547,43.8259,40.9547,38.3904,5636058.0
2020-11-23,37.4509,39.718,37.4509,35.5794,4581338.0
2020-11-20,34.4898,35.9305,34.3831,33.275,2933410.0
2020-11-19,31.5901,31.7797,30.9972,31.934,2743854.0
2020-11-18,32.1824,32.9548,31.9646,32.232,3256720.0
2020-11-17,32.1132,32.5932,31.7232,32.0036,3007916.0
2020-11-16,32.7896,33.5526,32.1193,32.1824,4326993.0
2020-11-13,31.3731,32.1364,31.3731,30.6825,2731953.0
2020-11-12,29.6201,29.9343,29.1881,29.6496,2638714.0
2020-11-11,30.2012,31.294,30.1565,30.0529,3968691.0
2020-11-10,30.4078,31.4756,29.9412,29.6201,3732562.0
2020-11-09,28.3323,29.6847,27.6025,28.4888,3954345.0
2020-11-06,26.8558,27.7687,26.5614,26.8853,2970994.0
2020-11-05,28.3249,30.5725,28.3249,26.8951,3778334.0
2020-11-04,25.7245,25.7812,24.655,26.2262,1953147.0
2020-11-03,25.6775,25.7326,24.4933,26.5804,3184352.0
2020-11-02,27.6724,27.949,27.3118,27.6133,2695532.0
2020-10-30,28.1075,29.1083,27.8336,27.1608,3016836.0
2020-10-29,27.6666,29.1856,27.6558,26.3443,2491069.0
2020-10-28,25.52,26.2611,25.3397,25.2917,2833944.0
2020-10-27,25.2139,25.4594,24.6473,25.7343,3015189.0
2020-10-26,25.9866,25.9866,25.2142,26.3934,1987853.0
2020-10-23,26.6292,26.9466,26.089,27.1312,1629286.0
2020-10-22,28.0279,28.6886,27.9766,27.4657,2552230.0
2020-10-21,26.2197,26.3435,25.2974,26.8066,3455197.0
2020-10-20,26.5621,26.6441,25.5419,27.6034,2007444.0
2020-10-19,28.022,28.2325,27.5769,28.4101,1515781.0
