date,Open,High,Low,Close,Volume
2015-03-17,59.91,59.91,59.91,59.91,0.0
2015-03-16,59.8201,59.9896,59.7304,59.91,18647412.0
2015-03-13,59.99,60.0901,59.8799,59.97,3537795.0
2015-03-12,60.2407,60.4521,60.0897,60.04,2456962.0
2015-03-11,59.5601,59.6898,59.4703,59.63,6107995.0
2015-03-10,59.5108,59.5207,59.2924,59.73,5561828.0
2015-03-09,60.09,60.1601,60.0299,60.05,1001523.0
2015-03-06,59.7411,59.7907,59.4338,60.0,1633500.0
2015-03-05,60.4301,60.5756,60.4101,60.34,1009758.0
2015-03-04,60.4607,60.7427,60.4305,60.25,1583838.0
2015-03-03,60.12,60.18,59.9701,60.13,1663438.0
2015-03-02,60.3303,60.501,60.3303,60.2,2012196.0
2015-02-27,59.9802,60.0699,59.8506,60.08,1587997.0
2015-02-26,60.1102,60.16,59.9457,60.21,1286043.0
2015-02-25,60.19,60.19,60.0801,60.22,1316056.0
2015-02-24,60.27,60.3702,60.1198,60.22,1676964.0
2015-02-23,60.4513,60.7339,60.4513,60.17,3041664.0
2015-02-20,60.1506,60.3519,60.1003,59.96,2196490.0
2015-02-19,59.82,59.87,59.77,59.8,2859894.0
2015-02-18,59.7002,59.7002,59.521,59.82,1487652.0
2015-02-17,59.9001,60.0506,59.9001,59.81,2072428.0
2015-02-13,59.84,59.9201,59.7399,59.81,2765393.0
2015-02-12,59.8,59.95,59.73,59.8,2018330.0
2015-02-11,59.7801,59.9805,59.74,59.72,1576716.0
2015-02-10,59.7,59.77,59.62,59.7,2887572.0
2015-02-09,59.4803,59.4853,59.2812,59.61,1114207.0
2015-02-06,59.7101,59.8897,59.5904,59.78,2046821.0
2015-02-05,60.2919,60.7471,60.2919,59.95,1610304.0
2015-02-04,59.3801,59.4599,59.2306,59.47,1905310.0
2015-02-03,59.6903,59.9315,59.6903,59.55,1493427.0
2015-02-02,59.6302,59.7706,59.3392,59.53,2292017.0
2015-01-30,59.1305,59.22,58.9217,59.3,2383062.0
2015-01-29,59.61,59.62,59.3799,59.6,1606670.0
2015-01-28,59.2318,59.2318,58.8461,59.56,2071282.0
2015-01-27,59.8001,59.9303,59.7099,59.74,1587341.0
2015-01-26,59.8701,59.9402,59.7198,59.81,1475051.0
2015-01-23,59.4616,59.4616,59.0855,59.77,2138411.0
2015-01-22,60.221,60.473,60.1302,59.98,1749992.0
2015-01-21,59.7701,59.9406,59.6999,59.68,2481850.0
2015-01-20,59.4203,59.48,59.1017,59.55,1633747.0
2015-01-16,59.6403,59.8312,59.6202,59.5,3591858.0
2015-01-15,59.2013,59.2013,58.914,59.48,4219461.0
2015-01-14,59.63,59.7201,59.4698,59.59,3104494.0
2015-01-13,59.4012,59.4508,58.9949,59.67,2425728.0
2015-01-12,59.6802,59.7798,59.476,59.79,1815914.0
2015-01-09,59.7402,59.8398,59.6006,59.84,1450716.0
2015-01-08,60.0201,60.1303,59.9599,59.96,2077661.0
2015-01-07,59.9205,60.1015,59.8903,59.75,2276565.0
2015-01-06,59.3601,59.4399,59.2055,59.44,3336942.0
2015-01-05,59.6102,59.8209,59.4496,59.51,2416786.0
2015-01-02,59.3302,59.3999,59.1408,59.43,1608237.0
2014-12-31,59.1705,59.2799,58.9716,59.34,2219952.0
2014-12-30,59.5504,59.8117,59.5504,59.4,1441056.0
2014-12-29,59.31,59.4403,59.31,59.26,2190064.0
2014-12-26,59.31,59.5504,59.31,59.26,1614761.0
2014-12-24,59.22,59.4103,59.19,59.18,981908.0
2014-12-23,58.9506,58.9506,58.7022,59.14,1408977.0
2014-12-22,59.24,59.3501,59.24,59.21,1494621.0
2014-12-19,58.8218,58.8218,58.4757,59.15,3529084.0
2014-12-18,59.5814,59.8894,59.5208,59.29,2464318.0
2014-12-17,59.0705,59.3119,59.0101,58.9,2919397.0
2014-12-16,58.5701,58.7197,58.4754,58.65,2630561.0
2014-12-15,58.4611,58.4909,58.1737,58.72,2737433.0
2014-12-12,58.7801,58.9496,58.6804,58.86,1563437.0
2014-12-11,59.03,59.2202,58.9499,59.0,1649256.0
2014-12-10,58.6608,58.77,58.3928,58.88,2176742.0
