date,Open,High,Low,Close,Volume
2021-02-12,16.0432,16.1753,16.0432,15.9161,870.0
2021-02-11,15.8905,15.9815,15.8905,15.8,7170.0
2021-02-10,15.5606,15.6001,15.4619,15.66,1405.0
2021-02-09,15.8018,15.8942,15.7836,15.7549,2690.0
2021-02-08,15.951,16.078,15.9104,15.825,3457.0
2021-02-05,15.9829,16.375,15.9829,15.7345,1242.0
2021-02-04,15.3006,15.3006,15.2019,15.4,4221.0
2021-02-03,15.4112,15.4112,15.2737,15.55,2021.0
2021-02-02,15.3928,15.3928,15.1397,15.6,1827.0
2021-02-01,15.5402,15.6184,15.5402,15.5201,1627.0
2021-01-29,15.3908,15.4499,15.2823,15.5,3825.0
2021-01-28,15.7814,15.7814,15.6428,15.8605,2690.0
2021-01-27,16.0305,16.0305,15.9019,16.12,1843.0
2021-01-26,16.4184,16.4389,16.2623,16.576,5193.0
2021-01-25,16.3524,16.3913,16.1474,16.55,3405.0
2021-01-22,16.7127,16.8023,16.4438,16.7463,23177.0
2021-01-21,17.19,17.2251,17.19,17.17,3416.0
2021-01-20,17.3202,17.4209,17.3201,17.26,6506.0
2021-01-19,17.7838,18.7006,17.7838,17.1039,9797.0
2021-01-15,15.7201,15.7201,15.6803,15.76,745.0
2021-01-14,15.8196,15.8196,15.7438,15.8654,813.0
2021-01-13,15.9595,15.9798,15.9595,15.9393,734.0
2021-01-12,15.952,15.952,15.7929,15.976,5358.0
2021-01-11,16.0377,16.3025,16.0377,15.8932,5448.0
2021-01-08,15.5801,15.6102,15.57,15.55,4781.0
2021-01-07,15.4601,15.4637,15.4203,15.5,2016.0
2021-01-06,15.6517,15.8252,15.6415,15.49,2287.0
2021-01-05,15.7163,16.0781,15.5308,15.4458,2322.0
2021-01-04,15.0299,15.0299,14.6462,15.3466,7971.0
2020-12-31,15.7501,15.7901,15.5919,15.79,7659.0
2020-12-30,15.6251,15.6703,15.61,15.59,5056.0
2020-12-29,15.4818,15.5011,15.4334,15.5012,6431.0
2020-12-28,15.54,15.5497,15.54,15.5303,2233.0
2020-12-24,15.5594,15.5594,15.5594,15.5594,691.0
2020-12-23,15.5788,15.6371,15.5593,15.5594,2531.0
2020-12-22,15.5826,15.5826,15.5106,15.6076,2557.0
2020-12-21,15.6957,15.8613,15.6957,15.6079,3142.0
2020-12-18,15.8213,15.831,15.7824,15.8116,4118.0
2020-12-17,15.8407,15.8944,15.7436,15.8358,2599.0
2020-12-16,15.9477,16.0162,15.9354,15.8795,1927.0
