date,Open,High,Low,Close,Volume
2021-02-12,63.2644,64.5324,63.1922,62.31,915576.0
2021-02-11,59.7129,59.7412,57.4402,61.49,842322.0
2021-02-10,62.7612,63.6037,61.889,63.04,1067268.0
2021-02-09,63.1009,63.6451,62.5366,62.86,716100.0
2021-02-08,63.7141,64.2935,63.3381,63.2,797580.0
2021-02-05,61.3089,62.0053,59.6037,62.64,949550.0
2021-02-04,65.3999,67.7182,65.3999,63.42,1098543.0
2021-02-03,62.3457,63.7314,62.2832,61.08,1089662.0
2021-02-02,60.9537,62.273,60.5775,60.04,1096354.0
2021-02-01,58.6235,59.304,57.6079,58.17,1204633.0
2021-01-29,55.6625,56.3443,53.6833,57.2,1747617.0
2021-01-28,59.9052,61.2077,59.0275,58.95,1402649.0
2021-01-27,54.9334,55.0644,52.2583,56.8,2655540.0
2021-01-26,58.2406,58.6348,56.3356,60.12,916945.0
2021-01-25,61.5405,61.9731,60.0075,61.36,1154325.0
2021-01-22,63.2384,64.5839,62.8969,62.16,1103440.0
2021-01-21,61.0759,61.7441,60.0686,62.06,1229532.0
2021-01-20,62.3495,62.9837,61.5104,63.12,1152821.0
2021-01-19,64.0504,65.2761,63.0105,63.9,1399618.0
2021-01-15,63.2937,64.3672,62.2794,63.78,1648015.0
2021-01-14,66.6796,67.6938,65.8191,65.88,1168583.0
2021-01-13,64.8304,66.5613,64.4262,63.68,1771496.0
2021-01-12,64.0135,64.8559,63.6075,63.54,1248854.0
2021-01-11,64.7965,67.1559,64.1316,62.57,856121.0
2021-01-08,59.6502,59.6502,56.8924,61.38,1343175.0
2021-01-07,62.0315,63.4771,61.6553,62.34,2052027.0
2021-01-06,63.3156,66.3847,63.1138,61.44,2540043.0
2021-01-05,57.9946,59.7564,57.4786,56.8,1501705.0
2021-01-04,54.3637,54.5077,52.5599,55.5,1405377.0
2020-12-31,56.1717,56.8593,55.6965,55.86,768779.0
2020-12-30,56.2343,57.3743,56.2343,55.74,837337.0
2020-12-29,54.1511,54.2857,52.9298,55.22,1002448.0
2020-12-28,55.8719,56.3068,55.0714,56.2,816554.0
2020-12-24,55.3064,55.3651,53.9555,55.9,379491.0
2020-12-23,57.4748,59.3146,57.4748,56.06,856961.0
2020-12-22,54.13,54.6996,53.8602,54.15,1339741.0
2020-12-21,55.2092,57.1525,54.7797,53.94,1952681.0
2020-12-18,52.5501,52.7894,51.6529,52.63,4936274.0
2020-12-17,51.8079,51.8079,50.5356,52.77,1943543.0
2020-12-16,52.9102,53.0696,52.1829,53.01,1482901.0
2020-12-15,53.516,54.2923,52.5354,52.95,1355900.0
2020-12-14,50.6376,50.9527,48.7278,51.82,1972374.0
2020-12-11,52.6066,53.5054,52.344,52.0075,1923967.0
2020-12-10,53.7921,55.4477,53.6255,52.3727,1733232.0
2020-12-09,50.725,50.9052,49.4443,51.741,1371652.0
2020-12-08,51.8105,52.8709,51.3147,51.9483,1336518.0
2020-12-07,51.993,52.351,51.064,52.5109,1616271.0
2020-12-04,53.9564,54.65,53.3936,53.4684,1750072.0
2020-12-03,52.6553,53.8708,52.0803,52.0865,1784181.0
2020-12-02,52.5276,54.0061,52.1661,51.3462,1607193.0
2020-12-01,50.7354,51.5424,50.3069,50.4974,1973386.0
2020-11-30,46.8212,47.4176,44.9678,48.5627,11423302.0
2020-11-27,49.5997,50.0228,48.2742,50.8231,1632384.0
2020-11-25,52.1595,52.1595,51.0534,52.6096,1734730.0
2020-11-24,54.9807,56.2859,54.6827,53.8829,1536300.0
2020-11-23,51.7352,52.5692,51.1223,51.2771,1439375.0
2020-11-20,49.9749,50.4473,48.9605,49.7867,1523191.0
2020-11-19,51.3594,52.5237,51.0194,50.2703,1449928.0
2020-11-18,48.8465,49.557,47.4068,50.1914,1925937.0
2020-11-17,51.9759,52.6842,50.7618,51.3363,1269371.0
2020-11-16,50.2082,51.0692,48.1869,51.5634,2310539.0
2020-11-13,51.3835,53.252,51.3835,49.8262,1477779.0
2020-11-12,46.7526,47.2284,44.7685,47.6152,2287895.0
2020-11-11,46.9281,46.9372,43.9663,49.5103,2666096.0
2020-11-10,50.9978,51.274,48.9755,52.3629,2547651.0
2020-11-09,56.5002,61.6876,56.5002,53.2315,3243021.0
2020-11-06,42.4687,42.6948,40.036,44.3678,1462325.0
2020-11-05,48.5865,51.9312,48.5865,45.8681,2340462.0
2020-11-04,40.0636,40.3197,36.742,43.0748,4164956.0
2020-11-03,48.8889,50.2916,48.6653,48.1778,1614521.0
2020-11-02,47.6275,48.7824,46.2149,46.5985,1687595.0
2020-10-30,46.9314,49.0862,46.9314,44.9205,1830835.0
2020-10-29,45.4381,47.8421,44.7636,43.3807,1360193.0
2020-10-28,41.5057,42.4577,41.2211,41.6238,1463229.0
2020-10-27,41.3219,41.6346,39.8596,42.8083,1127777.0
2020-10-26,44.4002,44.4002,43.0789,44.7527,1333202.0
2020-10-23,46.3891,47.154,45.9029,45.7891,1645301.0
2020-10-22,47.2255,50.2111,47.0923,44.5356,1371043.0
2020-10-21,41.1333,41.8957,40.2279,41.8607,1657865.0
2020-10-20,43.1093,45.1967,42.7361,42.6503,2666328.0
2020-10-19,40.1024,40.275,39.2873,40.6861,1312525.0
2020-10-16,41.0319,41.3361,40.2861,41.15,1578168.0
2020-10-15,42.9674,44.9185,42.9674,41.229,1001799.0
2020-10-14,39.519,40.0472,38.9332,40.0643,1119683.0
2020-10-13,39.2184,39.4959,37.9324,40.5084,1239288.0
2020-10-12,42.7956,43.4236,42.5626,42.2456,1192829.0
2020-10-09,40.7333,40.9771,39.5425,41.7916,1245235.0
2020-10-08,41.9097,41.9768,40.856,42.5418,1334336.0
2020-10-07,43.7288,45.4079,43.7288,42.5418,1427986.0
2020-10-06,39.199,39.6782,37.4832,40.7651,2161532.0
2020-10-05,43.1663,45.1947,43.0692,41.2882,1640551.0
2020-10-02,40.9553,43.3887,40.7795,38.8206,1477947.0
2020-10-01,37.4687,38.1259,37.0273,37.5868,1238787.0
2020-09-30,37.9331,38.7202,37.6939,37.7546,1296001.0
2020-09-29,36.7254,36.7542,35.372,37.2413,909322.0
2020-09-28,38.4698,39.2265,38.157,38.0507,1267052.0
2020-09-25,38.0512,39.4464,37.7686,36.8169,1256582.0
2020-09-24,35.7819,36.4739,34.8559,36.0075,997827.0
2020-09-23,35.1011,35.8155,34.2362,35.968,1236675.0
2020-09-22,35.328,35.5387,33.6056,36.6688,2174036.0
2020-09-21,37.6144,38.3337,36.7225,38.1593,1667081.0
2020-09-18,40.2621,41.0771,39.9839,40.1235,2133223.0
2020-09-17,40.6507,41.2903,40.4629,40.2419,1518931.0
2020-09-16,41.3597,42.9949,41.186,40.6466,1492012.0
2020-09-15,39.7315,39.7897,38.7996,40.0643,1270018.0
2020-09-14,41.4185,42.5869,40.8344,40.469,2001391.0
2020-09-11,38.881,39.4959,38.6132,38.4688,1935393.0
2020-09-10,37.3371,38.2061,36.5149,38.061,1755980.0
2020-09-09,38.0576,38.1333,37.3506,38.5465,1536212.0
2020-09-08,38.1867,38.3939,37.0758,38.7795,1692361.0
2020-09-04,40.0814,40.8607,38.8307,40.2651,1428336.0
2020-09-03,39.0333,40.3959,38.4192,39.265,1478833.0
2020-09-02,39.624,40.4954,39.3135,39.0125,1287698.0
2020-09-01,39.4933,40.8461,39.0289,38.731,1252843.0
2020-08-31,37.7511,37.7652,37.0091,38.3814,1319926.0
2020-08-28,38.5997,38.5997,37.8919,39.0222,996690.0
2020-08-27,39.9311,41.3208,39.9311,38.9252,1381182.0
2020-08-26,37.3398,37.3584,36.5203,38.129,1213770.0
2020-08-25,38.7753,39.2589,37.713,39.2359,925346.0
2020-08-24,40.6046,42.209,39.9334,39.0708,916003.0
2020-08-21,36.8803,37.3703,36.3855,37.2551,1137740.0
2020-08-20,37.7991,38.2285,37.3404,37.7018,1598731.0
2020-08-19,38.5659,39.1789,38.0503,38.5271,1627371.0
2020-08-18,37.1588,37.1588,35.8112,38.3717,1448240.0
2020-08-17,39.1056,39.3141,38.3092,39.5757,1031531.0
2020-08-14,41.62,43.2241,41.5084,40.6049,1083443.0
2020-08-13,40.1196,40.6752,39.8077,40.0417,1274707.0
2020-08-12,39.7214,39.9055,37.3562,40.7991,1755019.0
2020-08-11,40.7128,41.8563,40.242,40.9253,1401859.0
2020-08-10,40.4788,41.5609,40.3285,39.8475,1219738.0
2020-08-07,41.2156,43.8155,40.7568,38.8572,1472591.0
2020-08-06,37.1683,37.7849,37.0411,37.0221,1310511.0
2020-08-05,37.139,37.3127,36.5214,37.2551,1288716.0
2020-08-04,36.7309,37.1169,36.4743,36.7794,1369623.0
2020-08-03,36.4652,36.7017,35.6612,36.9444,1620709.0
2020-07-31,37.9026,38.5009,36.6362,37.4008,4973214.0
2020-07-30,37.9725,39.0383,37.1808,37.1386,2412749.0
2020-07-29,40.1098,42.7486,39.714,37.6921,2499554.0
2020-07-28,35.624,36.2467,35.3753,35.5851,1233343.0
2020-07-27,35.7502,36.1478,35.0713,35.7696,1824919.0
2020-07-24,36.13,36.5812,35.6403,36.3327,1404005.0
2020-07-23,37.0172,38.1895,36.4614,36.2842,1898682.0
2020-07-22,35.6629,36.6181,35.1463,35.5948,1958519.0
2020-07-21,37.4867,39.5531,37.3406,36.158,2946815.0
2020-07-20,33.6454,33.9512,32.9287,33.9151,1570957.0
2020-07-17,33.4805,33.6633,32.3837,34.5074,1306878.0
2020-07-16,36.1342,37.5971,35.6566,35.6919,834973.0
2020-07-15,36.521,37.48,35.9558,35.8181,1316059.0
2020-07-14,32.9345,32.9345,31.6252,33.9151,1188628.0
2020-07-13,34.5509,34.6173,33.4789,34.954,1618284.0
2020-07-10,36.8094,39.0343,36.6458,34.7307,1624463.0
2020-07-09,31.5418,31.8358,30.2467,32.4295,1493858.0
2020-07-08,33.8572,34.6193,33.1927,33.75,1247887.0
2020-07-07,33.2806,33.4034,32.3832,33.7403,1673290.0
2020-07-06,34.0842,34.6907,32.9925,34.7695,2063935.0
2020-07-02,32.3381,32.771,30.3727,34.2452,1889574.0
2020-07-01,33.453,34.0062,32.0342,34.8957,1731355.0
2020-06-30,38.3728,40.1593,38.2161,36.993,1487420.0
2020-06-29,36.8609,38.138,36.2683,35.9346,1819390.0
2020-06-26,32.4522,32.6083,30.4928,34.3423,4276897.0
2020-06-25,39.145,41.0015,38.8496,37.5561,2024658.0
2020-06-24,34.8541,34.8541,33.2038,36.3619,1743919.0
2020-06-23,37.9673,38.2949,36.994,38.6727,1578281.0
2020-06-22,39.0723,40.2779,38.8412,38.4106,2006060.0
2020-06-19,36.7295,36.7295,34.4964,38.294,6832866.0
2020-06-18,39.4574,41.216,39.2176,38.896,2511630.0
2020-06-17,37.4126,37.5842,36.0396,38.7892,1617233.0
2020-06-16,39.2523,39.5475,36.9732,40.2651,1689614.0
2020-06-15,42.5958,46.8901,42.4453,39.0125,2198753.0
2020-06-12,37.5613,37.9312,35.19,38.0028,1848306.0
2020-06-11,35.49,36.9664,34.8214,35.9795,2245526.0
2020-06-10,36.8998,37.0794,34.1154,39.8924,3005235.0
2020-06-09,43.98,45.0373,43.2233,43.624,1899618.0
2020-06-08,44.2852,45.2717,42.9982,44.6356,3163147.0
2020-06-05,41.9052,43.5125,40.0404,43.4426,2957036.0
2020-06-04,43.0179,45.1988,41.8484,40.9422,2570327.0
2020-06-03,38.9521,40.499,38.4562,38.2127,2361744.0
2020-06-02,35.4725,36.3334,34.6764,36.0177,1460979.0
2020-06-01,36.6451,38.1595,36.2565,35.865,1419265.0
2020-05-29,34.6054,35.4411,33.8172,34.6911,3023740.0
2020-05-28,33.7373,33.7373,31.415,35.865,2493469.0
2020-05-27,37.5449,38.2384,35.5878,37.6306,2984367.0
2020-05-26,36.9385,39.6468,36.8323,35.0156,2351582.0
2020-05-22,30.7456,31.1916,29.6585,31.16,1340721.0
2020-05-21,31.475,31.9891,30.9799,31.5131,2017154.0
2020-05-20,31.973,32.7578,31.7889,31.7326,2019595.0
2020-05-19,29.7387,30.1962,28.7609,30.6732,1827650.0
2020-05-18,33.343,35.1022,33.055,32.1143,3499530.0
2020-05-15,28.0985,28.8136,27.4018,28.6691,2117153.0
2020-05-14,33.5419,37.6252,32.9501,30.1197,3121223.0
2020-05-13,27.009,27.0537,25.506,27.896,2493667.0
2020-05-12,27.2956,27.4807,25.5791,29.0699,2712897.0
2020-05-11,29.5454,29.5896,27.982,30.7114,1384211.0
2020-05-08,32.7395,33.3751,32.2016,32.3434,1794534.0
2020-05-07,31.3283,33.3206,31.3283,30.8927,2028577.0
2020-05-06,29.2103,29.5108,27.8531,29.9002,2301701.0
2020-05-05,28.6587,29.3667,27.2253,30.1293,1943602.0
2020-05-04,30.7689,31.2488,29.8284,30.6828,2111024.0
2020-05-01,30.7602,31.2385,30.0519,31.3318,2422748.0
2020-04-30,32.0376,32.3651,30.5685,33.2691,2553322.0
2020-04-29,36.3121,37.276,35.5056,35.7695,3641504.0
2020-04-28,32.3705,32.8136,30.8907,33.5936,3096072.0
2020-04-27,35.0908,37.8751,34.7224,32.9351,3223279.0
2020-04-24,30.4082,30.9994,29.0661,30.6637,3952928.0
2020-04-23,30.7416,31.8622,30.5135,30.1579,2651926.0
2020-04-22,29.0318,29.508,28.3174,29.0604,2447515.0
2020-04-21,29.5214,32.6211,29.3632,28.0869,4445956.0
