date,Open,High,Low,Close,Volume
2021-02-12,21.5921,21.8675,21.5207,21.38,3054163.0
2021-02-11,21.0225,21.1301,20.7289,21.25,2229524.0
2021-02-10,21.5101,21.6558,21.3695,21.46,2559967.0
2021-02-09,21.4615,21.7056,21.2937,21.28,4504023.0
2021-02-08,20.7245,20.8119,20.3312,21.03,3873436.0
2021-02-05,21.1724,21.1724,20.8103,21.4,2425131.0
2021-02-04,21.7652,22.1262,21.5898,21.43,4175009.0
2021-02-03,20.8542,20.9028,20.3924,21.15,3410534.0
2021-02-02,21.5702,21.9074,21.4192,21.5,3702077.0
2021-02-01,21.1901,21.4987,21.001,21.24,3126409.0
2021-01-29,20.7748,21.0368,20.2071,21.09,4984583.0
2021-01-28,22.176,23.0631,22.0915,21.58,4579546.0
2021-01-27,20.1267,20.3176,19.2097,20.86,5307105.0
2021-01-26,22.1722,22.5038,21.9784,21.95,3550870.0
2021-01-25,22.0051,22.5413,21.9123,21.67,3758738.0
2021-01-22,21.3207,21.3503,21.0438,21.44,2867132.0
2021-01-21,21.8613,22.1153,21.6175,21.69,3683252.0
2021-01-20,21.49,21.7502,21.2998,21.48,3790852.0
2021-01-19,21.7804,21.9719,21.5585,21.69,4188635.0
2021-01-15,21.6212,21.8445,21.3116,21.46,5414309.0
2021-01-14,20.88,21.0004,20.6394,20.85,3707012.0
2021-01-13,21.0219,21.3482,20.9506,20.82,3229295.0
2021-01-12,20.6501,20.879,20.4212,20.7,4193611.0
2021-01-11,20.9614,21.2155,20.9106,20.79,3489957.0
2021-01-08,20.4825,20.5021,20.0717,20.71,7833519.0
2021-01-07,19.8531,19.9074,18.8632,20.88,6661072.0
2021-01-06,21.98,22.2508,21.8798,21.95,4349809.0
2021-01-05,21.7312,21.9596,21.513,21.57,3793536.0
2021-01-04,21.015,21.0829,20.535,21.34,3967995.0
2020-12-31,21.8827,22.1741,21.7293,21.64,1938096.0
2020-12-30,21.6015,21.9168,21.5303,21.42,1767034.0
2020-12-29,21.0529,21.1701,20.7012,21.3,3866432.0
2020-12-28,21.1434,21.2409,20.88,21.41,2845157.0
2020-12-24,21.6906,21.8067,21.4279,21.58,1011209.0
2020-12-23,21.991,22.6134,21.991,21.5,4264387.0
2020-12-22,20.5925,20.6708,20.2697,20.82,4981376.0
2020-12-21,20.5045,20.552,19.8925,21.05,5876897.0
2020-12-18,21.8301,21.9496,21.6208,21.87,11279147.0
2020-12-17,21.7607,22.0277,21.6222,21.88,4021019.0
2020-12-16,21.4772,21.5158,20.9564,21.87,4051896.0
2020-12-15,22.7306,23.2842,22.5635,22.24,4909574.0
2020-12-14,21.2859,21.3343,20.8989,21.64,5438979.0
2020-12-11,21.7901,22.0561,21.6797,21.75,4718778.0
2020-12-10,21.4652,21.6397,20.9999,21.8,6702194.0
2020-12-09,21.8564,21.9434,21.2667,22.23,15465208.0
2020-12-08,21.9917,22.0682,21.4472,22.5,4182881.0
2020-12-07,23.5263,24.3533,23.3713,23.14,5138711.0
2020-12-04,22.88,23.2406,22.7798,22.86,3552972.0
2020-12-03,22.6904,22.9482,22.5517,22.79,5976435.0
2020-12-02,23.1216,23.3453,22.7708,22.93,5911658.0
2020-12-01,22.2929,22.5122,21.7685,22.83,7052309.0
2020-11-30,22.3794,22.4725,21.4946,23.19,9170950.0
2020-11-27,23.561,23.6664,23.034,24.07,2954244.0
2020-11-25,24.6003,24.8774,24.4543,24.51,3383538.0
2020-11-24,24.4302,24.6364,24.0279,24.36,7894163.0
2020-11-23,24.4075,24.8633,24.3868,23.98,5901937.0
2020-11-20,23.5705,23.8431,23.4999,23.46,3871487.0
2020-11-19,23.2514,23.4188,22.7934,23.43,6246573.0
2020-11-18,22.4279,22.4458,21.1705,23.75,6138313.0
2020-11-17,25.4673,26.1576,25.3643,25.012,8909289.0
2020-11-16,25.4085,25.9142,25.3827,24.9325,8801697.0
2020-11-13,24.772,25.4808,24.7248,24.0978,4789592.0
2020-11-12,22.8733,22.8733,22.145,23.2929,3982359.0
2020-11-11,23.8693,24.3196,23.7209,23.9189,5034666.0
2020-11-10,24.1492,24.3917,24.0077,23.9487,4763456.0
2020-11-09,23.3158,23.7044,22.8106,23.5811,9153592.0
2020-11-06,22.8666,23.0629,22.6048,22.7165,4481422.0
2020-11-05,23.3732,24.7852,23.3732,22.5277,6296262.0
2020-11-04,21.2278,21.657,20.9644,21.4247,4028940.0
2020-11-03,21.6532,22.0408,21.534,21.6532,3983158.0
2020-11-02,21.3851,21.5248,21.0256,21.3353,5072541.0
2020-10-30,20.6456,20.7033,20.1749,20.9974,4946642.0
2020-10-29,21.6169,22.0857,21.2908,21.3452,4505004.0
2020-10-28,20.6998,21.1655,20.1961,21.1663,4814806.0
2020-10-27,22.2997,22.5406,22.1793,22.1899,5187188.0
2020-10-26,22.2729,22.6195,22.1812,21.9911,4626300.0
2020-10-23,22.0014,22.169,21.6958,22.0905,3794367.0
2020-10-22,22.4607,23.0704,22.3408,21.9315,3893285.0
2020-10-21,21.6768,22.2582,21.636,21.3949,5477761.0
2020-10-20,21.6318,22.7175,21.5204,21.2061,5832032.0
2020-10-19,20.7393,21.0194,20.7342,20.6695,3288445.0
2020-10-16,20.6301,20.8074,20.3395,20.7191,2424100.0
2020-10-15,21.1219,21.5322,21.1219,20.7887,2189991.0
2020-10-14,20.6001,20.8075,20.358,20.6595,2780164.0
2020-10-13,20.138,20.3216,19.5543,20.6893,5772190.0
2020-10-12,21.6851,22.1056,21.5027,21.4744,5879712.0
2020-10-09,21.216,21.3598,21.0375,21.2359,5487967.0
2020-10-08,21.7472,22.365,21.653,21.1862,4644159.0
2020-10-07,20.4708,20.6884,20.2434,20.5204,3957681.0
2020-10-06,20.723,21.2541,20.5187,20.4409,5278933.0
2020-10-05,20.2337,20.4509,19.9203,20.0633,3382604.0
2020-10-02,20.5579,21.3931,20.4508,19.8049,5795606.0
2020-10-01,19.2386,19.2782,18.9912,19.2782,3313607.0
2020-09-30,19.4395,19.795,19.3583,19.2286,5278770.0
2020-09-29,18.7721,18.9194,18.4479,18.8808,2858440.0
2020-09-28,18.7527,18.875,18.5767,18.9006,3074222.0
2020-09-25,19.1124,19.3723,19.0257,18.8708,3570752.0
2020-09-24,18.8612,19.1769,18.6407,18.7814,4206943.0
2020-09-23,18.6723,18.8696,18.5836,18.7416,5520610.0
2020-09-22,18.8611,19.1314,18.8061,18.7913,3106514.0
2020-09-21,18.9316,19.4365,18.8509,18.7814,6933657.0
2020-09-18,18.5081,18.5562,18.1233,18.8112,10942126.0
2020-09-17,18.8947,18.9092,18.4699,19.1689,4768812.0
2020-09-16,20.3587,21.1615,20.3587,19.6161,7213172.0
2020-09-15,18.3408,18.4157,17.6663,18.8907,4827483.0
2020-09-14,19.3876,19.6716,19.239,19.4174,4468843.0
2020-09-11,19.3279,19.4372,19.1391,19.3279,2795638.0
2020-09-10,19.318,19.6257,19.2584,19.3279,3673315.0
2020-09-09,19.3579,19.5012,19.1651,19.4074,6291175.0
2020-09-08,18.8019,18.9062,18.3089,19.2484,3899606.0
2020-09-04,19.3939,19.461,18.79,19.7453,3613637.0
2020-09-03,19.5956,19.7479,18.9961,20.0235,3829367.0
2020-09-02,20.7997,21.3879,20.6904,20.3217,3410418.0
2020-09-01,20.0247,20.2214,19.9137,19.8745,3018758.0
2020-08-31,20.0339,20.1843,19.9336,19.944,4348187.0
2020-08-28,19.9247,20.0552,19.6838,19.8248,2492920.0
2020-08-27,19.7058,19.936,19.6257,19.636,3315715.0
2020-08-26,19.2714,19.2714,18.942,19.5167,3582127.0
2020-08-25,19.5138,19.5138,19.0401,19.8844,3347613.0
2020-08-24,20.4883,20.9325,20.4676,20.0931,4113822.0
2020-08-21,19.5473,19.7142,19.3411,19.6658,4430179.0
2020-08-20,19.3923,19.4501,19.084,19.6956,5580896.0
2020-08-19,20.2328,20.5744,20.2027,20.1229,3552909.0
2020-08-18,19.5592,19.6633,19.0385,19.9651,6967946.0
2020-08-17,20.4786,20.7727,20.3988,20.3695,5393602.0
2020-08-14,20.1628,20.1726,19.8014,20.261,4585438.0
2020-08-13,20.943,21.5736,20.943,20.4583,5698279.0
2020-08-12,19.7075,19.821,19.2912,20.1229,8297450.0
2020-08-11,19.7456,19.9271,19.1671,20.3301,5286233.0
2020-08-10,21.0973,21.5688,21.005,20.695,4454734.0
2020-08-07,20.3521,20.8662,20.3118,20.1328,7286401.0
2020-08-06,21.2752,22.9001,21.2752,19.9947,11881251.0
2020-08-05,18.1325,18.2707,17.4138,18.7617,8742571.0
2020-08-04,19.4549,20.1215,19.4549,19.2253,8598358.0
2020-08-03,19.4399,20.066,19.2603,19.0576,5847185.0
2020-07-31,18.605,18.7361,17.867,18.7518,16893381.0
2020-07-30,18.8014,18.8209,18.3803,18.8702,7231583.0
2020-07-29,19.176,19.2253,18.8698,19.1661,4183700.0
2020-07-28,19.4286,20.0009,19.4183,19.0872,3973080.0
2020-07-27,18.2557,18.3394,17.5218,18.811,7229926.0
2020-07-24,18.9908,19.0941,18.4091,19.4719,3685889.0
2020-07-23,20.1852,20.8172,20.1043,19.9355,5931013.0
2020-07-22,20.4749,21.3506,20.39,19.7382,7282561.0
2020-07-21,19.2856,19.4559,19.0953,19.1365,6556593.0
2020-07-20,18.2717,18.3821,17.5357,18.9195,4760133.0
2020-07-17,20.0754,20.6555,19.9926,19.5902,7707877.0
2020-07-16,19.0181,19.1856,18.7718,19.028,4771431.0
2020-07-15,18.7848,19.0729,18.5159,19.0378,5236417.0
2020-07-14,19.0676,19.4146,19.018,19.0181,11003315.0
2020-07-13,18.8607,19.0659,18.6946,18.9491,6914831.0
2020-07-10,19.2784,19.6335,19.2276,19.0083,4330208.0
2020-07-09,18.43,18.4396,17.7492,18.6926,14224932.0
2020-07-08,18.9401,18.9595,18.7162,19.0674,5555178.0
2020-07-07,19.3145,19.5434,19.1552,19.2253,5533551.0
2020-07-06,19.1869,19.3812,18.7692,19.3338,7024398.0
2020-07-02,19.176,19.4614,19.0972,19.1957,7950045.0
2020-07-01,19.5877,20.3314,19.5562,19.0083,10665172.0
2020-06-30,18.4559,18.6343,18.2182,18.4164,6321063.0
2020-06-29,19.0952,19.8522,18.898,18.3671,9176285.0
2020-06-26,17.14,17.2161,16.6647,17.4596,14146216.0
2020-06-25,17.8445,17.9719,17.5309,17.9035,9782203.0
2020-06-24,18.4432,19.0283,18.3509,18.081,12808344.0
2020-06-23,17.8447,17.9424,17.5126,17.9331,6499741.0
2020-06-22,18.1569,18.6083,18.0441,17.8048,8486997.0
2020-06-19,16.7392,16.7392,15.9583,17.5484,21472995.0
2020-06-18,18.1701,18.5279,18.1204,18.1008,9331133.0
2020-06-17,18.1699,18.2877,17.836,18.2093,8001568.0
2020-06-16,17.6134,17.9854,17.0462,18.1402,8157375.0
2020-06-15,18.8148,19.9974,18.6428,18.0218,9072659.0
2020-06-12,17.4074,17.6349,16.81,17.7555,10230369.0
2020-06-11,17.708,18.0503,17.4966,17.5286,14137644.0
2020-06-10,17.8204,17.9442,17.3254,18.1402,10804148.0
2020-06-09,18.2593,18.3275,17.7724,18.3769,14122386.0
2020-06-08,19.5369,20.5243,19.5156,18.8307,16830692.0
2020-06-05,17.6824,18.0631,17.3303,18.0021,14693641.0
2020-06-04,17.5042,17.5233,16.9989,17.8048,8684909.0
2020-06-03,18.2985,18.6073,18.2586,18.2093,9318115.0
2020-06-02,17.9235,18.162,17.8241,17.8541,10456311.0
2020-06-01,18.0752,18.553,18.004,17.8048,7148693.0
2020-05-29,17.4404,17.5575,16.9332,17.5385,12805785.0
2020-05-28,17.9647,18.2568,17.6725,17.7752,8638896.0
