date,Open,High,Low,Close,Volume
2021-02-12,118.7179,120.6851,118.7179,117.75,2497156.0
2021-02-11,116.326,116.7499,114.1079,117.16,3273735.0
2021-02-10,118.304,119.781,117.4542,117.62,3918930.0
2021-02-09,116.2811,118.1121,114.9631,115.93,4056715.0
2021-02-08,116.9985,118.9314,116.7849,116.0,3391661.0
2021-02-05,114.46,115.4916,113.3604,114.48,3925736.0
2021-02-04,117.532,122.9248,117.3905,112.66,5819447.0
2021-02-03,108.4952,110.1441,108.1163,107.21,3947787.0
2021-02-02,108.1824,111.6692,107.9118,106.04,4568873.0
2021-02-01,100.639,101.4431,98.1884,102.86,3712557.0
2021-01-29,103.0639,105.0378,101.0313,104.26,3535432.0
2021-01-28,109.2324,113.3142,107.7063,106.84,4667569.0
2021-01-27,102.1924,107.1738,99.9048,102.69,7617330.0
2021-01-26,96.9609,96.9703,93.9765,99.93,4237557.0
2021-01-25,101.0808,101.5084,97.854,102.53,3733303.0
2021-01-22,103.5992,103.8846,100.4268,105.34,5438556.0
2021-01-21,106.75,107.3594,103.3548,108.54,6253832.0
2021-01-20,109.7153,110.7923,107.7261,111.38,3931458.0
2021-01-19,111.4869,112.0529,109.8378,112.86,3399603.0
2021-01-15,112.8308,114.2986,111.8456,112.53,3396098.0
2021-01-14,115.7866,118.2964,115.0081,114.4,2841618.0
2021-01-13,113.6312,116.2882,113.6312,112.08,3015877.0
2021-01-12,111.2623,112.7154,109.7216,110.76,3116910.0
2021-01-11,110.4008,112.1553,109.1461,109.31,3312930.0
2021-01-08,110.1217,110.8956,107.7804,110.56,3001077.0
2021-01-07,112.8498,115.8515,112.1747,110.73,4795824.0
2021-01-06,111.9463,117.0001,111.468,107.38,4394075.0
2021-01-05,102.5465,105.4669,102.5465,100.14,2171542.0
2021-01-04,95.9858,96.2361,93.3391,97.84,3429883.0
2020-12-31,99.7074,100.8825,98.751,98.85,1290793.0
2020-12-30,99.2797,100.8024,98.7345,97.88,1405198.0
2020-12-29,94.8195,95.0188,92.7834,96.18,1902724.0
2020-12-28,97.2807,98.5736,96.9028,97.55,2092777.0
2020-12-24,97.611,98.0437,96.4033,97.3,960160.0
2020-12-23,97.6674,99.5499,97.4333,96.82,1769372.0
2020-12-22,94.5421,95.2355,94.0765,94.99,2970421.0
2020-12-21,97.0105,100.1406,95.5699,95.29,4811543.0
2020-12-18,89.2408,89.2408,86.4769,91.57,4342599.0
2020-12-17,94.2905,94.7425,93.4668,94.08,1822460.0
2020-12-16,93.9715,94.7982,92.4694,93.59,2234040.0
2020-12-15,93.7114,94.7644,91.7279,92.68,2249607.0
2020-12-14,87.4789,87.9375,84.4837,90.42,3837868.0
2020-12-11,91.4753,91.9384,89.7023,92.17,3041969.0
2020-12-10,96.0292,98.0508,94.7637,94.67,2939954.0
2020-12-09,96.9526,99.4878,96.7753,94.92,4599875.0
2020-12-08,93.8968,95.7665,93.8557,92.64,2889348.0
2020-12-07,92.94,93.1399,90.9513,92.97,2758666.0
2020-12-04,92.4505,93.5756,91.2852,92.24,2187806.0
2020-12-03,91.26,92.2396,90.4404,91.28,2123360.0
2020-12-02,94.4811,98.2433,94.2887,91.39,2853147.0
2020-12-01,91.4328,94.4148,91.2458,89.7,2748830.0
2020-11-30,81.8002,82.0647,77.6947,85.64,4422540.0
2020-11-27,86.3626,86.75,84.8132,87.76,2139497.0
2020-11-25,89.7702,89.9896,87.407,89.9,3295401.0
2020-11-24,93.217,95.8613,92.405,91.36,3218031.0
2020-11-23,89.4528,92.1838,88.9486,87.28,2224864.0
2020-11-20,82.7386,83.3657,81.3666,83.58,3454329.0
2020-11-19,85.2407,85.8845,84.1644,84.99,4613373.0
2020-11-18,83.0678,84.1552,80.5352,85.61,2681268.0
2020-11-17,88.425,89.958,86.7905,87.76,1829317.0
2020-11-16,87.2512,87.8523,84.9533,88.61,2065247.0
2020-11-13,89.0838,92.1349,89.0838,86.7,2280139.0
2020-11-12,83.8912,85.2109,83.1456,83.58,2129929.0
2020-11-11,82.3172,82.667,79.1319,84.67,2709237.0
2020-11-10,86.1039,87.436,84.6336,86.68,2639096.0
2020-11-09,89.1755,94.9817,89.1755,86.95,5669176.0
2020-11-06,76.4914,77.1879,74.6001,77.77,2559591.0
2020-11-05,80.9122,83.8333,80.6476,78.5989,2294031.0
2020-11-04,75.0161,76.793,72.1138,75.453,3189328.0
2020-11-03,77.7611,79.3206,77.3083,77.4704,2655795.0
2020-11-02,76.6257,78.2372,75.9688,75.5828,2602302.0
2020-10-30,73.4282,73.9943,72.0434,72.9862,2102045.0
2020-10-29,74.7016,76.938,73.97,73.0261,2551907.0
2020-10-28,72.2582,74.08,71.9844,71.9774,3696992.0
2020-10-27,73.2625,73.4781,72.2043,73.9649,3023874.0
2020-10-26,73.2127,73.3417,70.8815,74.8537,5111875.0
2020-10-23,75.48,75.9677,72.0474,77.8898,7613979.0
2020-10-22,78.7445,81.6535,78.5969,76.6514,10451145.0
2020-10-21,70.5716,70.8377,67.5986,73.6253,5700788.0
2020-10-20,76.5467,77.716,75.8097,77.1708,2515667.0
2020-10-19,74.4623,74.5743,71.9606,77.021,2048499.0
2020-10-16,79.1782,79.8984,78.5281,79.1183,3590349.0
2020-10-15,79.43,80.5767,78.6621,78.4491,2878789.0
2020-10-14,77.5436,78.0593,76.444,78.559,1589777.0
2020-10-13,79.598,80.8915,79.0866,79.4379,1978091.0
2020-10-12,80.9105,82.1878,80.4036,80.3067,2056323.0
2020-10-09,78.4322,78.8377,76.463,79.7774,1733684.0
2020-10-08,81.901,83.7769,80.8276,80.1769,2039533.0
2020-10-07,79.5322,81.5186,79.5322,78.1395,2748166.0
2020-10-06,72.3108,73.2078,68.86,75.5329,2874474.0
2020-10-05,79.759,81.7985,79.1628,77.9398,3037151.0
2020-10-02,78.4117,82.961,77.8636,74.8438,2693846.0
2020-10-01,72.7864,75.1103,71.1209,72.8363,2798028.0
2020-09-30,72.6472,75.2568,72.3812,71.7677,2757623.0
2020-09-29,69.6282,70.0683,68.2198,70.3595,2150643.0
2020-09-28,71.4186,72.6533,70.2342,71.2384,1714313.0
2020-09-25,71.4762,74.2515,71.3281,69.2709,1991290.0
2020-09-24,67.9726,69.1996,66.2969,68.0125,3324212.0
2020-09-23,65.9891,66.966,63.8756,68.0425,4409001.0
2020-09-22,68.5666,69.4996,65.9313,69.8702,3187801.0
2020-09-21,70.36,70.9296,68.3999,71.558,3954421.0
2020-09-18,75.7226,76.8021,74.973,75.6927,3047915.0
2020-09-17,77.1207,79.9473,76.7287,75.8824,3189810.0
2020-09-16,78.8893,82.5518,77.5575,76.0722,3694685.0
2020-09-15,72.0945,72.3947,70.3945,73.2059,2671947.0
2020-09-14,77.4064,80.8579,77.2341,74.5441,3557421.0
2020-09-11,72.5309,74.3465,71.9674,70.9588,2212653.0
2020-09-10,67.5976,68.8793,65.7842,69.3309,2626574.0
2020-09-09,69.7578,69.7578,68.2804,70.4794,2574721.0
2020-09-08,68.3274,68.4879,66.3917,70.2696,3374045.0
2020-09-04,75.57,77.7948,74.6195,73.895,5011664.0
2020-09-03,69.7504,71.6237,68.8038,69.8302,2313937.0
2020-09-02,70.2634,71.6502,70.0169,69.2809,1470337.0
2020-09-01,69.1575,70.7154,68.7247,68.4919,1524119.0
2020-08-31,67.0474,67.189,65.1298,68.9414,3043971.0
2020-08-28,72.1339,73.3284,71.5907,71.0387,3582824.0
2020-08-27,73.1127,77.2659,73.0575,69.5206,3898204.0
2020-08-26,65.5716,65.7774,64.425,66.1949,1792038.0
2020-08-25,65.4162,66.0957,63.5212,66.8241,1966586.0
2020-08-24,70.5958,74.1701,70.3043,67.2735,2615584.0
2020-08-21,63.2324,63.747,62.3472,63.7181,1609842.0
2020-08-20,63.9288,64.2161,63.2156,64.1875,2544798.0
2020-08-19,65.7257,67.0083,65.1946,65.6156,2495829.0
2020-08-18,63.7596,63.7596,62.0312,65.3859,2732197.0
2020-08-17,64.3068,64.4553,61.977,66.7042,2910400.0
2020-08-14,71.7458,74.7147,70.8701,69.3808,2956946.0
2020-08-13,67.955,69.3092,67.5103,67.5531,2965283.0
2020-08-12,65.3304,66.1585,61.6682,68.0625,2595563.0
2020-08-11,69.5806,71.8702,69.3606,69.5406,3146373.0
2020-08-10,68.6577,70.5689,68.5538,67.3234,2711173.0
2020-08-07,68.6191,72.0217,67.8993,65.6656,3832733.0
2020-08-06,62.9166,64.1944,62.2285,63.372,2880812.0
2020-08-05,65.1844,66.1013,64.6393,64.4889,2172855.0
2020-08-04,63.1028,63.642,62.5536,63.0629,1828693.0
2020-08-03,62.8764,63.4469,62.1585,63.3122,1792499.0
2020-07-31,62.6492,62.6492,60.6717,63.6213,1992527.0
2020-07-30,64.9791,65.674,63.8914,64.6584,1915867.0
2020-07-29,68.5272,70.9746,68.0142,66.1941,1800780.0
2020-07-28,63.016,63.7768,61.9887,63.9205,3132299.0
2020-07-27,66.8369,68.3917,65.365,65.5559,3736607.0
2020-07-24,64.5306,64.8957,63.8499,64.8778,2194849.0
2020-07-23,67.0099,69.5261,66.6993,65.2168,4594607.0
2020-07-22,67.6296,72.6272,67.4171,63.8706,10854667.0
2020-07-21,64.0801,65.6949,63.7571,62.6939,4415756.0
2020-07-20,60.0967,60.6544,59.1672,60.6696,3063166.0
2020-07-17,60.4798,60.5084,58.857,61.8164,2485448.0
2020-07-16,63.7866,65.5957,63.4309,63.1825,2957817.0
2020-07-15,64.7939,66.2473,63.9322,63.5016,3184140.0
2020-07-14,60.0253,60.8005,58.9361,60.51,4071271.0
2020-07-13,61.3676,62.8924,59.5539,61.3876,3808538.0
2020-07-10,63.36,66.2569,63.0224,60.6297,3137142.0
2020-07-09,55.6679,55.8596,52.2999,58.1866,4074928.0
2020-07-08,62.8878,64.6768,62.2985,61.2181,3087662.0
2020-07-07,57.8122,57.8122,55.7859,59.7422,3035978.0
2020-07-06,62.0487,62.5011,60.583,62.4745,2644032.0
2020-07-02,59.882,60.8244,58.3914,60.9787,3376208.0
2020-07-01,58.4594,59.7615,55.9666,60.53,3403828.0
2020-06-30,62.9274,64.2351,62.4916,62.4147,4061364.0
2020-06-29,62.7485,63.9052,61.6526,62.2053,3461848.0
2020-06-26,56.9129,56.9129,52.8315,60.9887,8712551.0
2020-06-25,69.0992,71.7946,68.2256,66.8522,4254726.0
2020-06-24,62.4344,62.4344,59.2871,65.2767,3728258.0
2020-06-23,69.3751,69.9934,68.6372,69.3751,2365007.0
2020-06-22,67.8306,69.3835,67.1581,68.1087,3797054.0
2020-06-19,64.4608,64.4608,60.5309,67.8793,6014240.0
2020-06-18,69.2988,70.4788,68.2662,69.784,3581843.0
2020-06-17,69.2261,69.5742,67.0057,71.2698,2950839.0
2020-06-16,71.9471,72.2154,67.4815,73.3939,5360122.0
2020-06-15,75.9546,82.465,75.5549,70.9707,4043248.0
2020-06-12,70.8031,71.2465,67.5985,70.4322,5170056.0
2020-06-11,65.3517,68.7314,64.6757,65.9348,6427560.0
2020-06-10,66.0517,66.5184,60.9342,71.5989,7764333.0
2020-06-09,79.7337,82.1461,79.1539,78.2502,3869515.0
2020-06-08,78.568,79.4578,76.353,79.7759,7021568.0
2020-06-05,73.3672,73.6697,67.6876,78.7987,7546808.0
2020-06-04,80.2413,83.7018,78.8854,76.9339,4367247.0
2020-06-03,75.5236,77.8006,74.8923,74.1318,5696088.0
2020-06-02,71.3962,73.7046,70.5116,70.7014,5558211.0
2020-06-01,69.198,70.903,68.4817,68.7968,4603990.0
2020-05-29,68.9026,70.9594,67.6891,67.8494,9175668.0
2020-05-28,65.1359,65.2446,61.477,68.348,6158802.0
2020-05-27,71.295,72.4111,68.8093,70.6815,5950371.0
2020-05-26,67.1987,69.8134,66.9686,65.6157,5171868.0
2020-05-22,59.4392,59.9669,58.2664,60.0414,3643899.0
2020-05-21,60.2843,60.9226,59.2532,60.7494,2788188.0
2020-05-20,61.0397,62.1271,60.2094,61.3078,4952174.0
2020-05-19,57.8998,58.3536,55.7235,60.0812,4656513.0
2020-05-18,64.2253,65.841,63.3094,63.2224,4731445.0
2020-05-15,57.7679,59.0797,56.8934,57.8675,3359612.0
2020-05-14,66.3518,74.6268,65.4814,58.9943,8391189.0
2020-05-13,50.9401,51.2706,47.9115,53.8188,5641953.0
2020-05-12,56.1026,57.2433,54.2606,57.9373,5471488.0
2020-05-11,57.8648,57.8648,55.5127,59.3333,4423032.0
2020-05-08,62.3063,62.8597,61.4812,62.0258,3004547.0
2020-05-07,61.4957,64.5189,61.4957,60.2621,4214770.0
2020-05-06,55.0991,55.4216,52.2152,57.9535,4267712.0
2020-05-05,57.1922,57.6808,53.8076,60.4008,8939731.0
2020-05-04,63.1686,66.2262,61.8628,61.0251,8372144.0
2020-05-01,60.4361,60.4361,58.4822,61.0151,6249089.0
