date,Open,High,Low,Close,Volume
2021-02-12,6.8101,7.0119,6.7294,6.78,9261858.0
2021-02-11,7.2965,7.6602,7.1862,6.95,29874002.0
2021-02-10,6.2287,6.2467,5.8262,6.57,24195291.0
2021-02-09,6.4897,6.842,5.9983,6.74,56542131.0
2021-02-08,8.1372,8.6123,8.0872,7.94,23653375.0
2021-02-05,8.2794,9.1249,8.1972,7.64,28954489.0
2021-02-04,7.0538,7.2215,6.9071,6.89,11347239.0
2021-02-03,6.8718,7.0062,6.6755,6.76,11978519.0
2021-02-02,6.6501,6.7296,6.4562,6.67,13686236.0
2021-02-01,6.6206,6.7988,6.3354,6.56,15997913.0
2021-01-29,6.0472,6.1103,5.7273,6.37,12505841.0
2021-01-28,6.6321,6.8541,6.4101,6.75,10208623.0
2021-01-27,7.076,7.564,6.9646,6.87,16125470.0
2021-01-26,6.7009,6.7888,6.4714,6.78,10885542.0
2021-01-25,7.3877,8.072,7.3065,6.86,19287305.0
2021-01-22,5.8838,5.8838,5.3568,6.33,31100458.0
2021-01-21,6.8502,6.9095,6.7316,6.89,6384896.0
2021-01-20,6.8601,6.9097,6.6718,6.89,5481442.0
2021-01-19,6.8014,6.8694,6.6363,6.9,6311773.0
2021-01-15,6.6494,6.6773,6.3801,6.9,7284859.0
2021-01-14,7.0811,7.1982,6.9446,7.17,6641960.0
2021-01-13,7.272,7.8203,7.21,7.15,15846066.0
2021-01-12,7.0421,7.1975,6.9178,6.92,6482776.0
2021-01-11,6.9844,7.2367,6.9212,6.81,6271668.0
2021-01-08,6.6521,6.7365,6.4216,6.81,8002885.0
2021-01-07,6.9209,7.0675,6.8232,7.0,8113484.0
2021-01-06,6.97,7.2809,6.8407,6.96,10631095.0
2021-01-05,7.0225,7.2303,7.0225,6.89,7097240.0
2021-01-04,6.4819,6.4819,6.105,6.76,9424830.0
2020-12-31,7.0602,7.2524,6.9619,7.02,5791955.0
2020-12-30,7.0812,7.3367,7.0299,6.99,6044218.0
2020-12-29,6.6562,6.7457,6.4303,6.86,7297199.0
2020-12-28,6.8273,6.9023,6.5928,7.05,6932736.0
2020-12-24,6.9384,6.9478,6.5929,7.18,5475239.0
2020-12-23,7.42,7.7509,7.2796,7.41,12428111.0
2020-12-22,7.6399,8.5394,7.4289,7.25,31018453.0
2020-12-21,6.871,7.0143,6.6662,6.79,13733088.0
2020-12-18,7.0812,7.2634,6.958,6.99,12839241.0
2020-12-17,6.8801,7.0108,6.6588,6.86,10840721.0
2020-12-16,6.7409,6.7898,6.6237,6.82,7610430.0
2020-12-15,7.0229,7.2938,6.8822,6.88,8740718.0
2020-12-14,6.1434,6.186,5.5904,6.66,12050064.0
2020-12-11,6.7251,6.8631,6.4457,6.91,8462658.0
2020-12-10,7.3677,7.6453,7.357,7.13,6146088.0
2020-12-09,7.1007,7.2576,6.983,7.17,8567907.0
2020-12-08,7.0807,7.1003,6.6296,7.15,15791831.0
2020-12-07,7.303,7.5432,7.106,7.45,11598224.0
2020-12-04,7.8513,8.0668,7.7815,7.75,10914900.0
2020-12-03,7.6211,7.8977,7.6108,7.53,14778641.0
2020-12-02,7.9609,8.6108,7.8681,7.39,11521944.0
2020-12-01,6.5473,6.5473,6.1149,6.97,14688738.0
2020-11-30,7.5912,8.3381,7.5912,7.19,19696911.0
2020-11-27,7.281,7.9064,7.1023,6.89,20007094.0
2020-11-25,7.3717,7.6191,7.1655,7.26,22210472.0
2020-11-24,7.6003,7.7118,7.0734,7.55,27547228.0
2020-11-23,7.5659,8.3747,7.505,6.86,22040718.0
2020-11-20,5.8099,5.856,5.283,6.05,21906775.0
2020-11-19,6.7349,7.3736,6.642,6.25,55271352.0
2020-11-18,5.3812,5.742,5.3812,5.3,15112574.0
2020-11-17,5.0703,5.1442,4.7996,5.11,16562575.0
2020-11-16,5.6832,6.094,5.5577,5.32,27678615.0
2020-11-13,5.1215,5.5216,5.11,4.79,12944663.0
2020-11-12,4.3132,4.3511,4.1425,4.43,9862796.0
2020-11-11,4.9853,5.4607,4.9853,4.63,20020115.0
2020-11-10,4.1073,4.1994,3.831,4.28,17430373.0
2020-11-09,4.44,4.5993,4.0717,4.45,38385507.0
2020-11-06,4.3922,4.821,4.2995,4.08,50118601.0
2020-11-05,3.6456,4.0626,3.6337,3.34,11113146.0
2020-11-04,2.9326,2.9326,2.8289,3.02,7409237.0
2020-11-03,3.1805,3.2729,3.1395,3.14,7625121.0
2020-11-02,3.1427,3.2595,3.0684,3.05,7688233.0
2020-10-30,2.8508,2.9475,2.8025,2.9,7023918.0
2020-10-29,3.0001,3.0609,2.9089,2.98,13542379.0
2020-10-28,2.9008,2.9395,2.8429,2.95,6590671.0
2020-10-27,3.0116,3.0355,2.9351,3.08,6254302.0
2020-10-26,3.0077,3.0077,2.8084,3.16,9347024.0
2020-10-23,3.4,3.4704,3.3346,3.39,6313410.0
2020-10-22,3.4005,3.4517,3.2879,3.36,5990481.0
2020-10-21,3.3108,3.383,3.2798,3.26,4636667.0
2020-10-20,3.2103,3.2741,3.1612,3.24,4901935.0
2020-10-19,3.1803,3.2784,3.1508,3.21,7547816.0
2020-10-16,3.2205,3.2693,3.1522,3.26,5295951.0
2020-10-15,3.3203,3.4221,3.2999,3.29,6595142.0
2020-10-14,3.4537,3.6323,3.4003,3.34,6508526.0
2020-10-13,3.27,3.3425,3.2402,3.28,7671606.0
2020-10-12,3.2556,3.274,3.108,3.39,10469134.0
2020-10-09,3.3164,3.3426,3.0546,3.55,19245257.0
2020-10-08,3.9625,4.288,3.8559,3.74,32281037.0
2020-10-07,3.5428,3.8371,3.5428,3.33,16020340.0
2020-10-06,3.0005,3.1418,2.9518,3.04,14409233.0
2020-10-05,3.0508,3.1284,2.9785,3.0,9503149.0
2020-10-02,3.1019,3.3291,3.0678,2.91,9340164.0
2020-10-01,3.0083,3.2089,3.0081,2.85,11082161.0
2020-09-30,2.6509,2.7184,2.5883,2.7,12932941.0
2020-09-29,2.5352,2.5352,2.4254,2.65,10449365.0
2020-09-28,2.75,2.83,2.69,2.75,12695667.0
2020-09-25,2.6036,2.6501,2.492,2.7,13438829.0
2020-09-24,2.655,2.6642,2.4345,2.77,19389091.0
2020-09-23,2.6562,2.6976,2.4121,2.92,21359623.0
2020-09-22,3.1616,3.4757,3.1616,3.09,17981760.0
2020-09-21,2.9903,3.157,2.9413,3.02,21535055.0
2020-09-18,2.898,2.898,2.7445,3.05,91803737.0
2020-09-17,3.23,3.2904,3.1596,3.22,14521072.0
2020-09-16,3.2803,3.3618,3.2293,3.25,14771960.0
2020-09-15,2.983,3.0443,2.7982,3.18,27753091.0
2020-09-14,3.2191,3.2281,3.0297,3.39,17602380.0
2020-09-11,3.3298,3.3298,3.1498,3.51,10351803.0
2020-09-10,3.6204,3.7085,3.5715,3.66,8881520.0
2020-09-09,3.5838,3.5838,3.3774,3.7,13593880.0
2020-09-08,3.7504,3.8385,3.6623,3.79,16388540.0
2020-09-04,3.9938,4.1696,3.9086,3.87,18723930.0
2020-09-03,3.7218,3.9204,3.7166,3.64,14977598.0
2020-09-02,3.4903,3.5599,3.4411,3.52,10474599.0
2020-09-01,3.6203,3.6711,3.539,3.59,10649959.0
2020-08-31,3.4177,3.4268,3.2445,3.58,12149495.0
2020-08-28,3.8128,3.9289,3.7705,3.71,15427653.0
2020-08-27,3.55,3.7612,3.4796,3.54,28819578.0
2020-08-26,3.7621,3.7907,3.657,3.85,8893920.0
2020-08-25,3.8225,3.8494,3.6703,3.92,6266170.0
2020-08-24,4.1351,4.2855,4.0277,3.99,8352227.0
2020-08-21,3.79,3.87,3.74,3.79,6536487.0
2020-08-20,3.7702,3.8195,3.7234,3.8,5552781.0
2020-08-19,3.8206,3.9112,3.7622,3.87,6373989.0
2020-08-18,3.95,4.0807,3.95,3.94,4573701.0
2020-08-17,3.817,3.817,3.6054,3.98,9523987.0
2020-08-14,4.3242,4.5478,4.2816,4.19,5803479.0
2020-08-13,4.12,4.2105,4.11,4.11,4151298.0
2020-08-12,4.1206,4.1499,4.0034,4.17,6211944.0
2020-08-11,4.0552,4.223,3.8874,4.2,10824771.0
2020-08-10,4.4944,4.7697,4.4506,4.24,8592317.0
2020-08-07,4.1026,4.2078,4.0394,4.0,5415937.0
2020-08-06,4.0006,4.1032,3.9801,3.95,5365663.0
2020-08-05,4.0421,4.1363,3.9793,3.95,6203633.0
2020-08-04,4.0189,4.3107,3.9693,3.83,9657983.0
2020-08-03,3.67,3.7098,3.5109,3.68,10977936.0
2020-07-31,3.6221,3.6698,3.4982,3.71,8784302.0
2020-07-30,3.82,3.95,3.76,3.82,11307439.0
2020-07-29,3.7349,3.7628,3.5859,3.87,13143564.0
2020-07-28,4.2043,4.3964,4.2043,4.07,7924156.0
2020-07-27,4.02,4.0301,3.8894,4.01,10090248.0
2020-07-24,3.8935,3.9595,3.7521,4.01,12723877.0
2020-07-23,4.283,4.4834,4.283,4.17,6793908.0
2020-07-22,4.12,4.17,4.06,4.12,7069850.0
2020-07-21,4.1502,4.3024,4.1299,4.12,9972351.0
2020-07-20,3.8654,3.9583,3.6982,4.01,12398221.0
2020-07-17,4.0645,4.0739,3.9147,4.2,7145300.0
