date,Open,High,Low,Close,Volume
2021-02-12,121.1341,123.3667,119.9818,119.425,907246.0
2021-02-11,113.1503,113.493,109.847,115.97,881241.0
2021-02-10,114.5386,114.822,110.8305,118.05,835334.0
2021-02-09,121.1901,121.676,120.6291,121.08,893427.0
2021-02-08,122.0737,124.127,121.5629,120.78,1043877.0
2021-02-05,121.9539,125.3554,120.5662,119.39,1761862.0
2021-02-04,116.2518,118.6504,115.7865,114.33,781261.0
2021-02-03,110.854,111.4799,109.3285,112.1,935162.0
2021-02-02,116.1513,118.79,115.7981,113.96,1138485.0
2021-02-01,111.6151,113.237,111.2603,110.86,1013857.0
2021-01-29,110.5052,111.9245,109.3291,109.75,1468866.0
2021-01-28,110.7766,113.1736,110.1571,109.92,1685517.0
2021-01-27,107.7226,109.2437,105.643,108.25,2188834.0
2021-01-26,107.8254,107.9497,105.2629,110.27,1057290.0
2021-01-25,111.8793,112.1445,109.3654,112.9,1588329.0
2021-01-22,113.8054,114.2887,112.5133,114.59,1621170.0
2021-01-21,114.9647,116.1298,113.8145,115.7,990869.0
2021-01-20,116.7411,117.2642,115.6445,116.39,972635.0
2021-01-19,116.07,117.1296,115.3103,116.09,903353.0
2021-01-15,115.0743,115.104,112.2097,115.78,1377084.0
2021-01-14,115.4484,115.5647,113.4128,117.26,781838.0
2021-01-13,116.5172,116.546,113.9331,119.1,808326.0
2021-01-12,123.2156,125.4945,122.8678,121.83,774317.0
2021-01-11,119.6818,119.7798,117.466,120.87,668827.0
2021-01-08,123.7089,127.133,123.4936,122.18,843522.0
2021-01-07,124.02,127.5364,124.02,120.87,1370414.0
2021-01-06,117.6701,120.1247,117.0317,117.8,1689515.0
2021-01-05,119.9403,121.1864,118.0762,120.13,1472728.0
2021-01-04,113.8555,114.274,107.0072,120.65,1685306.0
2020-12-31,128.0348,129.1585,127.1743,127.25,867459.0
2020-12-30,127.0722,129.2151,126.9917,126.54,886250.0
2020-12-29,124.6823,125.1627,122.5743,125.92,940426.0
2020-12-28,128.0948,130.3632,126.9708,126.72,1003970.0
2020-12-24,123.8602,124.3413,122.9981,123.71,291371.0
2020-12-23,123.4501,124.3115,123.2798,123.35,751706.0
2020-12-22,123.9162,124.8493,122.7853,123.04,806478.0
2020-12-21,123.8115,125.6188,121.5832,122.18,1883070.0
2020-12-18,122.1603,122.1603,120.3463,122.36,2452796.0
2020-12-17,121.9406,122.6335,121.4083,121.68,892393.0
2020-12-16,120.2438,121.7864,118.7408,120.92,953426.0
2020-12-15,123.5695,126.7316,123.3933,121.36,1839604.0
2020-12-14,119.0853,121.5582,118.7154,118.29,1874682.0
2020-12-11,119.8382,122.8396,119.156,116.98,1296397.0
2020-12-10,115.7486,116.9289,114.8431,114.75,986560.0
2020-12-09,112.7946,113.7527,111.1034,114.08,945959.0
2020-12-08,117.1105,119.3186,116.5662,115.56,1108003.0
2020-12-07,116.6352,119.1414,116.2105,114.61,1145023.0
2020-12-04,109.2536,109.5593,106.3085,112.09,1363664.0
2020-12-03,118.1331,121.953,118.1331,115.0,1507006.0
2020-12-02,111.5669,111.6736,109.6955,113.3,1065804.0
2020-12-01,114.5048,115.6894,113.4536,115.25,1413580.0
2020-11-30,115.6905,116.1323,114.2552,115.45,2910965.0
2020-11-27,116.1374,117.2653,115.8427,115.21,484586.0
2020-11-25,115.7484,117.0302,114.9855,114.76,983610.0
2020-11-24,112.6832,113.219,111.6435,113.2,1491846.0
