date,Open,High,Low,Close,Volume
2021-02-12,0.0495,0.0496,0.0418,0.0497,198615.0
2021-02-11,0.0511,0.0598,0.0459,0.049,649032.0
2021-02-10,0.055,0.055,0.0421,0.055,172460.0
2021-02-09,0.055,0.055,0.05,0.055,172460.0
2021-02-08,0.0504,0.0529,0.0462,0.055,491181.0
2021-02-05,0.0662,0.0711,0.0638,0.063,404244.0
2021-02-04,0.0588,0.0757,0.0588,0.0545,183254.0
2021-02-03,0.0386,0.0386,0.0287,0.052,267588.0
2021-02-02,0.0632,0.0665,0.0465,0.06,275111.0
2021-02-01,0.0592,0.0688,0.0574,0.051,704186.0
2021-01-29,0.0348,0.0348,0.0251,0.04,376143.0
2021-01-28,0.04,0.04,0.0325,0.0451,286458.0
2021-01-27,0.0443,0.0471,0.0416,0.047,333610.0
2021-01-26,0.0357,0.0479,0.023,0.05,1210238.0
2021-01-25,0.0425,0.0425,0.0294,0.0525,1673344.0
2021-01-22,0.0403,0.046,0.0345,0.046,384369.0
2021-01-21,0.0341,0.0369,0.0256,0.0452,395252.0
2021-01-20,0.0796,0.1057,0.0705,0.06,527238.0
2021-01-19,0.0451,0.0506,0.0368,0.047,213161.0
2021-01-15,0.0471,0.0471,0.0415,0.0486,199508.0
2021-01-14,0.053,0.0578,0.0482,0.054,238084.0
2021-01-13,0.0381,0.0381,0.0224,0.054,238084.0
2021-01-12,0.0504,0.0504,0.0462,0.055,157561.0
2021-01-11,0.0521,0.057,0.0472,0.05,454479.0
2021-01-08,0.0535,0.0595,0.0535,0.049,608573.0
2021-01-07,0.0624,0.087,0.0624,0.0449,114852.0
2021-01-06,0.0259,0.0259,0.0171,0.0356,23493.0
2021-01-05,0.0358,0.111,0.0358,0.0322,840580.0
2021-01-04,0.0261,0.0261,0.0225,0.0275,142469.0
2020-12-31,0.0249,0.0249,0.019,0.0268,224203.0
2020-12-30,0.0235,0.0235,0.0211,0.0261,59098.0
2020-12-29,0.017,0.017,0.0121,0.0226,337157.0
2020-12-28,0.0281,0.0281,0.0229,0.03,74517.0
2020-12-24,0.0319,0.0319,0.0219,0.0329,121634.0
2020-12-23,0.0272,0.0272,0.0217,0.0299,144377.0
2020-12-22,0.0272,0.0272,0.0272,0.0272,110.0
2020-12-21,0.0179,0.0179,0.013,0.0243,74502.0
2020-12-18,0.0417,0.0514,0.0415,0.0338,22285.0
2020-12-17,0.0419,0.052,0.0383,0.0339,35600.0
2020-12-16,0.0257,0.0257,0.0206,0.03,11672.0
2020-12-15,0.0523,0.0805,0.0523,0.034,272796.0
2020-12-14,0.0369,0.0478,0.0369,0.0285,95679.0
2020-12-11,0.0248,0.0248,0.0247,0.0249,30000.0
2020-12-10,0.026,0.0271,0.0228,0.025,107600.0
2020-12-09,0.0258,0.0298,0.0249,0.025,124615.0
2020-12-08,0.0339,0.0412,0.031,0.0279,162000.0
2020-12-07,0.0249,0.0249,0.0249,0.0249,300.0
2020-12-04,0.0273,0.0298,0.0273,0.0251,36075.0
2020-12-03,0.0251,0.0251,0.023,0.0251,36120.0
2020-12-02,0.0221,0.0221,0.0186,0.0235,10560.0
2020-12-01,0.0231,0.0251,0.0231,0.0231,188098.0
2020-11-30,0.0232,0.0253,0.0213,0.0231,188098.0
2020-11-27,0.0243,0.0255,0.0243,0.0231,8000.0
2020-11-25,0.0276,0.0304,0.0276,0.0254,87982.0
2020-11-24,0.0212,0.0212,0.0195,0.023,207398.0
2020-11-23,0.0242,0.0242,0.0232,0.025,126919.0
2020-11-20,0.0259,0.0261,0.0253,0.0258,101100.0
2020-11-19,0.0252,0.0252,0.0252,0.0252,2000.0
2020-11-18,0.0229,0.0229,0.0215,0.0244,64769.0
2020-11-17,0.0265,0.0265,0.0253,0.0266,28857.0
2020-11-16,0.0295,0.0328,0.0283,0.0266,338177.0
2020-11-13,0.022,0.022,0.0211,0.023,196185.0
2020-11-12,0.0231,0.0231,0.0214,0.0245,95342.0
2020-11-11,0.0289,0.0289,0.0289,0.0289,0.0
2020-11-10,0.0289,0.0289,0.0289,0.0289,5000.0
2020-11-09,0.0279,0.0279,0.0243,0.0289,10100.0
2020-11-06,0.0359,0.0445,0.0359,0.029,7200.0
2020-11-05,0.0298,0.0298,0.0228,0.0299,69371.0
2020-11-04,0.039,0.0506,0.039,0.03,18000.0
2020-11-03,0.032,0.032,0.032,0.032,2000.0
2020-11-02,0.0302,0.0302,0.0267,0.032,12600.0
2020-10-30,0.0331,0.0332,0.0316,0.033,20875.0
2020-10-29,0.03,0.03,0.0257,0.03,11998.0
2020-10-28,0.0259,0.0259,0.024,0.0278,1360.0
2020-10-27,0.03,0.03,0.03,0.03,1000.0
2020-10-26,0.0304,0.0358,0.0304,0.0278,17934.0
2020-10-23,0.0261,0.0261,0.019,0.0302,157000.0
2020-10-22,0.036,0.0371,0.0344,0.035,54302.0
2020-10-21,0.0338,0.0338,0.0338,0.0338,0.0
2020-10-20,0.035,0.0363,0.035,0.0338,3023.0
2020-10-19,0.035,0.035,0.035,0.035,28571.0
2020-10-16,0.036,0.036,0.036,0.036,0.0
2020-10-15,0.037,0.0381,0.037,0.036,13715.0
2020-10-14,0.0403,0.0464,0.0398,0.035,141633.0
2020-10-13,0.0264,0.0264,0.0229,0.0304,3295.0
2020-10-12,0.035,0.035,0.0303,0.035,40488.0
2020-10-09,0.0306,0.0309,0.0306,0.0303,50842.0
2020-10-08,0.0267,0.0267,0.023,0.031,36644.0
