date,Open,High,Low,Close,Volume
2021-02-12,83.4502,84.449,82.9387,83.33,245152.0
2021-02-11,83.5919,84.2482,82.3702,83.19,351799.0
2021-02-10,82.6701,83.8971,81.8024,82.6,248731.0
2021-02-09,81.1548,81.1548,79.5484,82.25,201809.0
2021-02-08,84.3042,85.6386,83.9449,83.21,135174.0
2021-02-05,80.8978,81.2606,79.5542,81.69,210940.0
2021-02-04,82.4254,84.476,82.302,81.3,305590.0
2021-02-03,80.2,81.2216,78.2271,80.14,277110.0
2021-02-02,80.8638,82.415,80.1642,80.31,436263.0
2021-02-01,80.329,82.4409,79.5657,78.56,392007.0
2021-01-29,75.8002,76.7632,74.8171,75.68,475808.0
2021-01-28,75.4171,76.3882,74.6815,76.15,338628.0
2021-01-27,75.3127,76.5479,74.5122,75.76,498856.0
2021-01-26,77.0311,77.4182,71.9294,77.32,779766.0
2021-01-25,77.3305,77.6887,75.2489,78.59,318621.0
2021-01-22,81.0216,81.4757,80.2447,80.66,261870.0
2021-01-21,80.4572,81.0019,79.5642,81.22,223985.0
2021-01-20,82.27,83.0398,81.6002,82.28,269505.0
2021-01-19,82.2124,83.3647,81.5654,81.77,298453.0
2021-01-15,80.3617,80.4912,78.7267,80.73,219010.0
2021-01-14,82.5837,84.1243,81.9046,82.03,465198.0
2021-01-13,79.6827,80.1606,78.1712,80.69,246362.0
2021-01-12,81.9404,82.4629,81.3276,81.75,298441.0
2021-01-11,82.6242,84.5599,82.5414,81.21,224799.0
2021-01-08,78.8251,78.9479,75.5368,81.09,381243.0
2021-01-07,81.651,81.651,80.0929,82.96,417777.0
2021-01-06,86.9536,92.1471,86.9536,83.42,417894.0
2021-01-05,81.048,84.1236,81.048,78.7,334073.0
2021-01-04,74.4489,74.4775,72.3652,76.15,318574.0
2020-12-31,78.8273,80.4345,78.3843,77.66,221021.0
2020-12-30,77.9697,79.5082,77.9697,76.73,241107.0
2020-12-29,74.1144,74.1144,71.751,75.46,362209.0
2020-12-28,75.4761,75.7481,74.3008,76.58,162018.0
2020-12-24,76.9901,77.2709,76.1078,76.89,75233.0
2020-12-23,76.7811,77.2849,76.3478,76.49,237134.0
2020-12-22,75.7201,76.5286,75.3308,75.79,218787.0
2020-12-21,75.95,77.1503,75.5199,75.94,296855.0
2020-12-18,76.9124,77.7827,76.136,77.34,604438.0
2020-12-17,77.4,77.6996,76.5012,77.45,412248.0
2020-12-16,76.5317,76.5317,75.2731,77.48,439718.0
2020-12-15,80.2552,82.2278,79.3634,78.35,338210.0
2020-12-14,73.8088,73.9187,72.0455,75.5,469967.0
2020-12-11,77.2864,79.0989,77.2349,76.16,429237.0
2020-12-10,78.7349,81.6961,78.5852,76.15,479653.0
2020-12-09,74.943,75.9557,74.3556,74.47,470957.0
2020-12-08,74.632,76.3608,74.632,73.35,281177.0
2020-12-07,72.671,73.2567,72.135,72.94,525670.0
2020-12-04,76.1694,78.8177,76.1694,73.71,309231.0
2020-12-03,71.443,72.4155,70.9466,70.98,356998.0
2020-12-02,70.9337,71.644,70.396,70.42,351583.0
2020-12-01,69.7349,70.0594,68.0729,70.32,569156.0
2020-11-30,68.6025,69.0601,67.6582,69.53,736868.0
2020-11-27,70.1308,70.1308,68.5714,71.0,230355.0
2020-11-25,71.4672,71.9089,70.3059,71.5169,480142.0
2020-11-24,74.6479,77.5276,74.3706,72.0636,656989.0
2020-11-23,69.8487,71.6239,69.5772,68.1473,370535.0
2020-11-20,66.7476,68.098,66.7476,65.543,399319.0
2020-11-19,65.5013,66.4465,65.044,64.7777,239365.0
2020-11-18,63.6725,64.1779,62.9435,64.39,364042.0
2020-11-17,65.7237,66.8264,64.5699,64.8473,443652.0
2020-11-16,67.0836,69.1849,65.4786,65.0858,559010.0
2020-11-13,62.4842,64.3058,62.4478,61.0602,237070.0
2020-11-12,58.4362,58.5814,56.9519,59.2015,467810.0
2020-11-11,58.7446,58.7493,56.3693,60.6228,494890.0
2020-11-10,64.5106,67.0413,64.5106,62.3723,564510.0
2020-11-09,61.2576,63.4692,60.7281,59.937,506803.0
2020-11-06,50.8935,51.0896,49.185,52.512,276240.0
2020-11-05,56.142,58.5876,56.142,54.2813,254736.0
2020-11-04,51.7173,53.1399,50.6207,51.8758,296069.0
2020-11-03,52.7919,53.5046,52.2415,53.0885,403805.0
2020-11-02,52.9905,53.9733,52.1408,52.2138,349331.0
2020-10-30,50.9363,51.6558,50.2877,50.4445,657362.0
2020-10-29,50.6175,51.4574,49.6359,50.1662,730988.0
2020-10-28,48.8179,49.5223,47.69,49.8879,334585.0
2020-10-27,49.2953,50.1635,46.2298,52.2138,635328.0
2020-10-26,53.2208,53.3431,51.9725,53.6252,389954.0
2020-10-23,53.7074,54.2027,52.2948,54.8081,224533.0
2020-10-22,56.8252,58.4604,56.8252,55.3349,211830.0
2020-10-21,52.7643,53.7174,51.449,53.8837,334635.0
2020-10-20,55.8029,56.866,55.5678,55.0267,572717.0
2020-10-19,53.1232,53.484,52.2261,53.6352,556741.0
2020-10-16,54.6542,55.5766,54.0258,54.1222,242317.0
2020-10-15,55.6582,58.15,55.3568,53.4861,359451.0
2020-10-14,52.2937,53.4207,52.2937,52.1541,124154.0
2020-10-13,51.9758,52.7263,51.719,52.1442,315747.0
2020-10-12,54.3951,56.1312,53.9977,53.0288,475366.0
2020-10-09,50.9178,50.9178,50.169,51.4782,571612.0
2020-10-08,51.0432,51.1315,49.9768,51.3888,457931.0
2020-10-07,50.9221,51.6432,50.4282,51.0806,639794.0
2020-10-06,50.1463,51.4464,49.8288,50.1861,405826.0
2020-10-05,49.366,49.4908,48.7033,49.858,341156.0
2020-10-02,50.9885,53.5522,50.9462,49.4406,301346.0
2020-10-01,48.1861,48.7793,47.1049,49.1126,243440.0
2020-09-30,49.6499,50.5718,48.8012,49.8282,425268.0
2020-09-29,48.8946,48.9041,47.2912,49.8978,175339.0
2020-09-28,51.4473,52.6618,51.4473,50.7725,242477.0
2020-09-25,50.1501,51.4757,50.1501,49.3213,239122.0
2020-09-24,49.3115,50.2185,48.5439,49.2418,195804.0
2020-09-23,48.4261,49.5249,47.4323,49.3909,300687.0
2020-09-22,50.8145,51.56,50.4972,50.4743,456250.0
2020-09-21,48.9894,49.2838,47.37,50.1165,339685.0
2020-09-18,51.0986,51.2577,49.4515,52.6611,632257.0
2020-09-17,56.6021,59.1411,55.8253,54.2912,370912.0
2020-09-16,52.2015,52.4538,51.4348,52.83,731685.0
2020-09-15,51.6879,51.9136,49.9951,53.1382,289165.0
2020-09-14,54.3221,54.7556,53.8392,54.5596,246571.0
2020-09-11,54.3419,54.823,53.8807,54.1123,239879.0
2020-09-10,51.6061,51.7811,49.6263,53.6153,337009.0
2020-09-09,55.7425,56.0916,54.6506,55.6529,241175.0
2020-09-08,53.6695,53.6695,52.289,55.0267,293734.0
2020-09-04,55.8352,56.0859,54.5145,56.6966,230947.0
2020-09-03,54.2884,54.4079,51.784,56.4581,276008.0
2020-09-02,59.4075,60.6728,59.3972,58.3963,241218.0
2020-09-01,58.9447,60.6018,58.5356,57.3825,190292.0
2020-08-31,54.9745,54.984,53.6905,56.1996,197380.0
2020-08-28,58.3815,58.9688,57.9106,57.8397,134133.0
2020-08-27,57.0603,57.8877,56.5284,57.1096,211709.0
2020-08-26,57.0999,57.5755,56.7829,56.9813,205742.0
2020-08-25,55.6591,55.6874,54.3675,56.9418,179814.0
2020-08-24,58.9143,60.5467,58.4913,57.6128,167501.0
2020-08-21,55.1283,55.4062,54.0548,55.9354,206095.0
2020-08-20,57.0904,57.5769,56.8024,56.9122,198056.0
2020-08-19,57.8705,58.5079,57.2979,57.6029,248037.0
2020-08-18,55.3037,55.3962,53.4994,57.1096,275072.0
2020-08-17,57.7014,57.7014,56.3143,59.004,197837.0
2020-08-14,60.6467,61.7314,60.5964,60.1091,155767.0
2020-08-13,59.9718,60.2558,59.3842,60.1979,147790.0
2020-08-12,59.624,59.624,57.7369,61.1254,148919.0
2020-08-11,60.5655,61.3793,59.2499,61.7273,295686.0
2020-08-10,63.3859,65.3449,63.3859,61.599,233065.0
2020-08-07,61.2252,63.0973,61.0787,59.4677,240732.0
2020-08-06,58.2857,58.9034,58.2457,57.9482,217572.0
2020-08-05,58.8994,59.9373,58.7569,57.9976,186156.0
2020-08-04,56.8632,57.1308,56.1595,56.7346,211800.0
2020-08-03,57.3321,58.2678,56.8361,56.7741,247157.0
2020-07-31,56.3147,56.8872,55.4912,55.817,336429.0
2020-07-30,55.9755,56.4492,55.1113,55.7874,340703.0
2020-07-29,57.2998,58.1945,57.0609,56.4485,428503.0
2020-07-28,53.234,53.676,50.3434,56.2413,561829.0
2020-07-27,61.708,62.936,60.8548,60.5926,322368.0
2020-07-24,59.0523,59.5338,58.2048,59.7736,138800.0
2020-07-23,60.6851,61.8078,60.1939,60.2078,171511.0
2020-07-22,61.3027,62.8704,61.3027,59.9611,340445.0
2020-07-21,59.6783,60.9804,59.6783,59.2309,191507.0
2020-07-20,57.3175,57.7881,55.9249,58.0962,252425.0
2020-07-17,59.4579,60.3465,59.2999,59.4381,316623.0
2020-07-16,59.1718,60.3039,58.8174,59.2408,164904.0
2020-07-15,60.334,61.4042,59.7787,59.6453,224375.0
2020-07-14,58.8765,60.5204,58.0442,57.3365,261164.0
2020-07-13,56.5622,58.6322,55.9402,55.6394,513958.0
2020-07-10,55.2426,56.8115,55.2426,54.0114,339173.0
2020-07-09,51.0977,51.2999,49.2957,52.9359,357895.0
2020-07-08,54.9708,55.5843,53.9094,55.3335,268224.0
2020-07-07,54.1987,54.5355,52.7205,55.6591,282401.0
2020-07-06,56.9857,57.0049,55.4081,57.889,289054.0
2020-07-02,56.8935,57.95,56.2577,57.1392,355541.0
2020-07-01,53.6271,54.095,51.1342,56.1525,542266.0
2020-06-30,59.8564,61.5613,59.8564,58.6685,531384.0
2020-06-29,59.4837,61.1011,58.7786,58.0272,662431.0
2020-06-26,56.7377,57.981,56.4911,55.5999,937070.0
