date,Open,High,Low,Close,Volume
2021-02-12,128.1968,131.5738,127.9141,125.27,744999.0
2021-02-11,126.1381,131.3228,125.6227,123.0,1454941.0
2021-02-10,123.4124,128.5024,123.3267,119.22,1119168.0
2021-02-09,115.0061,117.8777,115.0061,114.17,914344.0
2021-02-08,112.8636,113.4173,111.321,113.5,632715.0
2021-02-05,113.4401,114.2288,111.7527,113.53,878131.0
2021-02-04,113.3101,113.9288,112.4519,113.43,726186.0
2021-02-03,108.9762,109.1137,103.147,113.83,1077786.0
2021-02-02,113.4235,115.5398,109.2745,117.73,1485572.0
2021-02-01,118.0729,120.5068,117.3053,117.49,1260014.0
2021-01-29,115.7543,117.8092,114.6509,115.05,1150078.0
2021-01-28,118.8307,124.0833,118.2744,114.89,1072483.0
2021-01-27,108.7952,109.9689,106.2309,109.55,957784.0
2021-01-26,110.7128,111.4092,107.3646,113.35,913195.0
2021-01-25,114.3077,115.015,111.459,115.73,831017.0
2021-01-22,115.7695,116.3883,114.0018,116.82,914773.0
2021-01-21,116.8768,117.1405,114.7678,118.28,709626.0
2021-01-20,119.4604,119.7593,117.7464,119.67,861233.0
2021-01-19,122.4146,125.201,121.6214,119.83,1025705.0
2021-01-15,115.9921,116.7283,114.7415,115.5,808423.0
2021-01-14,115.3401,116.245,113.8375,115.24,694241.0
2021-01-13,113.6506,115.0534,112.5422,114.75,869973.0
2021-01-12,115.9405,118.12,115.5187,115.69,814051.0
2021-01-11,118.3748,121.8576,117.2594,115.4,874585.0
2021-01-08,115.7096,119.3176,115.7096,112.49,1215420.0
2021-01-07,110.3487,112.3941,110.0388,108.57,1824523.0
2021-01-06,108.7478,112.4098,108.7478,106.24,1480325.0
2021-01-05,106.4651,108.6414,106.2382,104.83,858123.0
2021-01-04,102.6318,102.7687,100.899,103.73,1279764.0
2020-12-31,104.6229,105.5325,103.1474,104.07,859803.0
2020-12-30,103.24,104.1509,102.6895,103.19,553077.0
2020-12-29,102.0542,102.3257,99.8921,102.71,549151.0
2020-12-28,99.7201,100.1053,96.5634,102.88,581644.0
2020-12-24,105.7317,107.0724,105.4998,105.31,277767.0
2020-12-23,104.6703,105.0241,102.9665,104.86,618868.0
2020-12-22,105.686,107.1936,105.422,104.89,523093.0
2020-12-21,103.9809,104.323,100.1078,103.67,1097981.0
2020-12-18,105.9994,107.5281,105.0414,105.0,2669301.0
2020-12-17,106.9859,110.7916,106.0265,103.62,1194002.0
2020-12-16,99.821,100.5266,99.0855,100.13,939898.0
2020-12-15,101.2143,102.8531,100.4257,100.01,1218976.0
2020-12-14,99.8988,102.4483,99.6751,97.93,1869400.0
2020-12-11,96.1284,97.4734,95.2929,95.23,1113626.0
2020-12-10,95.22,96.371,94.2692,95.18,2249657.0
2020-12-09,90.4387,91.341,88.183,92.31,1166732.0
2020-12-08,95.1587,97.1363,94.8121,94.25,1386908.0
2020-12-07,91.5871,92.9708,88.4256,93.43,1375671.0
2020-12-04,97.4846,99.6774,97.3384,95.4,1707357.0
2020-12-03,93.9424,94.7505,92.9019,93.47,1855609.0
2020-12-02,90.8227,91.25,88.2593,93.21,1834758.0
2020-12-01,95.1935,95.648,93.4744,95.77,1597408.0
2020-11-30,94.3153,95.2777,92.3905,96.14,2973560.0
2020-11-27,99.6823,102.0704,99.2423,97.4,686452.0
2020-11-25,94.4206,95.0027,92.6591,94.65,1402850.0
