date,Open,High,Low,Close,Volume
2021-02-12,93.5814,94.8083,93.3973,92.55,7858297.0
2021-02-11,91.6713,91.7408,89.3986,92.02,8572404.0
2021-02-10,93.6742,94.9146,92.8746,92.52,8724915.0
2021-02-09,90.8202,90.9897,89.5342,90.96,7580877.0
2021-02-08,92.6857,94.4821,92.3983,91.48,9886579.0
2021-02-05,88.5851,89.1072,87.3047,89.26,8017276.0
2021-02-04,88.4929,88.6313,86.9457,89.0,7917645.0
2021-02-03,90.9119,93.3557,90.7448,88.96,9256453.0
2021-02-02,86.1203,86.4725,84.672,87.06,8855064.0
2021-02-01,86.8321,88.1549,85.3981,86.41,8073583.0
2021-01-29,83.6006,84.0916,81.7616,85.2,14699838.0
2021-01-28,89.3714,90.8631,88.9481,89.02,8155520.0
2021-01-27,88.8751,91.7385,88.0781,88.2,10178499.0
2021-01-26,86.6075,87.2744,83.8552,89.36,7827751.0
2021-01-25,91.1809,91.5905,89.8829,90.9,7689434.0
2021-01-22,93.0796,94.7579,92.4927,91.73,7810638.0
2021-01-21,90.2013,90.9749,87.6688,92.01,10395872.0
2021-01-20,95.7615,96.326,95.0561,95.38,8735375.0
2021-01-19,95.5309,97.0941,95.3163,94.51,9574755.0
2021-01-15,90.0082,90.0941,87.6104,92.09,10244596.0
2021-01-14,97.0656,99.5196,96.9106,95.49,13950227.0
2021-01-13,93.3,93.6204,92.0387,93.25,9723285.0
2021-01-12,94.025,95.3045,93.061,93.34,10887703.0
2021-01-11,94.149,97.2972,93.568,91.6,10640794.0
2021-01-08,90.0909,90.4333,88.4961,91.08,11152132.0
2021-01-07,90.0503,90.4787,88.9694,90.22,9286622.0
2021-01-06,90.6072,92.4193,89.4059,89.8,13916760.0
2021-01-05,88.5367,92.3996,88.3606,87.0,13414796.0
2021-01-04,84.2723,85.064,83.0253,84.71,9234919.0
2020-12-31,84.0024,84.2943,83.0724,84.45,8350679.0
2020-12-30,86.0561,88.0547,85.9849,85.33,7901846.0
2020-12-29,83.965,84.4213,82.7733,84.61,7670818.0
2020-12-28,84.1959,85.199,83.2222,84.9,7963012.0
2020-12-24,84.7342,84.7342,83.6298,85.33,3335646.0
2020-12-23,86.3856,88.0727,86.3856,85.69,7223112.0
2020-12-22,83.2937,83.6446,82.1823,84.36,8589973.0
2020-12-21,87.8659,90.4545,87.0117,86.09,11430471.0
2020-12-18,86.4071,87.124,84.7178,87.19,27427607.0
2020-12-17,87.2943,87.304,85.3542,88.41,11748927.0
2020-12-16,88.1829,88.3312,86.8483,88.69,9892928.0
