date,Open,High,Low,Close,Volume
2021-02-12,0.063,0.063,0.0551,0.071,288495.0
2021-02-11,0.0767,0.0888,0.0767,0.07,316858.0
2021-02-10,0.0847,0.0968,0.0702,0.077,501923.0
2021-02-09,0.0914,0.1045,0.0784,0.08,501923.0
2021-02-08,0.0651,0.0672,0.0617,0.065,274778.0
2021-02-05,0.056,0.056,0.0467,0.0637,169887.0
2021-02-04,0.0556,0.0675,0.0513,0.0601,419823.0
2021-02-03,0.0704,0.0809,0.0704,0.065,303250.0
2021-02-02,0.06,0.07,0.06,0.06,389759.0
2021-02-01,0.0699,0.0993,0.0699,0.0631,459309.0
2021-01-29,0.0575,0.0575,0.0345,0.0699,999929.0
2021-01-28,0.0772,0.0775,0.062,0.082,470167.0
2021-01-27,0.0924,0.1006,0.0896,0.0873,544548.0
2021-01-26,0.0865,0.089,0.0742,0.0869,316519.0
2021-01-25,0.0875,0.0912,0.0759,0.087,1968507.0
2021-01-22,0.1044,0.1343,0.1014,0.0855,555788.0
2021-01-21,0.0813,0.1213,0.0813,0.07,601553.0
2021-01-20,0.0641,0.1175,0.048,0.062,2706065.0
2021-01-19,0.0514,0.0514,0.0367,0.06,505120.0
2021-01-15,0.0771,0.0873,0.0591,0.068,923857.0
2021-01-14,0.072,0.0864,0.072,0.06,678925.0
2021-01-13,0.0424,0.0442,0.0338,0.05,314629.0
2021-01-12,0.06,0.06,0.06,0.06,412309.0
2021-01-11,0.0747,0.1422,0.0711,0.056,791628.0
2021-01-08,0.0455,0.0606,0.0374,0.04,605668.0
2021-01-07,0.0436,0.0613,0.0436,0.035,725590.0
2021-01-06,0.0252,0.0253,0.0226,0.0281,191000.0
2021-01-05,0.0319,0.0362,0.0283,0.03,637568.0
2021-01-04,0.0283,0.0314,0.0192,0.0285,679135.0
2020-12-31,0.0295,0.0328,0.0202,0.029,631623.0
2020-12-30,0.0291,0.032,0.0219,0.0285,1070984.0
2020-12-29,0.028,0.0297,0.0254,0.0304,619000.0
2020-12-28,0.03,0.03,0.03,0.03,236876.0
2020-12-24,0.03,0.0319,0.029,0.0305,118931.0
2020-12-23,0.0305,0.0337,0.0305,0.0305,350501.0
2020-12-22,0.0297,0.0297,0.0265,0.0316,153776.0
2020-12-21,0.0292,0.0299,0.0275,0.031,314341.0
2020-12-18,0.033,0.0373,0.033,0.032,268991.0
2020-12-17,0.0281,0.0292,0.0238,0.032,451590.0
2020-12-16,0.0332,0.0332,0.0298,0.036,581189.0
2020-12-15,0.036,0.039,0.03,0.036,581189.0
2020-12-14,0.0343,0.0363,0.0272,0.036,562077.0
2020-12-11,0.0354,0.0386,0.0335,0.0369,93108.0
2020-12-10,0.04,0.04,0.03,0.04,148302.0
2020-12-09,0.0413,0.0451,0.0413,0.0399,115878.0
2020-12-08,0.0432,0.0483,0.0326,0.0408,1037651.0
2020-12-07,0.0368,0.0392,0.0339,0.039,360611.0
2020-12-04,0.04,0.0456,0.0363,0.0393,487176.0
2020-12-03,0.0363,0.0399,0.0341,0.0386,193220.0
2020-12-02,0.0411,0.0411,0.0359,0.0425,404049.0
2020-12-01,0.04,0.05,0.04,0.04,141612.0
2020-11-30,0.0361,0.0442,0.0343,0.038,360562.0
2020-11-27,0.0389,0.0403,0.0342,0.041,123391.0
2020-11-25,0.0565,0.0738,0.0565,0.0432,126574.0
2020-11-24,0.0533,0.0711,0.0533,0.04,514703.0
2020-11-23,0.0434,0.0526,0.0395,0.0393,838787.0
2020-11-20,0.0441,0.0463,0.0391,0.042,574991.0
2020-11-19,0.0375,0.0409,0.0341,0.038,114893.0
2020-11-18,0.0395,0.0424,0.0366,0.0402,95736.0
2020-11-17,0.041,0.044,0.041,0.041,295006.0
2020-11-16,0.0403,0.0435,0.0314,0.041,286174.0
2020-11-13,0.0406,0.0558,0.0406,0.038,315265.0
2020-11-12,0.0287,0.0287,0.0231,0.0356,82052.0
2020-11-11,0.0486,0.0536,0.038,0.0441,1069020.0
2020-11-10,0.0505,0.0579,0.0505,0.0441,90913.0
2020-11-09,0.0329,0.0364,0.0279,0.0385,343228.0
2020-11-06,0.0411,0.0411,0.0274,0.0491,379216.0
2020-11-05,0.0339,0.0339,0.015,0.0518,377558.0
2020-11-04,0.04,0.05,0.0323,0.04,311473.0
2020-11-03,0.0435,0.0497,0.0435,0.039,273312.0
2020-11-02,0.0456,0.0611,0.0456,0.036,133169.0
2020-10-30,0.0293,0.0293,0.0237,0.032,49521.0
2020-10-29,0.03,0.032,0.03,0.03,146808.0
2020-10-28,0.0328,0.0392,0.0328,0.0305,56118.0
2020-10-27,0.0278,0.0308,0.026,0.029,359336.0
2020-10-26,0.0351,0.0393,0.0351,0.033,159302.0
2020-10-23,0.0372,0.043,0.0372,0.0334,449972.0
2020-10-22,0.027,0.0274,0.0253,0.0287,108670.0
2020-10-21,0.031,0.0322,0.0295,0.0305,311568.0
2020-10-20,0.0316,0.0338,0.0316,0.03,181500.0
2020-10-19,0.0317,0.0336,0.0317,0.0305,136049.0
2020-10-16,0.0299,0.0299,0.0286,0.0299,83649.0
2020-10-15,0.0295,0.031,0.0295,0.029,61437.0
2020-10-14,0.0282,0.0312,0.0278,0.0285,86043.0
2020-10-13,0.0306,0.0336,0.0299,0.0298,104331.0
2020-10-12,0.0293,0.032,0.0293,0.0292,26780.0
2020-10-09,0.0296,0.033,0.0296,0.0291,163743.0
2020-10-08,0.0287,0.0292,0.0261,0.03,248102.0
2020-10-07,0.0347,0.0391,0.0347,0.0314,285384.0
2020-10-06,0.0284,0.0284,0.0269,0.0292,167075.0
2020-10-05,0.029,0.0307,0.0281,0.03,58698.0
2020-10-02,0.0338,0.0393,0.0338,0.031,306507.0
2020-10-01,0.0269,0.0269,0.0255,0.0284,389718.0
2020-09-30,0.0317,0.0335,0.0317,0.03,320555.0
2020-09-29,0.0317,0.0335,0.0317,0.03,180244.0
2020-09-28,0.0298,0.0298,0.0282,0.0299,230772.0
2020-09-25,0.0317,0.0335,0.0317,0.03,328789.0
2020-09-24,0.0269,0.0269,0.0255,0.0284,123798.0
2020-09-23,0.03,0.03,0.0284,0.03,144767.0
2020-09-22,0.0283,0.0294,0.0279,0.0286,125796.0
