date,Open,High,Low,Close,Volume
2020-07-30,0.241,0.241,0.241,0.241,0.0
2020-07-29,0.241,0.241,0.241,0.241,6559551.0
2020-07-28,0.2517,0.2638,0.2483,0.241,15036129.0
2020-07-27,0.2251,0.2268,0.2203,0.23,12565600.0
2020-07-24,0.2295,0.2342,0.22,0.2347,16064332.0
2020-07-23,0.2312,0.2312,0.2224,0.2402,21812822.0
2020-07-22,0.2335,0.2362,0.2241,0.2416,22055475.0
2020-07-21,0.2404,0.2496,0.2219,0.25,32614571.0
2020-07-20,0.2504,0.306,0.2226,0.26,133311015.0
2020-07-17,0.2204,0.2204,0.202,0.23,34271400.0
2020-07-16,0.2304,0.2304,0.2212,0.24,21746000.0
2020-07-15,0.25,0.26,0.25,0.25,22619200.0
2020-07-14,0.25,0.25,0.24,0.25,20894600.0
2020-07-13,0.25,0.26,0.25,0.25,15641100.0
2020-07-10,0.26,0.27,0.25,0.26,17908600.0
2020-07-09,0.2155,0.2229,0.1858,0.25,25411600.0
2020-07-08,0.2916,0.3266,0.2799,0.27,23610600.0
2020-07-07,0.24,0.26,0.24,0.24,30845800.0
2020-07-06,0.2414,0.2501,0.2242,0.26,25060300.0
2020-07-02,0.2703,0.2703,0.261,0.28,14233200.0
2020-07-01,0.2703,0.2983,0.2517,0.28,30738100.0
2020-06-30,0.245,0.245,0.2144,0.28,38363000.0
2020-06-29,0.34,0.34,0.33,0.34,17289800.0
2020-06-26,0.3773,0.4091,0.3734,0.3505,62093993.0
2020-06-25,0.3729,0.4269,0.367,0.34,22623224.0
2020-06-24,0.3149,0.3189,0.2762,0.3401,24926631.0
2020-06-23,0.3575,0.3668,0.3417,0.374,22669412.0
2020-06-22,0.3545,0.3546,0.3331,0.3766,24664091.0
2020-06-19,0.3235,0.3238,0.2735,0.3814,57561789.0
2020-06-18,0.4158,0.4313,0.398,0.42,24561254.0
2020-06-17,0.4075,0.4113,0.3712,0.4334,22892043.0
2020-06-16,0.4263,0.4337,0.3845,0.4663,30362675.0
2020-06-15,0.4808,0.5469,0.4668,0.4456,31396170.0
2020-06-12,0.424,0.424,0.3653,0.46,34240738.0
2020-06-11,0.3749,0.4272,0.3418,0.4015,46368779.0
2020-06-10,0.5266,0.5912,0.4251,0.5259,59193350.0
2020-06-09,0.5152,0.5169,0.4079,0.5773,70165356.0
2020-06-08,1.0231,1.3956,0.949,0.75,162660272.0
2020-06-05,0.432,0.5328,0.3888,0.36,101273200.0
2020-06-04,0.2528,0.256,0.2452,0.2514,30018709.0
2020-06-03,0.2455,0.2468,0.2355,0.2519,18310110.0
2020-06-02,0.2601,0.2705,0.2601,0.255,20213442.0
2020-06-01,0.2726,0.302,0.2726,0.248,23723877.0
2020-05-29,0.1859,0.1878,0.1623,0.213,21400209.0
