date,Open,High,Low,Close,Volume
2021-02-12,20.9005,21.8854,20.7583,19.98,9125651.0
2021-02-11,19.0825,19.0923,18.2711,19.3,7221140.0
2021-02-10,20.5204,21.4616,20.3852,19.73,11559707.0
2021-02-09,18.7903,18.9787,18.245,18.87,8224662.0
2021-02-08,19.4019,20.2371,19.3055,18.75,10309206.0
2021-02-05,17.1986,17.3648,16.4878,17.9,9425314.0
2021-02-04,17.9522,17.9815,17.282,18.15,7402602.0
2021-02-03,19.2806,20.4814,19.2357,18.2,10508844.0
2021-02-02,16.6556,16.9015,16.2505,16.96,10361640.0
2021-02-01,16.7201,16.8893,16.0931,16.76,9160487.0
2021-01-29,15.9278,16.4896,15.2723,16.46,11201202.0
2021-01-28,16.9828,17.1144,16.2419,17.2,12285760.0
2021-01-27,17.9942,19.2076,17.6061,17.21,15504055.0
2021-01-26,16.059,16.2885,15.2869,16.85,11023129.0
2021-01-25,17.2115,17.3096,16.3867,17.37,15034543.0
2021-01-22,17.8,18.075,17.3,17.8,16633705.0
2021-01-21,16.986,17.0543,14.9129,18.39,21217986.0
2021-01-20,19.7036,19.762,18.9832,19.97,10245737.0
2021-01-19,20.01,20.1552,19.5395,20.0,10915447.0
2021-01-15,19.2455,19.2821,18.3654,19.57,12581056.0
2021-01-14,21.3429,23.0043,21.3208,20.28,12994706.0
2021-01-13,18.6143,18.6711,17.9989,19.13,10870304.0
2021-01-12,20.7524,22.0383,20.3533,19.71,16488286.0
2021-01-11,19.1229,20.0099,18.829,18.33,10891056.0
2021-01-08,17.4546,17.5103,16.6418,18.11,13952038.0
2021-01-07,19.0207,20.2167,18.8528,18.57,21497575.0
2021-01-06,18.9617,19.9794,18.7528,18.32,89656114.0
2021-01-05,18.3986,20.1509,18.3672,17.36,17603643.0
2021-01-04,16.2611,16.6981,15.9663,16.13,10303755.0
2020-12-31,15.632,15.8471,15.2996,15.81,8597447.0
2020-12-30,17.015,18.0375,16.9483,16.14,8885654.0
2020-12-29,15.1223,15.1711,14.7321,15.31,5649791.0
2020-12-28,15.2015,15.3486,14.9465,15.35,5214134.0
2020-12-24,14.9878,15.0069,14.4621,15.33,2793211.0
2020-12-23,16.1339,16.9035,15.8473,15.66,6573905.0
2020-12-22,14.3557,14.3791,13.8815,14.83,5472657.0
2020-12-21,15.9679,16.872,15.6194,15.3,10013572.0
2020-12-18,15.221,15.4059,14.6378,15.63,18161883.0
