date,Open,High,Low,Close,Volume
2021-02-12,12.4933,12.762,12.4106,12.29,463044.0
2021-02-11,12.0814,12.1205,11.8954,12.21,510645.0
2021-02-10,12.3501,12.4656,12.2797,12.32,670617.0
2021-02-09,12.28,12.385,12.17,12.28,1111514.0
2021-02-08,12.4912,12.7563,12.4504,12.37,2190753.0
2021-02-05,12.0505,12.1393,11.8482,12.13,1152385.0
2021-02-04,12.0,12.0251,11.694,11.98,664772.0
2021-02-03,11.7908,11.8302,11.663,11.89,788483.0
2021-02-02,12.0205,12.3854,12.0205,11.94,1536661.0
2021-02-01,11.7809,11.9843,11.5774,11.68,1123213.0
2021-01-29,10.7651,10.7651,10.1745,11.38,2085760.0
2021-01-28,11.9426,12.1174,11.7193,12.12,1427188.0
2021-01-27,11.9514,11.989,11.5185,12.32,2320455.0
2021-01-26,13.09,13.2498,13.0301,13.1,903623.0
2021-01-25,12.6968,12.6968,12.2573,12.99,1214999.0
2021-01-22,13.2912,13.3991,13.0264,13.42,794724.0
2021-01-21,13.6052,13.6052,13.2588,13.87,1103353.0
2021-01-20,13.9905,14.0102,13.7977,14.07,1130262.0
2021-01-19,14.0801,14.2407,13.9545,14.05,668430.0
2021-01-15,13.4435,13.4623,13.0114,13.87,1259997.0
2021-01-14,14.7992,15.2199,14.7677,14.43,606029.0
2021-01-13,13.7534,13.7534,13.4529,13.97,751975.0
2021-01-12,14.4574,14.7924,14.3684,14.13,767695.0
2021-01-11,13.7405,13.8821,13.7101,13.66,458920.0
2021-01-08,13.7701,13.7801,13.5414,13.81,697060.0
2021-01-07,13.66,13.7911,13.4506,13.68,998143.0
2021-01-06,13.8677,14.2978,13.8573,13.54,1254989.0
2021-01-05,13.6284,14.2294,13.6284,13.29,1350380.0
2021-01-04,12.8213,12.9585,12.5909,12.95,809119.0
2020-12-31,12.7911,12.8696,12.585,12.91,602050.0
2020-12-30,13.1501,13.3861,13.1501,13.12,377646.0
2020-12-29,13.09,13.115,12.915,13.09,590712.0
2020-12-28,12.9202,13.069,12.7713,12.97,625939.0
2020-12-24,12.7927,12.7927,12.5291,12.98,250266.0
2020-12-23,13.2101,13.3308,13.1699,13.18,528501.0
2020-12-22,13.0,13.0999,12.8552,13.01,715089.0
2020-12-21,12.8233,12.8233,12.5521,13.03,1271345.0
2020-12-18,13.5014,13.6435,13.3643,13.64,1147677.0
2020-12-17,13.9302,14.1014,13.8849,13.88,918028.0
2020-12-16,13.9943,14.2895,13.7871,13.75,1108274.0
2020-12-15,13.6215,13.8053,13.4581,13.48,949365.0
2020-12-14,12.9871,13.0539,12.5847,13.29,949436.0
2020-12-11,13.2811,13.2811,12.9097,13.4,988740.0
2020-12-10,14.2028,14.9643,14.2028,13.52,2092353.0
2020-12-09,12.9604,13.2045,12.829,12.89,1122969.0
2020-12-08,12.69,13.0813,12.5997,12.67,979942.0
2020-12-07,12.5909,12.6106,12.2174,12.7,1372992.0
2020-12-04,13.3371,13.848,13.3371,12.86,1573663.0
2020-12-03,12.371,12.6765,12.3405,12.26,808007.0
2020-12-02,12.2207,12.6079,12.1293,12.13,1045244.0
2020-12-01,12.2445,12.5355,12.2289,12.01,899601.0
2020-11-30,11.05,11.096,10.5992,11.52,1535339.0
2020-11-27,11.7193,11.743,11.3552,12.05,1414523.0
2020-11-25,12.7126,12.9185,12.5942,12.53,1372608.0
2020-11-24,12.501,12.6435,12.4399,12.39,1672396.0
2020-11-23,12.2105,12.2916,12.1396,12.13,1387704.0
2020-11-20,11.981,12.1033,11.8842,11.87,861034.0
2020-11-19,12.1268,12.452,12.0743,11.84,1297851.0
2020-11-18,11.3081,11.346,11.014,11.61,1260020.0
2020-11-17,12.0654,12.3368,11.8984,11.81,2118602.0
2020-11-16,11.7912,11.924,11.5769,11.67,680208.0
2020-11-13,11.2041,11.4275,11.2041,10.99,544593.0
2020-11-12,10.6223,10.7728,10.3796,10.78,919785.0
2020-11-11,11.06,11.1698,10.9788,11.07,626127.0
2020-11-10,11.2045,11.444,11.0066,10.98,955795.0
2020-11-09,10.5009,10.8346,10.3341,10.6,2407823.0
2020-11-06,9.8452,10.0622,9.8452,9.8,1008773.0
2020-11-05,9.8705,10.2053,9.8705,9.8,672200.0
2020-11-04,9.9134,10.2611,9.7992,9.73,805115.0
2020-11-03,9.5701,9.7412,9.4493,9.54,927849.0
2020-11-02,9.34,9.3998,9.111,9.36,869125.0
2020-10-30,9.4754,9.7167,9.3809,9.25,957051.0
2020-10-29,9.3071,9.6032,8.9898,9.05,1121885.0
2020-10-28,8.5555,8.6843,8.1967,8.92,1413046.0
2020-10-27,9.53,9.62,9.465,9.53,921018.0
2020-10-26,9.5005,9.5005,9.3182,9.57,1120696.0
2020-10-23,9.6033,9.6033,9.348,9.78,600272.0
2020-10-22,10.0426,10.2493,10.0065,9.88,1486858.0
2020-10-21,9.6802,9.8884,9.6256,9.72,1169220.0
2020-10-20,9.8802,9.9897,9.8398,9.84,456854.0
2020-10-19,9.71,9.96,9.67,9.71,1089091.0
2020-10-16,9.65,9.7348,9.5588,9.66,527346.0
2020-10-15,9.7804,9.9171,9.6488,9.72,587085.0
2020-10-14,9.911,10.1084,9.911,9.81,613322.0
2020-10-13,9.5623,9.6399,9.3732,9.71,675464.0
2020-10-12,9.8505,9.8505,9.6484,9.92,437743.0
2020-10-09,9.7966,9.8346,9.5124,10.05,764897.0
2020-10-08,10.4153,10.6979,10.4153,10.18,1299576.0
2020-10-07,9.8703,9.895,9.5832,9.92,941441.0
2020-10-06,9.6957,9.7815,9.4383,9.93,979386.0
2020-10-05,10.1415,10.3156,10.1107,10.02,992374.0
2020-10-02,10.1201,10.5574,10.0775,9.8,697277.0
2020-10-01,9.6205,9.6895,9.4825,9.69,1433315.0
2020-09-30,9.85,9.9903,9.8199,9.84,964936.0
2020-09-29,9.4895,9.5083,9.1983,9.79,913954.0
2020-09-28,10.2205,10.3726,10.1988,10.15,673080.0
2020-09-25,9.7629,9.7725,9.4729,9.93,828299.0
2020-09-24,10.15,10.2448,9.9704,10.16,996849.0
2020-09-23,9.9091,9.9091,9.6171,10.21,1905419.0
2020-09-22,10.4802,10.6588,10.3328,10.52,1161528.0
2020-09-21,10.3558,10.3987,10.0265,10.6,1498413.0
2020-09-18,11.1402,11.4026,11.0645,11.09,2510425.0
2020-09-17,11.2626,11.4483,11.242,11.09,835478.0
2020-09-16,11.1704,11.3679,11.0844,11.1,1001476.0
2020-09-15,10.94,11.0698,10.8402,10.95,1149228.0
2020-09-14,10.702,10.702,10.4685,10.85,659226.0
2020-09-11,10.9,11.05,10.86,10.9,808117.0
2020-09-10,10.4635,10.4754,10.1002,10.84,1564076.0
2020-09-09,11.3011,11.5153,11.3011,11.19,967966.0
2020-09-08,10.7465,10.8132,10.4511,11.01,1342656.0
2020-09-04,11.3157,11.354,10.9235,11.57,806973.0
2020-09-03,11.6408,11.6802,11.3508,11.74,1528296.0
2020-09-02,11.8001,11.9293,11.6809,11.84,1534570.0
2020-09-01,12.4747,13.0989,12.4089,11.92,2160163.0
2020-08-31,11.1263,11.1263,10.8304,11.39,1233676.0
2020-08-28,12.0521,12.4574,12.0521,11.67,1013144.0
2020-08-27,11.1611,11.2591,10.9796,11.27,1011571.0
2020-08-26,11.2522,11.4175,11.082,11.41,1065529.0
2020-08-25,11.62,11.7053,11.4896,11.6,623827.0
2020-08-24,11.6513,11.8167,11.6206,11.53,567999.0
2020-08-21,11.27,11.3,11.1702,11.28,835750.0
2020-08-20,11.2902,11.3398,11.1316,11.34,1128812.0
2020-08-19,11.55,11.74,11.5,11.55,908240.0
2020-08-18,11.6811,11.9155,11.6709,11.57,1061833.0
2020-08-17,11.3707,11.479,11.223,11.46,424784.0
2020-08-14,11.51,11.5599,11.4104,11.53,523615.0
2020-08-13,11.4122,11.4803,11.2565,11.57,478908.0
2020-08-12,11.9205,12.0118,11.7989,11.84,836756.0
2020-08-11,11.4712,11.5986,11.3439,11.59,716938.0
2020-08-10,11.6204,11.8735,11.6002,11.55,760094.0
2020-08-07,11.4201,11.4201,11.0527,11.46,961460.0
2020-08-06,11.6,11.6701,11.4698,11.59,817784.0
2020-08-05,11.6107,11.8175,11.3596,11.7,1890755.0
2020-08-04,11.7307,11.9948,11.558,11.64,1241060.0
2020-08-03,11.3119,11.3119,11.0002,11.46,1187191.0
2020-07-31,11.6101,11.6897,11.4111,11.64,1085773.0
2020-07-30,11.74,11.7999,11.4415,11.75,1164182.0
2020-07-29,12.2412,12.4044,12.1698,12.12,559567.0
2020-07-28,11.5124,11.5124,11.0436,11.89,653320.0
2020-07-27,12.4137,12.6311,12.3309,12.2,651205.0
2020-07-24,12.0004,12.0004,11.8324,12.07,521281.0
2020-07-23,12.0901,12.1795,11.956,12.13,822255.0
2020-07-22,12.24,12.2819,12.1202,12.25,648475.0
2020-07-21,12.847,13.4285,12.847,12.38,807414.0
2020-07-20,11.4085,11.4748,11.0105,11.72,1161402.0
2020-07-17,12.3145,12.6886,12.2417,12.08,1539300.0
2020-07-16,11.9002,12.0616,11.6783,11.85,627200.0
2020-07-15,11.703,11.8289,11.3736,11.89,1025200.0
2020-07-14,12.5197,13.1606,12.4976,11.91,857700.0
2020-07-13,11.45,11.5898,11.4001,11.46,783100.0
2020-07-10,11.717,12.0428,11.675,11.43,523500.0
2020-07-09,10.9446,10.983,10.6182,11.17,1081900.0
