date,Open,High,Low,Close,Volume
2015-04-29,1.65,1.65,1.49,1.65,156185.0
2015-04-28,1.65,1.65,1.63,1.65,10773.0
2015-04-27,1.6601,1.6702,1.6489,1.65,53366.0
2015-04-24,1.6301,1.6301,1.6202,1.64,8402.0
2015-04-23,1.6601,1.6702,1.6528,1.65,16010.0
2015-04-22,1.6601,1.6702,1.6499,1.65,17599.0
2015-04-21,1.65,1.65,1.63,1.65,9103.0
2015-04-20,1.65,1.66,1.62,1.65,27200.0
2015-04-17,1.691,1.733,1.691,1.65,28821.0
2015-04-16,1.6501,1.6602,1.6096,1.64,23966.0
2015-04-15,1.6012,1.6012,1.5631,1.62,3100.0
2015-04-14,1.6502,1.681,1.6297,1.63,11103.0
2015-04-13,1.6295,1.6596,1.6285,1.6,7988.0
2015-04-10,1.6003,1.6208,1.5992,1.58,6500.0
2015-04-09,1.6106,1.6418,1.6105,1.58,18200.0
2015-04-08,1.54,1.54,1.53,1.54,18148.0
2015-04-07,1.55,1.55,1.55,1.55,2066.0
2015-04-06,1.53,1.53,1.53,1.53,2439.0
2015-04-02,1.53,1.53,1.5101,1.53,12801.0
2015-04-01,1.53,1.53,1.511,1.53,14940.0
2015-03-31,1.53,1.53,1.52,1.53,10171.0
2015-03-30,1.53,1.53,1.519,1.53,21750.0
2015-03-27,1.5201,1.5201,1.5003,1.53,10316.0
2015-03-26,1.55,1.55,1.529,1.55,13100.0
2015-03-25,1.5601,1.5702,1.5399,1.55,19819.0
2015-03-24,1.5101,1.5101,1.5002,1.52,5226.0
2015-03-23,1.53,1.53,1.52,1.53,7400.0
2015-03-20,1.5501,1.5602,1.5399,1.54,8998.0
2015-03-19,1.55,1.56,1.5499,1.54,12173.0
2015-03-18,1.5811,1.6327,1.5811,1.54,18029.0
2015-03-17,1.52,1.52,1.5116,1.52,4278.0
2015-03-16,1.5711,1.6133,1.5711,1.53,16683.0
2015-03-13,1.53,1.53,1.525,1.53,4653.0
2015-03-12,1.53,1.53,1.5201,1.53,4968.0
2015-03-11,1.54,1.54,1.53,1.54,2997.0
2015-03-10,1.55,1.55,1.54,1.55,2559.0
2015-03-09,1.55,1.56,1.53,1.55,35556.0
2015-03-06,1.577,1.5942,1.5738,1.56,31470.0
2015-03-05,1.5691,1.5782,1.5618,1.56,8193.0
2015-03-04,1.5885,1.6187,1.5885,1.559,5400.0
2015-03-03,1.5975,1.6254,1.5426,1.57,54221.0
2015-03-02,1.6209,1.6629,1.5893,1.58,44837.0
2015-02-27,1.621,1.6631,1.621,1.58,17200.0
2015-02-26,1.6209,1.6629,1.6209,1.58,11655.0
2015-02-25,1.6095,1.6396,1.6095,1.58,8099.0
2015-02-24,1.58,1.58,1.57,1.58,5062.0
2015-02-23,1.5905,1.6424,1.5904,1.56,40241.0
2015-02-20,1.5906,1.6218,1.5906,1.56,22511.0
2015-02-19,1.5792,1.609,1.5792,1.56,4289.0
2015-02-18,1.56,1.58,1.521,1.56,15515.0
2015-02-17,1.5701,1.5802,1.5445,1.56,23278.0
2015-02-13,1.589,1.6289,1.5764,1.55,17340.0
2015-02-12,1.5582,1.589,1.548,1.539,8304.0
2015-02-11,1.5911,1.6437,1.5911,1.55,13701.0
2015-02-10,1.5701,1.5802,1.5295,1.56,9141.0
2015-02-09,1.55,1.55,1.55,1.55,241.0
2015-02-06,1.587,1.6248,1.587,1.55,3300.0
2015-02-05,1.55,1.55,1.55,1.55,0.0
2015-02-04,1.5911,1.6332,1.5911,1.55,2100.0
2015-02-03,1.6123,1.6771,1.6123,1.55,2140.0
2015-02-02,1.54,1.54,1.54,1.54,0.0
2015-01-30,1.541,1.542,1.532,1.54,9100.0
2015-01-29,1.53,1.53,1.53,1.53,1000.0
2015-01-28,1.5711,1.6133,1.5605,1.53,10101.0
2015-01-27,1.5606,1.6022,1.5596,1.53,13514.0
2015-01-26,1.5606,1.5918,1.5606,1.53,2569.0
2015-01-23,1.5,1.5,1.482,1.5,4540.0
2015-01-22,1.4701,1.4702,1.4602,1.48,3927.0
2015-01-21,1.5203,1.5408,1.4895,1.5,15096.0
2015-01-20,1.5,1.52,1.46,1.5,11887.0
2015-01-16,1.5,1.52,1.48,1.5,20174.0
2015-01-15,1.5,1.5,1.48,1.5,16460.0
2015-01-14,1.5,1.51,1.48,1.5,28568.0
2015-01-13,1.6172,1.6792,1.5957,1.5575,13152.0
2015-01-12,1.5,1.5,1.4799,1.5,12347.0
2015-01-09,1.5,1.5,1.489,1.5,18206.0
2015-01-08,1.5,1.59,1.48,1.5,12950.0
2015-01-07,1.6017,1.6551,1.5803,1.55,14200.0
2015-01-06,1.5,1.5,1.479,1.5,16820.0
2015-01-05,1.5,1.5001,1.49,1.5,4600.0
2015-01-02,1.4803,1.4997,1.4413,1.5,50397.0
2014-12-31,1.5811,1.6232,1.539,1.54,36465.0
2014-12-30,1.4516,1.4516,1.3675,1.5,28221.0
2014-12-29,1.5,1.5,1.46,1.5,42266.0
2014-12-26,1.5,1.52,1.48,1.5,4575.0
2014-12-24,1.4803,1.4803,1.451,1.5,7388.0
2014-12-23,1.4803,1.4803,1.4607,1.5,10384.0
