date,Open,High,Low,Close,Volume
2021-02-12,177.4504,179.8274,176.5879,177.19,1244046.0
2021-02-11,172.9811,173.4398,165.9093,176.95,1792466.0
2021-02-10,181.5909,181.7177,179.5625,183.0,928012.0
2021-02-09,186.4772,190.0514,186.0525,183.21,684138.0
2021-02-08,179.6704,180.6332,178.3616,179.41,985744.0
2021-02-05,175.0247,175.0247,170.7722,178.64,534439.0
2021-02-04,182.0474,184.9441,181.7435,180.89,448339.0
2021-02-03,177.2828,177.2828,174.0972,178.79,651919.0
2021-02-02,179.2778,180.0081,178.054,180.46,485927.0
2021-02-01,182.3631,184.6646,181.8926,180.31,559142.0
2021-01-29,173.8222,175.1322,170.239,177.11,728803.0
2021-01-28,182.0344,186.69,180.6559,181.14,800978.0
2021-01-27,179.3422,183.0181,177.61,178.71,829672.0
2021-01-26,180.6201,182.1823,178.5071,180.49,443286.0
2021-01-25,179.8771,182.2568,178.1505,178.75,459672.0
2021-01-22,179.2816,181.1429,178.3913,178.74,458087.0
2021-01-21,179.8503,182.9876,179.8503,178.49,456846.0
2021-01-20,179.8972,182.8547,179.5096,178.14,412372.0
2021-01-19,174.8577,175.2676,172.9926,176.02,425885.0
2021-01-15,176.3226,177.4985,174.4371,177.0,461626.0
2021-01-14,173.0512,173.1366,167.5653,177.63,635454.0
2021-01-13,179.7715,180.5264,177.2389,182.15,275582.0
2021-01-12,184.1002,185.8137,182.5771,183.91,472883.0
2021-01-11,184.9504,187.8184,183.8272,184.69,369221.0
2021-01-08,191.2192,197.2925,190.6576,186.06,873867.0
2021-01-07,179.4587,180.3014,176.8032,181.29,742012.0
2021-01-06,176.189,177.0282,170.5355,181.96,1135216.0
2021-01-05,191.3513,193.3215,189.8483,189.88,644603.0
2021-01-04,182.6164,183.5131,174.7957,187.96,703986.0
2020-12-31,193.8149,195.1786,191.9057,192.84,487749.0
2020-12-30,191.4905,193.0156,190.7681,191.17,263824.0
2020-12-29,186.6788,187.5695,181.5451,190.75,333722.0
2020-12-28,191.4261,191.4261,188.7978,193.66,349354.0
2020-12-24,194.5116,195.5877,194.1395,193.96,153140.0
2020-12-23,191.5787,192.2496,190.1777,192.87,555455.0
2020-12-22,194.11,194.7906,192.9791,194.03,353990.0
2020-12-21,197.0005,199.8407,194.1039,194.55,469537.0
2020-12-18,196.8442,199.0008,196.0203,195.17,829587.0
2020-12-17,194.0505,197.0798,193.589,193.75,435259.0
2020-12-16,193.9022,196.4694,193.8921,193.25,612503.0
2020-12-15,195.6315,198.1746,194.6613,193.58,557080.0
2020-12-14,190.7845,194.5398,190.7845,189.12,623655.0
2020-12-11,191.2609,195.8805,191.0439,188.14,726237.0
2020-12-10,187.9297,192.6762,187.3101,183.39,726061.0
2020-12-09,176.6527,177.038,172.7607,179.98,1081829.0
2020-12-08,192.8668,208.4042,192.7462,184.23,2075754.0
2020-12-07,174.8002,179.3757,174.4756,170.83,612516.0
2020-12-04,166.9914,168.3092,166.6696,166.5,956399.0
2020-12-03,165.651,167.9521,165.2792,165.25,430709.0
2020-12-02,162.8588,163.2993,159.8783,164.61,664347.0
2020-12-01,165.4534,167.6591,163.9014,166.94,472325.0
2020-11-30,168.4849,171.1549,168.2098,166.9,1117092.0
2020-11-27,163.6572,164.8513,162.0831,164.74,316289.0
2020-11-25,166.2203,169.509,166.12,166.0,614608.0
2020-11-24,158.3413,158.4189,151.1088,165.8,1171755.0
2020-11-23,173.001,173.5034,170.4891,172.59,596133.0
2020-11-20,169.2026,170.0158,166.8163,171.253,504610.0
2020-11-19,176.3885,180.3096,175.9023,173.2186,691604.0
2020-11-18,170.9063,172.5103,169.9954,171.5623,894744.0
2020-11-17,173.4894,175.5198,171.7141,171.5623,724102.0
2020-11-16,176.4844,182.2257,176.1289,171.1233,1023731.0
2020-11-13,165.4997,166.3357,162.9413,164.7178,1227739.0
2020-11-12,165.7121,169.7552,164.8889,162.1536,2136812.0
2020-11-11,162.4121,166.3347,161.8801,158.8311,1529067.0
2020-11-10,157.4177,161.8542,155.3397,154.2614,1812924.0
2020-11-09,145.697,147.7901,139.9295,151.5575,1013241.0
2020-11-06,147.8305,148.9684,145.9145,149.7317,776302.0
2020-11-05,148.8349,149.5106,146.3055,151.3081,1013862.0
2020-11-04,153.1291,158.7185,153.1291,151.6074,1254741.0
2020-11-03,156.2123,164.2235,155.6688,149.6618,1808393.0
2020-11-02,144.828,148.6415,143.5952,141.5302,1395343.0
2020-10-30,134.1608,135.6206,131.4634,136.292,1539776.0
2020-10-29,138.4517,139.9905,137.2187,139.2453,1635784.0
2020-10-28,136.1091,137.7274,131.0486,140.5723,1615996.0
2020-10-27,144.4568,145.663,141.4318,147.4767,792155.0
2020-10-26,150.0527,150.677,147.7538,150.5698,1124001.0
2020-10-23,148.3284,148.3284,141.1835,152.6052,1289575.0
2020-10-22,153.3355,157.3592,148.9143,155.5485,2601997.0
2020-10-21,164.2194,167.3574,163.963,161.984,798749.0
2020-10-20,159.5697,161.1905,158.8093,159.3499,566568.0
2020-10-19,153.6022,154.3639,148.4586,158.2225,496810.0
2020-10-16,162.9817,163.6503,161.1257,162.9717,606097.0
2020-10-15,160.9927,161.1799,158.0174,162.0139,533919.0
2020-10-14,162.4933,163.5931,160.937,163.7999,367626.0
2020-10-13,166.2728,168.6067,166.2321,164.5182,425909.0
2020-10-12,163.4638,164.5814,162.3068,164.189,293406.0
2020-10-09,164.9842,167.1374,163.4477,163.9096,319707.0
2020-10-08,160.7793,163.8624,160.1359,161.4252,407109.0
2020-10-07,162.7684,165.2606,161.97,160.7069,624248.0
2020-10-06,153.0994,153.3558,148.8347,156.9154,732378.0
2020-10-05,160.1507,161.2872,159.155,159.5096,394888.0
2020-10-02,160.889,165.0062,159.9547,158.6016,481295.0
2020-10-01,158.094,159.4685,157.5422,157.6538,588854.0
2020-09-30,155.201,156.1081,153.0925,156.5463,534064.0
2020-09-29,156.7295,159.2791,155.7512,157.4841,378503.0
2020-09-28,157.1869,157.9298,155.9981,157.7535,462898.0
2020-09-25,161.745,168.1222,161.745,156.0574,729929.0
2020-09-24,151.6573,153.3448,150.3093,151.5974,465957.0
2020-09-23,147.7579,147.9374,142.711,151.8169,581086.0
2020-09-22,156.3089,158.2185,156.1079,155.7381,621985.0
2020-09-21,155.7849,156.887,153.9042,154.7503,817757.0
2020-09-18,153.3846,154.3351,149.757,155.5685,1019661.0
2020-09-17,160.5972,162.6075,158.7237,158.8012,969990.0
2020-09-16,157.1807,157.8164,155.2542,158.7612,647784.0
2020-09-15,155.7663,155.8989,151.0966,159.8687,562842.0
2020-09-14,161.8419,162.8163,160.6609,162.9518,823254.0
