date,Open,High,Low,Close,Volume
2021-02-12,111.5065,114.1743,111.4439,109.23,1021006.0
2021-02-11,107.3267,109.0132,106.5647,106.48,734994.0
2021-02-10,103.1952,103.1952,100.4765,105.1,737585.0
2021-02-09,104.7662,104.8443,103.1663,106.07,586009.0
2021-02-08,109.4564,111.7908,108.9169,107.46,736885.0
2021-02-05,105.7856,107.2818,104.9966,104.5,504177.0
2021-02-04,101.5934,102.2261,100.7037,102.18,670583.0
2021-02-03,103.3351,104.6028,103.0024,102.61,616590.0
2021-02-02,102.6744,104.0018,101.0583,102.0,1279823.0
2021-02-01,100.0,100.26,97.81,100.0,1069174.0
2021-01-29,96.179,97.231,92.0668,98.35,2675616.0
2021-01-28,98.5588,98.5588,97.0167,99.92,1397960.0
2021-01-27,99.1826,99.916,97.3247,100.3,993635.0
2021-01-26,100.9863,101.0817,98.4571,103.37,861533.0
2021-01-25,104.68,106.1394,103.2505,104.7,861222.0
2021-01-22,107.7827,110.0788,106.7633,106.22,1063281.0
2021-01-21,106.0702,107.4,105.4184,105.92,708938.0
2021-01-20,105.8705,106.252,104.6152,105.65,494698.0
2021-01-19,104.3229,104.4416,102.6702,104.87,499743.0
2021-01-15,103.9467,104.1927,102.0669,104.78,593480.0
2021-01-14,105.686,105.7746,103.5285,106.48,886682.0
2021-01-13,103.8617,104.6212,100.9848,106.59,966045.0
2021-01-12,112.891,116.0157,112.4175,110.06,839100.0
2021-01-11,109.7192,112.4444,109.2161,107.17,659711.0
2021-01-08,104.4653,105.2658,101.7856,105.73,842031.0
2021-01-07,106.9738,107.9126,105.9164,107.61,1027109.0
2021-01-06,111.2436,117.2518,111.0063,107.11,1194595.0
2021-01-05,104.1511,108.0628,104.1511,101.43,994749.0
2021-01-04,96.0658,96.3887,93.1741,98.58,1205604.0
2020-12-31,99.9213,100.1099,98.6703,100.28,513734.0
2020-12-30,101.2495,102.4934,101.1679,100.27,391174.0
2020-12-29,97.6469,98.095,95.3574,98.93,459542.0
2020-12-28,97.1398,97.1969,94.7594,99.55,329229.0
2020-12-24,101.8226,102.4388,101.2165,101.31,154109.0
2020-12-23,100.2248,101.1322,99.4259,100.92,511223.0
2020-12-22,99.1533,99.1533,97.2632,100.97,979834.0
2020-12-21,102.62,103.0003,100.63,102.58,785127.0
2020-12-18,104.976,106.5137,104.2379,103.68,2835805.0
2020-12-17,102.6703,103.4127,101.7071,102.5,1028660.0
2020-12-16,101.5502,101.5502,100.284,101.7,868355.0
2020-12-15,101.6904,102.4347,100.6813,101.48,988654.0
2020-12-14,97.5609,98.035,94.5835,100.19,1200362.0
2020-12-11,102.328,103.3516,101.746,101.7989,949181.0
2020-12-10,102.2558,103.5662,101.819,102.2756,1247827.0
2020-12-09,104.1577,105.5675,103.8606,103.4376,1247223.0
2020-12-08,104.3558,106.7767,103.748,102.4643,811838.0
2020-12-07,100.9746,101.5203,100.2106,101.0243,1430990.0
2020-12-04,104.6538,107.7569,104.0647,101.6897,1167663.0
2020-12-03,97.1915,97.7888,95.6209,97.4787,1063139.0
2020-12-02,96.5643,97.0513,95.2883,97.5085,793249.0
2020-12-01,97.6989,99.0778,96.4085,98.1044,707604.0
2020-11-30,94.5876,94.7965,92.3039,96.7338,1454000.0
2020-11-27,98.6244,99.0169,96.8972,99.2167,353325.0
2020-11-25,97.0573,97.5711,94.5928,99.1571,855457.0
2020-11-24,104.8711,107.8125,103.7278,102.514,1221881.0
2020-11-23,102.3876,105.6282,102.0921,99.316,1114640.0
2020-11-20,96.1186,96.7872,95.2404,95.8896,761375.0
2020-11-19,96.3491,96.8809,94.6631,95.8499,845616.0
2020-11-18,95.4664,96.0254,94.2698,96.0684,643444.0
2020-11-17,96.3564,96.3763,94.777,96.3465,1197265.0
2020-11-16,100.3399,103.9921,100.1499,97.3297,1102278.0
2020-11-13,96.3289,99.7337,96.3289,93.3571,737856.0
2020-11-12,90.1492,91.1527,89.5094,90.1293,905791.0
2020-11-11,89.7725,90.3004,87.5125,91.1324,714773.0
2020-11-10,95.8819,99.5746,95.8311,92.7612,1135652.0
2020-11-09,89.9611,92.9565,89.1324,89.7221,1084114.0
2020-11-06,82.7454,82.8599,80.8003,84.4484,506178.0
2020-11-05,88.4912,92.3215,88.4912,85.8289,519317.0
2020-11-04,81.1006,81.4667,78.3163,82.3429,772923.0
2020-11-03,83.8925,84.3477,82.2501,84.0511,590780.0
2020-11-02,83.7757,85.7912,82.829,82.7501,934303.0
2020-10-30,80.7164,83.6074,79.6122,80.2871,939974.0
2020-10-29,83.0955,85.677,82.2972,81.3299,943017.0
2020-10-28,79.8304,80.7167,78.5556,79.721,900465.0
2020-10-27,79.8617,80.0223,77.6134,81.8861,783330.0
2020-10-26,83.3943,83.6571,81.4185,84.2398,648352.0
2020-10-23,87.2624,88.1171,86.6188,86.7227,764936.0
2020-10-22,85.7701,86.1898,83.1722,85.5111,662236.0
2020-10-21,84.0474,85.2874,83.1296,84.7662,487627.0
2020-10-20,86.1966,87.6118,86.0571,86.0474,388887.0
2020-10-19,84.0856,85.174,82.8375,85.1933,744587.0
2020-10-16,85.8488,86.5134,85.2933,85.8984,471555.0
2020-10-15,87.191,88.8935,86.6365,85.5409,603073.0
2020-10-14,85.8163,86.9521,85.6646,85.0244,384192.0
2020-10-13,83.5662,83.7827,82.0405,83.9419,616147.0
2020-10-12,84.4659,84.4659,83.0233,85.2628,725350.0
2020-10-09,85.6602,86.3071,85.0481,85.5707,723098.0
2020-10-08,86.2295,87.7077,85.9266,84.8159,807104.0
2020-10-07,84.6412,87.1127,84.6412,82.9487,858648.0
2020-10-06,78.7299,80.3386,77.4603,79.7011,1288212.0
2020-10-05,81.6013,83.7941,81.5289,79.9593,886565.0
2020-10-02,80.9059,85.1988,80.7226,77.6353,881436.0
2020-10-01,74.07,74.7151,72.1063,75.7881,893381.0
2020-09-30,78.2568,79.9543,78.2568,77.5857,1046842.0
2020-09-29,75.3622,75.8618,73.8988,76.6223,535828.0
2020-09-28,78.0426,79.0276,77.7143,77.973,1035019.0
2020-09-25,77.7979,79.0982,77.5225,76.7713,607658.0
2020-09-24,76.6324,77.3697,75.4369,76.5131,781467.0
2020-09-23,74.6512,75.3608,72.721,76.4833,977206.0
2020-09-22,77.0459,77.5629,74.5613,78.4696,1002899.0
2020-09-21,78.2513,78.3653,75.7914,80.0189,1426321.0
2020-09-18,82.6845,83.6935,81.3328,83.2566,1794806.0
2020-09-17,88.197,92.5235,86.8143,84.8953,1739046.0
2020-09-16,84.3553,87.442,83.9473,82.184,1518781.0
2020-09-15,78.8249,79.1949,77.5159,79.6018,1354529.0
2020-09-14,81.2484,82.069,80.3671,80.446,1300203.0
2020-09-11,79.7578,80.7667,78.9405,78.8107,989825.0
2020-09-10,76.0636,76.4224,74.5149,77.333,1039845.0
2020-09-09,80.1401,82.075,79.9251,78.6136,944998.0
2020-09-08,76.0147,76.5415,74.5709,76.3872,1383459.0
2020-09-04,78.0334,78.8073,76.9321,77.7566,1438854.0
2020-09-03,75.4747,75.7625,73.3644,76.4857,1425349.0
