date,Open,High,Low,Close,Volume
2018-12-20,89.1998,89.4798,85.9705,92.33,31612912.0
2018-12-19,96.6271,99.3942,96.2405,95.8,12738175.0
2018-12-18,92.8989,93.3958,90.3377,95.03,6044176.0
2018-12-17,95.8859,96.1419,94.7637,96.64,6946163.0
2018-12-14,96.5973,96.7037,94.5564,98.22,8031772.0
2018-12-13,100.8456,103.0165,100.8456,98.95,8429004.0
2018-12-12,96.2449,96.5899,95.4857,96.93,4117094.0
2018-12-11,95.7645,96.2183,94.4032,96.42,4499128.0
2018-12-10,95.7408,96.049,94.0204,96.01,3468382.0
2018-12-07,94.035,94.8724,91.9464,95.85,5394550.0
2018-12-06,98.4927,100.1366,97.0376,97.98,5033437.0
2018-12-04,97.1311,97.4303,95.2877,98.87,5421427.0
2018-12-03,99.7775,99.9937,97.8018,100.64,6009474.0
2018-11-30,101.9321,102.4165,101.3064,101.47,4674212.0
2018-11-29,102.0365,103.3601,101.9044,101.22,3256833.0
2018-11-28,102.6123,104.2399,102.2311,101.1,5984412.0
2018-11-27,99.992,100.4764,99.0031,99.54,4539158.0
2018-11-26,100.8186,103.2912,100.5496,99.12,5134355.0
2018-11-23,99.145,101.7566,97.4866,96.81,1440925.0
2018-11-21,95.6108,97.693,95.6108,95.33,6467128.0
2018-11-20,93.3503,93.763,91.3541,95.29,7926765.0
2018-11-19,96.1066,96.3623,94.8966,96.9,3764363.0
2018-11-16,98.0517,98.9593,98.0517,97.64,3630042.0
2018-11-15,98.9731,101.1968,98.6494,97.46,3318435.0
2018-11-14,95.8048,96.3865,95.0356,96.48,3865499.0
2018-11-13,95.19,95.3107,93.4136,96.88,4444130.0
2018-11-12,97.7322,98.0789,97.2271,98.2,2930577.0
2018-11-09,97.6176,97.9222,96.7333,98.48,3391869.0
2018-11-08,99.641,100.5469,99.4901,99.32,3991591.0
2018-11-07,100.0331,101.5498,99.9623,99.48,5331459.0
2018-11-06,98.7027,99.5717,98.3288,98.19,3557427.0
2018-11-05,98.1551,99.3522,98.1551,97.45,2322127.0
