date,Open,High,Low,Close,Volume
2021-02-12,0.1186,0.1299,0.1163,0.11,1991885.0
2021-02-11,0.1013,0.1108,0.0985,0.1041,2112308.0
2021-02-10,0.1135,0.1169,0.1033,0.115,1721178.0
2021-02-09,0.119,0.12,0.11,0.119,3033486.0
2021-02-08,0.1232,0.1286,0.1072,0.119,3033486.0
2021-02-05,0.1257,0.1413,0.1197,0.1149,1766028.0
2021-02-04,0.0923,0.0994,0.0835,0.101,2128886.0
2021-02-03,0.1049,0.1071,0.0983,0.111,1645194.0
2021-02-02,0.1112,0.1158,0.1019,0.1155,1165250.0
2021-02-01,0.1068,0.1155,0.0941,0.1155,1165250.0
2021-01-29,0.115,0.1295,0.114,0.113,1376880.0
2021-01-28,0.1118,0.1221,0.1115,0.111,1457477.0
2021-01-27,0.1031,0.1031,0.09,0.114,1308456.0
2021-01-26,0.1225,0.125,0.1151,0.123,1323831.0
2021-01-25,0.124,0.1633,0.1155,0.122,2905063.0
2021-01-22,0.1281,0.1367,0.1253,0.12,1371481.0
2021-01-21,0.1174,0.1402,0.1062,0.1139,1432766.0
2021-01-20,0.114,0.1182,0.0929,0.124,1490637.0
2021-01-19,0.14,0.14,0.12,0.14,1526730.0
2021-01-15,0.0909,0.0909,0.0649,0.1128,2992551.0
2021-01-14,0.137,0.16,0.135,0.137,3744024.0
2021-01-13,0.1307,0.1481,0.1045,0.14,3744024.0
2021-01-12,0.2178,0.484,0.1936,0.14,16654562.0
2021-01-11,0.1065,0.135,0.1065,0.087,2025924.0
2021-01-08,0.0782,0.0861,0.076,0.074,1898521.0
2021-01-07,0.0756,0.0818,0.0719,0.07,1789204.0
2021-01-06,0.0655,0.0711,0.0569,0.065,2213530.0
2021-01-05,0.0689,0.0838,0.0689,0.0587,2040014.0
2021-01-04,0.052,0.0572,0.052,0.051,841915.0
2020-12-31,0.0493,0.055,0.0483,0.0502,2387277.0
2020-12-30,0.0519,0.0519,0.0456,0.0544,2723801.0
2020-12-29,0.0491,0.0517,0.0452,0.0529,3095723.0
2020-12-28,0.0641,0.073,0.0641,0.0605,1599536.0
2020-12-24,0.0642,0.0766,0.0642,0.0605,1599536.0
2020-12-23,0.0565,0.0571,0.0499,0.062,1906412.0
2020-12-22,0.081,0.1025,0.0805,0.0679,1785375.0
2020-12-21,0.0599,0.0698,0.0528,0.06,1774346.0
2020-12-18,0.0516,0.0516,0.0405,0.0601,1582586.0
2020-12-17,0.0739,0.1012,0.0739,0.0615,2433803.0
2020-12-16,0.06,0.06,0.05,0.06,2017169.0
2020-12-15,0.0485,0.0485,0.0364,0.0574,3139021.0
2020-12-14,0.0637,0.0676,0.0598,0.0644,2006664.0
2020-12-11,0.0612,0.0622,0.0567,0.0655,2181839.0
2020-12-10,0.07,0.08,0.07,0.07,1408410.0
2020-12-09,0.0792,0.0882,0.0792,0.075,868836.0
2020-12-08,0.0648,0.0648,0.0575,0.072,1177565.0
2020-12-07,0.0739,0.0798,0.0709,0.0744,1605849.0
2020-12-04,0.0754,0.0788,0.0689,0.076,1908430.0
2020-12-03,0.0788,0.0846,0.0751,0.0766,1560430.0
2020-12-02,0.068,0.068,0.0617,0.0742,1460220.0
2020-12-01,0.0914,0.1045,0.0914,0.08,1050096.0
2020-11-30,0.0763,0.0768,0.0711,0.0779,940546.0
2020-11-27,0.0795,0.081,0.077,0.079,543237.0
2020-11-25,0.0719,0.0719,0.0652,0.0782,1047790.0
2020-11-24,0.08,0.09,0.08,0.08,2078116.0
2020-11-23,0.0763,0.0786,0.0663,0.0812,1347519.0
2020-11-20,0.0719,0.0719,0.0606,0.08,697337.0
2020-11-19,0.0864,0.101,0.0819,0.0816,1404011.0
2020-11-18,0.0752,0.0783,0.0711,0.0746,1052892.0
2020-11-17,0.074,0.078,0.072,0.074,1232582.0
2020-11-16,0.077,0.0821,0.0754,0.076,1155793.0
2020-11-13,0.074,0.0818,0.0715,0.075,959790.0
2020-11-12,0.0701,0.0704,0.0647,0.076,946378.0
2020-11-11,0.0747,0.0801,0.0705,0.078,1590628.0
2020-11-10,0.0875,0.0966,0.0815,0.084,1286715.0
2020-11-09,0.0809,0.0888,0.0757,0.0814,1625450.0
2020-11-06,0.075,0.0777,0.0713,0.0775,813229.0
2020-11-05,0.0711,0.0711,0.0624,0.08,626773.0
2020-11-04,0.082,0.087,0.0804,0.082,951550.0
2020-11-03,0.0756,0.0756,0.0682,0.082,569448.0
2020-11-02,0.0839,0.088,0.0817,0.082,575375.0
2020-10-30,0.0767,0.0767,0.0724,0.0801,681621.0
