date,Open,High,Low,Close,Volume
2020-10-02,49.26,49.26,49.26,49.26,1.0
2020-10-01,47.8043,48.1999,46.062,49.26,20707933.0
2020-09-30,50.8733,52.3818,50.6047,50.05,2851648.0
2020-09-29,48.0463,48.1716,47.1303,48.93,1642767.0
2020-09-28,50.605,51.86,50.5948,50.1,1385865.0
2020-09-25,49.6197,50.942,49.4323,48.63,1869632.0
2020-09-24,48.3806,49.3776,47.7763,48.21,1808900.0
2020-09-23,46.5654,46.926,45.1361,48.02,1151554.0
2020-09-22,48.6877,49.0583,47.3954,49.3,1663910.0
2020-09-21,49.5151,49.8385,48.1923,50.02,3687440.0
2020-09-18,51.7508,52.366,51.4034,51.95,2538102.0
2020-09-17,52.06,52.7806,51.8198,52.04,1552703.0
2020-09-16,53.5964,54.9764,53.2284,53.01,1864444.0
2020-09-15,51.4115,51.5474,50.5475,52.18,1311411.0
2020-09-14,53.4844,54.3194,53.1585,53.0,2108842.0
2020-09-11,52.3001,52.9516,52.0194,52.24,1520722.0
2020-09-10,50.967,51.0912,49.6484,52.14,1761397.0
2020-09-09,53.4448,54.4384,53.19,52.94,1792927.0
2020-09-08,50.0103,50.2147,48.1708,51.885,3770649.0
2020-09-04,53.4998,53.5961,51.5266,54.53,2861726.0
2020-09-03,53.6469,54.3131,52.1506,54.6,2598727.0
2020-09-02,55.5946,56.338,55.2891,55.09,1138820.0
2020-09-01,55.1399,56.1365,54.9961,54.4,1449048.0
2020-08-31,53.5457,53.6829,52.9776,54.1,2214189.0
2020-08-28,54.4805,54.6296,54.0333,54.65,3330899.0
2020-08-27,55.2396,56.2871,55.0856,54.51,2094087.0
2020-08-26,53.3815,53.4705,52.9658,53.66,1042619.0
2020-08-25,53.4158,53.7292,52.6811,53.97,1054004.0
2020-08-24,55.6104,57.0992,55.6104,54.31,2262939.0
2020-08-21,53.444,54.2785,53.3321,52.98,2219136.0
2020-08-20,52.9512,53.5165,52.8099,52.7,1022554.0
2020-08-19,53.6221,54.6447,53.5917,53.29,1356464.0
2020-08-18,52.4341,52.4341,51.6678,52.9,1280148.0
2020-08-17,52.3078,52.4042,51.1521,53.2291,1852329.0
2020-08-14,54.6387,55.2971,54.3652,54.2165,1251692.0
2020-08-13,54.2671,54.7595,54.0159,54.0669,1263124.0
2020-08-12,54.1174,54.9989,53.4538,54.3063,2050330.0
2020-08-11,54.2216,55.93,54.1301,53.6979,2072976.0
2020-08-10,52.6714,53.1236,52.5206,52.4711,2334940.0
2020-08-07,53.6222,55.1231,53.4648,52.2717,1158945.0
2020-08-06,50.9666,51.2669,50.5029,51.2444,1638165.0
2020-08-05,52.3081,53.0426,52.3081,51.7231,1542228.0
2020-08-04,51.0351,51.4226,50.7371,51.1347,1332621.0
2020-08-03,51.7364,52.6079,51.3513,51.3242,1495248.0
2020-07-31,50.4472,50.4472,49.6931,50.636,1356769.0
2020-07-30,50.2506,50.2506,49.4268,50.6759,2007096.0
2020-07-29,52.5042,52.9803,52.1902,52.0971,1141588.0
2020-07-28,51.1712,51.5027,50.5423,51.753,1276570.0
2020-07-27,54.1798,55.7632,53.7814,52.8402,1772171.0
2020-07-24,50.9737,50.9737,50.2057,51.6334,2064277.0
2020-07-23,51.5398,51.6666,50.7102,52.1021,2224366.0
2020-07-22,51.5537,51.8318,50.5466,52.5709,3115446.0
2020-07-21,54.2079,54.5806,53.6135,53.9373,2112300.0
2020-07-20,53.3389,53.5279,52.762,53.4087,2416200.0
2020-07-17,53.6306,53.8765,52.8336,53.9971,2395400.0
2020-07-16,55.2012,57.1442,54.8084,54.2265,2476400.0
2020-07-15,51.9514,51.9802,50.0593,52.9399,2716100.0
2020-07-14,52.2628,52.595,50.9139,52.0223,2604400.0
2020-07-13,51.0529,51.228,50.1871,51.6932,2342500.0
2020-07-10,53.6837,56.2608,53.6618,51.3042,3573600.0
2020-07-09,47.823,48.2503,46.1991,49.0103,2681500.0
2020-07-08,51.9291,53.593,51.8019,50.3767,1377000.0
2020-07-07,47.8944,47.9136,46.8133,48.9006,1116000.0
2020-07-06,50.257,50.8559,50.1672,50.237,2340400.0
2020-07-02,47.9815,48.0671,46.7554,49.1499,1941900.0
2020-07-01,48.3883,49.295,47.5108,48.9405,2698500.0
2020-06-30,50.8461,52.4288,50.7413,49.5987,2965100.0
2020-06-29,48.1665,48.2056,47.1036,48.6014,1736400.0
2020-06-26,46.8857,46.8857,44.968,48.4119,4108300.0
2020-06-25,52.4875,55.0791,52.4328,50.1273,2796500.0
2020-06-24,47.7868,48.1204,46.9235,48.1825,2352500.0
2020-06-23,48.9813,49.4164,48.5758,49.1898,3265100.0
2020-06-22,49.5229,50.6578,49.461,48.6911,1882000.0
2020-06-19,46.7201,46.8134,44.9005,48.3022,3809300.0
2020-06-18,49.4554,50.8325,49.2921,48.9006,1644300.0
2020-06-17,48.2065,48.4186,47.3099,49.0302,3295300.0
2020-06-16,48.8814,48.8814,46.2961,49.888,3133600.0
2020-06-15,51.9259,55.8521,51.9259,48.6812,2557400.0
2020-06-12,47.1487,47.4134,45.5898,47.5541,2390300.0
2020-06-11,44.56,45.7936,43.091,45.8586,2960600.0
2020-06-10,48.6603,49.0753,47.2738,50.0376,1882200.0
2020-06-09,53.5218,55.5848,53.3304,51.8328,4202200.0
2020-06-08,51.296,51.434,50.1918,51.5935,1917500.0
2020-06-05,49.2657,49.8724,47.3335,50.9252,2587800.0
2020-06-04,52.0987,54.3422,51.9686,49.9777,2273100.0
2020-06-03,48.4133,49.2299,48.1411,48.1526,1426900.0
2020-06-02,47.4126,48.6616,47.2283,46.7962,3032600.0
2020-06-01,46.0994,46.7043,45.4742,45.8487,2531400.0
2020-05-29,45.9648,47.0169,45.781,45.4198,3743800.0
2020-05-28,42.8717,43.0044,40.2365,45.5295,3169800.0
2020-05-27,49.7163,51.5228,49.7163,48.0229,6132700.0
2020-05-26,46.7806,49.1311,46.5729,44.6817,3165700.0
2020-05-22,40.774,40.9314,40.2033,41.0514,1464300.0
2020-05-21,40.8463,41.0124,39.9866,41.2708,1892600.0
2020-05-20,43.0713,44.3702,43.0399,42.0288,1946600.0
2020-05-19,39.6158,40.1854,38.9496,40.2634,1727100.0
2020-05-18,42.7779,44.7574,42.4783,41.3007,3081900.0
2020-05-15,38.2788,38.7687,37.9488,38.2288,2380000.0
2020-05-14,40.5473,42.6168,39.8794,38.6976,1871900.0
2020-05-13,36.705,36.9685,35.3595,37.79,2469700.0
2020-05-12,37.7334,37.9175,36.1961,39.2761,2811000.0
2020-05-11,41.1082,41.7259,40.9462,40.727,3333500.0
2020-05-08,41.5607,42.2669,41.2435,40.9556,2368400.0
2020-05-07,40.7113,42.0683,40.6278,39.7233,4001800.0
2020-05-06,36.9954,37.1825,35.6765,38.1332,2077800.0
2020-05-05,37.9727,38.4389,37.0973,38.809,2471800.0
2020-05-04,38.8291,38.9082,37.8205,38.9282,4687700.0
2020-05-01,39.1073,39.3645,38.6621,39.1965,2575000.0
2020-04-30,40.0145,40.2782,39.1548,40.3593,2410600.0
2020-04-29,41.3943,41.7578,40.9226,41.6314,4217400.0
2020-04-28,40.0394,40.8221,39.3148,40.6078,1757600.0
2020-04-27,40.8086,42.0793,40.7149,39.8624,1789500.0
2020-04-24,38.4313,38.7097,37.8049,38.4214,1452500.0
2020-04-23,37.2053,37.3769,36.29,37.9841,2184700.0
2020-04-22,38.3122,38.619,37.8074,38.3915,2357400.0
2020-04-21,37.0435,37.9304,36.3711,37.4077,2852500.0
2020-04-20,39.3891,40.8382,39.0445,39.0077,4618100.0
2020-04-17,38.6449,38.7016,36.8394,39.6239,5902200.0
2020-04-16,39.7113,41.0703,39.0267,38.8686,5169800.0
2020-04-15,39.8527,42.0486,39.674,38.7593,3008600.0
2020-04-14,39.9055,40.3837,37.9341,40.2699,2906800.0
2020-04-13,38.7354,38.932,37.2189,39.9121,3364100.0
2020-04-09,42.5204,44.3043,42.5204,41.5022,6810600.0
2020-04-08,41.8212,44.5379,41.8212,39.6736,4352900.0
2020-04-07,34.8402,35.0673,32.4739,37.1691,8165700.0
2020-04-06,38.4873,40.317,38.4027,37.3083,6357900.0
2020-04-03,34.2582,34.8608,33.3241,34.0783,6325300.0
2020-04-02,36.8348,39.9887,36.6719,34.0386,5113200.0
2020-04-01,31.5459,31.9766,30.7528,31.7826,7196000.0
2020-03-31,33.5702,34.3789,32.6652,34.1082,4089800.0
2020-03-30,36.8451,39.2335,36.2096,35.092,5173900.0
2020-03-27,34.0407,35.2222,33.3743,33.7703,5880700.0
2020-03-26,36.9205,39.5225,35.5927,35.5691,5814800.0
2020-03-25,33.9313,35.758,32.3265,33.6709,7842700.0
2020-03-24,36.6197,41.3251,35.8334,32.677,7696600.0
2020-03-23,25.4411,25.5812,23.7859,27.1017,8122600.0
2020-03-20,27.5464,28.0646,25.91,28.8011,7934900.0
2020-03-19,31.5301,35.174,29.9699,30.0931,7358700.0
2020-03-18,28.2922,29.4508,24.069,29.1788,7522600.0
2020-03-17,35.6497,40.4432,33.6376,32.6671,7726400.0
2020-03-16,28.8293,33.0864,27.2821,29.3179,6985200.0
2020-03-13,39.0562,43.9647,38.5971,35.8871,10981100.0
2020-03-12,27.8371,28.1482,25.1762,30.6695,6737200.0
2020-03-11,35.0986,35.5094,33.2273,36.6225,5054300.0
2020-03-10,40.0008,40.9742,37.7466,39.3953,7598400.0
2020-03-09,35.9437,37.0863,35.0772,36.7219,6861600.0
2020-03-06,43.3999,45.2304,42.9742,41.9395,12162600.0
2020-03-05,41.3228,41.5286,39.7608,42.5954,7799700.0
2020-03-04,46.0365,46.4297,45.2702,45.7061,7843600.0
2020-03-03,42.9563,43.5522,40.7099,44.7222,7987600.0
2020-03-02,48.2266,49.8349,47.6658,46.7397,8540000.0
2020-02-28,47.0599,49.0057,46.9111,45.4974,10812700.0
2020-02-27,45.4586,47.1426,44.9662,45.6664,9153600.0
2020-02-26,46.6451,47.1824,45.6474,47.4751,7787400.0
2020-02-25,46.2841,46.6595,44.1049,48.2205,8518600.0
2020-02-24,49.5283,49.8784,48.5558,50.069,12165800.0
2020-02-21,51.7391,51.9289,50.4295,52.8738,17220000.0
2020-02-20,53.316,54.8672,52.2723,54.2414,42360400.0
2020-02-19,45.5322,46.7031,45.4078,44.5289,2036100.0
2020-02-18,43.0843,43.4554,42.4884,43.3991,3131200.0
2020-02-14,43.4319,43.7438,42.8666,43.7955,2323900.0
2020-02-13,44.7843,45.4354,44.7334,44.2019,1362100.0
2020-02-12,44.0237,44.6512,44.0237,43.9145,2006600.0
2020-02-11,43.9684,44.737,43.8066,43.5279,2019600.0
2020-02-10,42.4994,42.7046,42.0207,42.8045,2790600.0
2020-02-07,43.4298,43.7601,43.0396,43.2207,2201700.0
2020-02-06,41.8869,42.1845,40.4268,43.2405,2616100.0
2020-02-05,45.133,45.8371,45.0412,44.4794,2063385.0
2020-02-04,43.5427,44.5045,43.3909,43.082,3623800.0
2020-02-03,41.1712,41.6982,40.4622,41.8728,4083900.0
2020-01-31,40.822,40.859,39.3502,42.2395,4657600.0
2020-01-30,45.281,46.5116,45.1038,44.1424,2173243.0
2020-01-29,42.4276,42.5891,41.4778,43.3396,2166500.0
2020-01-28,43.9348,44.358,43.6692,44.0928,2404300.0
2020-01-27,43.8354,44.4567,43.155,43.9442,3645500.0
2020-01-24,45.8456,46.5179,45.3567,45.2227,5631400.0
2020-01-23,45.7084,45.9368,44.8641,45.6587,2269600.0
2020-01-22,46.1643,46.6914,45.8859,46.0849,2190200.0
2020-01-21,46.1246,46.5114,45.6385,46.1047,3409900.0
2020-01-17,45.6296,45.9758,44.8892,46.3228,3550600.0
2020-01-16,46.514,47.0779,46.514,46.1444,2205900.0
2020-01-15,45.7678,46.1046,45.6192,45.7777,1700000.0
2020-01-14,45.8001,45.8001,45.2045,46.1444,1598700.0
2020-01-13,46.5017,46.811,46.2023,46.3426,2724000.0
2020-01-10,45.5913,45.6989,45.1999,45.8867,3624800.0
2020-01-09,45.8381,46.1033,45.4943,46.0453,1966700.0
2020-01-08,46.4368,47.1653,46.032,45.9561,2997900.0
2020-01-07,45.7199,46.061,45.5494,45.4407,2284700.0
2020-01-06,45.6347,46.172,45.2191,45.1236,2225900.0
2020-01-03,44.9156,45.0143,44.2934,44.9947,1931700.0
2020-01-02,46.0986,46.5327,45.8059,45.6786,1742200.0
2019-12-31,45.1441,45.5837,45.0542,44.965,1380600.0
2019-12-30,44.5139,44.543,44.009,44.9749,1616600.0
2019-12-27,44.9659,45.1231,44.2,45.1731,1047900.0
2019-12-26,45.6594,45.9489,45.6594,45.4903,1060200.0
2019-12-24,45.2823,45.2823,44.9763,45.3713,439900.0
2019-12-23,45.0949,45.0949,44.6237,45.3119,2684800.0
2019-12-20,44.9576,44.9576,44.5182,45.292,4212100.0
2019-12-19,45.8997,46.4439,45.7385,45.52,3014100.0
2019-12-18,44.9376,45.0939,44.5957,45.2623,2309000.0
2019-12-17,45.3317,45.5204,45.0935,45.292,2129300.0
2019-12-16,45.292,45.629,45.0542,45.292,2755200.0
2019-12-13,43.8629,43.8915,42.9487,44.747,2321500.0
2019-12-12,46.6218,47.7605,46.4666,45.6191,2667400.0
2019-12-11,44.1068,44.6027,43.5914,44.5289,3549600.0
2019-12-10,44.748,44.8462,44.3456,44.965,2199500.0
2019-12-09,44.9755,44.9755,44.4834,45.1335,2049600.0
2019-12-06,45.2234,45.6462,44.9972,45.4011,3564000.0
2019-12-05,45.0344,45.0344,44.4411,45.0839,4749200.0
2019-12-04,45.5811,46.4714,45.489,44.856,3931500.0
2019-12-03,44.374,44.8685,44.0006,43.9739,3815300.0
2019-12-02,44.2019,45.0458,43.9934,44.1622,4566400.0
2019-11-29,43.9442,44.2322,43.7258,43.9045,1344200.0
2019-11-27,44.5738,45.1207,44.1889,44.0928,3636000.0
2019-11-26,43.637,43.7662,43.1799,43.5775,4998900.0
2019-11-25,45.1645,47.0441,45.1218,43.5081,12822200.0
2019-11-22,42.4322,42.9987,41.9062,42.0017,8793800.0
2019-11-21,39.4989,39.9815,37.4866,41.2088,29463200.0
2019-11-20,46.5156,47.8963,45.6333,45.4506,7342100.0
2019-11-19,44.3029,44.655,43.5695,44.5983,3511900.0
2019-11-18,45.1572,45.6217,44.9653,44.737,2996000.0
2019-11-15,45.6455,46.8108,45.6246,44.5487,3424700.0
2019-11-14,44.2836,45.3518,44.0244,43.2901,1965400.0
2019-11-13,41.7435,41.7435,40.9065,42.3684,2635800.0
2019-11-12,43.7711,44.2777,43.5583,43.2901,2044500.0
2019-11-11,42.9835,43.3931,42.554,42.8144,1188700.0
2019-11-08,43.2012,43.5697,42.9422,43.0919,1668800.0
2019-11-07,42.7574,43.1088,42.3181,43.082,2049400.0
2019-11-06,42.9635,43.2904,42.7753,42.9041,1981700.0
2019-11-05,42.9536,43.2887,42.2932,43.0029,2337200.0
2019-11-04,43.1538,43.6455,42.8125,42.8152,2874900.0
2019-11-01,42.2333,42.702,42.1635,42.0348,2376900.0
2019-10-31,41.019,41.019,39.9852,41.284,2527800.0
2019-10-30,42.5404,43.5005,41.9582,41.8372,3156500.0
2019-10-29,41.2247,41.4719,41.0171,41.205,1723000.0
2019-10-28,41.943,42.7642,41.578,41.4025,2721900.0
2019-10-25,40.8716,41.4536,40.8716,40.553,4425400.0
2019-10-24,40.4542,40.7612,40.0977,40.4048,2190500.0
2019-10-23,40.9152,41.5132,40.6213,40.3949,2471000.0
2019-10-22,39.348,39.5681,38.6495,39.98,4078200.0
2019-10-21,40.405,40.9066,39.9427,40.4937,3738700.0
2019-10-18,40.1392,40.5888,39.3182,40.3554,11032700.0
2019-10-17,38.4393,39.0379,37.8701,38.5673,4059900.0
2019-10-16,37.906,38.1641,37.065,38.5377,4116100.0
2019-10-15,39.596,40.4355,39.3662,39.3675,4554100.0
2019-10-14,38.9528,39.3599,38.6947,38.8538,3197100.0
2019-10-11,38.9133,39.4836,38.7559,39.002,5243000.0
2019-10-10,39.0696,39.6801,38.8051,38.4981,5594200.0
2019-10-09,37.7866,38.5415,37.6029,37.1842,4006000.0
2019-10-08,36.226,36.6308,35.7817,36.2359,4182200.0
2019-10-07,37.2396,38.1516,37.1889,36.7693,6169600.0
2019-10-04,36.5926,37.3394,35.8867,35.9593,6990100.0
2019-10-03,35.5877,36.3543,34.9825,35.2183,9432000.0
2019-10-02,34.1338,34.762,33.3342,34.7738,9466200.0
2019-10-01,36.5789,37.4121,35.7152,36.0679,23851700.0
2019-09-30,43.3097,43.5783,42.6631,43.161,2085200.0
2019-09-27,43.6026,44.4866,43.2428,42.7461,2817600.0
2019-09-26,39.5785,39.8482,37.2503,41.4914,6401900.0
2019-09-25,43.9243,44.5162,43.7537,43.5858,1451700.0
2019-09-24,42.4712,42.6413,41.2051,43.4277,2755400.0
2019-09-23,44.4855,45.0133,43.9875,44.3069,2489500.0
2019-09-20,44.1011,44.4915,43.7497,44.3662,3499500.0
2019-09-19,44.5045,44.998,44.2676,44.5243,1990600.0
2019-09-18,45.1497,45.6819,44.5672,44.7811,2451300.0
2019-09-17,44.0475,44.0475,43.1615,44.6132,2134700.0
