date,Open,High,Low,Close,Volume
2021-02-12,41.8039,42.1472,41.2056,42.21,3442142.0
2021-02-11,42.0416,42.0416,41.2724,42.74,3455070.0
2021-02-10,42.8159,42.8648,42.054,43.32,4250822.0
2021-02-09,43.213,43.2818,42.6031,43.57,4406756.0
2021-02-08,43.72,43.9298,43.4652,43.74,4314720.0
2021-02-05,43.3919,43.461,42.7209,43.68,3978387.0
2021-02-04,44.8722,46.1181,44.7455,43.67,4526297.0
2021-02-03,42.1132,42.182,41.4547,42.48,4831407.0
2021-02-02,43.2334,44.2157,42.8364,42.85,3887110.0
2021-02-01,42.2911,42.7456,41.6377,42.08,3650241.0
2021-01-29,41.5101,41.8891,40.9015,41.56,6858925.0
2021-01-28,42.9284,44.6697,42.7511,42.04,5317780.0
2021-01-27,39.545,39.8052,38.0441,41.02,7150355.0
2021-01-26,42.4243,42.4243,41.6107,42.85,4455727.0
2021-01-25,44.3108,45.3452,43.9663,43.35,6055877.0
2021-01-22,42.2618,42.3858,41.8276,42.54,4189805.0
2021-01-21,43.2411,43.7261,42.9279,43.02,3665305.0
2021-01-20,43.4436,43.9069,43.2144,43.05,4211639.0
2021-01-19,42.1409,42.2693,41.4727,42.82,4141504.0
2021-01-15,44.4116,45.6146,44.2036,43.36,5060904.0
2021-01-14,42.371,42.5889,41.9153,42.58,4328454.0
2021-01-13,43.6049,44.5805,43.5384,42.8,4467271.0
2021-01-12,42.3923,42.8084,42.0269,42.08,5235938.0
2021-01-11,41.4736,41.7779,40.8454,41.86,5042880.0
2021-01-08,42.411,42.8148,42.3009,42.21,4582762.0
2021-01-07,41.6142,41.722,40.9083,42.03,5223143.0
2021-01-06,43.5266,45.0091,43.4425,42.45,6310598.0
2021-01-05,41.0102,41.269,40.642,41.11,3968325.0
2021-01-04,39.9568,40.0699,38.4733,41.17,5033744.0
2020-12-31,42.4944,42.8313,42.2488,42.22,3248447.0
2020-12-30,42.0805,42.5539,42.0201,41.93,2531495.0
2020-12-29,41.4436,41.6596,40.9037,41.83,2647909.0
2020-12-28,42.2601,42.7312,42.0846,42.21,2531420.0
2020-12-24,41.7103,41.7103,41.1734,41.83,1476671.0
2020-12-23,41.4912,41.9859,41.2141,41.71,3322921.0
2020-12-22,41.9307,42.3088,41.8198,41.76,3121752.0
2020-12-21,40.8216,40.8216,39.7578,41.51,4402792.0
2020-12-18,42.4503,42.7884,42.1023,42.57,9169932.0
2020-12-17,42.69,43.196,42.685,42.65,5229598.0
2020-12-16,42.083,42.3878,41.4734,42.44,7583779.0
2020-12-15,44.0395,45.5167,43.8642,42.72,8301152.0
2020-12-14,40.6443,41.242,40.2033,41.06,4025620.0
2020-12-11,41.5532,42.0213,41.426,41.19,3532441.0
2020-12-10,41.1401,41.2597,40.4331,41.2,4396124.0
2020-12-09,40.9009,41.0891,40.5937,41.09,4392419.0
2020-12-08,41.4705,41.6922,40.9065,41.32,4130692.0
2020-12-07,41.696,42.4593,41.655,41.195,3235857.0
2020-12-04,40.5633,40.6026,39.807,40.93,3546301.0
2020-12-03,40.8015,41.1473,40.3075,41.05,4361370.0
2020-12-02,42.0249,42.5257,41.6161,41.57,5152715.0
2020-12-01,41.1801,41.7382,40.9609,41.25,5696974.0
2020-11-30,40.6615,40.6982,40.11,41.07,9445750.0
2020-11-27,41.2459,41.3143,40.6063,41.74,1723438.0
2020-11-25,41.9814,42.0802,41.309,42.22,3368949.0
2020-11-24,43.4513,44.2261,43.255,42.75,4762446.0
2020-11-23,40.8623,40.8719,39.9975,41.57,4373778.0
2020-11-20,41.5032,41.8177,41.0513,41.87,4069937.0
2020-11-19,42.2303,42.3397,41.5442,42.35,5376687.0
2020-11-18,42.2156,42.4013,41.7171,42.7,5759432.0
2020-11-17,43.2608,43.9267,43.1902,43.07,4676072.0
2020-11-16,43.4704,43.7722,42.8869,43.34,4110897.0
2020-11-13,43.0808,43.3331,42.8892,42.89,3668734.0
2020-11-12,41.592,41.7643,40.5726,42.3226,5418055.0
2020-11-11,44.0862,44.7495,43.7596,43.4475,5882684.0
