date,Open,High,Low,Close,Volume
2021-02-12,31.4514,31.8264,31.421,31.24,2494824.0
2021-02-11,30.3781,30.4258,29.5348,31.12,4589867.0
2021-02-10,30.8182,30.8182,29.73,31.75,5119845.0
2021-02-09,32.894,33.2621,32.6486,32.53,3655462.0
2021-02-08,32.0104,32.5266,31.7127,32.13,5512394.0
2021-02-05,32.2102,32.5039,31.8915,32.28,4434237.0
2021-02-04,32.4009,32.8254,32.0977,32.23,5397713.0
2021-02-03,32.6166,33.4013,32.5448,32.0126,5679265.0
2021-02-02,32.1224,33.2711,31.825,31.5285,5162915.0
2021-02-01,31.2787,31.8287,30.7796,30.8072,4870449.0
2021-01-29,30.3528,30.6386,29.9438,30.3922,7042521.0
2021-01-28,30.5009,30.9854,30.323,30.491,3283531.0
2021-01-27,29.8242,30.0227,29.0538,30.491,6183932.0
2021-01-26,31.5384,31.721,31.2421,31.5482,5214408.0
2021-01-25,32.238,33.0359,32.1965,31.4791,3962932.0
2021-01-22,31.085,31.4301,30.805,30.8961,2895394.0
2021-01-21,30.6492,30.9742,30.5704,30.6985,3140001.0
2021-01-20,31.2849,31.6634,30.9822,30.9554,4008820.0
2021-01-19,29.9768,30.0238,29.1452,30.7381,6089662.0
2021-01-15,31.8444,32.4788,31.4709,31.2914,4234241.0
2021-01-14,31.3275,31.9479,31.1749,30.8764,4649540.0
2021-01-13,30.6108,30.9459,30.5207,30.4219,3194592.0
2021-01-12,30.4551,30.8388,30.243,30.1255,4405368.0
2021-01-11,30.1383,30.7834,30.098,29.8389,5586675.0
2021-01-08,29.8015,30.1431,29.6709,29.5524,3207109.0
2021-01-07,28.553,28.5953,27.8387,29.2757,4700301.0
2021-01-06,30.4196,31.0827,30.3992,29.9377,7262345.0
2021-01-05,29.823,30.2274,29.5653,29.4832,4482814.0
2021-01-04,28.1094,28.1553,26.9523,29.1572,5216285.0
2020-12-31,30.8899,31.5804,30.7868,30.244,2740023.0
2020-12-30,30.0999,30.4893,30.0594,29.75,2667284.0
2020-12-29,29.3746,29.7703,29.2064,29.3548,4872355.0
2020-12-28,29.1184,29.7151,28.8299,29.2659,4082689.0
2020-12-24,29.6145,29.9773,29.4231,29.3252,1935926.0
2020-12-23,28.0864,28.1794,27.2581,28.9398,4820443.0
2020-12-22,29.6414,29.8248,29.4431,29.5919,4139643.0
2020-12-21,29.6018,29.6561,29.1285,29.6314,6369852.0
2020-12-18,29.8788,30.2714,29.5647,29.9773,9010531.0
2020-12-17,29.5255,29.7152,28.9185,30.1353,3767459.0
2020-12-16,30.0161,30.2547,29.4339,30.5404,5221734.0
2020-12-15,32.0135,33.0445,31.8452,31.0246,4552058.0
2020-12-14,29.6453,30.0122,29.2638,29.9871,3878423.0
2020-12-11,30.296,30.9502,30.2859,30.0168,4884502.0
2020-12-10,29.3918,29.5163,28.7839,29.8587,4980931.0
2020-12-09,30.4626,31.0928,30.3875,30.2737,9564835.0
2020-12-08,30.9306,32.189,30.8883,29.8982,7772156.0
2020-12-07,29.6714,30.3332,29.5483,29.1177,8768635.0
2020-12-04,29.6804,30.9357,29.6272,28.6039,7880263.0
2020-12-03,28.1517,28.7802,27.8734,27.5664,5808869.0
2020-12-02,27.2125,27.4535,26.9615,26.9934,4078904.0
2020-12-01,27.5655,28.3468,27.3676,26.8452,8178644.0
2020-11-30,26.203,26.5034,25.8976,26.2425,8524816.0
2020-11-27,26.5396,26.8192,26.4447,26.4005,2387956.0
2020-11-25,26.1636,26.311,25.6971,26.2425,7621284.0
2020-11-24,25.2702,25.3702,24.2153,26.3413,14019065.0
2020-11-23,27.0468,27.1288,26.6901,27.3787,5828652.0
2020-11-20,27.2852,27.3429,26.2472,27.6652,23117812.0
2020-11-19,29.2057,29.7585,28.9907,28.6928,5780853.0
2020-11-18,27.9057,28.1764,27.4802,28.2087,7562870.0
2020-11-17,28.6355,29.1881,28.525,28.3964,7713439.0
2020-11-16,26.8049,26.8049,25.2202,28.1593,11704597.0
2020-11-13,29.0587,29.1961,28.7398,29.1572,3894850.0
2020-11-12,28.7053,28.778,27.9394,28.9793,8673322.0
2020-11-11,29.9057,30.4054,29.7323,29.4338,5508265.0
2020-11-10,28.5697,28.7235,27.9927,28.9596,8517516.0
2020-11-09,28.6526,29.6157,28.0138,29.1671,8229270.0
2020-11-06,28.3711,28.7647,27.9566,28.7224,6045457.0
2020-11-05,29.2777,30.1113,29.2476,29.0386,5825751.0
2020-11-04,27.5405,27.8076,26.7483,28.3365,6083533.0
2020-11-03,29.138,29.2771,28.7541,29.3702,4528565.0
2020-11-02,29.0683,29.7455,28.7491,29.1849,7242865.0
2020-10-30,28.0916,28.8429,27.0929,28.9801,20290949.0
2020-10-29,31.1355,31.7349,30.5166,31.0181,8632766.0
2020-10-28,29.8056,29.8598,28.496,30.9693,7772351.0
2020-10-27,32.5685,32.7929,32.2758,32.5587,5270125.0
2020-10-26,32.7658,33.1427,32.4683,32.4905,7173152.0
2020-10-23,32.6179,32.8147,32.2997,32.471,4412461.0
2020-10-22,32.8644,33.7781,32.7426,32.2077,6098568.0
2020-10-21,32.1923,32.8939,32.1821,31.5251,8604935.0
2020-10-20,30.6334,30.7948,30.1869,31.0376,5675331.0
2020-10-19,30.9694,31.4187,30.8441,30.9401,7021901.0
2020-10-16,31.0185,31.4263,30.7827,30.9011,3910664.0
2020-10-15,31.0308,31.5132,30.9811,30.7255,2823364.0
2020-10-14,30.6964,30.9996,29.7084,30.6475,4531758.0
2020-10-13,30.7763,31.133,30.588,30.5305,4297154.0
2020-10-12,30.6091,31.0024,30.5599,30.4818,5462811.0
2020-10-09,30.3069,30.5194,30.0169,30.4428,4404953.0
2020-10-08,31.1079,31.8078,31.0369,30.5013,3400512.0
2020-10-07,29.7797,29.9609,29.5752,29.7992,3910551.0
2020-10-06,30.1084,30.9327,29.9777,29.6529,5304200.0
2020-10-05,29.4112,29.788,29.1683,29.1654,2878541.0
2020-10-02,29.7422,30.9811,29.5653,28.7851,4010530.0
2020-10-01,28.0051,28.219,27.6647,28.044,2805936.0
2020-09-30,27.9758,28.2192,27.7323,27.9953,5065630.0
2020-09-29,27.9564,28.1524,27.5547,27.888,2531442.0
2020-09-28,27.3381,27.3571,26.9215,27.7417,3233271.0
2020-09-25,28.3943,29.0362,28.2629,27.888,3314740.0
2020-09-24,27.9351,28.6517,27.8342,27.4589,6268531.0
2020-09-23,25.9071,26.1152,24.7036,26.8934,9369467.0
2020-09-22,27.8004,27.9946,27.6741,27.8587,3733528.0
2020-09-21,27.8589,28.1696,27.5676,27.9172,3870280.0
2020-09-18,27.5354,27.6096,26.8401,28.239,6810064.0
2020-09-17,29.3636,29.813,28.7861,29.0581,2988183.0
2020-09-16,29.5959,30.4479,29.5655,29.0191,2886084.0
2020-09-15,28.244,28.3675,27.7027,28.6193,3535995.0
2020-09-14,29.2271,29.7526,29.1574,28.9216,3526961.0
2020-09-11,28.9053,29.2539,28.8804,28.5998,2635656.0
2020-09-10,28.2781,28.6231,27.87,28.3268,4512980.0
2020-09-09,28.2112,28.365,27.9527,28.4146,4385969.0
2020-09-08,28.0485,28.2387,27.6397,28.4048,4193741.0
2020-09-04,28.5322,28.822,28.0879,28.6681,6115434.0
2020-09-03,28.6097,29.1247,28.2209,28.6583,6132737.0
2020-09-02,29.2786,30.3295,29.2269,28.4146,7339872.0
