date,Open,High,Low,Close,Volume
2021-02-12,111.2032,113.1658,110.5899,109.99,3605870.0
2021-02-11,106.3141,106.3141,103.4039,108.48,6702251.0
2021-02-10,105.0701,105.4389,100.1278,109.42,7260111.0
2021-02-09,114.2557,115.6858,112.8053,113.45,3759169.0
2021-02-08,113.38,114.3297,112.5228,113.4,3876415.0
2021-02-05,111.6924,112.673,110.9295,112.22,2656229.0
2021-02-04,112.7624,114.1351,111.2282,112.24,3515299.0
2021-02-03,110.2801,111.2715,109.7092,110.2,4551469.0
2021-02-02,112.1505,115.4444,111.4335,110.02,4593480.0
2021-02-01,109.205,113.0827,108.3934,106.5,5445938.0
2021-01-29,100.6033,100.7281,98.1943,102.69,5523525.0
2021-01-28,106.1476,108.1106,105.7002,105.25,6837476.0
2021-01-27,102.3868,103.105,98.7463,103.22,9201213.0
2021-01-26,105.3766,106.3019,104.2839,106.21,5365214.0
2021-01-25,106.67,106.68,103.7022,106.71,7769126.0
2021-01-22,106.8071,107.6942,105.9101,107.28,3858083.0
2021-01-21,108.5415,109.0924,107.6483,108.95,3715831.0
2021-01-20,110.6198,112.9723,110.5376,109.14,5003516.0
2021-01-19,105.9916,106.0546,103.942,107.67,3855396.0
2021-01-15,109.8704,112.4018,109.4734,108.2,7128866.0
2021-01-14,105.2033,105.3741,102.3936,107.98,6471870.0
2021-01-13,108.4839,108.7798,105.7293,110.24,6099120.0
2021-01-12,108.4307,109.7619,104.1331,111.2,6031545.0
2021-01-11,113.8624,114.6949,111.9524,115.05,2729322.0
2021-01-08,119.1466,122.0503,119.1466,116.79,3859860.0
2021-01-07,113.8826,114.4957,112.912,114.43,4053555.0
2021-01-06,116.5065,120.7648,116.1216,114.18,3166462.0
2021-01-05,111.418,112.2046,110.1692,112.36,4036093.0
2021-01-04,110.1194,110.3615,106.0729,111.92,4326396.0
2020-12-31,115.175,116.6075,114.9294,113.86,2052236.0
2020-12-30,113.0503,113.9429,112.8296,112.88,2421868.0
2020-12-29,110.2828,110.7396,108.5433,111.87,4950317.0
2020-12-28,112.004,112.1028,110.4623,112.67,2510742.0
2020-12-24,114.2016,115.9083,114.0063,112.63,1683125.0
2020-12-23,110.2414,110.4003,108.8217,110.64,2906255.0
2020-12-22,110.2208,111.0662,109.5942,110.52,3802681.0
2020-12-21,112.51,113.1802,110.3892,112.49,4212376.0
2020-12-18,114.2329,114.3319,111.9956,114.81,6349077.0
2020-12-17,114.67,114.9748,113.5956,114.7,3944348.0
2020-12-16,113.692,114.4853,112.7499,114.17,3659787.0
2020-12-15,114.8803,115.2416,113.646,114.68,3164527.0
2020-12-14,111.7516,112.003,109.8075,113.63,3691779.0
2020-12-11,115.3928,116.5442,114.706,114.82,3786286.0
2020-12-10,117.3752,120.7813,117.2812,114.83,10790225.0
2020-12-09,113.1774,113.5969,111.1968,114.58,6430267.0
2020-12-08,116.0137,117.7829,113.587,117.99,4837697.0
2020-12-07,115.9335,116.184,114.6603,116.93,3686012.0
2020-12-04,117.7432,118.9356,116.5003,117.13,3444824.0
2020-12-03,116.9774,119.2076,116.7945,116.05,3347919.0
2020-12-02,115.6001,116.6515,114.4885,115.52,2479203.0
2020-12-01,115.114,115.9837,114.2047,115.79,3635562.0
2020-11-30,115.7326,116.4394,113.9759,115.18,3735078.0
2020-11-27,115.9818,116.7175,115.5736,115.53,1706961.0
2020-11-25,115.1486,115.6485,112.6297,114.98,3663347.0
2020-11-24,115.9397,117.1314,115.2165,114.88,4250064.0
2020-11-23,110.1061,110.1736,107.6267,112.1,2896585.0
2020-11-20,113.4513,114.9111,113.0989,113.07,4370637.0
2020-11-19,114.6944,116.5791,112.5215,113.02,6914603.0
2020-11-18,106.2189,106.8092,104.4381,107.97,2862099.0
2020-11-17,111.1224,112.7873,110.4891,109.95,2524705.0
2020-11-16,108.6601,109.3174,106.5413,109.71,3215083.0
2020-11-13,110.9393,113.4843,110.3888,108.85,2620213.0
2020-11-12,104.8568,105.4866,103.5479,105.7,2761102.0
2020-11-11,106.7139,107.0894,104.155,107.36,3031928.0
2020-11-10,105.5156,105.9354,103.8172,106.8,5180204.0
2020-11-09,108.4538,116.142,107.7522,109.1,8323921.0
2020-11-06,103.9372,105.1473,103.4593,103.07,2825925.0
2020-11-05,102.12,103.4989,101.7003,102.16,3679133.0
2020-11-04,100.9108,101.9351,100.2047,101.19,5508827.0
2020-11-03,99.8786,101.7686,99.4609,98.95,3593387.0
2020-11-02,97.6614,98.6288,96.684,97.29,3533094.0
2020-10-30,96.1955,97.0178,94.7741,95.47,6677244.0
2020-10-29,97.9694,101.2186,97.1217,95.77,5087359.0
2020-10-28,90.1648,91.3268,86.6419,93.52,9223547.0
2020-10-27,94.7466,95.7229,92.573,96.61,6889278.0
2020-10-26,96.8928,97.048,93.8179,98.38,4897687.0
2020-10-23,100.9505,101.4383,99.736,101.18,2232909.0
2020-10-22,102.2791,103.8827,101.1484,100.88,3174409.0
2020-10-21,99.8322,101.5585,99.5799,99.36,3908112.0
2020-10-20,99.9518,101.0813,99.1904,99.53,2889557.0
2020-10-19,96.1877,96.3396,93.4357,98.74,3800246.0
2020-10-16,100.1416,101.3358,98.8594,101.22,2886180.0
2020-10-15,102.3933,103.2329,101.4708,101.81,3689034.0
2020-10-14,100.7001,101.248,97.8548,102.71,4643417.0
2020-10-13,102.8071,103.1249,100.8424,104.76,4155032.0
2020-10-12,107.7813,109.4247,106.7299,106.68,4772471.0
2020-10-09,106.3546,107.7777,105.6072,105.11,2484742.0
2020-10-08,103.45,104.321,102.7592,103.39,2680590.0
2020-10-07,101.8828,102.5488,100.7152,102.42,3744209.0
2020-10-06,102.0609,104.1287,101.2667,102.36,4581510.0
2020-10-05,98.8781,99.0609,96.2427,100.82,4268129.0
2020-10-02,101.4006,102.4455,100.4055,101.65,3257248.0
2020-10-01,104.21,105.7189,103.3007,104.25,2943581.0
2020-09-30,102.148,102.4329,100.2909,103.05,5067327.0
2020-09-29,103.6,104.7602,103.43,103.59,3675108.0
2020-09-28,104.14,104.8109,103.329,104.07,3650038.0
2020-09-25,106.434,111.3159,105.929,102.13,4459408.0
2020-09-24,98.3901,99.8935,96.987,98.28,4944751.0
2020-09-23,98.1546,98.9452,96.1438,99.35,4648583.0
2020-09-22,102.1204,103.2735,100.4774,101.09,3664017.0
2020-09-21,98.0062,98.742,95.0246,99.61,6952149.0
2020-09-18,102.8442,103.3774,100.6127,103.5,15881903.0
2020-09-17,107.5938,111.5907,107.1533,103.8,6920870.0
2020-09-16,103.4742,105.819,103.249,102.26,7866698.0
2020-09-15,102.9962,106.3197,102.7446,100.59,5667044.0
2020-09-14,99.6518,102.7439,99.0628,97.17,5031426.0
2020-09-11,90.7665,91.3929,87.6637,93.06,6057920.0
2020-09-10,93.2142,95.0916,90.9614,95.0,4107206.0
2020-09-09,96.0217,96.0217,93.85,96.425,4582655.0
2020-09-08,92.4493,92.8047,89.7612,94.98,7057312.0
2020-09-04,97.0504,97.7611,94.1499,99.03,5882802.0
2020-09-03,98.2111,98.4015,94.5937,100.66,7170763.0
2020-09-02,106.358,110.2188,105.7305,103.13,4505834.0
2020-09-01,99.3,99.8493,98.5012,99.37,4219231.0
2020-08-31,99.1392,100.1474,97.9569,99.58,4930679.0
2020-08-28,101.0682,101.9947,100.0499,100.16,3014387.0
2020-08-27,98.2852,98.2852,96.2499,99.0,4962860.0
2020-08-26,97.1662,97.6386,96.0933,97.94,2943234.0
2020-08-25,99.8562,101.7159,99.4532,98.24,3663895.0
2020-08-24,96.0105,97.036,94.5767,96.22,6829283.0
2020-08-21,94.7011,95.7034,93.2125,95.63,6789944.0
2020-08-20,94.5343,94.7148,91.9603,97.0,6029014.0
2020-08-19,97.5364,98.4512,94.4905,100.44,5470234.0
2020-08-18,103.1825,104.5814,102.5664,102.67,4320967.0
2020-08-17,104.1056,106.6281,103.7734,102.18,3471898.0
2020-08-14,100.607,101.7865,100.1697,99.77,2182239.0
2020-08-13,100.7562,102.8386,100.5202,99.48,2541557.0
2020-08-12,97.0586,98.3247,96.0771,97.97,4012259.0
2020-08-11,97.5447,98.5162,95.6609,98.22,6512114.0
2020-08-10,95.1817,95.4112,90.8853,99.34,7090479.0
2020-08-07,106.3667,108.9654,105.015,103.91,4631415.0
2020-08-06,103.8767,106.7438,102.3171,102.38,9840791.0
2020-08-05,95.3535,95.5901,92.4186,98.0,5284272.0
2020-08-04,99.103,100.7152,98.2376,99.65,5032058.0
2020-08-03,100.56,101.3903,99.3145,100.54,5105411.0
2020-07-31,99.1146,99.1146,97.5263,99.79,3472224.0
2020-07-30,101.2056,102.2004,100.3327,100.45,3604703.0
2020-07-29,102.4413,103.8814,101.8183,101.365,2144494.0
2020-07-28,98.9491,99.3906,97.301,99.9,3800021.0
2020-07-27,102.1396,103.5263,101.4564,101.15,2737471.0
2020-07-24,99.4832,99.8546,97.6067,100.63,2095136.0
2020-07-23,101.6528,103.1965,100.4456,102.19,4905204.0
2020-07-22,103.2768,104.344,103.1243,102.44,2517810.0
2020-07-21,100.5414,100.8253,99.2294,101.61,3172534.0
2020-07-20,101.5922,102.6622,100.8393,102.07,4003760.0
2020-07-17,104.3183,106.4686,102.778,102.6,5067400.0
2020-07-16,98.5176,98.9499,97.1123,99.38,3571000.0
2020-07-15,102.552,105.7231,102.1789,100.74,5643800.0
2020-07-14,101.3751,105.523,101.1266,97.54,5135200.0
2020-07-13,92.0195,92.419,89.5754,94.36,4305700.0
2020-07-10,97.1644,98.5992,96.7033,95.98,4769800.0
2020-07-09,92.5935,93.0989,89.5421,94.82,4720300.0
2020-07-08,97.2101,97.9117,96.1076,97.1,3536100.0
2020-07-07,95.6735,97.5194,94.2085,96.81,4228800.0
2020-07-06,96.8075,97.2359,95.2595,98.11,2960400.0
2020-07-02,96.5306,97.2256,94.6579,98.25,2663700.0
2020-07-01,99.1239,100.2379,98.1922,98.5,4013900.0
2020-06-30,98.9786,100.7674,98.7011,97.62,4393400.0
2020-06-29,98.896,100.8498,97.4306,97.01,5012600.0
2020-06-26,92.6554,93.2842,90.0445,94.92,20213745.0
2020-06-25,98.2366,99.3651,97.647,97.43,3708596.0
2020-06-24,92.3925,92.923,88.1214,96.61,5705194.0
2020-06-23,101.5913,102.4551,100.3719,101.96,3608211.0
2020-06-22,102.8125,105.6074,102.5035,101.29,4970537.0
