date,Open,High,Low,Close,Volume
2021-02-12,32.2498,33.3224,32.1867,31.45,1003210.0
2021-02-11,31.053,31.5731,30.8643,30.75,922831.0
2021-02-10,31.1846,32.1562,30.7876,30.51,1826316.0
2021-02-09,27.5726,27.5726,25.5364,29.69,1771895.0
2021-02-08,32.5827,33.6919,32.4014,31.55,1600578.0
2021-02-05,31.2694,32.5147,30.9501,30.31,1327673.0
2021-02-04,29.3701,29.8915,29.0542,29.33,2012044.0
2021-02-03,28.8629,29.1717,28.5001,29.15,2419297.0
2021-02-02,28.3876,28.5445,27.0356,29.55,1438979.0
2021-02-01,31.4609,32.4934,31.2502,30.65,1179509.0
2021-01-29,29.4758,30.3899,28.941,29.89,1688187.0
2021-01-28,29.104,29.7951,27.5907,30.62,2687156.0
2021-01-27,31.5659,34.9304,30.5736,32.47,6830752.0
2021-01-26,36.0556,39.1437,36.0323,33.4,3088589.0
2021-01-25,32.2571,34.0479,32.2461,30.68,4717159.0
2021-01-22,28.5917,28.5917,27.8039,29.17,1595694.0
2021-01-21,29.88,30.2708,29.7798,29.85,2285658.0
2021-01-20,30.6463,31.7202,30.6358,29.94,2704353.0
2021-01-19,28.0174,28.0359,26.8642,29.17,1807473.0
2021-01-15,30.5812,31.047,30.247,30.39,3611794.0
2021-01-14,31.3634,32.6457,31.0428,30.34,5169122.0
2021-01-13,29.6335,30.0424,29.3064,29.31,1304446.0
2021-01-12,28.6981,28.9109,28.0791,29.18,1251113.0
2021-01-11,30.0644,30.669,29.9619,29.7,1206998.0
2021-01-08,29.0223,29.1855,27.9855,29.62,1838676.0
2021-01-07,29.4601,29.8305,28.6814,30.23,2343476.0
2021-01-06,33.6529,36.1588,33.6529,31.46,1768026.0
2021-01-05,29.5912,30.3401,29.5288,29.015,833679.0
2021-01-04,27.8224,28.1773,26.9976,28.41,1237057.0
2020-12-31,29.0611,29.3852,29.0206,28.88,650442.0
2020-12-30,28.4522,28.7273,28.2065,28.7,756328.0
2020-12-29,28.5322,28.5421,28.1245,28.785,694458.0
2020-12-28,29.65,30.5459,29.513,28.88,917654.0
2020-12-24,28.2523,28.6391,28.2523,28.0,475955.0
2020-12-23,28.4313,29.2239,28.3736,27.75,1062972.0
2020-12-22,26.654,26.7809,26.2441,26.98,1208441.0
2020-12-21,27.3102,27.4295,26.8629,27.39,1257905.0
2020-12-18,27.4834,27.7964,27.0335,27.79,2945776.0
2020-12-17,28.0207,28.0306,27.2979,28.16,2069157.0
2020-12-16,27.9608,28.1389,27.7035,28.11,976628.0
2020-12-15,27.9524,27.972,27.1178,28.21,1245260.0
2020-12-14,27.6093,27.7042,26.8785,28.34,1087270.0
2020-12-11,29.0232,29.3806,28.7679,28.72,1453497.0
2020-12-10,28.9118,29.247,28.8,28.685,981133.0
2020-12-09,28.4135,28.5211,27.9538,28.73,1601749.0
2020-12-08,28.5736,28.7203,28.1238,28.895,1575630.0
2020-12-07,29.6131,30.052,29.5212,29.31,2001114.0
2020-12-04,28.5095,28.5095,27.7213,29.255,1831129.0
2020-12-03,29.4436,29.7469,29.0523,29.77,1142047.0
2020-12-02,30.3939,30.7622,29.9335,30.05,1101137.0
2020-12-01,30.7885,32.2822,30.7133,29.7,1400252.0
2020-11-30,28.2407,28.5229,28.0129,28.38,2144813.0
