date,Open,High,Low,Close,Volume
2021-02-12,155.38,156.0999,154.3501,155.39,625463.0
2021-02-11,153.6715,154.7134,150.9389,155.0,607584.0
2021-02-10,155.78,158.36,154.49,155.78,672408.0
2021-02-09,154.7222,155.5956,153.9579,155.3,736589.0
2021-02-08,155.8515,155.8515,153.3771,156.34,709194.0
2021-02-05,154.4909,155.2678,153.183,155.79,497333.0
2021-02-04,159.3519,163.4,159.3519,156.21,816439.0
2021-02-03,153.8783,155.7456,153.1679,152.75,892682.0
2021-02-02,156.6816,161.6134,156.268,152.14,735201.0
2021-02-01,145.9308,146.2792,144.2884,146.27,836925.0
2021-01-29,142.6969,143.496,139.0936,144.99,1114591.0
2021-01-28,147.0623,148.9177,146.3777,147.64,1021998.0
2021-01-27,144.2446,145.0721,140.7325,147.05,846879.0
2021-01-26,148.3932,149.1022,144.2906,152.5226,411251.0
2021-01-25,157.5569,159.111,155.881,156.2275,909679.0
2021-01-22,160.2276,164.4665,160.2276,156.3174,1092480.0
2021-01-21,152.2693,152.3329,150.1075,153.8508,958373.0
2021-01-20,156.101,157.0384,154.9016,155.3787,920170.0
2021-01-19,155.825,158.0312,155.1671,154.7895,1558792.0
2021-01-15,151.7147,152.6415,147.9394,153.5012,1084958.0
2021-01-14,151.7012,153.9156,145.1781,157.8253,1685779.0
2021-01-13,159.6351,159.8118,157.6527,161.031,1926500.0
2021-01-12,162.1646,162.8558,159.9329,163.0782,1240761.0
2021-01-11,166.7191,170.4718,164.9311,163.4078,926319.0
2021-01-08,163.4981,165.6225,162.4767,161.6701,853222.0
2021-01-07,161.9251,165.0382,161.9251,159.9025,1154501.0
2021-01-06,160.1954,165.7496,159.8476,155.9379,1651058.0
2021-01-05,150.4311,152.9223,149.4776,148.4681,843211.0
2021-01-04,146.9901,147.6739,143.7758,147.02,1012470.0
2020-12-31,148.8169,151.2515,147.6253,146.7304,683817.0
2020-12-30,146.5667,148.7619,146.2949,144.6133,708102.0
2020-12-29,142.1567,142.7155,140.7396,142.2066,653800.0
2020-12-28,143.1686,144.4291,141.9145,142.4762,680405.0
2020-12-24,140.3691,140.6788,138.9954,140.3391,185650.0
2020-12-23,143.1951,146.2861,142.81,140.2692,625864.0
2020-12-22,136.8952,138.5282,136.2419,136.4644,854659.0
2020-12-21,135.4459,136.2135,132.6596,135.5656,972327.0
2020-12-18,133.2598,133.3948,130.1298,135.5956,1912777.0
2020-12-17,140.5691,143.5156,139.6561,137.9124,920206.0
2020-12-16,136.1936,137.8074,135.5238,135.0963,1417509.0
2020-12-15,137.6931,141.5642,137.4294,133.9778,1017350.0
