date,Open,High,Low,Close,Volume
2015-12-15,36.53,36.53,36.53,36.53,0.0
2015-12-14,36.53,36.53,36.53,36.53,0.0
2015-12-11,36.53,36.53,36.53,36.53,0.0
2015-12-10,36.53,36.53,36.53,36.53,0.0
2015-12-09,36.53,36.53,36.53,36.53,0.0
2015-12-08,36.53,36.53,36.53,36.53,0.0
2015-12-07,35.4057,35.913,34.316,36.53,19720733.0
2015-12-04,37.9802,38.1495,37.2333,38.06,1472402.0
2015-12-03,36.7839,36.9817,35.5499,37.9,1114000.0
2015-12-02,37.9604,38.1249,37.2154,38.59,701118.0
2015-12-01,40.0734,40.8413,40.0734,39.34,1476528.0
2015-11-30,40.5243,42.3141,40.5243,38.91,4085664.0
2015-11-27,38.6969,40.2211,38.6969,37.35,957950.0
2015-11-25,36.6452,37.8017,36.6452,35.9,942741.0
2015-11-24,37.1816,39.2709,37.1488,35.55,2382318.0
2015-11-23,33.4114,33.9148,33.1252,33.63,595247.0
2015-11-20,33.4575,33.574,32.8897,33.96,1083307.0
2015-11-19,33.9563,33.9563,33.3237,34.42,873141.0
2015-11-18,36.0528,37.4259,35.9885,34.81,1221004.0
2015-11-17,33.4607,33.5796,33.1385,33.61,622963.0
2015-11-16,33.9327,34.401,33.7596,33.63,1463712.0
2015-11-13,33.0138,33.327,32.5734,33.37,811302.0
2015-11-12,33.2704,33.396,32.6429,33.86,808164.0
2015-11-11,34.943,35.6561,34.9328,34.62,889850.0
2015-11-10,34.7043,35.2666,34.51,34.32,904701.0
2015-11-09,34.773,35.2824,34.6406,34.45,1178063.0
2015-11-06,34.6125,35.0803,34.4599,34.32,1527694.0
2015-11-05,33.5938,33.8386,32.8203,33.95,909054.0
2015-11-04,34.1709,34.3931,33.8335,34.0,1400247.0
2015-11-03,34.5459,36.0258,34.4212,33.6,997334.0
2015-11-02,32.205,32.7991,31.2755,32.9,1567027.0
2015-10-30,35.2809,37.2786,35.2199,33.49,2489475.0
2015-10-29,30.9287,32.729,30.0715,31.69,4508581.0
2015-10-28,38.05,38.3305,37.5893,38.02,1076724.0
2015-10-27,37.5503,38.3457,37.2322,37.66,1269557.0
2015-10-26,36.6418,36.6418,35.2672,38.02,1140262.0
2015-10-23,39.74,40.2107,39.1191,39.71,2484318.0
2015-10-22,42.5723,44.6514,42.5723,40.59,984166.0
2015-10-21,37.707,37.9795,37.1132,38.22,765707.0
2015-10-20,38.0733,38.1322,37.5728,38.43,574283.0
2015-10-19,39.0302,39.3517,38.6886,38.94,708815.0
2015-10-16,38.3849,38.3849,37.7299,38.82,485584.0
