date,Open,High,Low,Close,Volume
2021-02-12,167.4957,170.4525,166.7591,164.73,781066.0
2021-02-11,163.4612,164.0746,160.7563,163.01,772330.0
2021-02-10,162.6509,166.1885,162.6509,161.32,1136246.0
2021-02-09,160.3811,161.3462,158.461,159.96,1086067.0
2021-02-08,161.6813,165.5072,160.9512,159.43,1324791.0
2021-02-05,153.5639,154.451,148.2767,155.48,1921596.0
2021-02-04,162.8187,168.9498,162.7756,156.99,1989869.0
2021-02-03,147.796,148.218,143.279,150.92,1106964.0
2021-02-02,158.2866,163.1371,158.1807,153.81,912692.0
2021-02-01,150.4265,152.8197,149.5518,148.39,691399.0
2021-01-29,142.4085,143.7152,139.5823,144.75,1291301.0
2021-01-28,150.0657,152.9545,149.4941,148.53,587170.0
2021-01-27,143.6721,145.0991,139.4299,145.82,1101912.0
2021-01-26,147.1524,148.5641,144.5708,149.65,679422.0
2021-01-25,151.1133,153.0749,147.2991,151.82,652663.0
2021-01-22,149.4902,149.4902,147.1158,151.23,806642.0
2021-01-21,148.1769,148.4217,145.9352,149.76,519457.0
2021-01-20,150.5806,152.7188,149.7172,150.29,669167.0
2021-01-19,148.9638,150.8226,147.9536,148.21,823894.0
2021-01-15,145.5664,147.1849,143.9184,146.53,862794.0
2021-01-14,145.957,147.7677,142.9765,147.53,838685.0
2021-01-13,142.3652,142.4022,136.2407,147.9,1285111.0
2021-01-12,155.1898,159.9757,153.8263,152.91,1690479.0
2021-01-11,149.4306,153.1125,146.8218,148.17,1374865.0
2021-01-08,151.8612,156.0436,151.4198,148.14,1260454.0
2021-01-07,147.492,152.2519,147.4708,143.25,1371204.0
2021-01-06,138.8995,142.2222,138.8843,138.11,1306255.0
2021-01-05,141.9202,143.0431,140.1858,141.74,1226179.0
2021-01-04,141.6575,141.738,135.3025,145.56,1078192.0
2020-12-31,148.4201,148.7795,147.0321,148.53,485112.0
2020-12-30,147.3233,148.3436,146.2732,148.02,612902.0
2020-12-29,145.1007,145.9132,141.7075,147.53,686308.0
2020-12-28,147.9325,148.7474,145.7232,149.29,707781.0
2020-12-24,149.6102,151.1364,148.1836,149.79,425569.0
2020-12-23,147.9553,148.5275,145.4435,150.24,1005849.0
2020-12-22,158.831,167.0912,158.4605,152.15,1507435.0
2020-12-21,148.5785,152.6948,146.291,145.96,1356414.0
2020-12-18,155.7606,167.0289,155.5895,145.85,3045316.0
2020-12-17,138.5838,140.8438,138.2432,136.42,1072716.0
2020-12-16,134.6632,137.6011,133.8879,133.33,896551.0
2020-12-15,131.75,131.8499,129.2827,131.82,1039856.0
2020-12-14,133.2474,137.4349,132.8818,130.69,1156499.0
2020-12-11,129.4288,130.6794,128.2291,128.36,1072727.0
2020-12-10,130.2975,133.5633,129.5463,127.56,1037711.0
2020-12-09,120.8192,121.5532,115.6623,125.34,1313230.0
2020-12-08,136.6759,142.0876,136.6759,131.66,1055835.0
2020-12-07,127.5522,128.3159,126.5506,128.08,674153.0
2020-12-04,128.7571,130.496,127.8334,127.8,616517.0
2020-12-03,128.5885,132.6134,127.9229,126.09,1247141.0
2020-12-02,123.6144,124.7174,122.1267,122.88,679975.0
2020-12-01,120.9924,120.9924,117.1576,122.64,905761.0
2020-11-30,122.8114,123.2584,119.3252,123.23,1720628.0
2020-11-27,126.5711,129.7492,126.2261,123.79,734969.0
2020-11-25,120.3621,122.4596,119.9991,119.86,960977.0
2020-11-24,119.3752,120.4796,117.2473,118.59,1426105.0
2020-11-23,115.677,116.1651,113.139,117.08,986574.0
2020-11-20,119.7934,122.9715,119.382,118.12,1083259.0
2020-11-19,117.8355,119.488,116.7609,117.03,838625.0
2020-11-18,113.3385,113.7159,109.9795,116.68,1049119.0
2020-11-17,119.4489,121.7483,118.8994,118.42,926994.0
2020-11-16,117.6473,119.1916,117.1597,116.72,895149.0
2020-11-13,116.8067,117.9338,115.7,115.92,890939.0
2020-11-12,111.7409,112.8826,108.7029,113.6,940841.0
2020-11-11,115.8129,117.7741,114.7812,114.59,914025.0
2020-11-10,106.8365,107.2143,101.2896,111.3,1631295.0
2020-11-09,116.3648,121.4001,115.1122,117.11,1607853.0
2020-11-06,114.9334,114.9334,112.3837,117.21,1126232.0
2020-11-05,121.0393,122.978,120.8342,119.51,1046020.0
2020-11-04,117.8007,121.0564,116.558,116.24,1244236.0
2020-11-03,114.4151,117.9582,113.203,112.41,1361522.0
2020-11-02,110.2014,110.6581,109.1101,110.59,1527667.0
2020-10-30,103.1634,103.1634,93.2647,110.37,4300530.0
2020-10-29,116.2562,117.3918,114.5381,118.0,1434264.0
2020-10-28,114.996,115.1081,111.0612,118.95,1409275.0
2020-10-27,123.6824,124.4952,122.3988,124.23,1321422.0
2020-10-26,117.4769,118.8912,111.1282,123.18,1429074.0
2020-10-23,132.7939,135.2836,132.3893,130.38,951151.0
2020-10-22,126.0261,126.3307,122.5837,128.16,701961.0
2020-10-21,127.691,127.9709,124.926,129.98,1313336.0
2020-10-20,132.0517,133.9879,131.0686,132.52,1589802.0
2020-10-19,126.8409,129.4343,124.6595,128.82,649844.0
2020-10-16,130.9031,131.5963,130.1207,131.54,1004017.0
2020-10-15,135.2506,139.6662,134.5761,131.75,1337599.0
2020-10-14,128.9706,130.4339,126.7707,130.14,1285172.0
2020-10-13,132.2709,134.9887,131.5027,130.61,1301347.0
2020-10-12,130.0709,132.9942,129.4047,128.88,1385960.0
2020-10-09,128.793,132.2936,128.5117,126.18,1295017.0
2020-10-08,121.59,122.829,120.7257,121.64,772133.0
2020-10-07,122.4657,124.5765,121.8686,120.69,1015583.0
2020-10-06,116.8871,118.4296,115.1201,118.3,1013862.0
2020-10-05,119.3071,120.0766,116.8147,119.09,1768384.0
2020-10-02,114.6462,118.1689,112.8606,116.38,1176528.0
2020-10-01,121.8788,124.2281,121.5059,120.25,1261609.0
2020-09-30,118.5547,120.1547,117.6433,117.81,1384853.0
2020-09-29,116.612,117.8318,115.6799,117.1,1037146.0
2020-09-28,116.3578,116.5841,114.5279,117.31,926250.0
2020-09-25,117.6561,119.1576,116.327,116.81,898479.0
2020-09-24,116.2043,118.2403,114.8884,115.5,1146400.0
2020-09-23,111.227,111.5435,106.795,115.27,1081633.0
2020-09-22,118.8803,119.2516,115.3886,118.68,1182019.0
2020-09-21,119.4622,121.6,118.28,117.835,1219082.0
2020-09-18,118.4006,119.9804,116.5049,117.28,1518248.0
2020-09-17,116.9006,118.9958,115.6578,115.35,1481681.0
2020-09-16,114.4919,115.8246,111.9417,116.93,1088698.0
2020-09-15,116.1207,116.1207,112.8427,118.2,745572.0
2020-09-14,119.8276,122.3047,119.7362,118.01,816207.0
2020-09-11,112.3603,113.3354,108.0486,115.17,997103.0
2020-09-10,115.7685,118.5506,114.3332,116.76,1365542.0
2020-09-09,116.0104,116.0104,112.6249,117.11,987172.0
2020-09-08,116.8577,121.1015,116.7449,115.42,1580661.0
2020-09-04,115.336,116.9605,108.3096,117.64,2237391.0
2020-09-03,111.876,112.0994,102.2709,120.7,2458959.0
2020-09-02,133.4352,134.9846,131.6327,132.6,1273802.0
2020-09-01,128.3371,129.9421,125.543,130.52,1223661.0
2020-08-31,133.0177,134.3377,131.1544,132.005,1962961.0
2020-08-28,128.3447,129.3662,125.338,130.74,1272212.0
2020-08-27,127.5875,127.5896,121.7079,132.07,1688198.0
2020-08-26,140.5174,145.4145,140.3234,137.22,1332765.0
2020-08-25,134.6336,136.1285,133.8122,133.28,898737.0
2020-08-24,132.8005,134.0058,128.6567,133.06,1107022.0
2020-08-21,129.6236,130.0885,126.805,131.71,800841.0
2020-08-20,136.8266,140.5087,135.0642,133.59,922258.0
2020-08-19,129.7705,131.2866,128.1149,129.51,1336059.0
2020-08-18,129.7402,131.0067,127.8555,129.92,868739.0
2020-08-17,129.8234,131.8028,129.8234,129.16,849135.0
2020-08-14,127.7001,128.6015,125.8973,127.6,854340.0
2020-08-13,128.4581,130.6832,128.326,127.44,1000494.0
2020-08-12,126.0929,127.0239,124.5775,126.7,1154729.0
2020-08-11,127.1828,129.3731,124.2114,126.59,2168909.0
2020-08-10,122.7303,124.2741,117.6216,126.88,1631133.0
2020-08-07,131.07,131.8257,125.7143,131.0,4196552.0
2020-08-06,139.0217,139.8062,136.281,139.51,1650948.0
2020-08-05,140.12,140.8,137.6501,140.12,1342241.0
2020-08-04,140.3566,141.9307,139.2118,138.83,1027901.0
2020-08-03,136.4626,137.8126,133.0706,138.22,1532150.0
2020-07-31,138.2001,138.3199,135.2144,138.3,856478.0
2020-07-30,138.4611,141.711,136.6876,136.75,912275.0
2020-07-29,138.8491,141.9378,138.149,136.84,708714.0
2020-07-28,130.7736,131.5421,128.0355,133.42,938812.0
2020-07-27,138.7415,141.2053,137.7725,136.65,696495.0
2020-07-24,133.0,134.2493,130.2717,133.04,915017.0
2020-07-23,135.9344,139.9804,135.2871,135.16,1514305.0
2020-07-22,132.7186,134.1935,130.5698,134.29,1712936.0
