date,Open,High,Low,Close,Volume
2021-02-12,166.609,168.9793,166.2974,164.83,1263272.0
2021-02-11,164.3348,168.0092,164.3348,163.45,1612342.0
2021-02-10,163.6215,165.0199,162.867,163.13,1348401.0
2021-02-09,164.6482,167.6077,163.3592,162.14,1108505.0
2021-02-08,160.2826,161.0386,158.3773,159.64,1246964.0
2021-02-05,158.6203,160.0766,157.2537,158.82,1858992.0
2021-02-04,161.4449,165.6147,160.7517,157.53,1613311.0
2021-02-03,157.5784,162.9932,157.5784,153.08,1500696.0
2021-02-02,151.1517,154.1035,150.9787,149.82,2022467.0
2021-02-01,147.9204,149.0844,147.0274,147.67,1765327.0
2021-01-29,144.2799,146.1666,141.8611,146.68,3102570.0
2021-01-28,147.7487,148.0959,144.3434,150.43,1993531.0
2021-01-27,154.736,163.1939,152.8371,152.73,2373515.0
2021-01-26,146.4242,146.6993,142.3258,150.33,1588667.0
2021-01-25,154.5118,158.4606,153.7892,153.16,1849138.0
2021-01-22,155.167,157.9937,154.5481,152.77,1171499.0
2021-01-21,148.3302,149.198,145.1099,151.06,1395403.0
2021-01-20,154.8241,155.9961,153.9855,154.03,1068737.0
2021-01-19,151.8901,152.8543,150.5914,153.13,1438998.0
2021-01-15,152.771,153.4077,151.0898,153.17,1822126.0
2021-01-14,155.6966,158.6369,155.0942,154.09,1557031.0
2021-01-13,151.2904,151.8324,149.7467,151.5481,1186793.0
2021-01-12,154.1391,157.3483,154.1087,152.412,1529510.0
2021-01-11,152.2388,154.2551,151.3877,150.7042,1431331.0
2021-01-08,150.0497,152.2442,148.2391,149.7013,2245984.0
2021-01-07,152.3517,154.6062,151.0721,150.6446,1340491.0
2021-01-06,153.2746,158.9624,153.2746,148.6786,1845285.0
2021-01-05,144.7867,145.2917,143.1031,144.9751,1184444.0
2021-01-04,141.6824,141.6824,137.4583,144.9056,1426585.0
2020-12-31,148.4535,149.2352,147.6717,147.7652,1753145.0
2020-12-30,148.0575,149.9849,148.0425,147.2488,995857.0
2020-12-29,144.3229,144.3229,141.0564,146.5042,1105515.0
2020-12-28,147.1908,148.4634,146.3621,147.6659,777722.0
2020-12-24,148.6221,149.4336,147.8807,147.9538,447419.0
2020-12-23,147.8885,149.9358,147.5272,147.0999,1114087.0
2020-12-22,142.4283,142.4759,139.2584,145.4616,1605386.0
