date,Open,High,Low,Close,Volume
2021-02-12,13.902,13.9606,13.6433,14.07,2294652.0
2021-02-11,14.5643,15.1025,14.4401,14.315,4881204.0
2021-02-10,14.5193,15.4241,14.487,13.99,7026866.0
2021-02-09,14.2825,15.5699,14.0118,13.49,7835509.0
2021-02-08,12.8004,12.9723,12.5375,12.73,5503881.0
2021-02-05,13.2678,14.06,13.2231,12.56,5631175.0
2021-02-04,11.8304,12.0429,11.7697,11.76,2419347.0
2021-02-03,11.7113,11.895,11.5989,11.59,2392301.0
2021-02-02,11.3913,11.5548,11.1461,11.27,2716703.0
2021-02-01,11.1769,11.4818,11.1453,10.9,3004862.0
2021-01-29,10.4608,10.6377,10.2789,10.55,3470118.0
2021-01-28,10.8421,11.1816,10.657,10.69,3694115.0
2021-01-27,10.2278,10.3035,9.83,10.51,4566227.0
2021-01-26,10.7665,10.9154,10.452,11.03,2282995.0
2021-01-25,10.9446,10.9446,10.4742,11.17,2820909.0
2021-01-22,11.4002,11.4399,11.1524,11.45,2089569.0
2021-01-21,11.7115,11.916,11.6296,11.58,1842000.0
2021-01-20,11.4903,11.7076,11.4499,11.43,2422428.0
2021-01-19,11.0663,11.1617,10.6847,11.33,3211185.0
2021-01-15,11.3517,11.4883,11.0198,11.49,2459169.0
2021-01-14,11.8901,12.172,11.8348,11.85,2266919.0
2021-01-13,11.4634,11.5697,11.0991,11.66,2563895.0
2021-01-12,12.4484,12.9783,12.3186,11.97,3304403.0
2021-01-11,11.7176,12.0755,11.6123,11.42,2808018.0
2021-01-08,11.6017,11.9912,11.5095,11.46,6616625.0
2021-01-07,10.6311,10.9496,10.4694,10.74,3047077.0
2021-01-06,10.8505,11.1139,10.6884,10.78,3664926.0
2021-01-05,11.1978,11.879,11.1978,10.64,4292486.0
2021-01-04,9.5326,9.6907,8.8034,10.17,5257693.0
2020-12-31,11.093,11.5728,11.0103,10.91,4206708.0
2020-12-30,10.9812,11.3654,10.9439,10.63,2700288.0
2020-12-29,10.545,10.7958,10.4719,10.315,2443140.0
2020-12-28,10.1719,10.3763,10.0356,10.31,1869296.0
2020-12-24,10.261,10.3002,10.0255,10.36,856380.0
2020-12-23,10.8743,11.3157,10.8635,10.48,2534255.0
2020-12-22,9.6439,9.6439,9.268,10.01,2272192.0
2020-12-21,10.391,10.5643,10.1462,10.29,2361689.0
2020-12-18,10.1107,10.1858,9.7168,10.44,5211819.0
2020-12-17,10.8101,10.9408,10.618,10.78,1687803.0
2020-12-16,10.4366,10.5651,10.137,10.7,2098443.0
2020-12-15,11.2085,11.5574,11.1028,10.9,2354958.0
2020-12-14,10.3521,10.4202,10.1383,10.5,1947010.0
2020-12-11,10.301,10.3892,10.1047,10.4,2282145.0
2020-12-10,10.6702,10.7608,10.3981,10.63,2692326.0
2020-12-09,10.6411,10.7685,10.4647,10.75,2147336.0
2020-12-08,11.003,11.427,11.003,10.82,2679634.0
2020-12-07,10.5044,10.6225,10.13,10.72,2347749.0
2020-12-04,11.4942,11.94,11.4566,11.09,2413708.0
2020-12-03,10.53,10.6906,10.3845,10.51,2986279.0
2020-12-02,10.2134,10.2327,9.9337,10.4,3492907.0
2020-12-01,10.7702,11.0731,10.74,10.72,2758340.0
2020-11-30,9.9886,10.0988,9.5658,10.42,2936749.0
2020-11-27,10.802,10.8167,10.4332,10.95,1759855.0
2020-11-25,10.9307,10.9898,10.6061,11.02,3171729.0
2020-11-24,11.766,12.2185,11.6091,11.38,4696064.0
2020-11-23,10.7909,11.1868,10.7502,10.69,4117005.0
2020-11-20,10.0966,10.2297,9.7021,10.355,4203930.0
2020-11-19,10.8711,11.0038,10.7588,10.76,2037019.0
2020-11-18,10.6101,10.9865,10.5605,10.65,3322762.0
2020-11-17,10.9834,11.4558,10.7901,10.6,3167140.0
2020-11-16,10.528,10.6674,10.2622,10.46,3911254.0
2020-11-13,10.1837,10.4746,10.1733,9.99,2539992.0
2020-11-12,9.7001,10.0623,9.6196,9.67,4148702.0
2020-11-11,9.218,9.271,8.5646,9.81,3747146.0
2020-11-10,11.1895,12.0732,10.851,10.445,7014062.0
2020-11-09,9.867,10.5846,9.772,9.605,6817735.0
2020-11-06,8.296,8.3677,7.8206,8.76,3314763.0
2020-11-05,9.6114,10.0512,9.5882,9.28,3179458.0
2020-11-04,8.6636,8.8269,8.3389,8.84,3774796.0
2020-11-03,9.3995,10.029,9.3995,9.1,6405725.0
2020-11-02,8.7416,9.0319,8.7107,8.625,6051015.0
2020-10-30,7.1415,7.2382,6.0852,8.28,11017078.0
