date,Open,High,Low,Close,Volume
2021-02-12,1.1009,1.2223,1.0852,1.03,37453384.0
2021-02-11,0.9135,0.9135,0.7798,1.06,77011096.0
2021-02-10,1.0738,1.1981,0.9756,1.01,104833592.0
2021-02-09,0.8011,0.8201,0.7482,0.8203,56575699.0
2021-02-08,0.8718,1.0194,0.8509,0.762,63959452.0
2021-02-05,0.6592,0.6892,0.6382,0.65,23201523.0
2021-02-04,0.6096,0.6157,0.5817,0.6307,22970715.0
2021-02-03,0.6508,0.6706,0.6302,0.6481,22636421.0
2021-02-02,0.5854,0.605,0.53,0.634,41053048.0
2021-02-01,0.6669,0.7262,0.604,0.6548,80203552.0
2021-01-29,0.5239,0.6165,0.4524,0.588,89009641.0
2021-01-28,0.7659,1.4189,0.7538,0.63,372982261.0
2021-01-27,0.5056,0.5728,0.472,0.477,16429242.0
2021-01-26,0.4552,0.4602,0.4353,0.473,9490282.0
2021-01-25,0.4832,0.4977,0.4418,0.4931,10735576.0
2021-01-22,0.5064,0.5155,0.4963,0.5032,6087557.0
2021-01-21,0.5148,0.5299,0.4994,0.51,10325483.0
2021-01-20,0.4912,0.4912,0.4627,0.5136,7822431.0
2021-01-19,0.5358,0.5535,0.5058,0.53,12453490.0
2021-01-15,0.4785,0.4785,0.4419,0.513,8044804.0
2021-01-14,0.553,0.5716,0.5461,0.535,7664639.0
2021-01-13,0.5034,0.5042,0.4591,0.5357,11147672.0
2021-01-12,0.5091,0.5154,0.4425,0.5492,20843453.0
2021-01-11,0.6313,0.7387,0.6044,0.5447,23941926.0
2021-01-08,0.4448,0.4629,0.4273,0.441,9585025.0
2021-01-07,0.3993,0.4046,0.3808,0.4134,6831803.0
2021-01-06,0.4147,0.4503,0.398,0.412,10330297.0
2021-01-05,0.47,0.5297,0.4636,0.417,18993546.0
2021-01-04,0.3477,0.3518,0.3313,0.3585,3566653.0
2020-12-31,0.3676,0.3779,0.3602,0.3638,3475244.0
2020-12-30,0.3734,0.3968,0.368,0.3615,5086917.0
2020-12-29,0.3402,0.3402,0.3277,0.348,4945172.0
2020-12-28,0.3403,0.3567,0.324,0.35,6147322.0
2020-12-24,0.3209,0.3209,0.291,0.3459,2718186.0
2020-12-23,0.3819,0.4108,0.3818,0.355,5428843.0
2020-12-22,0.314,0.3168,0.2974,0.3303,4571724.0
2020-12-21,0.339,0.3441,0.3238,0.337,6530003.0
2020-12-18,0.3286,0.3286,0.3042,0.355,5179840.0
2020-12-17,0.3693,0.3753,0.3557,0.3731,4377634.0
2020-12-16,0.3473,0.3473,0.3178,0.3722,6426611.0
2020-12-15,0.3842,0.3979,0.3677,0.389,5237231.0
2020-12-14,0.3613,0.3839,0.3289,0.3939,13044462.0
2020-12-11,0.4157,0.4255,0.3754,0.413,10488007.0
2020-12-10,0.4145,0.4583,0.4144,0.3863,13940303.0
2020-12-09,0.3397,0.3558,0.3114,0.3602,10211856.0
2020-12-08,0.3519,0.354,0.3035,0.3819,44069286.0
2020-12-07,0.2857,0.2857,0.2638,0.3046,10988135.0
2020-12-04,0.3301,0.362,0.3267,0.3094,7630296.0
2020-12-03,0.2634,0.2765,0.2509,0.2743,5546839.0
2020-12-02,0.3054,0.3221,0.2921,0.2898,4042602.0
2020-12-01,0.2771,0.2867,0.2654,0.2798,3891148.0
2020-11-30,0.262,0.2623,0.2419,0.2825,7461703.0
2020-11-27,0.3093,0.3196,0.3042,0.3046,2328487.0
2020-11-25,0.3042,0.3043,0.2775,0.3071,4588810.0
2020-11-24,0.2805,0.2805,0.2292,0.3178,18049109.0
2020-11-23,0.3902,0.4986,0.382,0.306,12451126.0
2020-11-20,0.2299,0.231,0.2192,0.2319,1837656.0
2020-11-19,0.2308,0.2331,0.2243,0.2299,1626733.0
2020-11-18,0.228,0.235,0.2233,0.229,4129729.0
2020-11-17,0.2209,0.2216,0.2078,0.2254,3432952.0
2020-11-16,0.2294,0.2354,0.2218,0.2267,4061047.0
2020-11-13,0.2066,0.2066,0.1972,0.2132,1983721.0
2020-11-12,0.1906,0.1932,0.1717,0.2094,2166691.0
2020-11-11,0.2231,0.226,0.2123,0.2332,3181998.0
2020-11-10,0.2316,0.2342,0.216,0.2303,2722777.0
2020-11-09,0.2296,0.2513,0.2202,0.2196,5063072.0
2020-11-06,0.1998,0.2107,0.1948,0.1989,1829089.0
2020-11-05,0.1879,0.1899,0.1766,0.1977,1568409.0
2020-11-04,0.178,0.178,0.1567,0.1979,1524690.0
2020-11-03,0.2256,0.2425,0.2255,0.2124,2441070.0
2020-11-02,0.2123,0.2259,0.2123,0.2009,1553562.0
2020-10-30,0.1805,0.1838,0.1671,0.19,1284024.0
2020-10-29,0.1848,0.1848,0.1648,0.1937,1367595.0
2020-10-28,0.1875,0.1941,0.1666,0.195,3826441.0
2020-10-27,0.2054,0.2102,0.1999,0.2077,1244746.0
2020-10-26,0.1965,0.1965,0.1818,0.2079,1512264.0
2020-10-23,0.2155,0.2201,0.2109,0.2177,1902138.0
2020-10-22,0.2159,0.2159,0.2077,0.2199,1443749.0
2020-10-21,0.2086,0.2089,0.1996,0.2166,1020944.0
2020-10-20,0.2079,0.2079,0.196,0.2164,1156003.0
2020-10-19,0.2153,0.2216,0.2134,0.2159,1219269.0
2020-10-16,0.2131,0.2131,0.2047,0.2165,1489904.0
2020-10-15,0.2136,0.2136,0.2078,0.2168,983896.0
2020-10-14,0.2206,0.2239,0.2151,0.2213,1500027.0
2020-10-13,0.2173,0.2234,0.2118,0.2205,2207827.0
2020-10-12,0.2254,0.227,0.2176,0.2277,4085599.0
2020-10-09,0.2275,0.2507,0.2204,0.2312,16117345.0
2020-10-08,0.2279,0.2338,0.2237,0.2265,3307357.0
2020-10-07,0.2196,0.2272,0.208,0.2233,1541997.0
2020-10-06,0.2242,0.234,0.2205,0.2271,1698011.0
2020-10-05,0.2288,0.2316,0.2223,0.2312,1214089.0
2020-10-02,0.2352,0.2461,0.2325,0.229,1537249.0
2020-10-01,0.2262,0.231,0.224,0.2276,974553.0
2020-09-30,0.2296,0.2363,0.2247,0.2323,1439281.0
2020-09-29,0.2239,0.2239,0.2047,0.2366,2168396.0
2020-09-28,0.2246,0.2246,0.2099,0.2379,1267520.0
2020-09-25,0.2307,0.2307,0.2129,0.2449,1261649.0
2020-09-24,0.2423,0.2443,0.2235,0.2522,2273036.0
2020-09-23,0.2404,0.2584,0.2251,0.25,3811035.0
2020-09-22,0.2513,0.2585,0.2503,0.2461,743631.0
2020-09-21,0.2245,0.2245,0.2051,0.2403,1210767.0
2020-09-18,0.2516,0.2544,0.2402,0.2582,746348.0
2020-09-17,0.2674,0.2698,0.2514,0.2675,1565319.0
2020-09-16,0.2773,0.2944,0.2625,0.2685,3124519.0
2020-09-15,0.2446,0.2556,0.2375,0.2395,1549678.0
2020-09-14,0.2231,0.2273,0.2165,0.2275,1740449.0
2020-09-11,0.233,0.243,0.233,0.2325,1477916.0
2020-09-10,0.23,0.2341,0.2251,0.235,1111690.0
2020-09-09,0.2342,0.2394,0.2272,0.2384,1138578.0
2020-09-08,0.226,0.226,0.1999,0.2424,3090600.0
2020-09-04,0.2531,0.2563,0.2407,0.2585,2134680.0
2020-09-03,0.2624,0.2626,0.2554,0.266,1222714.0
2020-09-02,0.267,0.2748,0.2449,0.2698,2850552.0
2020-09-01,0.2709,0.2709,0.2542,0.2803,2100025.0
2020-08-31,0.2855,0.286,0.2751,0.2918,1402947.0
2020-08-28,0.3152,0.3363,0.3118,0.2976,1428848.0
2020-08-27,0.28,0.2853,0.2748,0.2806,1309622.0
2020-08-26,0.283,0.2883,0.2764,0.2865,1526847.0
2020-08-25,0.2898,0.2898,0.2828,0.2924,948739.0
2020-08-24,0.2979,0.3044,0.2942,0.2939,1145488.0
