date,Open,High,Low,Close,Volume
2021-02-12,172.0327,172.7405,169.113,173.51,1106944.0
2021-02-11,175.2804,176.5764,173.9944,175.55,984973.0
2021-02-10,173.1849,173.7641,170.8778,174.79,1358488.0
2021-02-09,171.6718,172.2177,167.5057,175.42,1735228.0
2021-02-08,181.4754,185.0136,181.4754,178.94,1594135.0
2021-02-05,174.1694,175.6835,170.4715,176.79,2165227.0
2021-02-04,184.7827,190.6454,184.1242,179.3,2338046.0
2021-02-03,180.339,188.7705,179.1996,173.12,2600202.0
2021-02-02,163.0385,165.1694,159.4655,165.85,3009225.0
2021-02-01,169.4268,174.526,168.3039,166.93,1811577.0
2021-01-29,162.1308,165.1577,159.0185,162.48,1531459.0
2021-01-28,168.1211,175.5479,167.4574,163.8,1710008.0
2021-01-27,152.5981,153.5757,147.7436,157.02,2287740.0
2021-01-26,159.0615,159.8035,154.0462,164.13,1221236.0
2021-01-25,170.803,173.5693,169.2501,168.43,1180488.0
2021-01-22,167.4614,168.3366,166.2845,166.97,1022993.0
2021-01-21,166.0805,166.0805,164.1513,167.4,1014935.0
2021-01-20,169.9024,172.9419,168.5004,167.95,942086.0
2021-01-19,161.7661,162.7573,157.5074,166.1,1385614.0
2021-01-15,170.2733,172.5075,169.3368,168.77,1111810.0
2021-01-14,165.7969,166.4085,162.7291,168.27,1489442.0
2021-01-13,168.8947,169.7094,165.4885,170.47,862419.0
2021-01-12,173.4484,174.8276,171.9273,172.24,980768.0
2021-01-11,172.1637,174.6869,171.2351,171.37,854898.0
2021-01-08,170.577,171.1162,166.244,172.28,1063595.0
2021-01-07,176.1983,179.6287,176.1983,173.6,2094117.0
2021-01-06,173.0251,179.1689,173.0251,170.56,3093765.0
2021-01-05,166.9321,170.6472,166.0213,165.01,1142263.0
2021-01-04,163.9104,165.4856,158.8939,163.64,1616978.0
2020-12-31,165.8618,167.8249,164.5498,164.46,958160.0
2020-12-30,161.4253,162.058,159.7051,162.35,879449.0
2020-12-29,163.1618,163.9566,161.4729,163.5602,915492.0
2020-12-28,162.1872,162.2753,159.8655,163.7299,905316.0
2020-12-24,161.3852,161.3852,158.6869,163.9695,288897.0
2020-12-23,166.5421,168.7878,166.3196,165.3171,1904836.0
2020-12-22,162.5067,163.4211,160.8965,162.7356,1813119.0
2020-12-21,164.4723,167.6864,162.1254,162.5562,1831138.0
2020-12-18,162.9592,163.7386,161.006,163.8021,3119898.0
2020-12-17,166.1981,169.2202,166.0245,164.2107,1371602.0
2020-12-16,161.9131,163.7975,160.8954,161.0312,1107060.0
2020-12-15,158.2793,158.5801,154.5147,160.4232,1625709.0
2020-12-14,157.3884,158.7042,153.3978,160.3335,1833503.0
2020-12-11,154.3603,155.4386,150.8459,157.0542,1153183.0
2020-12-10,163.6886,168.6488,163.6886,161.2604,1401555.0
2020-12-09,160.4802,163.0613,159.8842,159.4065,1531888.0
2020-12-08,162.8216,167.5657,162.6851,158.6689,1367493.0
2020-12-07,153.1074,153.6237,149.7948,154.8614,1043511.0
2020-12-04,161.286,166.0727,160.1629,157.1639,1447115.0
2020-12-03,151.7533,152.5653,150.4501,152.25,906424.0
2020-12-02,154.2638,157.2474,153.5359,152.1005,839192.0
2020-12-01,150.6886,151.7351,149.1881,151.4128,880468.0
2020-11-30,147.3125,147.3125,143.892,149.6187,1846260.0
2020-11-27,152.1018,153.5882,150.9227,152.549,753487.0
2020-11-25,152.7989,154.3076,151.3932,153.1172,1077101.0
2020-11-24,158.7185,163.6065,157.2048,154.5525,2489315.0
2020-11-23,149.4211,151.8497,148.7687,148.911,1244172.0
2020-11-20,143.3741,143.8206,139.6596,146.8577,1337301.0
2020-11-19,151.0069,152.0525,148.4633,150.3562,2141812.0
2020-11-18,149.8828,152.2131,147.9022,150.745,1219385.0
2020-11-17,155.2789,160.981,154.06,152.5291,1587632.0
2020-11-16,151.3929,153.5578,149.8764,151.3231,1803838.0
2020-11-13,154.1388,159.411,154.0537,149.2598,1373778.0
2020-11-12,144.0968,147.3054,141.9646,144.1167,2101849.0
2020-11-11,139.1034,139.4429,132.8193,144.9938,1456302.0
2020-11-10,157.5469,166.7599,157.5469,151.6121,2497460.0
2020-11-09,146.4699,151.4088,144.784,146.8378,3778714.0
2020-11-06,139.2228,141.4835,138.2293,138.0467,1004251.0
2020-11-05,140.8259,147.7236,140.3948,137.1097,1681813.0
2020-11-04,127.321,129.7927,123.1734,131.3686,2301337.0
2020-11-03,139.0155,143.6532,138.5549,135.6445,1656241.0
2020-11-02,134.8072,139.7565,133.813,130.1725,2012959.0
2020-10-30,122.4867,124.133,119.4589,123.5343,1718848.0
2020-10-29,124.2267,125.3098,121.9129,124.9895,1343898.0
2020-10-28,124.5964,126.5815,122.174,126.0634,1342604.0
2020-10-27,126.0513,126.6969,122.0183,130.058,1450959.0
2020-10-26,135.8421,138.8215,131.7921,134.9092,1966779.0
2020-10-23,135.846,136.8687,133.8501,136.0648,897246.0
2020-10-22,134.1247,136.4263,132.7911,134.6901,1485770.0
2020-10-21,135.8468,139.153,135.8468,135.4571,1257266.0
2020-10-20,138.0098,141.7598,137.3728,135.8954,981900.0
2020-10-19,133.5848,135.7986,132.4332,133.8135,894613.0
2020-10-16,131.9922,133.6111,129.0514,134.6004,1197578.0
2020-10-15,142.7402,149.2147,142.2485,137.2602,1327778.0
2020-10-14,136.2056,140.4576,135.8256,134.1422,1197140.0
2020-10-13,135.1327,138.6697,133.0997,132.4288,1435710.0
2020-10-12,125.1455,125.4097,120.4085,129.7292,1332648.0
2020-10-09,128.1454,128.6047,122.3582,133.4449,2754267.0
2020-10-08,133.2845,135.9422,132.3199,131.3231,1135470.0
2020-10-07,127.6539,129.9517,126.2399,128.5737,1001510.0
2020-10-06,125.5103,127.0553,123.0345,127.8764,1257570.0
2020-10-05,131.6826,134.3536,130.3573,129.6695,1481799.0
2020-10-02,132.3427,139.6188,132.2937,126.5615,1490143.0
2020-10-01,123.902,124.8544,120.6639,124.081,1847900.0
2020-09-30,127.8722,133.4158,127.2915,124.2006,1899218.0
2020-09-29,117.9319,118.0769,113.8526,119.7179,1132086.0
2020-09-28,119.7879,121.1375,118.1643,120.8933,1119275.0
2020-09-25,124.7,130.4361,124.324,120.0865,1439537.0
2020-09-24,117.4139,120.5607,115.7343,116.5003,1290544.0
2020-09-23,110.6875,110.9602,105.489,115.8827,2260541.0
2020-09-22,115.5783,115.9191,110.1522,120.1861,2639211.0
2020-09-21,124.5012,124.5505,117.7778,124.9676,3631569.0
2020-09-18,127.9302,128.583,124.0788,131.7415,2070696.0
2020-09-17,137.4748,139.0888,135.3564,136.6127,1381232.0
2020-09-16,138.5839,140.8817,138.3865,137.4793,1327722.0
2020-09-15,134.1321,135.8949,132.1244,135.2778,1320456.0
2020-09-14,135.8487,137.106,134.6217,135.1981,1658196.0
2020-09-11,132.8601,133.3733,130.4423,133.4847,745558.0
2020-09-10,134.0129,135.6432,133.3071,134.1522,2093134.0
2020-09-09,133.4551,135.1406,132.5713,133.2955,1953916.0
2020-09-08,128.3876,128.3876,124.7229,132.0204,1418963.0
2020-09-04,136.9327,139.4781,135.1388,136.523,1123404.0
2020-09-03,133.9469,134.526,129.6323,136.0747,1860204.0
2020-09-02,141.1949,146.211,139.3813,137.6387,2198074.0
2020-09-01,133.5347,133.7832,131.7655,133.684,1354154.0
2020-08-31,135.3477,137.634,134.8286,135.1981,2448984.0
2020-08-28,137.0595,138.793,134.9793,135.4671,1090625.0
2020-08-27,135.782,141.3337,135.1107,133.9031,1998428.0
2020-08-26,129.2,129.4031,125.6313,131.1239,1014929.0
2020-08-25,133.2069,133.4545,130.4933,133.5943,994325.0
2020-08-24,134.7457,136.3303,133.2317,133.8633,3161407.0
2020-08-21,133.7773,136.0538,133.3118,132.0005,1194626.0
2020-08-20,129.6277,131.1085,127.6271,130.6457,1245446.0
2020-08-19,131.7658,133.4792,130.2247,132.5284,1415881.0
2020-08-18,132.9285,133.1462,130.9996,133.3951,898362.0
2020-08-17,134.1632,135.726,133.5721,133.7836,1365394.0
2020-08-14,138.2106,143.1555,137.6164,133.9131,1295117.0
2020-08-13,129.4838,129.4838,127.7588,130.1676,819624.0
2020-08-12,130.8889,131.1253,128.4065,131.6219,1252047.0
2020-08-11,128.7937,129.7939,125.8415,131.084,1493023.0
2020-08-10,134.1377,136.8756,134.1377,131.9606,1052243.0
2020-08-07,128.5553,130.0217,125.7593,129.7691,1372413.0
2020-08-06,133.2207,135.3068,132.8391,131.8112,1687697.0
2020-08-05,130.66,132.9072,130.1763,129.9086,2232606.0
2020-08-04,131.47,135.5647,130.9012,127.8963,2115175.0
