date,Open,High,Low,Close,Volume
2015-10-30,10.021,10.021,9.8543,10.12,25304169.0
2015-10-29,10.0616,10.1396,9.9251,10.19,14125646.0
2015-10-28,10.5762,10.8692,10.5447,10.32,27182776.0
2015-10-27,10.2612,10.3941,10.251,10.15,8045328.0
2015-10-26,10.1502,10.2207,10.0695,10.11,4932094.0
2015-10-23,10.2933,10.4902,10.2518,10.11,6698946.0
2015-10-22,10.096,10.4164,10.096,9.85,4256869.0
2015-10-21,9.5104,9.5993,9.4314,9.57,4206507.0
2015-10-20,9.6903,9.766,9.5589,9.64,7181349.0
2015-10-19,9.0862,9.0862,8.6627,9.47,8190139.0
2015-10-16,9.8108,9.8305,9.7126,9.9,4955679.0
2015-10-15,10.1537,10.3719,10.1017,9.96,7764212.0
2015-10-14,9.4363,9.4458,9.1892,9.68,3209769.0
2015-10-13,9.9102,9.9499,9.831,9.96,3232627.0
2015-10-12,10.1003,10.1609,10.0497,10.05,2636057.0
2015-10-09,9.9402,9.9997,9.8363,9.99,4622359.0
2015-10-08,10.1512,10.3046,10.1154,10.04,2543728.0
2015-10-07,10.0711,10.1937,10.0313,9.965,3303053.0
2015-10-06,9.78,9.8199,9.6705,9.8,3978624.0
2015-10-05,9.8104,9.8104,9.5041,9.87,4918314.0
2015-10-02,9.882,10.0313,9.5423,9.74,15772676.0
2015-10-01,9.339,9.339,8.8766,9.76,26303757.0
2015-09-30,10.7963,11.4838,10.7174,10.17,47624344.0
2015-09-29,9.4305,9.6177,9.3123,9.5,4262048.0
2015-09-28,9.432,9.4612,9.16,9.57,5572373.0
2015-09-25,9.73,9.8198,9.3608,9.74,5125334.0
2015-09-24,10.0692,10.583,9.7521,9.63,12494576.0
2015-09-23,9.2501,9.3296,9.1755,9.275,1600784.0
2015-09-22,9.2302,9.2996,9.0914,9.27,2371200.0
2015-09-21,9.6221,9.8281,9.5809,9.48,2192142.0
2015-09-18,9.2404,9.2404,9.0528,9.3,5148207.0
2015-09-17,9.2641,9.408,9.034,9.46,3856650.0
2015-09-16,9.6501,9.67,9.3917,9.68,5065238.0
2015-09-15,9.7101,9.73,9.6205,9.735,1895937.0
2015-09-14,9.8215,9.9753,9.76,9.7,1917782.0
2015-09-11,9.7313,9.8438,9.6085,9.62,1419941.0
2015-09-10,9.5102,9.5498,9.416,9.55,2054996.0
2015-09-09,9.4708,9.5592,9.3629,9.56,2578031.0
2015-09-08,9.6002,9.6506,9.4792,9.56,2017219.0
2015-09-04,9.3909,9.5438,9.3399,9.3,2908166.0
2015-09-03,9.5748,9.8364,9.4145,9.36,3633691.0
2015-09-02,9.2622,9.4169,9.1333,9.12,3418959.0
2015-09-01,8.6063,8.6916,8.3315,8.84,4442550.0
2015-08-31,9.31,9.3752,9.2599,9.3,2933307.0
2015-08-28,9.36,9.42,9.285,9.36,2415796.0
2015-08-27,9.5003,9.5912,9.3588,9.45,3081200.0
2015-08-26,9.3213,9.6901,9.0806,9.21,4622369.0
