date,Open,High,Low,Close,Volume
2021-02-12,32.5917,33.4979,32.5917,31.75,1482877.0
2021-02-11,31.34,31.7909,30.6788,31.31,1849827.0
2021-02-10,32.1454,32.6585,31.5911,31.73,1419482.0
2021-02-09,30.9348,31.0128,30.0373,31.32,1797915.0
2021-02-08,33.296,34.9489,33.1222,31.93,2462420.0
2021-02-05,29.7663,30.0772,29.2126,30.2,1909633.0
2021-02-04,30.4134,30.8834,30.0848,30.09,2003766.0
2021-02-03,30.5951,31.947,30.5302,29.42,1971039.0
2021-02-02,27.7584,28.1458,27.14,28.24,2309437.0
2021-02-01,27.2039,27.4586,25.8361,28.01,3284570.0
2021-01-29,27.4939,29.0432,26.3647,28.46,3691571.0
2021-01-28,28.3483,28.9662,26.6947,29.74,3597192.0
2021-01-27,32.3146,34.3089,32.1593,30.87,3295360.0
2021-01-26,29.5364,30.2163,28.9633,29.97,3074476.0
2021-01-25,31.8197,33.66,31.2844,30.13,3658399.0
2021-01-22,30.3117,31.6717,30.1267,29.06,1374734.0
2021-01-21,28.2855,28.4898,27.6241,28.68,1611351.0
2021-01-20,28.8465,28.9921,28.0021,29.28,2400199.0
2021-01-19,30.523,31.9876,30.1167,29.52,2630897.0
2021-01-15,27.4415,27.6024,26.3722,28.21,3785905.0
2021-01-14,32.2534,35.8939,32.2169,29.23,3813897.0
2021-01-13,25.5166,25.5166,24.428,26.34,1814683.0
2021-01-12,28.6489,30.0643,28.4404,27.35,2072561.0
2021-01-11,27.1184,28.614,27.0524,25.86,1869331.0
2021-01-08,24.4002,24.4279,23.2457,25.39,1481443.0
2021-01-07,26.444,27.0282,25.8606,26.12,2144596.0
2021-01-06,24.9586,25.4324,23.7647,25.64,2783944.0
2021-01-05,25.6401,26.7453,25.5296,25.58,2661124.0
2021-01-04,24.5134,24.7768,23.3983,25.27,2567659.0
2020-12-31,25.8101,26.2686,25.491,25.85,1607182.0
2020-12-30,26.884,27.8404,26.8628,26.08,2806176.0
2020-12-29,25.1407,25.398,24.6458,25.27,1098991.0
2020-12-28,24.9431,25.8234,24.586,25.22,1188465.0
2020-12-24,25.3001,25.3997,24.8917,25.35,731667.0
2020-12-23,26.2973,27.6426,26.1158,25.45,1402860.0
2020-12-22,23.9944,24.413,23.6343,24.32,2254170.0
2020-12-21,25.4986,26.4017,24.9282,24.81,4736460.0
2020-12-18,24.8151,25.0775,24.2124,25.17,8018712.0
2020-12-17,25.5503,25.7886,25.0538,25.64,4877119.0
2020-12-16,24.8597,24.8597,24.0935,25.56,2436676.0
2020-12-15,26.6011,26.8645,26.0034,26.43,3970558.0
2020-12-14,23.9575,24.0944,22.011,25.9,4755528.0
2020-12-11,26.4594,26.5104,25.2356,27.48,3244787.0
2020-12-10,29.8573,31.5987,29.8242,28.44,4031807.0
2020-12-09,26.9121,27.423,25.8313,27.15,2948969.0
2020-12-08,27.1201,27.9632,26.819,27.07,3196253.0
2020-12-07,26.766,27.2615,25.9179,27.42,2674364.0
2020-12-04,29.4686,30.6512,29.3621,28.55,2957043.0
2020-12-03,27.4099,28.8541,27.1189,26.89,4812916.0
2020-12-02,28.7151,31.7472,28.5593,26.23,5060475.0
2020-12-01,24.1003,25.0639,23.8817,24.18,3949054.0
2020-11-30,22.3121,22.4577,21.1473,23.39,5402199.0
2020-11-27,24.8403,25.029,24.4333,24.93,2862654.0
2020-11-25,25.0711,25.1797,24.3607,25.24,2124174.0
2020-11-24,26.3307,27.4816,25.737,25.8,2976115.0
2020-11-23,26.3153,28.5092,26.2161,24.36,3040549.0
2020-11-20,21.854,22.1286,21.3283,22.15,1775708.0
2020-11-19,23.1099,23.7317,22.9856,22.5241,2234021.0
2020-11-18,21.3337,21.5845,20.2769,22.3666,2973465.0
2020-11-17,23.2231,23.2722,22.3877,23.2427,3113852.0
2020-11-16,24.3532,25.235,23.4303,23.794,4056663.0
2020-11-13,23.1886,24.8823,23.1886,21.7956,2807994.0
2020-11-12,20.1245,20.7793,19.6094,20.3485,3154456.0
2020-11-11,20.4035,20.6272,19.5646,20.9687,2491501.0
2020-11-10,20.4173,20.5257,18.8183,21.3132,4226755.0
2020-11-09,25.7074,30.6009,25.7074,22.2091,6552772.0
2020-11-06,16.4094,16.8082,15.4348,17.2967,4068116.0
2020-11-05,18.1848,18.9846,17.8282,18.3796,3121080.0
2020-11-04,18.1289,18.7285,17.5294,18.4386,3429722.0
2020-11-03,18.3209,18.4242,17.5881,18.7537,2145806.0
2020-11-02,19.2618,19.8943,18.6802,18.921,2503004.0
2020-10-30,19.0452,19.9485,18.9807,18.2221,4461035.0
2020-10-29,18.2948,19.1757,18.0585,17.5133,2889460.0
2020-10-28,16.2364,16.3356,15.3524,16.962,3828027.0
2020-10-27,17.6445,17.7408,16.9475,18.2811,3407428.0
2020-10-26,18.4594,18.5608,17.7129,19.0785,1682947.0
2020-10-23,20.3119,21.0578,20.1557,20.0728,1566946.0
2020-10-22,20.5587,21.6288,20.0507,19.62,2238434.0
2020-10-21,18.59,18.9059,18.1497,18.8521,2604423.0
2020-10-20,19.1972,19.5026,18.9828,19.2951,1941551.0
2020-10-19,18.5571,18.7048,17.9481,19.1671,1863216.0
2020-10-16,18.9533,18.9533,18.0824,19.8464,2009370.0
2020-10-15,22.0795,23.425,21.8038,20.8604,3189984.0
2020-10-14,20.7058,21.6272,20.6541,20.191,1916658.0
2020-10-13,18.7933,18.7978,17.9738,19.5412,2380230.0
2020-10-12,20.4371,20.4961,19.9552,20.4469,1627667.0
2020-10-09,19.8143,20.0066,19.0635,20.5454,1901563.0
2020-10-08,21.7732,22.5649,21.4919,21.1656,1827024.0
2020-10-07,20.8206,21.3652,20.3992,20.378,2342766.0
2020-10-06,19.5738,20.1885,19.2664,19.8169,2303765.0
2020-10-05,19.8074,20.1452,19.4385,19.7184,2390825.0
2020-10-02,20.4424,21.8899,20.3098,19.2951,2613153.0
2020-10-01,18.2127,18.4099,17.4612,18.6454,3057826.0
2020-09-30,18.9891,19.1494,18.4976,19.4034,2480902.0
2020-09-29,19.2739,19.4315,18.5002,19.8661,1812704.0
2020-09-28,20.8647,21.2599,20.6417,20.565,2458752.0
2020-09-25,20.2691,20.8652,19.9967,19.8366,2046924.0
2020-09-24,19.877,20.3417,19.2674,19.7283,2386338.0
2020-09-23,18.754,19.0078,17.8279,19.7184,2124317.0
2020-09-22,20.6446,21.0433,20.2945,20.7718,1626504.0
2020-09-21,20.7237,20.7819,20.0837,20.8801,2249382.0
2020-09-18,21.5207,21.7153,20.898,21.6479,5399067.0
2020-09-17,22.2331,22.7595,22.0609,21.9236,2497573.0
2020-09-16,22.944,24.262,22.6909,22.1697,2795170.0
2020-09-15,21.2839,21.46,20.7606,21.3526,3267050.0
2020-09-14,22.0215,22.8785,21.8333,21.3723,3115331.0
2020-09-11,20.9847,21.7389,20.7044,20.6241,2594801.0
2020-09-10,19.3274,19.4937,18.4289,20.2303,2733463.0
2020-09-09,20.7301,20.8913,19.8202,21.1262,3697203.0
2020-09-08,20.982,21.1693,20.434,21.5101,3081133.0
2020-09-04,21.5944,21.6945,20.7485,22.465,3782997.0
