date,Open,High,Low,Close,Volume
2021-02-12,48.1801,48.3497,47.5516,48.24,3261771.0
2021-02-11,46.7065,46.8944,44.7894,48.18,3973889.0
2021-02-10,49.9302,50.2816,49.5386,49.83,3001227.0
2021-02-09,49.0144,49.0536,48.4257,49.48,2497456.0
2021-02-08,50.4894,51.2192,50.3661,49.8,2612804.0
2021-02-05,48.9403,48.9602,48.3134,49.06,2301306.0
2021-02-04,49.9784,51.101,49.5522,49.02,4486180.0
2021-02-03,47.4146,47.5813,45.8553,47.88,3892845.0
2021-02-02,50.5544,54.6947,50.006,48.75,7649738.0
2021-02-01,47.1814,47.687,46.4938,46.92,3333057.0
2021-01-29,45.7471,46.5762,44.1078,46.86,8025948.0
2021-01-28,46.0401,46.5377,43.8744,47.96,3757195.0
2021-01-27,52.5825,55.0652,52.5283,50.5,5654856.0
2021-01-26,50.0892,51.9648,49.7481,48.52,4779851.0
2021-01-25,48.7285,50.6493,48.6749,47.04,4178191.0
2021-01-22,45.5605,45.9833,45.4335,45.41,1826643.0
2021-01-21,45.8889,46.7168,45.8066,45.25,2257250.0
2021-01-20,44.73,45.01,44.47,44.73,2577327.0
2021-01-19,44.4816,44.5903,43.869,44.75,2391455.0
2021-01-15,45.778,46.8293,45.6827,44.87,6809027.0
2021-01-14,43.672,43.6868,42.8631,43.97,2677656.0
2021-01-13,44.3222,45.1944,44.2816,44.01,2695860.0
2021-01-12,43.7326,43.7326,42.8759,44.07,3504119.0
2021-01-11,43.452,43.672,42.3521,44.43,2897108.0
2021-01-08,45.2607,45.3599,44.5414,45.44,2171764.0
2021-01-07,45.1,45.1391,44.4641,45.4748,1882917.0
2021-01-06,46.2648,46.9934,46.1735,45.8229,2258340.0
2021-01-05,45.1598,45.2869,44.5144,45.5444,2308072.0
2021-01-04,45.6868,45.7357,44.767,46.0616,2593425.0
2020-12-31,46.4298,46.5395,45.7663,46.36,2257836.0
2020-12-30,45.9043,45.9239,45.5801,46.191,903761.0
2020-12-29,45.9489,46.0266,45.1525,46.4993,1374537.0
2020-12-28,46.9072,47.056,46.4905,46.9668,978970.0
2020-12-24,46.8574,46.9145,46.4507,46.917,567325.0
2020-12-23,47.2558,47.5664,47.0955,47.0861,1145746.0
2020-12-22,46.3149,46.4222,45.7494,46.7778,1464728.0
2020-12-21,47.4443,47.6038,46.846,47.3845,1805202.0
2020-12-18,47.8426,48.2431,47.6573,47.6829,3127294.0
2020-12-17,47.9353,48.6136,47.8847,47.5138,1854415.0
2020-12-16,46.7194,47.1323,46.4438,46.9668,1557189.0
2020-12-15,47.2058,47.5559,47.0358,47.0762,1356298.0
2020-12-14,46.8476,47.5607,46.704,46.9469,1616646.0
2020-12-11,47.4394,48.2315,47.2972,46.9469,1599319.0
2020-12-10,45.8483,45.9456,45.2449,46.3501,1621534.0
2020-12-09,46.5998,46.5998,46.0578,46.8176,1680185.0
2020-12-08,47.6671,48.3055,47.3732,47.2254,1653815.0
2020-12-07,46.5516,46.7378,46.0048,46.8971,1655918.0
2020-12-04,47.0663,47.106,46.5702,47.1259,2105255.0
2020-12-03,47.4386,48.0976,47.2561,46.9867,2042472.0
2020-12-02,46.0128,46.2345,45.0576,46.7181,1848135.0
2020-12-01,47.3948,47.8146,47.1448,47.2751,2034971.0
2020-11-30,46.8575,46.9266,46.2029,46.927,3413146.0
2020-11-27,46.9568,46.9867,46.2802,46.9469,1146229.0
