date,Open,High,Low,Close,Volume
2021-02-12,120.6003,120.9591,119.6933,120.8,3871195.0
2021-02-11,119.8297,120.0311,118.4841,120.91,5381556.0
2021-02-10,121.4551,121.8302,119.6621,122.24,4831858.0
2021-02-09,122.3003,122.9979,121.4475,122.1,4661655.0
2021-02-08,122.9664,124.327,122.7458,121.9816,5887999.0
2021-02-05,120.9702,121.78,120.4904,120.1856,4565727.0
2021-02-04,120.5312,121.7274,119.4858,119.4257,4562124.0
2021-02-03,117.6297,118.3807,116.7206,117.5507,6715366.0
2021-02-02,117.9455,119.5661,117.8665,117.8665,6311881.0
2021-02-01,119.587,120.6342,118.42,118.952,6250508.0
2021-01-29,116.4556,117.5018,115.1769,117.5409,11825496.0
2021-01-28,115.8734,116.2508,113.2974,118.4981,8084051.0
2021-01-27,121.2427,123.9341,120.7872,120.8566,12146541.0
2021-01-26,124.2334,127.788,123.4412,120.8763,10694708.0
2021-01-25,116.8381,117.6012,115.547,117.0178,13686391.0
2021-01-22,115.0207,115.0207,111.8379,117.0475,38063533.0
2021-01-21,131.4433,133.5848,131.3725,129.9157,12819233.0
2021-01-20,128.7424,130.0924,127.6109,128.3663,5598705.0
2021-01-19,127.0643,127.3689,125.8932,127.3203,5397956.0
2021-01-15,126.8073,127.7562,126.2043,126.6986,4905506.0
2021-01-14,128.2154,130.3587,127.7447,127.271,7503180.0
2021-01-13,123.0854,123.6572,120.5169,125.248,7677739.0
2021-01-12,127.6263,128.3777,126.4894,127.5078,3729068.0
2021-01-11,127.5109,129.2299,127.2219,126.8861,5602466.0
2021-01-08,126.7973,127.537,125.2292,126.8368,4676487.0
2021-01-07,126.2629,126.6707,124.5346,127.2907,4507382.0
2021-01-06,129.9897,135.0909,129.8053,127.5868,7956740.0
2021-01-05,125.6034,127.2814,125.2015,124.4783,6114619.0
2021-01-04,120.451,120.5155,117.7616,122.3072,5179161.0
2020-12-31,125.8817,127.7159,125.6486,124.2217,3574696.0
2020-12-30,123.2372,124.2824,123.0679,122.702,3380494.0
2020-12-29,120.6584,120.7835,118.6274,122.1691,3487007.0
2020-12-28,122.8999,124.3736,122.2712,123.1756,3583222.0
2020-12-24,122.7422,122.8404,121.9665,123.0474,1761122.0
2020-12-23,122.2875,123.6004,122.1493,122.2678,2693889.0
2020-12-22,122.2783,123.1807,121.3859,121.9816,4337757.0
2020-12-21,121.1948,121.4001,118.9952,121.7645,6115671.0
2020-12-18,124.4492,125.2518,123.8348,124.1921,7552845.0
2020-12-17,123.3752,123.385,122.2303,123.896,3787962.0
2020-12-16,123.5222,124.1527,122.8905,123.896,4530096.0
2020-12-15,125.8095,127.3671,124.8487,124.271,4359601.0
2020-12-14,120.1614,121.0469,118.3876,121.9026,5050023.0
2020-12-11,122.8207,124.2362,122.3554,122.6329,4481416.0
2020-12-10,121.9572,122.517,120.5962,123.3138,4803172.0
2020-12-09,126.1043,127.9989,126.0041,125.1197,6513517.0
2020-12-08,124.44,125.4429,123.7648,124.0539,5395024.0
2020-12-07,121.3158,121.7762,119.4743,123.0572,8318500.0
2020-12-04,128.7948,132.3375,128.4519,125.5243,5522760.0
2020-12-03,121.4412,122.1259,120.5903,121.9816,4548161.0
2020-12-02,124.7501,126.5678,124.3033,122.9783,3690737.0
2020-12-01,120.8116,122.6935,120.0121,121.5375,5099334.0
2020-11-30,121.3231,122.2029,120.3357,121.8928,5987991.0
2020-11-27,122.86,123.961,122.5732,122.7118,2091186.0
2020-11-25,123.83,125.2403,123.004,122.5638,4135894.0
2020-11-24,126.3975,130.4448,126.34,122.7809,7535949.0
2020-11-23,121.1924,124.3762,121.0272,118.508,5655119.0
2020-11-20,114.7518,115.1811,113.8638,115.3995,5024593.0
2020-11-19,116.2713,117.1792,115.6228,115.6363,3439648.0
2020-11-18,114.3018,115.4281,113.3599,115.2317,4606828.0
2020-11-17,116.2482,117.1774,115.7243,116.1494,4134455.0
2020-11-16,116.86,117.1069,115.6943,116.8007,5293385.0
2020-11-13,116.9724,119.1861,116.7896,115.3106,4683512.0
2020-11-12,111.8874,112.6034,109.807,112.9916,6500799.0
2020-11-11,114.7552,114.9787,112.9093,115.656,4289601.0
2020-11-10,117.5732,119.0644,117.1299,116.3567,5622756.0
2020-11-09,111.7352,113.4983,109.2613,114.008,8992152.0
2020-11-06,109.9691,109.9882,108.3541,110.972,5249171.0
2020-11-05,113.1313,115.1184,112.8418,111.6823,4902206.0
2020-11-04,108.4727,109.9985,107.3429,108.8895,5800071.0
2020-11-03,111.2446,112.8548,110.8836,111.0887,4204287.0
2020-11-02,110.126,111.2761,109.7349,109.8724,5311497.0
2020-10-30,112.4423,116.5065,112.286,108.656,7923882.0
2020-10-29,107.6203,110.0186,106.9179,105.98,6760241.0
2020-10-28,101.861,102.8641,99.2925,103.7808,9427321.0
2020-10-27,106.0603,106.1265,104.0554,107.5856,5936106.0
2020-10-26,107.0732,107.4942,104.6314,109.2009,7203366.0
2020-10-23,112.3948,112.5105,111.459,112.8792,3893362.0
2020-10-22,113.3901,114.4353,111.3984,112.6457,7858158.0
2020-10-21,110.4289,111.4038,108.6588,111.9645,9755308.0
2020-10-20,111.8957,112.2226,109.131,114.2124,21501073.0
2020-10-19,120.9101,121.4346,119.27,122.1431,7478735.0
2020-10-16,123.2861,124.5272,122.7789,122.5421,4714320.0
2020-10-15,122.3234,123.4423,122.0967,121.5301,3389301.0
2020-10-14,123.3451,125.1293,123.3451,122.5518,3730139.0
2020-10-13,120.3206,120.8719,118.3148,121.7344,5406088.0
2020-10-12,122.9564,123.1292,121.3915,123.7876,4635115.0
2020-10-09,120.386,120.386,116.3731,124.352,8353704.0
2020-10-08,128.5685,133.1273,127.4976,127.9525,25288926.0
2020-10-07,122.11,123.8222,121.7616,120.7321,2815663.0
2020-10-06,118.098,120.2657,117.1442,118.6886,3872265.0
2020-10-05,118.8932,119.7812,118.1223,118.7275,3050949.0
2020-10-02,118.8343,121.5396,118.6146,117.3263,2925228.0
2020-10-01,116.6093,117.5051,114.6985,117.8323,3211661.0
2020-09-30,118.6796,120.1755,118.1125,118.3967,3261235.0
2020-09-29,117.2307,117.9798,116.0721,117.6863,2130564.0
2020-09-28,119.5947,121.3405,119.436,118.4551,3509576.0
2020-09-25,117.0786,118.8806,116.4216,115.7499,2953686.0
2020-09-24,114.9033,116.28,113.3271,114.913,3546160.0
2020-09-23,113.7474,114.4912,111.5157,115.6331,3939398.0
2020-09-22,117.4433,118.5365,116.6625,117.2679,2957809.0
2020-09-21,116.7915,117.0048,114.9497,117.0149,5311441.0
2020-09-18,118.0153,118.6422,116.4863,119.4574,5391570.0
2020-09-17,123.8394,126.7985,123.1829,121.5593,3171262.0
2020-09-16,122.3655,125.4668,122.3655,120.8781,3789458.0
2020-09-15,118.7773,119.3383,118.2164,119.146,2915221.0
2020-09-14,118.5432,119.5314,117.962,118.8054,3641887.0
2020-09-11,118.2605,119.5367,117.6175,118.1923,3548091.0
2020-09-10,115.4304,116.4161,113.2731,117.3166,3978805.0
2020-09-09,119.0975,120.6285,118.2783,118.9708,3770678.0
2020-09-08,117.0318,117.712,115.6427,117.9491,5210292.0
2020-09-04,117.0478,117.9891,114.1204,119.0097,6018238.0
2020-09-03,117.5687,119.1829,113.4049,121.1019,5716750.0
2020-09-02,129.228,134.4297,129.0766,124.7316,6592430.0
2020-09-01,120.6177,121.6978,119.9305,120.0801,3155623.0
2020-08-31,118.134,118.134,116.0401,119.9926,4827879.0
2020-08-28,121.8124,122.1438,121.0897,121.7052,3099940.0
2020-08-27,121.3452,121.8321,120.7414,121.2965,3422654.0
2020-08-26,120.0752,120.2385,119.1142,120.8294,3388687.0
2020-08-25,119.9777,120.7585,118.5398,121.2868,2977697.0
2020-08-24,124.166,126.4429,123.7347,122.2988,4070816.0
2020-08-21,119.9927,120.4553,119.3099,119.8466,3385051.0
2020-08-20,119.7882,120.605,119.409,119.8369,2561164.0
2020-08-19,119.5526,120.1943,118.2788,120.5083,3743949.0
2020-08-18,121.4815,121.9674,120.7429,121.5593,2882355.0
2020-08-17,120.3091,120.6356,119.5022,121.0922,3336459.0
2020-08-14,122.95,124.2963,122.6629,121.8998,2963753.0
2020-08-13,120.768,121.1803,119.6271,121.6663,3171258.0
2020-08-12,122.4122,122.5848,120.7488,123.2914,3530177.0
2020-08-11,121.4146,123.0271,119.3873,123.34,5001176.0
2020-08-10,125.357,127.1761,125.1221,123.6903,3968295.0
2020-08-07,123.0357,124.5998,122.7468,121.5982,3651226.0
2020-08-06,122.2322,123.4643,122.2322,121.1467,3417131.0
2020-08-05,119.286,119.3049,117.2906,120.5031,3675400.0
2020-08-04,122.8498,124.8738,122.8498,120.8778,3431366.0
2020-08-03,120.1913,121.0769,118.8774,119.4081,3526574.0
2020-07-31,118.3135,118.5834,116.7515,118.0921,5277652.0
2020-07-30,117.2807,117.4652,115.3183,118.0537,3988062.0
2020-07-29,121.1127,122.5032,120.6363,120.3783,2833141.0
2020-07-28,118.2789,118.7678,116.709,119.5618,4178176.0
2020-07-27,122.544,123.9769,122.3967,121.2332,3733547.0
2020-07-24,120.1706,121.2783,119.2394,120.8297,3531076.0
2020-07-23,120.6321,120.8844,118.81,122.309,4220136.0
2020-07-22,126.3155,129.8973,126.2151,123.5962,8195366.0
2020-07-21,116.3807,117.2769,111.6246,121.0891,15356679.0
2020-07-20,121.6757,122.6409,120.7781,121.3869,9737157.0
2020-07-17,120.8722,122.0771,119.7158,120.1765,3983972.0
2020-07-16,120.4113,122.178,119.9009,119.1199,4328856.0
2020-07-15,118.7289,120.2421,118.4864,118.1497,4470095.0
2020-07-14,117.7781,120.0319,117.083,115.8444,4531393.0
2020-07-13,113.9452,115.0962,112.8797,114.4996,4644595.0
2020-07-10,116.4883,119.5845,116.2765,113.6831,4285088.0
2020-07-09,108.9902,108.9902,106.404,111.1472,4760875.0
2020-07-08,112.7331,113.287,111.2244,113.0683,5191792.0
2020-07-07,111.5957,112.074,110.0297,112.9435,4278088.0
2020-07-06,114.4413,115.0076,112.7518,115.4506,4044188.0
2020-07-02,114.9895,116.6515,114.5764,114.9799,3745663.0
2020-07-01,112.2277,113.1235,110.4548,113.8656,4657168.0
2020-06-30,117.5455,119.5278,117.3581,116.0077,3916381.0
2020-06-29,116.7536,118.5349,116.15,115.0279,4159488.0
2020-06-26,111.5503,112.2389,109.6638,112.5689,10749166.0
2020-06-25,116.5592,119.005,115.9003,114.3363,6128720.0
2020-06-24,110.0334,110.0334,107.7643,111.8292,6747421.0
2020-06-23,112.2571,113.0759,109.6993,114.7013,6628278.0
2020-06-22,115.2959,115.6547,113.7948,116.2959,4762601.0
2020-06-19,114.1908,114.7791,110.643,117.6406,8098994.0
2020-06-18,120.3888,121.759,119.733,119.264,2860286.0
2020-06-17,117.6622,118.0549,115.3899,119.2544,3153862.0
2020-06-16,120.3592,122.7664,118.5875,120.215,5605791.0
2020-06-15,119.2647,122.4467,118.3642,116.853,5148756.0
2020-06-12,117.7402,119.556,115.8272,117.1027,6218003.0
2020-06-11,106.143,106.202,99.2453,113.3565,11753674.0
2020-06-10,122.5965,122.6708,120.4164,124.7488,4725055.0
2020-06-09,125.1046,125.1796,122.7622,126.67,5391520.0
2020-06-08,133.8277,137.4802,133.8277,130.397,5368387.0
2020-06-05,125.1187,125.4364,123.1189,126.8525,5892718.0
2020-06-04,124.883,126.0265,124.1402,123.8075,3864131.0
2020-06-03,125.8135,128.2378,125.6651,123.9612,3913804.0
2020-06-02,121.3493,121.6679,120.374,121.0314,2976908.0
2020-06-01,120.2058,121.2764,119.6175,119.9652,2867306.0
2020-05-29,121.1681,122.5985,119.767,119.9748,7929905.0
2020-05-28,117.4131,117.5057,114.9607,119.6194,3915224.0
2020-05-27,122.1463,124.009,121.6831,120.5896,5725163.0
2020-05-26,117.4022,118.6798,117.1215,116.9586,5467436.0
2020-05-22,112.7879,112.8824,111.1061,113.7215,4179906.0
2020-05-21,112.6542,113.334,110.7734,114.4227,4018329.0
2020-05-20,117.0275,118.5178,116.7081,116.5936,3840563.0
2020-05-19,114.6885,115.6159,113.6948,115.5466,3239964.0
2020-05-18,118.4029,120.8523,118.2745,116.7665,4205425.0
2020-05-15,113.3849,114.8128,112.7198,112.3671,4785773.0
2020-05-14,114.672,117.1942,111.9095,112.3383,5255607.0
2020-05-13,107.2554,107.2912,102.6952,111.1664,5874676.0
2020-05-12,112.9353,114.138,110.4105,115.5178,4779635.0
2020-05-11,118.51,120.1055,117.4008,117.7559,3533382.0
2020-05-08,118.4483,118.9891,116.8937,118.1401,5002450.0
2020-05-07,114.7925,115.0538,112.8043,116.4495,4412047.0
2020-05-06,116.6771,117.4439,115.8913,116.7434,3861081.0
2020-05-05,115.4215,116.2914,114.5609,116.1842,3897761.0
2020-05-04,116.152,117.2576,114.7773,115.3311,4016551.0
2020-05-01,114.2735,114.5332,112.6038,115.5112,4923913.0
2020-04-30,118.1057,118.8058,116.8921,119.0087,6630032.0
2020-04-29,121.7955,122.2019,120.5197,121.9754,5252734.0
2020-04-28,118.0364,118.1931,115.5932,119.6816,4775867.0
2020-04-27,119.6921,121.0552,119.6063,119.3499,4920443.0
2020-04-24,120.4433,122.9917,118.8198,118.2125,4985575.0
2020-04-23,116.7306,120.1084,116.2913,115.0183,6873899.0
2020-04-22,112.5565,112.9884,110.378,113.0848,7085901.0
2020-04-21,113.3471,116.4791,111.4183,110.6678,14341304.0
2020-04-20,115.3343,118.9254,114.3566,114.1274,7965530.0
2020-04-17,114.6351,115.6824,113.309,113.8525,4964018.0
2020-04-16,106.6684,107.3316,102.5544,109.6916,6438128.0
2020-04-15,112.091,113.0979,109.8703,112.4971,5632156.0
2020-04-14,117.8728,119.515,117.0708,117.4448,5087292.0
2020-04-13,114.3756,114.5355,110.9997,114.8288,5118777.0
2020-04-09,116.1355,118.4875,115.8366,115.1605,5576210.0
2020-04-08,115.9627,119.6018,114.7264,113.0658,5155987.0
2020-04-07,105.4031,106.0862,101.9162,108.9428,5592463.0
2020-04-06,113.2374,118.6556,113.0117,108.829,7026457.0
2020-04-03,98.404,99.443,94.7902,100.7915,4538113.0
2020-04-02,108.8418,113.9549,108.6042,104.2605,6327540.0
2020-04-01,98.511,101.8083,96.8068,99.6541,6111890.0
2020-03-31,104.1375,105.8205,102.436,105.142,6342167.0
2020-03-30,111.8305,117.3864,111.5408,107.0377,5562501.0
2020-03-27,101.8747,104.6143,101.0021,102.3933,6421470.0
2020-03-26,112.9848,119.5793,111.5686,106.9997,7153135.0
2020-03-25,100.679,107.3604,98.1496,100.3271,8646557.0
2020-03-24,105.4656,111.8469,104.6957,99.9764,7967768.0
2020-03-23,89.9866,92.9735,86.1436,89.8252,9718602.0
2020-03-20,85.4586,85.5179,80.2,90.4128,10543213.0
2020-03-19,93.2551,94.4945,89.5278,95.1046,8391294.0
2020-03-18,102.2345,109.9681,102.2242,98.1471,8751994.0
2020-03-17,107.1539,114.3855,103.4156,101.0853,8887501.0
2020-03-16,94.9452,104.0619,92.0388,93.9103,10564044.0
2020-03-13,101.6302,102.0791,94.2707,102.3175,12493419.0
2020-03-12,91.367,91.492,85.2259,97.4457,12485925.0
2020-03-11,109.0057,110.4199,104.835,111.8147,8446480.0
2020-03-10,120.1766,122.2321,113.3055,118.2599,11403865.0
2020-03-09,109.4792,111.5292,106.8552,111.663,10750357.0
2020-03-06,122.0496,123.6198,119.9496,121.0654,8192525.0
2020-03-05,121.8966,123.5686,119.9818,122.7905,5445193.0
2020-03-04,129.7693,132.4321,127.2248,127.2168,4994682.0
2020-03-03,117.105,118.5157,111.2881,122.1744,7893390.0
2020-03-02,130.7488,134.4387,127.9488,127.2926,8528971.0
2020-02-28,123.5205,124.5753,120.0804,123.3592,13009236.0
2020-02-27,122.368,123.6609,118.5964,126.1647,8404903.0
2020-02-26,129.5384,130.59,126.547,132.4583,5407690.0
2020-02-25,129.9155,130.4121,125.2602,134.316,6210878.0
2020-02-24,139.6672,142.1053,139.5425,138.7897,5447948.0
2020-02-21,140.8935,140.8935,138.8412,142.0218,3536740.0
2020-02-20,143.7195,144.4914,142.4806,143.3298,2880483.0
2020-02-19,142.347,142.6757,141.1916,142.9886,2732905.0
2020-02-18,144.4686,146.0021,144.3239,143.2161,3343038.0
2020-02-14,139.396,139.5224,135.1984,142.8369,6095081.0
2020-02-13,146.2017,146.6374,145.2925,146.2586,3819757.0
2020-02-12,148.7,150.4892,148.4776,147.2064,4437792.0
2020-02-11,143.9339,144.0267,141.7162,145.4719,3833574.0
2020-02-10,147.7693,149.1894,146.4266,146.3723,5237553.0
2020-02-07,144.333,145.2575,142.8107,145.4055,6414553.0
2020-02-06,146.9719,148.7807,145.6598,147.0281,8394374.0
2020-02-05,152.5988,159.9437,152.5378,146.6248,14379714.0
2020-02-04,141.1117,142.6395,140.2523,139.8531,5619700.0
2020-02-03,139.1105,142.0325,138.773,137.1894,8886414.0
2020-01-31,135.59,136.6812,133.588,134.8071,18987138.0
2020-01-30,128.2885,128.4855,126.6094,128.2791,5007038.0
2020-01-29,127.7687,128.1451,126.3273,129.142,3053189.0
2020-01-28,130.9335,131.8439,130.2295,130.8866,3449000.0
2020-01-27,130.1269,131.602,129.7511,130.0143,4165146.0
2020-01-24,129.2319,129.7096,126.5912,131.8339,5579292.0
2020-01-23,132.7645,132.9579,130.8771,134.0004,5654308.0
2020-01-22,135.4939,137.829,134.7659,134.9571,16464948.0
2020-01-21,131.8183,133.2913,131.6174,130.5301,7130819.0
2020-01-17,131.4052,133.1279,131.0395,129.7235,5622251.0
2020-01-16,130.036,130.8599,129.7425,129.414,4319896.0
2020-01-15,128.7226,130.6724,128.4481,128.1385,4045591.0
2020-01-14,126.9581,127.7593,126.2781,127.3881,3680958.0
2020-01-13,129.1788,130.2849,128.7879,128.1197,3162843.0
2020-01-10,127.914,128.7263,127.2698,128.2041,3255398.0
2020-01-09,129.1958,130.1952,128.7866,128.251,3730549.0
2020-01-08,127.6646,128.9459,127.1046,126.9098,4345952.0
2020-01-07,126.33,127.5301,126.056,125.8593,3267592.0
2020-01-06,126.4159,127.1929,126.2075,125.7749,2421128.0
2020-01-03,126.7264,127.9503,126.7169,126.0,2373470.0
2020-01-02,127.4081,128.2764,127.191,127.013,3148461.0
2019-12-31,127.151,128.6765,127.0263,125.7186,3777504.0
2019-12-30,122.363,122.4535,119.9193,124.565,4118929.0
2019-12-27,127.126,127.8323,127.0036,126.8723,2752185.0
2019-12-26,126.469,126.7782,126.1598,126.5346,2129654.0
2019-12-24,126.0121,126.0214,125.0829,126.6003,1202087.0
2019-12-23,126.9195,127.2654,126.1904,127.1349,2803158.0
2019-12-20,127.0319,127.6682,126.2925,127.1724,7111779.0
2019-12-19,126.3002,126.5538,126.0466,126.2063,3866494.0
2019-12-18,125.9345,126.3557,125.5601,126.0657,3101819.0
2019-12-17,125.8312,126.2154,125.0628,125.8874,2907186.0
2019-12-16,125.0479,125.5205,124.0378,125.803,3049224.0
2019-12-13,125.3736,126.0714,124.6851,125.8781,2534970.0
2019-12-12,128.457,130.3401,128.4186,126.9192,4824103.0
2019-12-11,125.1286,125.5018,124.7181,125.456,3698494.0
2019-12-10,125.5873,126.4501,125.2497,125.5967,3478362.0
2019-12-09,126.143,127.316,126.0578,125.6061,2968310.0
2019-12-06,125.3919,126.4687,125.3447,124.9495,3437438.0
2019-12-05,122.7161,122.9468,121.4612,123.7209,3595312.0
2019-12-04,122.9852,123.7443,122.1521,123.7959,3530028.0
2019-12-03,124.0305,124.4439,122.7996,123.9178,3708102.0
2019-12-02,123.2309,123.2768,121.4253,124.6588,3066813.0
2019-11-29,126.9055,127.7794,126.364,126.1032,1825255.0
2019-11-27,124.0008,124.3306,122.4158,125.4654,3280699.0
2019-11-26,125.717,125.717,124.4427,126.7034,3806859.0
2019-11-25,128.9514,130.4186,128.8363,127.5288,2590146.0
2019-11-22,126.1408,126.5733,125.5768,126.0,3297397.0
2019-11-21,125.9451,126.6721,125.5486,125.531,3322158.0
2019-11-20,124.1293,124.4997,122.9164,124.9308,4138165.0
2019-11-19,125.8321,126.2985,125.4402,126.1688,2995004.0
2019-11-18,125.9812,126.1501,124.9775,125.9719,3210383.0
2019-11-15,126.0657,126.7504,125.728,126.0563,3262504.0
2019-11-14,125.5593,125.7465,124.8104,125.6811,4231231.0
2019-11-13,125.2835,125.4594,123.8585,126.1313,3060919.0
2019-11-12,126.9103,127.6482,126.1164,127.1724,3046496.0
2019-11-11,125.4577,125.4577,123.446,127.0598,2568022.0
2019-11-08,129.0951,129.1233,127.7627,129.067,2278446.0
2019-11-07,128.9734,130.1615,128.7021,129.142,4073697.0
2019-11-06,129.3779,130.1091,128.956,128.6507,4476362.0
2019-11-05,127.9092,128.8002,127.7514,127.8257,3012926.0
2019-11-04,128.9613,130.3811,128.9518,127.6217,3333510.0
2019-11-01,126.6001,127.5978,126.2141,125.6379,3088769.0
2019-10-31,122.7031,122.8302,120.9957,123.9693,3410851.0
2019-10-30,126.7087,128.0815,126.1122,125.3784,2252680.0
2019-10-29,122.587,122.7228,120.7947,124.0527,4158483.0
2019-10-28,126.018,126.6018,125.5084,126.0458,3225692.0
2019-10-25,126.7902,128.5013,126.7713,125.5545,2577995.0
2019-10-24,123.5839,123.8039,122.1815,124.2845,2619190.0
2019-10-23,125.3742,126.3602,124.6042,124.5719,3626724.0
2019-10-22,125.5035,126.9238,124.6135,124.1825,4193653.0
