date,Open,High,Low,Close,Volume
2021-02-12,111.05,111.4499,110.2703,111.07,1681578.0
2021-02-11,110.3384,110.3384,108.2155,111.3,2274848.0
2021-02-10,109.7435,110.1782,106.7876,111.66,2500167.0
2021-02-09,113.1002,113.6387,112.7811,113.26,2091406.0
2021-02-08,112.4491,112.5473,111.1427,113.46,2511382.0
2021-02-05,113.3857,113.5336,110.1665,114.19,3430199.0
2021-02-04,112.2184,112.3336,109.4929,114.55,2856877.0
2021-02-03,113.9754,114.5715,112.666,115.3,2079797.0
2021-02-02,119.5439,123.2325,119.4286,116.78,2405312.0
2021-02-01,115.3114,117.7098,114.872,113.41,2557897.0
2021-01-29,109.1433,109.4368,106.8445,110.35,2791317.0
2021-01-28,115.5024,120.5627,114.7765,112.61,2859698.0
2021-01-27,106.8581,107.3356,104.041,109.35,2410840.0
2021-01-26,112.5701,113.0194,111.6913,112.65,1564905.0
2021-01-25,112.9925,114.1635,112.8108,112.46,2811222.0
2021-01-22,111.3133,111.7189,110.3736,111.92,1926252.0
2021-01-21,111.3229,111.527,109.661,112.92,1505205.0
2021-01-20,113.9251,113.9251,112.0109,114.69,2260343.0
2021-01-19,114.3227,114.7188,113.1046,114.88,2980389.0
2021-01-15,115.3703,115.9822,114.959,115.19,2586647.0
2021-01-14,113.8573,114.0609,111.4223,115.62,2626549.0
2021-01-13,118.0102,118.8126,117.9451,117.84,2394639.0
2021-01-12,117.263,117.8174,116.0455,117.86,2769975.0
2021-01-11,118.1219,119.7599,117.7993,117.65,1857329.0
2021-01-08,118.7812,120.4024,118.3743,117.63,2405572.0
2021-01-07,116.2718,117.2294,115.8082,115.81,2357842.0
2021-01-06,117.7131,120.5783,116.6373,115.74,2581624.0
2021-01-05,114.0826,114.9003,114.0321,113.54,2286373.0
2021-01-04,110.7583,111.0928,107.3849,113.3,2726506.0
2020-12-31,117.3771,119.616,117.1387,115.29,1474306.0
2020-12-30,112.8707,113.0598,112.3135,113.15,1080347.0
2020-12-29,111.6833,111.6833,110.4209,112.9,1427660.0
2020-12-28,113.62,113.7651,112.6895,113.59,1302260.0
2020-12-24,113.4248,114.4277,113.2728,112.69,511223.0
2020-12-23,110.7778,111.4505,109.3248,112.18,1185913.0
2020-12-22,113.7733,114.5416,113.3184,113.16,1924514.0
2020-12-21,112.9817,113.7931,111.3994,112.54,2256490.0
2020-12-18,113.0103,113.7025,112.2077,112.83,4366214.0
2020-12-17,113.5957,114.6303,113.1595,112.79,2640391.0
2020-12-16,111.34,112.3405,110.7597,111.31,2559465.0
2020-12-15,113.59,116.3347,113.1919,110.98,3565718.0
2020-12-14,105.7216,106.4461,104.002,107.4196,1984599.0
2020-12-11,108.5366,109.4443,107.8483,108.5266,1985289.0
2020-12-10,108.4096,109.0021,107.4616,108.9455,2193785.0
2020-12-09,110.2031,111.076,109.4105,109.873,2217349.0
2020-12-08,109.8132,110.2025,109.0046,109.7633,2451200.0
2020-12-07,111.0908,112.5458,110.9483,109.9827,2293603.0
2020-12-04,110.1456,112.0012,110.1456,108.9355,2376347.0
2020-12-03,108.2481,109.9259,107.6071,107.1703,4226363.0
2020-12-02,105.9942,106.3613,104.8136,106.2727,2627544.0
2020-12-01,107.827,109.0047,107.2483,106.8711,3684040.0
2020-11-30,105.7669,106.452,105.3437,105.2256,4146742.0
2020-11-27,105.5717,106.4842,105.3892,104.707,1593279.0
2020-11-25,104.1307,104.8152,103.1745,103.6498,1930242.0
2020-11-24,103.2529,104.6114,102.7398,102.7921,2366211.0
2020-11-23,102.949,104.6226,102.7157,102.084,2131460.0
2020-11-20,100.9574,101.858,100.9574,100.7876,3640020.0
2020-11-19,100.5284,101.2848,99.0553,100.628,2279002.0
2020-11-18,98.7748,99.5659,98.1221,99.1919,1954294.0
