date,Open,High,Low,Close,Volume
2021-02-12,202.453,205.1514,202.2785,199.87,353314.0
2021-02-11,196.0788,196.3632,192.9995,198.0,484763.0
2021-02-10,199.8211,201.1773,199.1279,199.36,344653.0
2021-02-09,196.5848,197.5255,194.0401,197.56,432553.0
2021-02-08,203.7488,210.2224,202.1041,198.43,870104.0
2021-02-05,194.1568,198.8538,194.1568,192.35,1101677.0
2021-02-04,183.4945,189.8248,176.0873,189.62,729889.0
2021-02-03,195.8659,197.7061,194.9661,194.79,480332.0
2021-02-02,196.1891,200.2166,195.0618,193.8,532477.0
2021-02-01,190.9421,194.6002,189.6415,189.42,306481.0
2021-01-29,184.3876,185.0937,181.6612,186.19,549800.0
2021-01-28,186.537,188.48,184.1644,188.78,378754.0
2021-01-27,185.892,187.4118,181.4688,188.33,421855.0
2021-01-26,191.4015,191.9204,187.2891,193.43,225207.0
2021-01-25,192.671,194.6904,189.913,194.13,480153.0
2021-01-22,197.9703,200.5474,196.5397,196.54,401428.0
2021-01-21,193.1103,194.8465,188.7698,195.53,408906.0
2021-01-20,201.9051,206.8407,201.7081,198.28,847182.0
2021-01-19,191.7153,193.405,189.8489,193.43,630397.0
2021-01-15,190.188,190.2361,185.4038,194.04,488880.0
2021-01-14,198.6719,200.9578,197.5388,199.28,400610.0
2021-01-13,199.1128,199.1128,194.809,202.92,290778.0
2021-01-12,206.8649,209.2168,204.7105,207.8379,317648.0
2021-01-11,211.2169,215.2367,211.2169,208.0573,326397.0
2021-01-08,205.5867,206.7742,202.0341,206.4114,250552.0
2021-01-07,213.9227,220.7463,213.9227,207.7282,379880.0
2021-01-06,206.3472,212.1948,205.2613,201.683,517038.0
2021-01-05,193.9236,196.1361,192.6239,194.4509,252711.0
2021-01-04,191.3711,191.708,186.6263,194.8299,339492.0
2020-12-31,201.0417,203.6506,200.1023,198.7104,290028.0
2020-12-30,196.5666,197.6585,196.0857,196.1467,210519.0
2020-12-29,193.5604,194.4275,190.2396,194.7501,179401.0
2020-12-28,193.8551,195.2084,191.9313,195.4285,132742.0
2020-12-24,197.7469,199.4311,195.7025,196.0769,152883.0
2020-12-23,192.807,194.1326,190.8038,194.3312,264964.0
2020-12-22,194.7471,195.4174,192.7065,195.9073,418177.0
2020-12-21,200.2251,202.81,196.8228,197.8425,369199.0
2020-12-18,198.6021,199.9963,196.3554,198.062,663742.0
2020-12-17,199.5619,202.6002,199.5619,197.3936,269533.0
2020-12-16,194.0754,194.4018,192.0776,194.9097,283971.0
2020-12-15,198.4637,202.3485,198.4637,195.9173,454761.0
2020-12-14,190.751,192.3428,189.2279,192.1964,416461.0
2020-12-11,194.3801,196.8427,193.5152,192.4558,304257.0
2020-12-10,189.2092,189.9208,186.2407,191.3984,329026.0
2020-12-09,194.1817,195.1064,192.1026,193.982,310474.0
2020-12-08,198.0104,204.167,198.0104,193.603,350503.0
2020-12-07,188.6719,188.7307,186.1853,190.4507,192561.0
2020-12-04,193.5915,195.3152,193.3792,192.3062,285715.0
2020-12-03,190.1121,191.9337,189.2213,189.7923,275112.0
2020-12-02,185.1807,186.2962,180.8139,189.4133,532060.0
2020-12-01,193.7963,196.5301,192.5703,194.6604,552706.0
2020-11-30,194.508,196.4599,192.9628,192.6752,437788.0
2020-11-27,191.4493,192.0792,189.6619,191.8872,95667.0
2020-11-25,188.1461,188.1461,183.4226,191.1989,514415.0
2020-11-24,193.8624,195.1572,191.8405,194.0119,486606.0
2020-11-23,191.3021,191.9299,189.1046,192.9047,407293.0
2020-11-20,191.5674,191.5674,188.2136,193.4932,407901.0
2020-11-19,194.7636,195.4659,192.0632,195.5881,274370.0
2020-11-18,197.8061,200.6933,196.3273,196.9746,477795.0
2020-11-17,197.4865,198.9344,195.1789,196.7053,360356.0
2020-11-16,198.435,200.332,196.3959,196.7751,371892.0
2020-11-13,195.1092,198.2693,193.7183,192.6952,373803.0
2020-11-12,187.0908,187.5489,183.3498,188.5753,422251.0
2020-11-11,186.3174,186.3174,180.981,190.9694,438319.0
2020-11-10,202.7627,211.9714,201.1206,195.4783,702866.0
2020-11-09,183.8536,188.8299,180.2222,187.3484,717070.0
2020-11-06,188.3433,194.8192,187.5046,182.5701,437050.0
2020-11-05,175.6141,177.7958,173.1293,177.333,504613.0
2020-11-04,171.5109,171.5109,166.6485,176.4652,319947.0
2020-11-03,179.4097,182.6611,177.2686,179.9765,505216.0
2020-11-02,184.2897,190.5439,183.7357,178.3206,648877.0
2020-10-30,171.197,172.4518,168.5051,169.9712,682962.0
2020-10-29,164.4175,165.3694,159.6581,168.3153,1167115.0
2020-10-28,168.2746,171.5727,164.2236,172.1458,1124967.0
2020-10-27,182.2409,182.9483,178.9497,185.5428,527270.0
2020-10-26,189.533,189.8619,186.224,189.6128,299062.0
2020-10-23,192.3333,193.6915,190.8791,191.159,298204.0
2020-10-22,186.7875,188.1866,184.9089,188.6053,287720.0
2020-10-21,189.2961,191.7224,188.5434,189.9819,303776.0
2020-10-20,190.6904,194.2698,190.6404,190.4707,372308.0
2020-10-19,185.7301,186.1528,181.0331,189.2736,329568.0
2020-10-16,194.466,197.1196,194.466,192.2563,1249854.0
2020-10-15,192.1535,195.355,190.8873,189.1539,411757.0
2020-10-14,190.7286,195.0243,190.3784,187.6875,408798.0
2020-10-13,183.2132,184.0891,179.8851,185.25,321009.0
2020-10-12,186.6559,186.6559,180.9611,188.2148,497286.0
2020-10-09,189.3789,190.2638,187.8278,189.4386,258426.0
2020-10-08,189.0107,189.9447,188.1006,189.0306,333467.0
2020-10-07,191.7833,195.595,191.6696,188.2148,343965.0
2020-10-06,183.7018,187.6678,182.6677,182.8623,277662.0
2020-10-05,183.2391,185.3373,183.2391,181.9768,166030.0
2020-10-02,182.4499,187.8039,182.145,179.0021,228719.0
2020-10-01,171.455,172.4888,164.9614,177.2113,351680.0
2020-09-30,181.0229,181.9534,178.5184,181.4794,494716.0
2020-09-29,181.8936,183.8919,181.8936,180.8227,204193.0
2020-09-28,180.8437,183.4434,180.8038,180.3949,214284.0
2020-09-25,180.3326,183.4226,179.4046,178.1166,342064.0
2020-09-24,177.6526,180.5238,176.2722,176.8531,251549.0
2020-09-23,172.0899,173.4943,168.5357,175.6095,275296.0
2020-09-22,180.7025,182.4433,179.1585,179.4199,395272.0
2020-09-21,172.2011,172.7546,165.569,177.3406,498975.0
2020-09-18,184.9715,186.303,183.6997,185.0908,572452.0
2020-09-17,186.7801,189.6628,184.5828,185.5684,383709.0
2020-09-16,184.7557,185.6635,183.2359,185.5087,357877.0
2020-09-15,187.2815,189.7522,187.2815,185.26,304263.0
2020-09-14,185.4576,188.3442,185.0496,183.1607,360705.0
2020-09-11,182.9536,186.1944,182.5228,180.196,356430.0
2020-09-10,174.081,174.7294,171.6322,176.4949,353731.0
2020-09-09,181.2649,185.6017,180.2216,178.7732,282807.0
2020-09-08,174.2704,176.32,171.4326,175.112,368727.0
2020-09-04,171.7814,172.2327,166.3099,176.7138,440459.0
2020-09-03,175.0241,175.0241,169.7965,179.2309,328785.0
2020-09-02,184.978,187.7664,184.5217,183.2304,319120.0
2020-09-01,183.7036,186.7832,182.9465,181.1511,234189.0
2020-08-31,178.854,178.854,177.1515,179.3105,361799.0
2020-08-28,182.1421,184.3535,181.0211,179.9671,284692.0
2020-08-27,175.9674,176.5714,174.0677,177.8281,335459.0
2020-08-26,179.5505,180.6106,178.4004,179.0817,280883.0
2020-08-25,177.5972,177.7789,175.8399,178.7832,480560.0
2020-08-24,181.2443,183.3806,181.0925,179.6687,337735.0
2020-08-21,180.4293,183.7028,179.8769,177.9375,637142.0
2020-08-20,177.1798,179.0278,176.2558,175.3806,370380.0
2020-08-19,173.4819,173.8252,171.6807,174.8931,300931.0
2020-08-18,177.4177,179.8231,177.4177,175.6592,377192.0
2020-08-17,172.1953,172.6437,169.7682,173.9679,295460.0
2020-08-14,178.7113,182.063,178.3206,175.7985,429288.0
2020-08-13,172.9885,172.9885,170.8144,173.9679,276703.0
2020-08-12,177.8558,180.3022,176.8915,176.0771,407245.0
2020-08-11,175.1655,179.1983,174.5952,173.1322,499368.0
2020-08-10,174.4009,178.6039,174.4009,170.3365,460978.0
2020-08-07,167.5654,168.4703,166.6052,166.6852,365689.0
2020-08-06,166.1194,166.6703,164.6289,165.6704,201319.0
2020-08-05,165.4916,166.8876,165.352,165.3023,332381.0
2020-08-04,163.8208,164.4051,162.7217,164.2079,225532.0
2020-08-03,166.151,168.1496,165.9303,165.4416,350847.0
2020-07-31,164.4981,165.3191,162.9763,163.9791,302863.0
2020-07-30,163.4227,164.1261,161.1091,163.7602,332661.0
2020-07-29,165.9692,167.3807,165.4954,165.75,266680.0
2020-07-28,160.8025,161.0876,157.125,164.5363,282507.0
2020-07-27,169.7159,172.2232,168.2759,168.6949,503283.0
2020-07-24,164.1998,164.1998,159.0909,166.8146,622187.0
2020-07-23,170.6271,172.6707,169.9458,170.038,511197.0
2020-07-22,167.674,169.2261,166.8167,168.4761,467128.0
2020-07-21,169.9712,172.3985,169.5198,169.2819,417154.0
2020-07-20,167.8993,168.9412,165.8452,168.1179,342999.0
2020-07-17,168.5955,169.2414,167.0852,168.7049,327158.0
2020-07-16,168.2999,169.6943,167.5374,167.6005,332938.0
2020-07-15,171.1199,175.431,170.0578,167.2623,599960.0
2020-07-14,165.2452,169.6183,165.1932,161.4792,373124.0
2020-07-13,159.6077,163.2042,159.6077,158.1562,345607.0
2020-07-10,155.3793,155.8339,153.9761,155.6763,252301.0
2020-07-09,156.1727,157.6156,154.4014,155.9243,315099.0
2020-07-08,155.9464,156.6257,154.2532,156.5393,180046.0
2020-07-07,156.4917,158.1857,155.2311,157.0551,229392.0
2020-07-06,158.4247,158.7606,156.34,158.7414,350236.0
2020-07-02,157.0563,159.6,156.4878,156.6187,347155.0
2020-07-01,152.231,152.4426,149.374,154.5852,264066.0
2020-06-30,161.0265,166.4373,160.5764,156.7675,411052.0
2020-06-29,151.7219,151.9264,149.434,153.1469,412019.0
2020-06-26,156.7138,160.828,156.6104,153.5139,1808621.0
2020-06-25,154.5077,158.2483,151.5464,150.9646,559282.0
2020-06-24,143.6513,143.6513,139.5244,147.5622,426096.0
2020-06-23,152.3565,153.2804,151.5506,153.0576,447508.0
2020-06-22,153.8894,156.749,152.7436,152.2045,392884.0
2020-06-19,149.097,149.097,144.8597,152.0061,552697.0
2020-06-18,151.1074,152.3151,149.5658,151.8772,308125.0
2020-06-17,152.3609,153.0651,150.7763,153.4345,322018.0
2020-06-16,151.5132,152.7559,147.3128,153.742,353638.0
2020-06-15,155.002,159.9451,154.1608,151.4903,456068.0
