date,Open,High,Low,Close,Volume
2021-02-12,131.2597,133.7427,127.4155,134.06,3069235.0
2021-02-11,137.9501,142.6705,136.0375,136.77,5211950.0
2021-02-10,143.4308,158.4074,143.4196,135.57,7974120.0
2021-02-09,128.2809,129.4569,126.4715,127.95,3621900.0
2021-02-08,126.633,127.5738,124.1077,127.25,7803350.0
2021-02-05,127.5418,129.3896,126.8869,127.06,8794019.0
2021-02-04,121.1288,127.1292,115.5836,126.94,16109870.0
2021-02-03,131.6677,135.8613,131.4569,128.27,15738911.0
2021-02-02,119.1285,122.2917,114.0709,124.23,30091738.0
2021-02-01,137.7156,149.1673,131.009,130.15,30551289.0
2021-01-29,111.2123,112.7988,108.5485,112.38,19974834.0
2021-01-28,118.1214,122.0658,116.898,115.02,11222471.0
2021-01-27,110.1753,112.6311,108.0351,110.94,11438833.0
2021-01-26,110.1778,110.581,106.1551,113.78,9340774.0
2021-01-25,115.7727,115.9411,113.564,116.33,10666261.0
2021-01-22,116.292,116.8063,114.9509,115.81,7202453.0
2021-01-21,113.6391,114.45,110.8079,116.0,7638711.0
2021-01-20,119.1178,119.9148,116.8742,120.08,4251122.0
2021-01-19,121.9616,123.6563,120.3181,120.34,4805327.0
2021-01-15,115.8018,115.8018,112.4149,117.72,4942037.0
2021-01-14,119.2342,119.7382,117.4553,119.94,5980290.0
2021-01-13,118.5161,119.0107,113.3798,121.52,5635007.0
2021-01-12,125.6907,126.5467,123.0329,125.98,7996296.0
2021-01-11,127.4242,134.398,126.9639,122.45,6187467.0
2021-01-08,118.4327,119.8491,116.6696,119.0,2861891.0
2021-01-07,123.0794,127.7818,122.3262,118.65,7707855.0
2021-01-06,115.8333,120.4106,115.4229,112.92,5611744.0
2021-01-05,110.5283,113.9433,109.6902,107.99,5606119.0
2021-01-04,100.7924,101.05,95.6309,105.08,5097918.0
2020-12-31,107.6922,107.7412,105.4894,108.84,3795426.0
2020-12-30,111.5508,112.2393,111.1085,111.26,1876263.0
2020-12-29,112.6119,114.4324,112.5502,111.04,1902818.0
2020-12-28,107.9258,108.1991,106.2466,109.23,1056847.0
2020-12-24,110.08,110.1899,109.2997,110.06,626896.0
2020-12-23,105.9934,106.3406,102.2522,109.7621,1539774.0
2020-12-22,114.3005,115.5946,113.8724,114.1613,2102791.0
2020-12-21,114.7815,116.4189,113.9385,113.496,2067142.0
2020-12-18,114.417,116.0116,112.5802,113.496,3918994.0
2020-12-17,113.5406,114.8388,113.1582,112.7909,1031781.0
2020-12-16,111.7897,112.8508,110.7086,111.341,1150790.0
2020-12-15,111.6795,113.8739,111.1284,110.1593,1671465.0
2020-12-14,105.3381,105.5721,102.0615,108.491,1141213.0
2020-12-11,109.3136,109.7138,106.8933,110.2685,1482413.0
2020-12-10,109.8276,109.933,107.2788,111.8078,1085213.0
2020-12-09,113.8169,114.5244,112.0346,114.4195,1165407.0
