date,Open,High,Low,Close,Volume
2008-11-21,17.3407,17.4724,17.3002,17.23,0.0
2008-11-20,17.3407,17.4724,17.3002,17.23,0.0
2008-11-19,17.3407,17.4724,17.3002,17.23,0.0
2008-11-18,17.3407,17.4724,17.3002,17.23,0.0
2008-11-17,17.3407,17.4724,17.3002,17.23,0.0
2008-11-14,17.3407,17.4724,17.3002,17.23,0.0
2008-11-13,17.3407,17.4724,17.3002,17.23,0.0
2008-11-12,17.3407,17.4724,17.3002,17.23,0.0
2008-11-11,17.3407,17.4724,17.3002,17.23,0.0
2008-11-10,17.3407,17.4724,17.3002,17.23,0.0
2008-11-07,17.3407,17.4724,17.3002,17.23,0.0
2008-11-06,17.3407,17.4724,17.3002,17.23,0.0
2008-11-05,17.3407,17.4724,17.3002,17.23,0.0
2008-11-04,17.3407,17.4724,17.3002,17.23,0.0
2008-11-03,17.3407,17.4724,17.3002,17.23,0.0
2008-10-31,17.3407,17.4724,17.3002,17.23,5514800.0
2008-10-30,17.14,17.1701,17.11,17.12,844800.0
2008-10-29,17.1104,17.282,17.0296,17.03,924500.0
2008-10-28,16.88,16.9399,16.7104,16.9,1373900.0
2008-10-27,16.83,16.8799,16.6402,16.84,702300.0
2008-10-24,16.4915,16.6877,16.3346,16.65,1349500.0
2008-10-23,17.1304,17.2515,17.0597,17.05,982900.0
2008-10-22,16.8801,16.9996,16.8502,16.91,562900.0
2008-10-21,17.1829,17.4703,17.1829,16.96,543000.0
2008-10-20,17.1832,17.4195,17.1729,16.95,392500.0
2008-10-17,16.9538,17.366,16.9538,16.7,815200.0
2008-10-16,16.9944,17.2734,16.8911,16.72,1163400.0
2008-10-15,16.1344,16.2602,15.8634,16.4,1023800.0
2008-10-14,16.8903,17.0516,16.7995,16.82,647700.0
2008-10-13,16.4426,16.4426,16.0525,16.65,758900.0
2008-10-10,16.2001,16.419,15.6727,16.24,1705000.0
2008-10-09,16.2809,16.3597,16.133,16.4,875300.0
2008-10-08,16.5716,16.8775,16.5716,16.41,831500.0
2008-10-07,16.0932,16.3266,15.8209,16.32,719400.0
2008-10-06,16.1473,16.2432,15.735,16.49,1022100.0
2008-10-03,16.7608,16.82,16.6425,16.88,1229300.0
2008-10-02,16.8103,16.85,16.7309,16.88,584100.0
2008-10-01,16.8502,16.8999,16.7509,16.91,382600.0
2008-09-30,17.0702,17.181,16.899,17.01,732000.0
2008-09-29,16.9701,16.9701,16.7907,17.0,853300.0
2008-09-26,17.0401,17.1205,17.0401,17.0,554900.0
2008-09-25,17.02,17.0801,17.02,17.01,622300.0
2008-09-24,16.98,17.01,16.8603,17.0,1117800.0
2008-09-23,16.9701,17.0,16.9203,17.01,925600.0
2008-09-22,17.0101,17.02,16.9403,17.04,748600.0
2008-09-19,16.7355,16.7355,16.3594,17.04,1323900.0
2008-09-18,17.4757,17.7972,17.206,17.16,1134200.0
2008-09-17,16.4707,16.6484,16.1155,16.58,1479400.0
2008-09-16,16.9601,17.0796,16.8305,16.99,1128000.0
2008-09-15,17.14,17.4593,17.1001,17.16,372800.0
2008-09-12,17.7446,18.0751,17.7136,17.46,464700.0
2008-09-11,17.6764,18.0297,17.666,17.34,990800.0
2008-09-10,16.9707,17.0003,16.793,17.08,705500.0
2008-09-09,16.9704,17.0595,16.8911,17.05,576000.0
2008-09-08,16.8342,16.8439,16.5531,17.1,568300.0
2008-09-05,17.19,17.3203,17.19,17.17,648400.0
2008-09-04,17.15,17.1999,17.14,17.16,625000.0
2008-09-03,17.1103,17.1996,17.0111,17.18,528000.0
2008-09-02,17.4311,17.6344,17.4311,17.29,1493600.0
2008-08-29,17.3501,17.4506,17.2898,17.31,689600.0
2008-08-28,17.768,18.1647,17.7576,17.39,2030700.0
2008-08-27,17.04,17.2405,16.9899,17.02,4785200.0
2008-08-26,15.7935,16.0716,15.7213,15.56,171600.0
2008-08-25,15.074,15.1321,14.6771,15.32,216600.0
2008-08-22,15.8334,16.194,15.648,15.6,152200.0
2008-08-21,15.0913,15.2582,14.8753,15.23,185800.0
2008-08-20,15.6005,16.0276,15.5293,15.4494,339700.0
2008-08-19,14.9373,15.0043,14.612,15.2499,270600.0
2008-08-18,15.9681,16.378,15.6481,15.9481,369900.0
2008-08-15,15.6,16.2078,15.5898,15.4793,306500.0
2008-08-14,15.4908,15.6434,15.4196,15.3397,193600.0
2008-08-13,15.3397,15.4294,15.2401,15.3497,482800.0
2008-08-12,15.2998,15.3894,15.1506,15.3198,374600.0
2008-08-11,15.5618,15.8382,15.4594,15.3597,336400.0
2008-08-08,15.3017,15.6588,15.1283,15.1303,361500.0
2008-08-07,15.4987,16.0668,15.4987,14.9507,405000.0
2008-08-06,14.8139,15.1214,14.5678,14.6116,274600.0
2008-08-05,14.7909,15.2846,14.6123,14.4121,423800.0
2008-08-04,13.6835,13.6835,13.2574,14.0431,300700.0
2008-08-01,14.4723,14.7644,14.3011,14.4022,353200.0
2008-07-31,14.3428,14.5849,14.2117,14.2625,318700.0
2008-07-30,14.3423,14.462,14.1429,14.3423,332700.0
2008-07-29,15.1872,16.272,15.1761,14.3423,381400.0
2008-07-28,14.0754,14.9085,14.0754,13.5145,452100.0
2008-07-25,12.7106,12.7106,12.4025,12.936,295800.0
2008-07-24,12.8963,13.4282,12.7557,12.8562,368300.0
2008-07-23,12.9179,13.0915,12.7238,12.7665,329300.0
2008-07-22,12.8281,13.0017,12.6647,12.6767,408400.0
2008-07-21,12.5072,12.6164,12.2293,12.5371,190500.0
2008-07-18,12.5879,12.7909,12.4052,12.4772,237400.0
2008-07-17,12.5392,12.7951,12.3037,12.3775,371600.0
2008-07-16,12.8827,13.628,12.8382,12.198,308800.0
2008-07-15,11.1693,11.6131,10.8483,11.4798,699600.0
2008-07-14,10.8931,11.0001,10.5625,11.031,227300.0
2008-07-11,11.2534,11.5935,11.1607,11.0709,252200.0
2008-07-10,11.2232,11.5215,11.182,11.051,319400.0
2008-07-09,10.6269,10.7034,10.3686,10.8515,214800.0
2008-07-08,11.081,11.1405,10.6849,11.1208,328500.0
2008-07-07,11.1912,11.4442,11.1001,11.1108,169100.0
2008-07-03,10.9513,11.182,10.9112,10.9213,133600.0
