date,Open,High,Low,Close,Volume
2021-02-12,257.4923,266.1959,257.4923,252.89,279847.0
2021-02-11,253.7641,258.7773,252.6593,249.73,167978.0
2021-02-10,243.4431,246.4814,240.8815,244.31,114022.0
2021-02-09,244.7944,248.5923,242.3876,242.92,111183.0
2021-02-08,245.442,250.593,244.7591,243.12,158259.0
2021-02-05,242.4362,248.0709,242.033,238.43,172760.0
2021-02-04,240.1639,245.7549,238.9807,234.71,130116.0
2021-02-03,221.7405,222.6183,215.2185,228.24,202219.0
2021-02-02,233.54,234.7793,227.4537,233.61,230404.0
2021-02-01,237.0975,244.444,236.2519,230.61,220671.0
2021-01-29,218.549,218.549,210.7416,223.43,400909.0
2021-01-28,224.1263,224.1263,217.3335,227.68,307320.0
2021-01-27,232.342,237.0686,224.6734,230.08,423960.0
2021-01-26,225.4228,225.4228,217.3485,232.51,303329.0
2021-01-25,228.7969,229.8158,215.6968,239.88,386877.0
2021-01-22,250.6704,252.5256,248.925,251.0,358081.0
2021-01-21,247.3515,249.7245,241.5731,251.84,279120.0
2021-01-20,244.2531,244.9389,235.7338,251.12,292776.0
2021-01-19,266.7396,279.3824,266.6917,258.58,381665.0
2021-01-15,243.2021,244.2857,238.828,243.92,199006.0
2021-01-14,250.1028,257.4229,248.869,246.14,181127.0
2021-01-13,232.8419,234.0229,224.7902,240.5,283870.0
2021-01-12,248.6342,254.084,247.2932,247.61,254466.0
2021-01-11,252.6837,260.9779,252.5407,245.51,258297.0
2021-01-08,248.2209,260.4202,248.2103,241.52,270719.0
2021-01-07,244.0518,253.4951,243.0611,235.19,238109.0
2021-01-06,229.0759,237.1633,227.5334,224.39,338061.0
2021-01-05,222.2648,225.5076,220.7705,220.45,166496.0
2021-01-04,212.6551,215.9697,206.0829,218.21,277936.0
2020-12-31,224.3816,225.1154,221.7175,223.79,197528.0
2020-12-30,225.1634,228.862,224.6948,224.29,120223.0
2020-12-29,216.2113,216.2113,210.0393,221.54,142116.0
2020-12-28,229.2053,234.3606,228.1992,225.05,163164.0
2020-12-24,220.5209,221.5368,218.3,220.97,40125.0
2020-12-23,222.9602,227.9189,222.9038,220.16,182854.0
2020-12-22,220.5038,223.7448,215.7743,218.76,332408.0
2020-12-21,218.2163,221.9913,216.5272,216.33,175037.0
2020-12-18,216.6202,218.9659,214.4342,216.82,457063.0
2020-12-17,220.0826,223.6307,217.7172,217.02,299000.0
2020-12-16,213.2016,213.301,210.2029,213.78,282840.0
2020-12-15,217.6234,222.1257,215.6102,213.91,246321.0
2020-12-14,207.8279,209.8282,205.9413,209.11,163432.0
2020-12-11,212.9211,216.9573,212.4127,209.03,158380.0
2020-12-10,207.0301,209.6428,206.2592,206.92,193376.0
2020-12-09,199.824,201.1269,190.3059,207.87,315804.0
2020-12-08,217.3735,220.462,216.8351,215.66,161587.0
2020-12-07,217.4036,220.8717,216.8359,213.99,174833.0
2020-12-04,217.1593,222.7482,217.1593,212.07,136582.0
2020-12-03,206.96,209.9797,206.76,206.97,108875.0
2020-12-02,209.465,211.4383,207.9596,207.69,168930.0
2020-12-01,207.242,208.534,204.4691,207.88,278658.0
2020-11-30,211.4429,215.9812,209.2103,207.01,571912.0
2020-11-27,204.0413,206.0114,202.3829,203.52,88108.0
2020-11-25,199.8391,200.4737,196.5001,202.25,156352.0
2020-11-24,206.0577,210.6435,203.7563,204.8,162544.0
2020-11-23,204.1161,206.3505,202.3064,203.0,150325.0
2020-11-20,200.9202,204.7574,199.3572,200.73,148750.0
2020-11-19,203.5828,206.3116,202.8903,201.0,158382.0
2020-11-18,196.1431,196.9456,193.2364,198.27,219653.0
2020-11-17,198.3943,200.2024,196.6804,199.32,315238.0
2020-11-16,198.015,198.2673,193.6088,201.0,349993.0
2020-11-13,197.03,198.6779,191.7355,201.0,391241.0
2020-11-12,197.0335,199.4048,189.526,203.52,263131.0
2020-11-11,211.2914,217.7966,210.9869,209.74,446234.0
2020-11-10,209.3688,215.6074,209.1529,206.52,306039.0
2020-11-09,205.1431,215.0304,204.2562,204.34,393824.0
2020-11-06,199.784,202.0038,198.1393,198.89,379429.0
2020-11-05,197.7101,201.2559,195.6768,197.55,469451.0
2020-11-04,189.5103,189.6058,183.8249,193.87,307807.0
2020-11-03,196.4512,204.0148,196.441,194.97,302918.0
2020-11-02,191.8677,194.2782,189.4674,190.65,231125.0
2020-10-30,192.1173,201.4671,185.1479,185.96,472387.0
2020-10-29,187.5614,189.4416,184.4444,187.05,479611.0
2020-10-28,174.0931,176.1301,163.22,185.39,384034.0
2020-10-27,207.7087,214.6379,207.7087,201.79,222689.0
2020-10-26,193.1154,193.6041,188.4529,195.33,191609.0
2020-10-23,202.8553,207.7434,200.9555,200.18,335358.0
2020-10-22,204.1505,212.9033,204.1505,198.08,297985.0
2020-10-21,191.0125,194.0009,189.1559,191.7,272313.0
2020-10-20,196.5319,201.6487,193.8328,192.52,415048.0
2020-10-19,189.034,192.5681,187.0203,186.5,416426.0
2020-10-16,180.3583,181.0263,175.2276,183.31,173493.0
2020-10-15,191.5209,198.9662,189.8345,185.97,312606.0
2020-10-14,179.9707,181.86,176.4466,181.9,132163.0
2020-10-13,185.4132,188.9825,184.5487,183.85,221042.0
2020-10-12,180.8166,182.348,179.1567,181.91,225399.0
2020-10-09,181.1801,182.9731,180.3588,181.03,130695.0
2020-10-08,182.8912,186.0977,181.919,179.83,116014.0
2020-10-07,176.6703,178.2669,175.7079,176.45,175226.0
2020-10-06,174.7232,178.9446,173.5027,173.97,122868.0
2020-10-05,177.0466,180.9345,177.0466,173.88,145410.0
2020-10-02,168.83,170.73,167.88,168.83,147260.0
2020-10-01,174.3708,179.7856,174.1168,173.0,204724.0
2020-09-30,171.341,174.6334,169.2883,169.97,166620.0
2020-09-29,168.7112,170.2444,167.2383,168.26,104729.0
2020-09-28,166.513,166.513,164.163,167.22,123866.0
2020-09-25,166.7385,168.7406,164.328,164.98,169124.0
2020-09-24,167.3714,172.5821,166.9311,163.46,203455.0
2020-09-23,158.9188,163.2837,156.6427,160.1,220873.0
2020-09-22,165.6589,169.301,164.5961,162.28,146447.0
2020-09-21,152.3167,152.8199,145.9523,157.79,294408.0
2020-09-18,165.999,167.7235,163.7522,167.22,356268.0
2020-09-17,172.8342,177.1849,172.8342,168.8,162017.0
2020-09-16,169.3052,172.3285,169.3052,168.37,270803.0
2020-09-15,167.3275,169.243,166.9322,166.21,166775.0
2020-09-14,164.4857,166.8618,163.4608,162.88,205021.0
2020-09-11,157.9521,161.3969,156.3439,158.53,234809.0
2020-09-10,152.0916,153.2128,144.8722,159.3,241647.0
2020-09-09,166.0379,168.7554,163.2495,164.89,334877.0
2020-09-08,162.8101,166.9722,160.0286,161.0,324041.0
2020-09-04,162.9405,165.4093,159.5686,162.65,308982.0
2020-09-03,160.1385,160.283,154.4963,163.2,497343.0
2020-09-02,175.33,182.7293,174.2033,168.45,331630.0
2020-09-01,160.2719,161.3296,157.5009,160.82,245021.0
2020-08-31,162.7767,164.3469,161.7637,161.73,304220.0
2020-08-28,163.2285,167.7338,161.1796,159.65,247098.0
2020-08-27,154.5537,155.544,152.583,155.31,312498.0
2020-08-26,160.1354,164.1895,158.9338,156.66,271226.0
2020-08-25,153.6373,155.6245,153.1709,152.58,237460.0
2020-08-24,152.5543,155.9505,152.1804,151.74,232540.0
2020-08-21,150.51,152.1485,149.3711,150.58,209734.0
2020-08-20,147.2587,147.5318,143.5411,150.44,377449.0
2020-08-19,152.5585,153.5858,150.1176,154.24,245944.0
2020-08-18,149.6813,149.6813,144.2368,154.89,362113.0
2020-08-17,164.1465,167.7326,164.1465,161.7,178042.0
2020-08-14,156.617,157.812,154.2663,158.25,214302.0
2020-08-13,159.5712,161.1724,157.7313,160.01,263318.0
2020-08-12,161.1209,162.7986,159.7546,160.75,364604.0
2020-08-11,160.3524,165.1745,159.2583,158.94,558682.0
2020-08-10,153.8907,155.6886,148.9275,158.2,474682.0
2020-08-07,161.99,161.99,158.7214,163.26,392873.0
2020-08-06,163.1416,163.1612,159.8675,165.02,474938.0
2020-08-05,162.3547,164.3948,156.6803,166.67,366382.0
2020-08-04,158.0272,158.0272,143.0794,167.66,879232.0
2020-08-03,179.412,182.2232,177.7729,180.01,497878.0
2020-07-31,176.2822,176.544,171.705,179.01,529845.0
