date,Open,High,Low,Close,Volume
2021-02-12,149.2863,151.3124,148.6379,148.32,487613.0
2021-02-11,147.0405,147.0605,145.1278,147.32,762384.0
2021-02-10,145.4118,145.4118,142.5829,146.72,722939.0
2021-02-09,149.8143,151.4766,148.9005,148.35,556663.0
2021-02-08,146.8345,148.1288,145.6413,146.02,397118.0
2021-02-05,146.3088,148.2629,145.6234,144.65,583777.0
2021-02-04,144.6355,147.3199,143.1016,142.07,754546.0
2021-02-03,136.8864,137.1194,133.8131,138.7765,400045.0
2021-02-02,142.1637,144.6939,140.3505,140.3234,528056.0
2021-02-01,137.6359,138.6891,135.0436,136.6407,564971.0
2021-01-29,131.5631,131.5631,128.1691,134.3951,677692.0
2021-01-28,136.811,139.9687,135.7886,136.511,503099.0
2021-01-27,129.9484,130.775,124.4194,135.463,846582.0
2021-01-26,143.7951,147.4853,143.7951,143.1778,641630.0
2021-01-25,146.942,148.4642,144.4403,146.4514,594887.0
2021-01-22,144.9993,145.2634,142.9722,145.8525,617062.0
2021-01-21,144.0663,144.4881,140.3092,147.0103,871724.0
2021-01-20,157.218,165.9334,155.3472,149.7249,2103094.0
2021-01-19,142.4537,144.4817,136.4252,148.2279,1251921.0
2021-01-15,151.222,151.8109,148.1077,151.212,689816.0
2021-01-14,152.9395,155.7309,152.3456,151.6511,632228.0
2021-01-13,147.8367,148.3088,145.4222,148.9265,726150.0
2021-01-12,149.5396,151.1638,148.3996,148.7369,643506.0
2021-01-11,146.9262,147.8527,145.5217,147.8486,456794.0
2021-01-08,149.2661,152.8191,148.4905,149.0562,675182.0
2021-01-07,149.0312,152.2315,147.5976,148.178,880757.0
2021-01-06,151.7392,157.1839,150.6067,147.0003,928723.0
2021-01-05,140.7756,144.7234,139.9736,137.7984,678815.0
2021-01-04,133.2017,134.7368,131.0017,134.5748,834012.0
2020-12-31,137.6301,139.0327,137.2439,136.3812,360958.0
2020-12-30,134.7061,135.5684,133.7546,135.1736,395000.0
2020-12-29,134.4493,135.2022,132.6403,135.8323,491079.0
2020-12-28,134.4844,134.8333,132.2262,136.471,490513.0
