date,Open,High,Low,Close,Volume
2021-02-12,44.8002,45.3323,44.509,44.71,506838.0
2021-02-11,45.4276,46.3616,45.171,44.84,937944.0
2021-02-10,43.3359,43.4998,42.5114,44.0913,867803.0
2021-02-09,43.9945,44.062,43.0973,44.7502,614793.0
2021-02-08,46.7593,47.824,46.5506,45.7284,631210.0
2021-02-05,44.0853,44.3106,43.4387,44.5006,812113.0
2021-02-04,45.3399,46.5802,44.8187,44.3708,774861.0
2021-02-03,42.7863,43.1794,42.4031,43.1231,699840.0
2021-02-02,43.603,43.9555,42.8981,43.4125,650016.0
2021-02-01,43.2456,44.2066,42.7289,42.5042,742240.0
2021-01-29,40.3502,40.8458,38.9493,41.2963,1195437.0
2021-01-28,42.6169,43.5811,42.0384,42.2646,1166498.0
2021-01-27,40.925,41.1972,40.0317,41.496,1361168.0
2021-01-26,41.6744,41.7214,40.3676,42.9434,785755.0
2021-01-25,42.9411,42.9601,41.0139,44.0314,814066.0
2021-01-22,45.2596,45.7112,45.1291,45.1395,514510.0
2021-01-21,45.439,45.8172,44.9763,45.5088,841673.0
2021-01-20,45.4389,45.8184,45.1443,45.4289,730529.0
2021-01-19,45.3106,45.8354,44.9238,45.0596,1232626.0
2021-01-15,43.9199,44.017,42.9581,44.5206,690816.0
2021-01-14,45.9445,47.2122,45.9445,45.399,891597.0
2021-01-13,43.8902,43.9388,43.2493,44.5006,713636.0
2021-01-12,44.7502,45.698,44.6953,44.7601,1270920.0
2021-01-11,45.3944,46.6064,45.2431,44.5605,845453.0
2021-01-08,43.8482,43.9359,42.7374,44.3808,674178.0
2021-01-07,45.6534,46.5541,45.5706,44.83,1070503.0
2021-01-06,44.2233,45.1041,43.8892,43.9117,1442673.0
2021-01-05,44.0472,45.3679,44.0472,42.9833,903269.0
2021-01-04,41.2824,41.5224,39.9671,42.0949,716465.0
2020-12-31,42.6347,43.2488,42.4434,42.4543,517731.0
2020-12-30,42.5062,43.2055,42.5062,42.2147,411959.0
2020-12-29,40.9439,41.2109,39.9562,41.7755,529262.0
2020-12-28,42.1049,42.3082,41.3013,42.7537,616850.0
2020-12-24,42.3491,42.5446,41.567,42.7937,329085.0
2020-12-23,43.6254,44.326,43.4832,43.2528,727079.0
2020-12-22,43.0282,43.7831,43.0282,42.5641,925795.0
2020-12-21,42.5194,43.183,41.9273,42.045,1232533.0
2020-12-18,40.8617,40.8617,39.3287,42.3544,3840212.0
2020-12-17,43.4985,44.259,42.2292,44.0115,3810352.0
