date,Open,High,Low,Close,Volume
2021-02-12,115.2913,116.2478,114.4959,114.9,513360.0
2021-02-11,118.6631,122.6451,118.1201,115.0,769218.0
2021-02-10,109.0454,109.2103,106.2029,110.71,591513.0
2021-02-09,114.0349,117.4984,113.3305,112.04,1040576.0
2021-02-08,109.9765,110.9718,109.7328,109.13,691131.0
2021-02-05,105.9318,106.617,103.3075,107.45,580618.0
2021-02-04,109.1171,110.5939,108.8505,107.75,680233.0
2021-02-03,107.1505,109.0675,106.7731,106.09,618403.0
2021-02-02,108.0792,111.4554,107.5654,105.55,607130.0
2021-02-01,100.9845,100.9845,98.7248,101.66,935178.0
2021-01-29,98.1977,98.6707,94.7069,100.96,1060938.0
2021-01-28,103.2777,103.2777,100.9881,104.63,1127108.0
2021-01-27,102.5857,103.0676,99.7524,104.5,1127011.0
2021-01-26,106.6536,106.7497,104.2037,108.81,426072.0
2021-01-25,109.8815,110.1793,108.3827,110.29,366066.0
2021-01-22,111.2104,111.8125,109.8053,111.01,412552.0
2021-01-21,109.972,110.5792,108.5518,111.12,428720.0
2021-01-20,112.02,112.4102,111.0395,111.99,366832.0
2021-01-19,112.031,113.5905,111.6688,111.69,502038.0
2021-01-15,109.2088,109.366,107.1657,110.19,687448.0
2021-01-14,110.432,110.996,108.497,111.99,938263.0
2021-01-13,111.4262,111.68,109.7079,112.77,441933.0
2021-01-12,113.8004,114.6337,112.6008,113.58,450187.0
2021-01-11,113.5324,115.339,113.5021,113.01,475809.0
2021-01-08,112.4404,112.4894,109.9828,113.52,855982.0
2021-01-07,114.5108,115.9331,112.0641,114.82,816529.0
2021-01-06,120.9464,129.6545,120.8742,114.76,1538140.0
2021-01-05,109.3644,112.26,109.3644,107.16,646538.0
2021-01-04,103.2966,104.2159,100.4726,106.11,867024.0
2020-12-31,110.3577,111.958,109.8653,108.96,317673.0
2020-12-30,107.9923,109.4625,107.9621,107.49,303166.0
2020-12-29,107.6416,108.6896,106.8153,107.23,414969.0
2020-12-28,105.604,106.0438,104.2455,106.82,322539.0
2020-12-24,107.7218,108.2159,107.4395,107.28,144528.0
2020-12-23,106.85,108.17,106.53,106.85,366121.0
2020-12-22,105.5628,105.8103,104.5533,106.11,660032.0
2020-12-21,108.2329,110.4879,107.6974,106.66,753440.0
2020-12-18,106.4502,107.0886,105.3927,106.58,1694724.0
2020-12-17,107.4217,108.7521,107.1898,107.0,565494.0
2020-12-16,106.0204,106.1798,104.9845,106.23,626947.0
2020-12-15,105.4322,105.6798,104.4808,105.91,740414.0
2020-12-14,101.0734,101.2302,96.9519,105.26,604916.0
2020-12-11,108.71,109.586,108.1895,108.65,494388.0
2020-12-10,108.7,109.1199,107.7002,108.71,387529.0
2020-12-09,109.4008,110.5644,108.7046,109.7,764270.0
2020-12-08,110.5176,111.9818,110.1719,109.6,454611.0
2020-12-07,111.1042,112.6488,110.92,109.85,614476.0
2020-12-04,109.6949,112.6038,109.2388,108.96,655191.0
2020-12-03,108.3529,110.0152,108.1205,107.79,639388.0
2020-12-02,105.8895,106.3016,103.9218,106.89,511473.0
2020-12-01,107.9654,109.3359,106.7034,108.73,789791.0
2020-11-30,109.5466,111.435,109.2422,107.84,1180347.0
2020-11-27,105.0463,105.0463,103.7662,105.86,275569.0
2020-11-25,105.5757,106.0881,104.334,106.35,496686.0
2020-11-24,109.0512,112.579,107.4365,107.53,1180798.0
2020-11-23,104.2905,105.1269,102.8163,104.51,1057583.0
2020-11-20,102.5551,102.6186,100.9445,103.8,564451.0
2020-11-19,105.6019,106.6761,104.1394,105.15,545585.0
2020-11-18,104.6632,106.9875,104.0895,105.24,811011.0
2020-11-17,104.1135,104.337,101.3078,105.3,610855.0
2020-11-16,109.4665,111.8018,108.0487,107.21,768963.0
2020-11-13,106.3492,109.8277,106.3173,103.27,713416.0
2020-11-12,99.4203,99.7463,97.8051,99.26,759549.0
2020-11-11,94.7384,95.1793,90.6969,98.85,1047490.0
2020-11-10,102.722,105.8085,102.4154,101.61,1187946.0
2020-11-09,97.3022,100.5695,94.4881,100.13,948180.0
2020-11-06,97.5301,98.9178,97.0459,97.61,651691.0
2020-11-05,98.6887,101.4709,98.6887,97.76,906689.0
2020-11-04,91.4709,91.4709,86.7062,95.65,1413748.0
2020-11-03,103.4109,105.6028,102.8552,101.94,921422.0
2020-11-02,101.5166,104.1494,101.2203,99.12,821991.0
2020-10-30,95.4824,96.1694,94.2197,95.0,626948.0
2020-10-29,96.7836,100.0716,96.5539,94.73,557544.0
2020-10-28,92.9507,94.3183,92.5727,93.2,674316.0
2020-10-27,94.3574,94.3574,92.5665,95.64,453232.0
2020-10-26,95.306,95.7933,92.8987,96.54,592069.0
2020-10-23,99.0702,99.4441,98.073,99.21,301426.0
2020-10-22,99.5096,100.9376,99.4178,98.53,388867.0
2020-10-21,97.5003,98.6764,96.7726,97.66,491128.0
2020-10-20,97.0977,97.5299,96.0661,97.96,557301.0
2020-10-19,95.3494,96.13,92.3986,97.73,566311.0
2020-10-16,99.26,101.1424,99.0503,99.33,1202641.0
2020-10-15,100.7386,102.8557,100.5022,99.37,775672.0
2020-10-14,98.0967,98.512,96.9607,98.91,651916.0
2020-10-13,98.0748,98.8653,96.8159,99.28,676412.0
2020-10-12,101.9024,103.7222,101.2378,100.78,929769.0
2020-10-09,99.954,100.8554,99.2248,99.32,680462.0
2020-10-08,100.4513,101.9444,99.9158,98.99,675743.0
2020-10-07,98.4528,100.4788,97.6342,97.33,713359.0
2020-10-06,93.5902,94.3718,91.6022,95.27,831699.0
