date,Open,High,Low,Close,Volume
2021-02-12,141.0775,141.1432,136.0763,145.64,663940.0
2021-02-11,147.2334,150.123,145.0062,148.64,882031.0
2021-02-10,148.0733,151.4316,146.7261,148.77,1090012.0
2021-02-09,150.1225,151.9628,142.8122,149.51,2051286.0
2021-02-08,163.0751,168.6955,162.5652,158.21,1147605.0
2021-02-05,152.1934,153.1048,150.648,152.91,556105.0
2021-02-04,155.8591,158.4557,154.7441,153.39,493198.0
2021-02-03,147.0102,147.194,144.3585,149.44,374339.0
2021-02-02,153.8737,157.8879,153.1495,151.28,484643.0
2021-02-01,149.5476,151.4953,148.9288,148.48,433887.0
2021-01-29,141.468,141.9453,137.4681,144.79,541386.0
2021-01-28,146.8465,148.5991,144.8992,148.82,483808.0
2021-01-27,145.018,147.7083,139.7686,149.65,535738.0
2021-01-26,157.5765,161.2516,157.1779,154.87,430552.0
2021-01-25,152.4001,152.8694,148.5351,152.5,713541.0
2021-01-22,149.5553,149.7794,146.8852,151.5,934082.0
2021-01-21,150.7855,152.2598,148.409,153.1,518196.0
2021-01-20,153.2254,155.2349,151.6569,154.76,518055.0
2021-01-19,155.5006,155.7895,153.8372,155.81,455816.0
2021-01-15,155.1826,157.0881,154.134,154.55,415332.0
2021-01-14,149.6823,150.8165,145.2871,153.96,442929.0
2021-01-13,155.0327,155.6835,152.0246,157.89,400668.0
2021-01-12,156.5826,156.5826,152.4986,160.39,607619.0
2021-01-11,162.0239,163.2199,158.6386,164.98,582673.0
2021-01-08,168.4127,170.4377,167.5579,166.95,483865.0
2021-01-07,167.0979,170.3514,166.7284,164.94,567236.0
2021-01-06,165.6758,170.6436,165.0653,161.49,594902.0
2021-01-05,159.5613,160.6172,156.333,159.11,427822.0
2021-01-04,155.6483,157.1015,149.9605,158.66,747739.0
2020-12-31,165.1089,168.4645,164.1635,161.99,428696.0
2020-12-30,158.75,159.68,158.11,158.75,305202.0
2020-12-29,158.5236,159.5736,157.5479,159.28,315158.0
2020-12-28,160.7974,162.8145,160.0067,159.71,339704.0
2020-12-24,159.5006,162.1094,159.2448,157.69,202753.0
2020-12-23,155.0154,156.1421,153.1673,155.93,473840.0
2020-12-22,151.6136,151.6136,148.1087,154.72,558825.0
2020-12-21,157.3645,157.8196,152.8927,158.21,547748.0
2020-12-18,159.5277,161.0669,156.576,161.63,1168765.0
2020-12-17,165.2268,168.0402,163.6295,162.76,603067.0
2020-12-16,159.3703,161.0445,159.0194,159.17,491438.0
2020-12-15,159.1217,159.9572,156.7361,158.6,383548.0
2020-12-14,158.2751,160.8643,158.2043,157.38,584450.0
2020-12-11,158.4331,161.3692,157.9472,155.82,672544.0
2020-12-10,150.3701,150.7427,146.8542,153.84,612266.0
2020-12-09,154.423,154.6165,151.8206,157.0,686968.0
2020-12-08,161.1888,162.8228,160.5595,160.0,748976.0
2020-12-07,159.7398,162.5028,159.7398,158.49,525435.0
2020-12-04,158.081,159.6182,157.086,158.48,481359.0
2020-12-03,156.8092,157.7103,154.1944,158.01,500241.0
2020-12-02,158.4939,159.8288,156.2769,159.98,361002.0
2020-12-01,161.39,162.981,160.2393,161.34,765280.0
2020-11-30,162.9651,166.7727,161.4524,160.4324,1348849.0
2020-11-27,156.567,156.9322,154.3411,157.3806,270910.0
2020-11-25,157.0425,158.0744,155.2963,157.4504,572417.0
2020-11-24,153.3741,153.8517,150.021,156.7123,732821.0
2020-11-23,159.4551,160.9291,158.8276,159.5647,327344.0
2020-11-20,158.1838,158.7022,156.5311,159.7443,402436.0
2020-11-19,163.9015,168.2894,160.7938,161.0907,493414.0
2020-11-18,157.5239,158.5017,155.0249,158.2881,424646.0
2020-11-17,158.1192,158.9438,156.4303,158.4278,521370.0
2020-11-16,154.5546,155.0755,149.3933,158.6073,458557.0
2020-11-13,161.4507,162.8639,159.1855,161.0508,328398.0
2020-11-12,158.2372,159.1608,155.8251,159.4251,305208.0
2020-11-11,160.5223,162.1055,158.949,160.6518,426034.0
2020-11-10,161.7866,163.7116,160.6458,160.0933,783272.0
2020-11-09,155.3369,159.1347,152.22,158.4078,704055.0
2020-11-06,157.7056,161.1686,156.0094,156.7423,555094.0
